date,open,high,low,close,volume
2003-09-05,49.5,49.5,47.65,48.2,45629
2003-09-08,48.15,49.0,47.3,47.7,48085
2003-09-09,47.55,48.9,47.0,47.05,56306
2003-09-10,46.1,47.3,46.05,47.05,12821
2003-09-11,47.0,47.05,44.3,46.0,67972
2003-09-12,46.0,46.55,45.1,45.5,38105
2003-09-15,45.0,46.9,44.75,44.85,59432
2003-09-16,45.0,47.8,44.0,44.95,75591
2003-09-17,46.8,49.8,44.75,44.95,104678
2003-09-18,44.25,44.95,43.8,44.5,48564
2003-09-19,45.85,45.85,42.3,43.2,47673
2003-09-22,44.9,44.95,43.5,44.25,53253
2003-09-23,44.65,45.5,43.95,45.4,38403
2003-09-24,45.2,47.15,45.2,46.8,38785
2003-09-25,46.5,48.5,46.5,47.8,48834
2003-09-26,46.5,49.5,46.5,49.25,59055
2003-09-29,50.05,51.0,49.5,49.7,117116
2003-09-30,51.75,53.4,49.8,52.9,144892
2003-10-01,52.5,54.75,52.05,54.25,180071
2003-10-03,57.95,57.95,53.55,55.5,220966
2003-10-06,56.25,59.0,55.8,56.9,239803
2003-10-07,57.95,60.9,56.5,58.85,319002
2003-10-08,60.0,63.2,58.5,61.65,378140
2003-10-09,62.0,63.4,60.55,61.25,165907
2003-10-10,61.8,62.8,58.0,58.5,118863
2003-10-13,58.25,60.0,58.25,58.85,79797
2003-10-14,59.4,61.0,56.55,56.9,96853
2003-10-15,56.8,58.25,55.0,56.25,142263
2003-10-16,56.9,59.25,56.45,57.5,84938
2003-10-17,57.85,57.9,56.25,56.5,41737
2003-10-20,57.95,57.95,54.7,55.0,68633
2003-10-21,55.0,55.75,52.0,52.4,79257
2003-10-22,53.2,54.0,51.5,51.7,39994
2003-10-23,52.0,53.0,51.3,52.7,46577
2003-10-24,54.65,54.65,52.35,53.55,38648
2003-10-25,54.4,56.75,54.4,56.4,34721
2003-10-27,56.45,59.0,55.6,57.15,115779
2003-10-28,58.0,59.75,57.25,57.75,95737
2003-10-29,58.0,59.3,57.5,57.65,62459
2003-10-30,58.85,60.9,56.25,59.75,135570
2003-10-31,60.5,61.4,59.2,59.55,70648
2003-11-03,62.5,62.5,58.3,59.1,51464
2003-11-04,60.0,60.0,58.1,58.5,64030
2003-11-05,59.5,63.05,57.6,61.8,165008
2003-11-06,63.5,72.0,62.9,71.15,465898
2003-11-07,71.5,78.8,71.5,76.1,602789
2003-11-10,79.9,83.5,75.35,80.6,226127
2003-11-11,82.05,91.0,79.1,88.95,731145
2003-11-12,90.0,97.85,90.0,95.25,769990
2003-11-13,96.0,98.0,87.0,87.6,316351
2003-11-14,87.75,94.95,86.5,89.2,583995
2003-11-15,91.9,92.95,90.0,92.1,153683
2003-11-17,92.9,93.0,85.15,86.95,268900
2003-11-18,84.5,91.9,84.5,88.3,218996
2003-11-19,87.8,88.2,84.05,85.4,154711
2003-11-20,88.0,93.8,86.0,86.4,491428
2003-11-21,86.5,90.0,81.5,85.8,291549
2003-11-24,86.5,91.8,86.5,88.7,221486
2003-11-25,90.1,90.9,88.0,88.4,113512
2003-11-27,89.95,89.95,87.2,88.05,104610
2003-11-28,88.5,91.25,83.6,84.65,227180
2003-12-01,85.25,91.0,84.75,85.35,104527
2003-12-02,86.6,87.65,82.5,84.6,169918
2003-12-03,85.9,93.1,85.2,92.55,517660
2003-12-04,95.5,95.5,89.5,91.7,383284
2003-12-05,91.5,95.75,88.05,88.85,308658
2003-12-08,91.0,95.5,89.0,94.35,322334
2003-12-09,95.6,98.45,94.1,95.25,338208
2003-12-10,96.0,96.5,90.9,92.25,151661
2003-12-11,93.0,93.5,90.5,91.9,129351
2003-12-12,92.8,92.8,91.25,91.9,72889
2003-12-15,92.5,101.1,92.5,100.1,673880
2003-12-16,101.4,106.35,98.05,103.1,814763
2003-12-17,104.75,104.75,99.0,99.6,252171
2003-12-18,100.4,107.0,100.0,101.9,293162
2003-12-19,103.4,103.8,99.0,99.55,195558
2003-12-22,100.0,102.2,99.75,100.95,152050
2003-12-23,102.0,111.05,102.0,110.7,783854
2003-12-24,112.9,114.2,105.25,111.7,642974
2003-12-26,110.9,119.9,110.85,117.35,448970
2003-12-29,118.5,118.9,113.75,114.35,179071
2003-12-30,115.4,115.5,109.05,111.75,255557
2003-12-31,111.5,113.0,106.5,107.3,119966
2004-01-01,108.5,113.0,108.4,109.7,112858
2004-01-02,111.0,115.9,109.3,114.1,193516
2004-01-05,116.0,119.9,109.2,110.35,138934
2004-01-06,111.0,112.95,107.0,108.0,108454
2004-01-07,108.9,109.85,103.15,106.35,91134
2004-01-08,107.85,110.0,107.5,108.35,63318
2004-01-09,108.85,110.85,102.0,103.95,112199
2004-01-12,105.0,105.8,101.5,102.3,72336
2004-01-13,101.55,107.0,100.05,105.75,92699
2004-01-14,107.5,116.35,107.0,116.35,342787
2004-01-15,118.0,118.4,112.0,113.55,216207
2004-01-16,112.4,112.95,107.0,108.1,61549
2004-01-19,108.1,111.75,104.3,108.6,73703
2004-01-20,109.35,112.9,107.1,108.7,88220
2004-01-21,111.3,111.3,100.8,103.45,102666
2004-01-22,104.5,106.95,96.1,98.35,96944
2004-01-23,98.0,103.5,98.0,102.65,55046
2004-01-27,103.6,107.0,103.6,105.15,36852
2004-01-28,105.9,107.8,101.25,102.35,63721
2004-01-29,102.65,103.5,98.0,99.1,68180
2004-01-30,100.0,100.5,95.1,95.5,47156
2004-02-03,96.4,96.4,85.95,85.95,66599
2004-02-04,86.55,88.5,80.0,86.25,77343
2004-02-05,87.9,90.95,85.1,86.75,47969
2004-02-06,86.1,88.0,85.5,86.6,22336
2004-02-09,89.95,94.95,89.5,90.85,92049
2004-02-10,91.7,92.8,90.45,91.35,47860
2004-02-11,91.8,93.45,90.65,91.35,33617
2004-02-12,92.0,93.0,88.1,89.25,41079
2004-02-13,90.0,92.9,88.0,92.15,57465
2004-02-16,92.75,93.6,89.8,90.1,68382
2004-02-17,90.8,91.5,88.2,88.75,46889
2004-02-18,89.4,90.5,88.55,88.8,43082
2004-02-19,89.05,89.15,86.1,86.4,34921
2004-02-20,85.8,86.6,84.2,86.05,28617
2004-02-23,87.0,89.05,84.55,84.95,28995
2004-02-24,85.0,86.0,84.5,84.75,16397
2004-02-25,85.0,85.5,83.05,84.65,427396
2004-02-26,89.0,89.0,85.0,85.45,32246
2004-02-27,85.8,86.0,84.75,85.4,21080
2004-03-01,85.8,86.4,84.25,85.35,21577
2004-03-03,86.5,87.8,84.0,84.65,49222
2004-03-04,84.9,85.7,84.1,84.45,19098
2004-03-05,85.0,91.45,83.1,90.4,90219
2004-03-08,90.9,94.95,88.25,94.1,124967
2004-03-09,93.0,94.85,91.5,93.75,72286
2004-03-10,92.0,94.0,88.5,89.25,36185
2004-03-11,86.7,90.4,86.55,87.8,23372
2004-03-12,87.5,92.0,85.0,91.1,27938
2004-03-15,91.9,93.0,85.5,86.25,22234
2004-03-16,87.0,88.25,82.35,84.55,26509
