date,open,high,low,close,volume
2011-01-03,29.25,32.35,29.13,32.09,10540110
2011-01-04,32.25,32.38,31.21,31.64,5617342
2011-01-05,31.74,31.95,30.75,30.9,1753020
2011-01-06,31.08,31.58,29.75,30.08,2508874
2011-01-10,29.78,30.21,29.08,29.38,1468225
2011-01-11,30.0,31.18,27.9,29.54,7311506
2011-01-14,30.06,30.68,29.25,29.84,1176841
2011-01-17,30.0,30.18,29.39,29.73,798563
2011-01-18,30.0,30.63,29.8,30.31,1117343
2011-01-19,30.26,31.1,30.25,30.44,1155691
2011-01-20,30.5,30.93,30.1,30.53,950422
2011-01-21,30.55,30.75,29.65,30.03,587528
2011-01-24,30.25,30.28,29.53,29.69,411458
2011-01-25,29.8,29.96,29.26,29.58,836473
2011-01-27,29.8,30.03,29.1,29.38,1068714
2011-01-28,29.38,29.38,28.08,28.69,517774
2011-01-31,28.0,28.46,27.28,28.18,262224
2011-02-01,28.45,28.6,27.5,27.63,409092
2011-02-02,27.75,28.33,25.88,26.73,908376
2011-02-03,26.54,27.58,25.74,27.34,958419
2011-02-07,26.9,27.19,26.25,26.53,344991
2011-02-08,26.64,26.94,25.64,26.13,324018
2011-02-09,25.63,26.45,24.25,24.64,421407
2011-02-10,24.64,25.01,22.81,23.53,570861
2011-02-11,23.25,25.48,22.88,25.21,1331568
2011-02-14,25.61,26.13,25.25,25.99,585729
2011-02-16,27.45,30.0,27.0,27.66,10722143
2011-02-17,27.78,28.59,27.49,28.39,2882494
2011-02-18,28.5,28.65,27.28,27.49,1548028
2011-02-21,27.0,28.69,26.55,28.51,2442807
2011-02-22,28.43,28.66,27.88,28.38,1105309
2011-02-23,28.5,30.36,28.25,29.99,5434855
2011-02-24,29.5,29.78,26.65,27.13,5431931
2011-02-25,27.9,28.2,26.18,27.05,1347688
2011-02-28,27.1,27.73,26.2,26.53,916487
2011-03-01,26.9,27.7,26.1,27.48,804954
2011-03-03,27.75,28.23,27.05,27.28,1948454
2011-03-04,27.3,27.68,26.85,27.13,897572
2011-03-07,26.98,26.98,26.4,26.63,580971
2011-03-08,26.9,27.08,26.3,26.78,928469
2011-03-09,26.93,27.98,26.9,27.78,1296163
2011-03-10,27.75,27.88,27.35,27.75,1283945
2011-03-11,27.53,27.63,26.8,27.33,719519
2011-03-14,27.05,27.85,27.0,27.58,694812
2011-03-15,25.0,27.48,25.0,26.88,593225
2011-03-16,27.15,28.33,26.98,28.05,1734123
2011-03-17,28.2,28.23,27.5,27.85,921315
2011-03-18,27.6,28.08,27.25,27.4,581354
2011-03-21,27.4,28.35,27.3,28.03,1429041
2011-03-22,28.23,28.7,27.78,28.23,1305091
2011-03-23,28.23,29.63,28.0,29.38,2261490
2011-03-24,30.5,30.5,29.63,30.2,2367588
2011-03-25,30.5,32.45,30.5,32.23,3723695
2011-03-28,32.43,32.78,31.63,32.05,1321348
2011-03-29,32.13,32.68,31.53,31.75,5267555
2011-03-30,31.9,32.08,31.03,31.43,946418
2011-03-31,31.9,33.48,31.65,33.03,6785309
2011-04-01,33.38,34.58,33.35,34.4,2480804
2011-04-04,34.48,35.8,34.48,35.03,2803895
2011-04-06,34.75,35.55,34.35,35.13,2293097
2011-04-07,35.4,35.4,34.75,34.9,1152525
2011-04-11,34.35,35.4,33.8,35.1,1501070
2011-04-13,31.5,36.75,31.5,36.35,5819881
2011-04-15,36.5,36.7,34.93,35.25,2710750
2011-04-18,36.0,36.0,33.6,33.8,1527629
2011-04-19,33.88,34.93,33.08,34.7,1839374
2011-04-20,35.0,35.6,34.45,34.95,1284650
2011-04-21,35.43,35.5,34.5,34.63,1790676
2011-04-25,34.63,34.93,34.33,34.48,736968
2011-04-26,35.0,35.93,34.25,34.98,1872095
2011-04-27,35.28,35.8,34.85,35.55,1863339
2011-04-29,35.03,35.3,34.25,34.58,1159534
2011-05-02,34.75,35.0,34.05,34.38,826818
2011-05-03,34.0,34.5,32.88,33.25,592004
2011-05-04,33.25,33.58,31.8,33.18,1076154
2011-05-06,33.5,34.1,33.03,33.88,2343785
2011-05-09,34.0,34.45,33.2,33.4,589646
2011-05-10,33.75,34.13,33.3,33.43,531635
2011-05-11,34.0,34.0,33.15,33.28,635505
2011-05-12,33.05,33.38,32.3,32.93,550489
2011-05-13,33.25,33.7,32.53,33.18,625075
2011-05-16,33.05,33.83,32.8,33.13,541714
2011-05-17,33.43,33.43,32.38,32.65,602943
2011-05-18,33.25,33.25,31.6,31.98,550500
2011-05-20,31.63,31.98,30.9,31.83,1336970
2011-05-23,31.5,31.83,30.63,30.85,449874
2011-05-24,30.93,31.5,30.9,31.33,505046
2011-05-25,31.33,31.55,30.78,31.2,881702
2011-05-26,31.28,31.48,30.4,31.15,1046179
2011-05-27,31.15,31.9,31.15,31.53,415259
2011-05-31,32.45,33.9,31.75,33.78,901424
2011-06-01,33.98,34.55,33.35,33.6,761815
2011-06-02,33.23,33.88,33.05,33.73,527744
2011-06-03,33.75,34.2,33.15,33.33,269841
2011-06-06,33.75,33.75,32.88,33.23,409198
2011-06-07,33.23,33.73,33.03,33.28,232614
2011-06-08,32.68,35.8,32.68,35.58,2363233
2011-06-09,35.58,35.75,34.55,34.88,969409
2011-06-10,35.03,36.15,34.85,35.8,1524724
2011-06-13,35.98,36.58,35.05,35.93,1374079
2011-06-14,36.05,36.2,35.28,35.6,669764
2011-06-15,35.63,35.73,34.9,35.08,415258
2011-06-16,34.83,35.95,34.63,35.33,608107
2011-06-17,35.2,35.75,34.25,34.58,346496
2011-06-20,34.7,34.9,31.3,33.23,752367
2011-06-21,33.6,33.9,31.9,33.43,472324
2011-06-22,34.0,34.15,32.8,32.93,494917
2011-06-23,33.5,33.5,32.1,32.9,270872
2011-06-24,33.3,34.38,33.13,34.05,577551
2011-06-27,34.58,34.9,33.85,34.53,723857
2011-06-29,34.5,35.23,34.08,34.58,499985
2011-06-30,34.75,35.2,33.8,34.8,1002029
2011-07-01,34.8,36.0,34.0,35.73,1805203
2011-07-04,36.23,36.95,35.4,36.7,1202565
2011-07-06,38.15,38.2,37.3,37.55,866590
2011-07-07,37.78,38.73,37.75,38.05,1393721
2011-07-08,38.5,39.0,37.6,38.13,1630845
2011-07-11,38.25,38.38,36.7,36.9,704648
2011-07-12,36.6,36.9,35.85,36.3,960802
2011-07-13,37.0,37.0,35.83,36.2,763574
2011-07-14,36.15,36.9,35.9,36.45,1197110
2011-07-15,37.0,37.08,35.9,36.08,952971
2011-07-18,37.0,38.3,36.5,37.88,4839514
2011-07-19,38.15,38.73,37.35,37.48,2132102
2011-07-20,37.85,38.13,37.3,37.48,970601
2011-07-21,37.35,39.85,37.35,39.68,3928725
2011-07-22,40.0,41.23,39.93,40.45,3874232
2011-07-25,37.45,40.48,37.45,39.93,1267356
2011-07-26,39.9,40.7,38.6,39.8,776660
2011-07-27,40.75,41.6,40.18,41.05,4400264
2011-07-28,40.4,45.08,40.4,43.78,7359852
2011-07-29,44.25,44.35,42.55,43.88,2951701
2011-08-01,44.35,46.85,43.63,46.3,3336002
2011-08-02,46.4,46.4,44.05,44.88,2070617
2011-08-03,44.0,44.43,43.3,43.53,1701199
2011-08-04,43.5,44.75,42.1,42.33,1317180
2011-08-05,41.45,43.63,40.05,42.33,2657939
2011-08-08,39.85,41.58,39.0,41.3,1603334
2011-08-09,40.0,41.45,37.55,40.48,1430171
2011-08-10,42.53,44.0,41.53,43.05,1832519
2011-08-11,41.98,43.05,41.98,42.25,695277
2011-08-12,42.25,43.63,41.13,41.68,1384070
2011-08-16,42.05,42.6,39.95,40.33,579273
2011-08-17,40.5,41.4,40.03,40.4,753399
2011-08-18,39.98,40.58,37.88,38.18,868795
2011-08-19,36.15,37.68,35.08,35.7,982296
2011-08-22,35.0,35.88,34.13,34.63,1218210
2011-08-23,35.0,38.15,34.35,37.13,1913276
2011-08-24,37.0,37.7,35.95,36.3,1150643
2011-08-25,36.4,39.88,34.9,35.6,2241785
2011-08-26,35.5,35.73,33.95,34.2,757512
2011-08-29,35.0,36.45,34.53,36.15,728920
2011-08-30,36.75,38.5,36.18,38.1,1010735
2011-09-02,39.18,39.18,37.28,37.7,557680
2011-09-05,37.55,37.55,35.63,37.05,393617
2011-09-06,36.53,40.25,35.6,39.9,1689096
2011-09-07,40.3,40.95,39.2,40.25,1385997
2011-09-08,40.23,41.85,39.48,40.4,1690795
2011-09-09,40.6,41.05,37.93,38.33,963643
2011-09-12,38.0,38.2,35.55,36.03,744363
2011-09-13,36.45,37.6,35.3,35.88,1380887
2011-09-14,36.35,38.5,36.18,38.23,2102250
2011-09-15,39.2,39.2,37.6,38.23,1531731
2011-09-16,38.53,38.68,35.83,35.98,2711578
2011-09-19,36.0,37.05,35.75,35.93,1356101
2011-09-20,36.4,37.0,35.75,36.68,1008672
2011-09-21,36.8,38.5,36.55,38.15,2139266
2011-09-22,37.4,38.28,36.63,37.43,2526058
2011-09-23,37.0,38.08,36.35,37.35,1605330
2011-09-26,37.5,37.75,35.88,36.73,647093
2011-09-27,36.8,39.73,36.8,39.2,2298074
2011-09-28,39.7,42.45,39.68,41.95,6740425
2011-09-29,41.75,43.43,41.05,43.08,3874927
2011-09-30,42.9,43.08,41.48,41.75,1199285
2011-10-03,41.48,42.93,40.85,42.13,1509821
2011-10-04,41.9,42.9,41.18,41.73,1860724
2011-10-05,43.45,43.45,39.38,40.03,1526128
2011-10-07,41.25,41.83,40.33,40.98,570802
2011-10-10,41.2,42.75,40.63,42.18,1614045
2011-10-11,42.9,43.2,40.63,41.05,1475399
2011-10-12,41.65,44.1,41.65,43.83,3187812
2011-10-13,43.9,45.2,43.25,43.58,2292633
2011-10-14,43.6,44.75,43.08,44.48,1215860
2011-10-17,44.73,45.65,44.25,44.98,1575758
2011-10-18,44.98,45.03,42.5,43.03,881088
2011-10-19,43.48,44.93,43.25,44.7,809782
2011-10-20,44.0,45.8,43.0,44.58,6119084
2011-10-21,45.25,45.25,43.33,43.53,1277749
2011-10-24,44.0,44.8,43.1,43.28,774402
2011-10-25,43.63,45.0,42.78,44.43,1077449
2011-10-26,44.85,45.33,44.5,44.83,253746
2011-10-28,45.6,46.25,44.33,44.98,1381364
2011-10-31,42.05,45.53,41.0,44.7,1404021
2011-11-01,44.75,45.0,43.5,43.75,841267
2011-11-02,43.45,44.3,43.1,43.98,1250227
2011-11-03,44.0,44.0,42.55,43.1,687570
2011-11-04,43.53,45.0,43.5,44.45,1473852
2011-11-08,44.95,44.95,43.85,44.38,556927
2011-11-09,44.75,44.75,42.55,42.83,640409
2011-11-11,42.5,43.33,41.63,41.83,519810
2011-11-14,42.0,43.58,41.58,43.25,1285731
2011-11-15,43.5,44.53,42.0,42.38,3422780
2011-11-16,42.2,42.88,41.0,41.88,856046
2011-11-17,41.88,42.38,39.58,40.68,1040686
2011-11-18,39.53,42.38,38.93,41.78,1122810
2011-11-21,41.75,42.0,40.28,40.48,421389
2011-11-22,40.63,42.7,40.08,42.38,1104041
2011-11-23,42.95,43.03,40.8,41.53,1519563
2011-11-24,41.7,43.23,41.38,42.83,1606446
2011-11-25,43.25,44.08,42.5,42.98,724146
2011-11-28,43.68,44.25,43.1,43.93,594634
2011-11-29,44.0,44.13,43.25,43.5,320809
2011-11-30,43.05,43.35,41.65,42.35,889587
2011-12-01,43.9,44.1,41.08,41.48,678580
2011-12-02,41.18,42.73,40.95,41.95,1741200
2011-12-07,42.25,42.75,41.6,41.93,520496
2011-12-08,42.0,42.33,40.83,41.53,882431
2011-12-09,41.35,42.45,40.78,41.9,597488
2011-12-12,42.0,42.55,41.6,42.33,561684
2011-12-13,42.25,43.75,40.3,41.05,1865037
2011-12-14,41.43,41.85,40.53,40.85,616645
2011-12-15,40.35,41.6,39.65,41.35,1062086
2011-12-16,41.38,42.3,40.5,40.75,689708
2011-12-19,40.55,41.85,40.2,41.5,311650
2011-12-20,41.55,41.8,40.38,40.8,593453
2011-12-21,41.75,42.55,40.53,41.15,553314
2011-12-22,40.63,41.48,40.28,41.25,436050
2011-12-23,40.7,41.48,39.53,39.83,859767
2011-12-26,39.5,39.8,38.13,38.45,1219380
2011-12-27,37.55,39.2,36.9,38.33,1419339
2011-12-28,38.03,38.33,36.68,36.98,1420215
2011-12-29,36.88,37.8,36.33,37.33,1237865
2011-12-30,37.3,37.95,36.88,37.55,988157
2012-01-02,37.9,38.13,37.5,37.8,368527
2012-01-03,38.5,40.38,37.93,39.63,2908905
2012-01-04,39.63,40.35,38.83,39.53,1505529
2012-01-05,40.08,41.2,39.18,39.43,1370475
2012-01-06,39.55,40.33,39.55,39.98,860190
2012-01-07,40.48,40.48,39.73,39.83,28660
2012-01-09,39.13,40.75,39.13,39.98,812919
2012-01-10,40.45,41.5,40.15,41.13,1227622
2012-01-11,41.03,41.95,41.03,41.25,998584
2012-01-12,42.0,42.45,41.35,41.73,1670254
2012-01-13,42.03,42.25,40.5,41.13,589863
2012-01-16,40.95,41.83,40.53,41.48,582767
2012-01-17,42.4,42.65,41.95,42.1,1313248
2012-01-18,42.4,42.4,40.1,40.48,770205
2012-01-19,40.98,41.25,40.03,40.35,523799
2012-01-20,40.85,41.45,39.7,39.93,399661
2012-01-23,39.63,39.93,38.8,39.4,470686
2012-01-24,39.0,40.25,39.0,39.08,896572
2012-01-25,40.0,42.2,39.75,41.75,2717482
2012-01-27,41.75,42.05,40.93,41.45,812332
2012-01-30,41.4,41.9,40.35,40.58,424750
2012-01-31,40.9,43.0,40.9,42.38,1887502
2012-02-01,43.0,44.35,43.0,44.03,2917773
2012-02-02,45.05,49.93,45.0,48.58,14060179
2012-02-03,49.25,50.65,47.8,49.63,5224118
2012-02-07,51.0,51.13,48.65,49.03,1578310
2012-02-08,48.3,53.78,48.3,53.18,4274163
2012-02-10,52.98,55.3,51.48,54.83,2426293
2012-02-13,54.9,55.98,53.78,55.58,1911920
2012-02-14,55.5,56.5,54.78,55.08,2356796
2012-02-15,55.9,56.35,54.13,55.15,1620854
2012-02-16,55.15,55.73,54.28,54.95,1423192
2012-02-17,55.0,58.75,55.0,56.03,2738374
2012-02-22,57.45,57.45,54.5,55.08,1526811
2012-02-23,54.95,56.05,52.85,54.68,2161527
2012-02-24,55.15,57.4,54.13,54.98,1122278
2012-02-28,54.0,57.5,53.83,57.15,2171628
2012-02-29,58.0,61.5,57.5,60.98,5168715
2012-03-02,57.25,57.63,54.38,55.38,3057794
2012-03-05,55.35,56.6,54.2,54.55,1578739
2012-03-07,52.5,56.63,52.5,56.25,2583010
2012-03-12,58.78,59.88,56.98,59.25,3192554
2012-03-13,59.5,60.6,58.7,60.08,2662127
2012-03-14,60.7,60.73,59.0,60.28,2072211
2012-03-15,60.0,60.63,57.63,58.25,2204803
2012-03-16,58.25,60.25,57.8,58.53,2126556
2012-03-19,59.5,59.53,56.8,57.53,511113
2012-03-20,57.75,61.13,57.6,60.55,1724052
2012-03-22,61.25,61.5,57.5,57.88,1275891
2012-03-23,58.23,58.88,56.2,56.98,1772187
2012-03-26,55.05,57.88,54.13,56.9,1818677
2012-03-27,57.48,58.0,53.95,55.75,1928621
2012-03-28,55.5,55.5,53.4,53.75,1208731
2012-03-29,53.0,56.15,51.53,55.18,3273103
2012-03-30,55.8,58.7,55.53,58.53,3425566
2012-04-02,58.0,58.98,57.5,58.48,1051326
2012-04-03,58.95,60.68,58.53,60.48,1911814
2012-04-04,61.0,62.15,60.18,61.48,2346271
2012-04-09,60.6,61.5,59.0,59.23,976052
2012-04-10,59.5,59.85,58.0,58.53,1533558
2012-04-11,58.05,60.48,58.0,59.98,1468766
2012-04-12,60.53,61.28,60.23,60.85,967565
2012-04-13,60.73,62.2,59.5,60.15,1665722
2012-04-16,59.5,63.7,59.5,63.33,2425477
2012-04-17,63.98,63.98,62.35,62.83,1988186
2012-04-18,63.18,64.33,62.25,62.73,1052697
2012-04-20,64.0,64.85,62.25,63.2,1141469
2012-04-23,62.9,64.35,60.9,62.55,2768066
2012-04-24,63.43,65.7,62.83,65.25,2130952
2012-04-25,65.63,66.93,64.7,65.18,2025682
2012-04-26,65.75,65.98,63.4,63.73,1835455
2012-04-27,64.25,65.93,62.83,64.95,4481978
2012-04-28,65.0,65.25,64.08,64.78,126500
2012-04-30,64.75,65.3,63.78,64.8,1066629
2012-05-02,64.75,65.28,63.7,64.03,1282382
2012-05-03,64.13,65.13,63.15,64.95,1290662
2012-05-04,65.0,65.18,63.15,63.53,792199
2012-05-07,62.7,63.13,61.4,62.4,973863
2012-05-08,62.25,62.55,60.0,60.48,1360234
2012-05-09,58.78,60.85,56.5,57.25,1044697
2012-05-10,57.0,60.88,56.13,60.35,2182458
2012-05-11,60.45,60.45,58.33,59.58,765108
2012-05-14,59.88,60.0,58.3,59.1,585006
2012-05-15,58.28,60.98,58.28,59.98,1586357
2012-05-16,59.98,59.98,56.95,57.4,1159112
2012-05-17,58.5,61.8,57.78,59.38,3785303
