date,open,high,low,close,volume
2003-09-05,92.87,98.44,83.56,91.13,10573269
2003-09-08,91.13,93.39,91.13,91.94,3143929
2003-09-09,92.59,93.76,91.26,91.86,2758729
2003-09-10,92.82,93.22,91.58,92.52,1754747
2003-09-11,92.67,95.53,92.67,94.47,3818407
2003-09-12,99.78,99.78,94.06,94.52,4053533
2003-09-15,94.89,95.48,85.76,86.98,4725492
2003-09-16,88.89,89.33,72.47,76.78,19724139
2003-09-17,76.42,76.42,71.11,73.31,12459796
2003-09-18,74.0,75.31,72.96,74.56,7050887
2003-09-19,74.96,77.74,74.51,76.9,6415247
2003-09-22,77.78,78.67,74.92,75.38,2312222
2003-09-23,75.33,76.87,74.47,76.62,1771119
2003-09-24,77.13,79.84,76.56,79.47,2840282
2003-09-25,80.8,81.62,77.78,78.13,4300754
2003-09-26,78.91,79.52,77.7,78.68,1767072
2003-09-29,78.89,83.76,78.87,83.18,3197091
2003-09-30,82.67,83.29,80.11,80.48,2434642
2003-10-01,80.87,82.67,80.22,80.71,2177711
2003-10-03,81.33,82.0,78.97,80.29,3405297
2003-10-06,76.44,78.87,74.47,78.33,4811328
2003-10-07,79.11,81.88,79.11,79.77,4067246
2003-10-08,80.44,81.0,78.03,78.7,1930265
2003-10-09,79.29,79.51,77.14,77.66,2435719
2003-10-10,77.33,77.33,74.12,74.73,3358594
2003-10-13,75.56,78.87,74.71,78.5,3889169
2003-10-14,79.56,79.56,75.56,75.82,2522953
2003-10-15,76.0,76.42,74.67,75.92,1742589
2003-10-16,76.44,76.53,72.47,73.13,3241218
2003-10-17,73.56,77.09,73.33,75.12,4880293
2003-10-20,74.73,74.73,71.11,72.47,3993238
2003-10-21,72.56,73.09,71.56,71.9,2342761
2003-10-22,72.56,72.87,70.0,70.58,1889691
2003-10-23,71.11,72.54,70.23,71.34,1639552
2003-10-24,71.56,75.33,70.89,74.78,2242134
2003-10-25,76.0,76.64,74.67,75.59,548875
2003-10-27,75.74,76.89,73.91,74.64,1809452
2003-10-28,74.44,74.84,72.39,72.82,1295744
2003-10-29,72.22,73.76,71.13,72.24,1889128
2003-10-30,72.89,73.33,71.11,71.69,2038938
2003-10-31,71.11,74.34,69.37,73.13,4238358
2003-11-03,74.22,74.54,72.0,72.52,1819822
2003-11-04,73.27,75.4,72.22,73.44,3577439
2003-11-05,74.07,75.22,73.26,73.92,1870617
2003-11-06,74.44,75.06,73.09,73.37,1348919
2003-11-07,73.99,75.8,73.34,74.36,2769913
2003-11-10,74.67,75.3,73.82,74.78,800822
2003-11-11,74.93,76.73,74.93,75.96,1814478
2003-11-12,76.44,77.69,74.81,75.09,2508858
2003-11-13,75.64,76.0,74.03,74.54,2024826
2003-11-14,74.89,75.5,74.54,74.87,1737197
2003-11-15,75.07,75.22,74.44,74.89,273805
2003-11-17,74.89,78.09,74.67,76.59,3032027
2003-11-18,77.24,78.8,76.27,76.88,2149452
2003-11-19,76.67,76.87,74.87,75.16,1366067
2003-11-20,75.33,75.96,74.44,74.48,1114022
2003-11-21,74.44,75.36,73.56,75.01,1158107
2003-11-24,75.56,76.6,74.94,75.81,1493483
2003-11-25,76.06,80.98,76.02,79.86,4760188
2003-11-27,80.44,82.39,80.22,81.88,3765927
2003-11-28,82.21,83.33,81.07,81.5,1849386
2003-12-01,82.2,83.43,81.69,83.13,1952560
2003-12-02,84.56,84.89,81.24,81.87,1164379
2003-12-03,81.67,85.67,81.67,85.16,2772624
2003-12-04,85.61,88.22,84.94,87.48,3193620
2003-12-05,88.89,89.09,85.71,86.29,2398328
2003-12-08,86.67,87.97,85.67,87.18,1685631
2003-12-09,88.0,88.1,86.44,86.86,937329
2003-12-10,87.73,88.33,86.34,87.06,1256698
2003-12-11,87.33,90.31,87.16,89.62,2548551
2003-12-12,90.89,91.67,89.11,91.19,2324104
2003-12-15,91.56,91.89,89.56,89.86,1070560
2003-12-16,89.56,90.56,87.79,89.78,1215004
2003-12-17,90.0,91.88,89.16,91.28,2378369
2003-12-18,92.0,98.22,91.18,96.63,5498747
2003-12-19,97.33,97.62,92.67,93.16,2374742
2003-12-22,94.16,96.67,91.16,91.88,3502365
2003-12-23,92.22,93.56,91.68,92.16,1423535
2003-12-24,92.89,96.67,92.44,95.72,2085174
2003-12-26,95.16,99.09,95.16,97.17,1554573
2003-12-29,96.66,99.89,95.78,98.76,2064199
2003-12-30,99.56,100.62,96.22,97.84,1963745
2003-12-31,97.56,99.56,96.72,97.21,1219181
2004-01-01,97.56,101.24,97.56,100.29,1982276
2004-01-02,100.44,103.07,100.44,102.36,2079967
2004-01-05,103.33,107.76,99.14,100.88,4608733
2004-01-06,100.27,103.09,99.33,100.66,2665735
2004-01-07,88.91,101.54,88.91,100.38,1471977
2004-01-08,102.18,103.27,100.67,102.51,1399251
2004-01-09,104.4,107.04,103.11,104.64,2286702
2004-01-12,104.84,107.31,103.8,105.52,2089512
2004-01-13,106.0,106.62,100.57,102.72,2334929
2004-01-14,102.78,103.76,100.7,102.2,2908858
2004-01-15,103.56,105.2,97.82,99.73,2297303
2004-01-16,98.93,99.64,93.33,96.26,2123549
2004-01-19,97.78,97.78,93.78,97.09,1290915
2004-01-20,97.79,99.77,96.07,97.39,2159638
2004-01-21,96.89,97.53,92.22,93.87,1933424
2004-01-22,94.0,94.86,87.83,91.77,2046812
2004-01-23,91.34,95.56,91.34,94.7,1036674
2004-01-27,96.53,100.0,95.33,99.19,1779589
2004-01-28,99.33,101.78,98.02,99.09,1740478
2004-01-29,99.11,101.07,96.67,99.76,2465805
2004-01-30,99.84,101.11,97.86,99.06,2368276
2004-02-03,99.44,99.67,91.0,93.47,2010193
2004-02-04,92.22,94.44,89.87,93.9,1196903
2004-02-05,94.88,98.2,94.04,95.24,2127475
2004-02-06,95.78,100.19,93.44,99.67,3024549
2004-02-09,100.22,103.42,100.22,102.87,2418517
2004-02-10,102.72,104.87,101.67,103.29,2288942
2004-02-11,103.56,104.19,101.8,103.5,962783
2004-02-12,104.0,106.6,103.38,106.08,2254143
2004-02-13,106.44,108.18,104.47,107.36,2506944
2004-02-16,107.53,109.14,105.8,106.4,1575059
2004-02-17,105.79,106.84,104.97,105.6,1293554
2004-02-18,106.07,107.76,105.59,106.07,1222996
2004-02-19,106.22,106.38,101.37,102.11,1455352
2004-02-20,101.78,104.32,101.78,103.46,1309489
2004-02-23,103.22,104.2,100.44,101.23,760394
2004-02-24,100.0,103.86,99.14,103.08,1415563
2004-02-25,103.54,103.54,98.78,99.24,849038
2004-02-26,99.56,101.07,96.26,97.22,1282893
2004-02-27,98.22,101.89,98.22,100.86,1056919
2004-03-01,101.13,105.83,101.13,105.39,1465431
2004-03-03,106.0,106.0,103.6,104.83,877293
2004-03-04,105.21,106.16,102.72,104.61,1032328
2004-03-05,105.0,111.3,104.22,110.79,2202346
