date,open,high,low,close,volume
2003-09-05,187.9,196.8,187.5,194.0,6597965
2003-09-08,197.85,198.0,194.15,194.95,3258416
2003-09-09,196.5,198.0,188.0,190.65,2551880
2003-09-10,190.0,194.45,188.2,193.45,1831610
2003-09-11,194.0,194.0,188.05,188.95,1965159
2003-09-12,190.0,190.8,184.1,184.75,2442791
2003-09-15,180.15,186.9,180.1,183.95,2054314
2003-09-16,184.0,189.75,182.0,187.35,3042829
2003-09-17,189.7,190.95,184.1,184.95,1630462
2003-09-18,185.0,185.5,177.0,178.4,2156131
2003-09-19,179.4,182.5,177.0,180.8,2586216
2003-09-22,181.9,183.5,173.5,174.3,3847635
2003-09-23,174.1,181.7,172.9,180.55,1886703
2003-09-24,181.15,186.0,178.0,184.9,2200090
2003-09-25,183.0,183.9,178.1,179.45,1595250
2003-09-26,183.05,183.05,178.05,182.2,1288348
2003-09-29,182.9,184.0,179.15,179.75,1339977
2003-09-30,181.0,184.4,179.0,183.75,2050731
2003-10-01,184.0,185.6,181.0,184.35,1653383
2003-10-03,185.0,191.9,185.0,190.9,3661481
2003-10-06,192.0,193.1,189.8,191.55,1661035
2003-10-07,191.2,192.35,189.0,189.95,1783036
2003-10-08,191.0,191.9,185.05,186.25,1714710
2003-10-09,188.65,189.8,187.05,188.75,1640616
2003-10-10,190.5,191.6,187.25,189.05,1369497
2003-10-13,190.8,192.0,187.5,189.25,2498509
2003-10-14,191.85,194.9,186.05,187.45,3982995
2003-10-15,187.0,191.0,184.8,189.85,2343954
2003-10-16,192.5,194.1,188.1,191.25,2251783
2003-10-17,190.45,196.45,184.6,195.25,4181168
2003-10-20,197.0,199.4,194.0,194.9,2693872
2003-10-21,195.0,196.65,187.75,188.75,2155104
2003-10-22,189.8,190.0,185.0,185.9,1923119
2003-10-23,185.5,186.5,182.0,182.65,1467056
2003-10-24,183.0,188.2,182.3,187.3,1751106
2003-10-25,190.4,190.4,187.1,187.9,346384
2003-10-27,187.85,187.85,180.0,180.55,2171154
2003-10-28,181.0,181.4,174.5,175.15,3241034
2003-10-29,176.9,178.1,174.1,176.75,2669955
2003-10-30,177.9,180.3,173.55,175.0,5161246
2003-10-31,176.15,177.75,173.0,174.35,3863880
2003-11-03,179.8,183.0,174.8,182.2,5725435
