date,open,high,low,close,volume
2003-09-05,32.91,33.36,32.74,33.25,970953
2003-09-08,33.27,33.71,32.95,33.1,750080
2003-09-09,33.27,33.59,32.85,32.96,1197141
2003-09-10,32.91,33.42,32.73,33.26,1250596
2003-09-11,33.13,34.5,33.13,33.68,1582627
2003-09-12,33.68,33.9,33.0,33.48,1309048
2003-09-15,32.36,34.0,32.36,33.29,1671225
2003-09-16,33.32,33.89,32.55,33.32,1444963
2003-09-17,33.55,34.54,33.1,34.07,2093431
2003-09-18,33.82,34.25,32.94,33.48,1427777
2003-09-19,33.65,34.36,32.91,33.95,1685649
2003-09-22,34.45,35.17,33.64,33.9,1231328
2003-09-23,33.98,35.22,33.42,34.96,1234948
2003-09-24,35.18,36.18,34.75,35.64,1349763
2003-09-25,36.36,36.36,34.55,34.71,1154371
2003-09-26,34.64,37.27,34.64,37.12,3240291
2003-09-29,37.23,37.81,36.73,36.89,1614298
2003-09-30,37.11,37.27,36.43,37.18,1035274
2003-10-01,37.21,37.53,36.82,37.16,1165152
2003-10-03,37.22,38.44,37.22,38.18,2651879
2003-10-06,38.19,38.87,38.1,38.7,1268227
2003-10-07,39.2,42.09,39.2,41.21,3087898
2003-10-08,41.27,41.44,39.75,40.55,1206635
2003-10-09,41.09,41.82,41.09,41.32,969976
2003-10-10,41.81,41.81,40.31,40.64,833973
2003-10-13,40.82,41.82,40.36,41.46,1038761
2003-10-14,42.18,42.89,41.0,41.29,1724461
2003-10-15,41.73,41.73,39.36,40.8,1209220
2003-10-16,41.27,41.64,40.48,40.95,1702396
2003-10-17,41.27,41.34,40.0,40.17,1697178
2003-10-20,40.36,40.8,39.14,39.55,876442
2003-10-21,39.62,39.91,38.19,38.55,888158
2003-10-22,38.81,39.78,38.18,39.43,1450882
2003-10-23,39.64,40.73,39.09,39.72,1619974
2003-10-24,40.09,40.89,39.5,40.75,1087596
2003-10-25,41.02,41.64,40.93,41.16,335910
2003-10-27,41.36,42.51,40.93,41.96,2088564
2003-10-28,41.86,41.86,40.91,41.39,736281
2003-10-29,41.13,41.76,40.57,41.3,746450
2003-10-30,40.91,42.18,40.91,41.75,731442
2003-10-31,41.89,45.45,41.82,44.91,2856472
2003-11-03,45.44,47.89,44.91,47.21,3297905
2003-11-04,47.27,48.78,46.0,46.91,2881663
2003-11-05,46.65,46.8,44.0,44.51,1986574
2003-11-06,44.36,45.45,43.29,43.72,1363773
2003-11-07,44.0,45.55,43.68,44.18,1557522
2003-11-10,43.64,44.36,42.55,43.73,388480
2003-11-11,44.01,45.62,44.01,45.14,1558186
2003-11-12,45.45,45.98,45.0,45.28,758362
