date,open,high,low,close,volume
2003-12-26,18.4,39.94,18.4,23.88,19844945
2003-12-29,24.87,28.66,24.02,28.6,15202564
2003-12-30,29.05,33.0,29.05,30.18,20250790
2003-12-31,30.54,31.86,29.02,29.61,13018852
2004-01-01,30.4,30.78,29.44,30.13,7461782
2004-01-02,30.38,30.48,29.41,29.63,5213083
2004-01-05,29.76,29.93,27.42,27.55,7137219
2004-01-06,27.74,27.74,24.43,24.78,8901377
2004-01-07,25.0,26.44,24.0,25.81,11126409
2004-01-08,26.34,26.87,26.1,26.54,4199049
2004-01-09,27.0,27.54,25.62,25.76,4151502
2004-01-12,25.92,25.94,25.01,25.21,3100098
2004-01-13,25.25,25.68,24.6,24.73,2640549
2004-01-14,24.82,25.27,24.62,24.72,1494830
2004-01-15,24.96,25.56,24.5,24.69,2884915
2004-01-16,24.78,24.8,22.84,22.96,2566511
2004-01-19,23.18,23.27,21.62,22.55,3025347
2004-01-20,22.76,23.8,22.1,22.29,2820082
2004-01-21,22.4,22.4,19.63,19.99,3545920
2004-01-22,20.02,20.76,19.34,19.7,3504049
2004-01-23,20.02,21.47,19.7,21.06,2832728
2004-01-27,21.6,22.0,21.04,21.88,1862064
2004-01-28,22.05,22.13,20.68,20.9,1649050
2004-01-29,21.0,21.0,20.4,20.54,1198830
2004-01-30,20.66,20.74,19.8,19.94,1055851
2004-02-03,20.14,20.14,18.15,18.34,1619599
2004-02-04,18.4,18.56,17.72,17.91,3351635
2004-02-05,18.0,19.11,17.91,18.14,3912520
2004-02-06,18.25,18.44,18.04,18.32,1639174
2004-02-09,18.48,18.6,18.3,18.5,1215269
2004-02-10,18.62,19.26,18.55,18.89,2711265
2004-02-11,19.06,19.1,18.62,18.8,1007016
2004-02-12,18.98,20.35,18.74,19.96,5896304
2004-02-13,20.2,20.85,19.86,20.57,4495119
2004-02-16,20.67,21.1,20.33,20.54,2770236
2004-02-17,20.7,20.7,20.12,20.22,1297252
2004-02-18,20.4,20.66,19.94,20.05,1520942
2004-02-19,20.13,20.33,19.31,19.37,1692186
2004-02-20,19.2,19.31,18.8,19.05,1610142
2004-02-23,19.2,19.28,18.38,18.45,886337
2004-02-24,18.4,18.5,18.11,18.37,1130600
2004-02-25,18.48,18.7,18.0,18.11,812035
2004-02-26,18.4,18.48,17.95,18.04,737425
2004-02-27,18.1,18.29,17.75,18.01,769623
2004-03-01,18.36,18.36,18.0,18.15,576925
2004-03-03,18.36,19.06,18.11,18.71,1914145
2004-03-04,18.8,19.18,18.27,18.36,1543911
2004-03-05,18.42,18.92,18.35,18.73,982384
2004-03-08,18.7,19.47,18.7,19.26,1816987
2004-03-09,19.3,19.35,18.51,18.63,1023264
2004-03-10,18.6,18.89,18.5,18.75,907511
2004-03-11,18.75,18.75,18.05,18.14,584304
2004-03-12,18.0,18.2,17.76,18.06,918193
2004-03-15,18.1,18.4,17.0,17.38,723643
2004-03-16,17.08,17.08,16.21,16.35,1114613
2004-03-17,16.56,16.6,16.24,16.35,640958
2004-03-18,16.78,16.78,16.05,16.13,672636
2004-03-19,16.24,16.24,15.52,15.62,860508
2004-03-22,15.7,15.78,14.62,14.72,914939
2004-03-23,14.7,14.7,13.62,14.03,1804419
2004-03-24,14.05,14.96,13.76,14.51,1851674
2004-03-25,14.8,15.32,14.52,15.04,1402760
2004-03-26,14.62,15.56,14.62,15.28,1060532
2004-03-29,15.4,16.12,15.3,15.88,1341304
2004-03-30,16.2,16.68,15.92,16.36,1371025
