date,open,high,low,close,volume
2005-05-17,7.72,8.53,7.35,7.48,14903521
2005-05-18,7.39,8.49,7.39,7.99,19488163
2005-05-19,8.11,8.41,8.06,8.13,5539907
2005-05-20,8.2,8.33,7.93,7.98,2708640
2005-05-23,8.15,8.29,7.72,7.84,1236874
2005-05-24,7.91,7.93,7.65,7.74,724895
2005-05-25,7.78,7.79,7.53,7.57,565169
2005-05-26,7.58,7.76,7.38,7.43,1112622
2005-05-27,7.47,8.02,7.46,7.72,2087256
2005-05-30,7.77,7.81,7.58,7.66,880414
2005-05-31,7.71,7.8,7.59,7.74,622174
2005-06-01,7.81,8.07,7.68,7.86,1981453
2005-06-02,7.94,7.94,7.72,7.75,520573
2005-06-03,7.8,7.81,7.66,7.7,390673
2005-06-04,7.76,7.83,7.69,7.77,216531
2005-06-06,7.81,8.08,7.78,7.93,699240
2005-06-07,7.96,8.0,7.81,7.93,405170
2005-06-08,7.93,8.76,7.92,8.58,5146812
2005-06-09,8.66,8.99,8.58,8.64,4173251
2005-06-10,8.7,8.73,8.29,8.53,1619653
2005-06-13,8.49,8.86,8.44,8.63,2005298
2005-06-14,8.66,9.0,8.44,8.75,1771244
2005-06-15,8.81,8.92,8.58,8.62,808163
2005-06-16,8.64,8.67,8.2,8.22,718887
2005-06-17,8.26,8.43,8.16,8.18,800361
2005-06-20,8.27,8.57,8.25,8.48,953805
2005-06-21,8.52,8.57,8.29,8.35,674081
2005-06-22,8.43,8.43,8.22,8.38,635805
2005-06-23,8.44,8.68,8.39,8.52,1195387
2005-06-24,8.46,8.72,8.25,8.62,736553
2005-06-27,8.62,8.72,8.27,8.36,560222
2005-06-28,8.39,8.41,8.24,8.28,291101
2005-06-29,8.25,8.37,8.22,8.25,136547
2005-06-30,8.3,8.33,8.2,8.25,263541
2005-07-01,8.34,8.34,8.05,8.15,234489
2005-07-04,8.15,8.29,7.93,8.08,273707
2005-07-05,8.05,8.33,8.05,8.12,429291
2005-07-06,8.21,8.34,8.05,8.18,375867
2005-07-07,8.22,8.31,7.97,8.01,237555
2005-07-08,8.15,8.22,8.05,8.15,214869
2005-07-11,8.3,8.73,8.25,8.34,1249506
2005-07-12,8.34,8.43,8.02,8.37,620726
2005-07-13,8.44,8.66,8.37,8.54,822395
2005-07-14,8.58,9.42,8.56,9.12,3877570
2005-07-15,9.25,9.43,9.01,9.06,1502822
2005-07-18,9.17,9.2,8.92,8.96,517434
2005-07-19,9.04,9.09,8.82,8.88,386434
2005-07-20,8.98,9.21,8.87,8.97,345540
2005-07-21,9.15,9.18,8.63,8.74,596088
2005-07-22,8.92,9.52,8.8,8.86,1474605
2005-07-25,8.92,9.04,8.44,8.47,858088
2005-07-26,8.63,8.63,8.29,8.39,321698
2005-07-27,8.49,8.49,8.38,8.41,162678
2005-07-29,8.43,8.73,7.77,8.42,422888
