date,open,high,low,close,volume
2019-07-04,590.0,669.0,590.0,650.98,7561613
2019-07-05,656.85,673.85,652.5,662.78,1404682
2019-07-08,656.0,684.35,649.55,673.73,462941
2019-07-09,670.0,676.85,660.85,663.8,175884
2019-07-10,664.9,668.55,660.8,662.63,63036
2019-07-11,669.0,669.0,661.73,662.53,79357
2019-07-12,662.5,670.0,622.5,651.6,195375
2019-07-15,650.0,661.5,630.0,634.5,55983
2019-07-16,637.43,637.98,625.0,626.23,54954
2019-07-17,628.4,647.63,623.18,642.05,101349
2019-07-18,637.5,637.5,631.0,632.5,35414
2019-07-19,635.98,636.45,612.5,612.98,45659
2019-07-22,614.85,614.85,595.0,603.98,28299
2019-07-23,607.5,616.48,601.95,605.25,39873
2019-07-24,605.5,614.95,605.0,608.78,30270
2019-07-25,610.0,630.5,605.5,624.83,39772
2019-07-26,622.48,642.3,602.5,611.4,17368
2019-07-29,608.5,612.48,600.0,602.83,14417
2019-07-30,605.45,620.03,594.0,612.13,35577
2019-07-31,612.0,612.0,595.5,601.85,22083
2019-08-01,630.0,637.93,600.0,608.68,295616
2019-08-02,614.5,621.0,597.03,614.75,187393
2019-08-05,612.5,612.53,592.0,595.05,47072
2019-08-06,594.0,604.25,592.75,596.65,23403
2019-08-07,603.5,603.5,596.0,599.98,101004
2019-08-08,598.5,600.98,551.48,585.03,42802
2019-08-09,587.5,599.0,577.38,585.15,21870
2019-08-13,592.0,593.5,576.03,580.13,38004
2019-08-14,587.38,587.38,553.28,566.3,18703
2019-08-16,565.0,585.0,557.4,574.95,21968
2019-08-19,575.13,590.0,573.98,588.23,27460
2019-08-20,592.0,597.48,577.6,582.75,12324
2019-08-21,586.98,586.98,570.0,573.98,6731
2019-08-22,573.98,580.0,555.0,575.15,16447
2019-08-23,575.0,580.0,565.03,576.35,7353
2019-08-26,589.95,589.95,575.0,580.15,14096
2019-08-27,588.35,592.5,580.0,587.03,28571
2019-08-28,585.0,590.0,574.05,579.65,10213
2019-08-29,581.93,603.2,572.63,593.9,41111
2019-08-30,585.63,604.93,565.15,600.03,44996
2019-09-03,599.98,605.0,580.0,600.03,15044
2019-09-04,606.95,625.0,596.55,610.18,57802
2019-09-05,617.35,624.95,608.65,618.08,123770
2019-09-06,619.98,741.68,618.5,723.6,273080
2019-09-09,731.68,857.5,725.05,805.35,686412
2019-09-11,801.5,835.95,791.13,800.15,251858
2019-09-12,807.5,825.0,770.5,808.98,97318
2019-09-13,814.95,832.5,793.98,811.75,100289
2019-09-16,811.75,832.5,800.0,825.1,49344
2019-09-17,825.0,861.0,820.05,845.95,129004
2019-09-18,853.5,891.7,849.95,872.68,131686
2019-09-19,875.5,889.65,790.55,814.73,145430
2019-09-20,824.98,869.95,801.53,842.33,103485
2019-09-23,845.0,861.98,835.23,850.35,98823
2019-09-24,850.98,946.1,846.0,928.95,186685
2019-09-25,940.0,985.0,921.55,937.73,113431
2019-09-26,942.5,972.43,939.65,952.18,48596
2019-09-27,962.5,970.0,938.5,946.18,40352
2019-09-30,958.5,958.5,882.63,884.53,33238
2019-10-01,890.0,920.7,882.63,894.28,39092
2019-10-03,899.75,946.5,868.63,931.93,31152
2019-10-04,951.98,969.35,940.0,959.7,34455
2019-10-07,950.0,965.0,936.03,960.03,15621
2019-10-09,966.5,1152.03,966.5,1132.03,289700
2019-10-10,1124.9,1149.5,1000.5,1098.33,113933
2019-10-11,1114.95,1139.0,1072.58,1082.08,49589
2019-10-14,1100.0,1120.0,1066.83,1081.58,36663
2019-10-15,1093.0,1102.53,1012.83,1046.48,71714
2019-10-16,1049.73,1049.73,1005.5,1009.5,43007
2019-10-17,1019.5,1067.0,980.0,1008.23,133268
2019-10-18,1013.0,1039.75,1000.0,1010.2,37760
2019-10-22,1019.0,1035.5,1005.0,1016.03,55187
2019-10-23,1040.0,1049.0,980.65,997.15,88432
2019-10-24,995.0,995.0,893.58,937.65,150959
2019-10-25,937.65,964.3,900.28,912.08,56930
2019-10-27,925.0,938.48,915.0,930.6,12104
2019-10-29,945.0,955.0,912.5,920.18,29806
2019-10-30,924.5,963.5,915.55,931.55,64453
2019-10-31,941.0,955.98,925.5,929.33,37892
2019-11-01,934.88,952.5,916.43,921.48,32627
2019-11-04,928.5,934.35,906.0,912.65,30047
2019-11-05,917.5,919.75,888.03,892.25,34593
2019-11-06,889.5,911.0,864.0,867.65,43537
2019-11-07,866.5,878.6,865.0,870.0,70575
2019-11-08,870.5,887.5,870.5,875.25,86142
2019-11-11,877.5,994.9,876.5,973.53,223031
2019-11-13,1006.05,1050.0,990.0,1000.7,173879
2019-11-14,1004.45,1031.0,963.0,992.68,64539
2019-11-15,999.98,1002.4,954.5,963.45,41437
2019-11-18,965.0,983.0,950.13,958.03,27453
2019-11-19,962.5,1012.5,962.5,1009.33,91626
2019-11-20,1015.48,1057.5,1015.48,1026.43,77035
2019-11-21,1036.68,1041.5,1026.0,1030.15,37995
2019-11-22,1040.0,1086.5,1028.0,1071.2,87331
2019-11-25,1079.88,1099.5,1048.0,1054.1,47436
2019-11-26,1055.0,1088.45,1054.58,1076.03,52343
2019-11-27,1086.1,1094.7,1067.5,1082.1,35740
2019-11-28,1085.0,1089.98,1074.88,1079.23,26617
2019-11-29,1078.3,1087.5,1071.7,1077.6,19111
2019-12-02,1080.0,1100.0,1075.0,1095.55,33720
2019-12-03,1094.0,1112.5,1076.65,1097.8,103524
2019-12-04,1094.0,1100.0,1062.53,1094.2,25358
2019-12-05,1094.2,1099.25,1077.5,1083.83,21297
2019-12-06,1085.0,1089.45,1057.53,1065.48,13654
2019-12-09,1050.68,1079.28,1040.0,1061.48,16220
2019-12-10,1081.95,1081.95,992.53,1002.1,42794
2019-12-11,1010.6,1025.0,990.03,1004.95,15127
2019-12-12,1025.0,1068.9,1012.78,1042.43,28566
2019-12-13,1045.0,1068.98,1040.33,1056.5,9962
2019-12-16,1041.0,1054.18,1000.0,1012.7,20895
2019-12-17,1019.93,1030.0,1002.8,1010.15,12185
2019-12-18,1018.6,1022.5,1007.5,1010.2,6981
2019-12-19,1012.28,1017.5,980.95,996.4,17055
2019-12-20,1000.0,1012.53,981.0,992.5,10967
2019-12-23,1027.5,1087.5,1014.0,1070.28,221410
2019-12-24,1077.2,1097.5,1030.0,1045.48,127544
2019-12-26,1036.0,1065.98,1033.15,1040.75,42233
2019-12-27,1044.5,1053.45,1030.0,1036.35,59933
2019-12-30,1035.0,1043.98,1025.5,1029.63,11899
2019-12-31,1041.95,1041.95,1029.0,1032.98,11629
2020-01-01,1035.0,1040.0,1022.5,1029.33,6972
2020-01-02,1031.5,1036.45,1018.98,1023.75,13594
2020-01-03,1023.78,1071.98,1021.53,1038.45,54320
2020-01-06,1040.0,1048.0,1007.5,1019.95,23094
2020-01-07,1022.5,1037.0,1013.5,1018.95,9975
2020-01-08,1015.0,1032.5,1000.5,1008.45,20219
2020-01-09,1017.5,1030.0,1000.0,1001.7,21770
2020-01-10,1010.0,1044.5,1008.0,1022.23,25266
2020-01-13,1030.0,1042.5,1020.03,1030.43,11629
2020-01-14,1031.33,1038.95,1003.55,1005.15,24658
2020-01-15,1009.4,1022.03,1005.03,1013.65,10833
2020-01-16,1015.23,1017.4,1002.5,1004.55,10036
2020-01-17,1012.5,1089.95,1000.85,1069.85,96945
2020-01-20,1097.45,1105.0,1055.5,1066.68,46419
2020-01-21,1050.0,1082.28,1030.6,1046.38,25896
2020-01-22,1116.5,1239.0,1116.5,1189.7,815728
2020-01-23,1204.0,1222.1,1158.25,1171.2,189035
2020-01-24,1175.0,1197.45,1163.28,1180.3,75672
2020-01-27,1180.3,1200.0,1151.4,1164.1,88530
2020-01-28,1175.0,1193.48,1156.0,1168.2,39524
2020-01-29,1175.0,1179.23,1160.0,1169.08,20585
2020-01-30,1174.5,1175.0,1141.55,1159.55,42039
2020-01-31,1174.5,1189.0,1152.5,1167.28,47390
2020-02-01,1177.5,1177.73,1135.0,1153.98,35043
2020-02-03,1135.5,1175.0,1111.0,1161.95,41528
2020-02-04,1159.0,1249.95,1153.25,1181.88,210467
2020-02-05,1193.5,1229.98,1190.03,1199.33,48150
2020-02-06,1199.33,1224.95,1197.5,1220.38,46145
2020-02-07,1225.0,1232.48,1202.78,1211.63,38006
2020-02-10,1216.5,1222.53,1195.03,1205.78,28805
2020-02-11,1207.0,1222.45,1176.3,1181.25,24981
2020-02-12,1182.5,1237.5,1172.5,1210.78,144932
2020-02-13,1218.05,1224.93,1200.0,1215.35,44955
2020-02-14,1220.0,1262.5,1216.53,1250.88,161616
2020-02-17,1260.0,1293.3,1215.33,1228.0,171848
2020-02-18,1225.0,1244.15,1182.38,1234.1,97499
2020-02-19,1240.15,1275.0,1230.78,1267.98,78896
2020-02-20,1287.45,1431.25,1275.0,1304.68,397297
2020-02-24,1308.0,1363.73,1300.03,1331.43,206450
2020-02-25,1348.0,1362.45,1275.0,1297.13,136227
2020-02-26,1294.0,1323.43,1264.43,1287.05,99805
2020-02-27,1293.0,1299.48,1166.0,1228.73,207452
2020-02-28,1177.5,1239.45,1157.78,1202.98,138856
2020-03-02,1249.5,1273.98,1185.0,1218.33,89500
2020-03-03,1249.0,1312.5,1235.3,1289.35,54090
2020-03-04,1307.5,1310.0,1217.45,1263.6,91103
2020-03-05,1263.0,1349.0,1253.15,1311.43,85919
2020-03-06,1255.0,1320.98,1230.8,1272.5,96850
2020-03-09,1250.0,1273.48,1160.0,1206.68,100538
2020-03-11,1190.0,1264.95,1176.03,1253.95,62452
2020-03-12,1192.5,1219.98,1115.0,1142.9,106962
2020-03-13,1110.0,1225.1,950.0,1191.75,83625
2020-03-16,1175.0,1175.0,1072.23,1150.25,104223
2020-03-17,1127.5,1165.0,1111.9,1133.15,82884
2020-03-18,1157.25,1159.98,980.0,1053.2,88752
2020-03-19,955.0,1052.5,935.0,996.85,74959
2020-03-20,975.53,1119.05,955.0,1106.58,55858
2020-03-23,950.0,1024.4,910.0,941.65,56761
2020-03-24,950.0,1049.5,890.0,946.18,59286
2020-03-25,945.0,969.98,820.53,872.0,65953
2020-03-26,862.5,985.0,850.0,928.45,68736
2020-03-27,985.0,992.0,905.5,923.43,45664
2020-03-30,901.0,962.25,887.5,921.83,52708
2020-03-31,950.0,979.5,935.0,968.2,30477
2020-04-01,955.0,1032.88,955.0,1012.18,84110
2020-04-03,1010.0,1032.98,987.5,999.93,34961
2020-04-07,1025.0,1090.0,1010.0,1082.03,67630
2020-04-08,1080.0,1145.0,1055.0,1103.88,47463
2020-04-09,1137.0,1137.48,1112.05,1123.0,24927
2020-04-13,1123.0,1134.95,1094.75,1100.18,35351
2020-04-15,1100.5,1126.45,1054.5,1059.3,84756
2020-04-16,1059.3,1109.3,1053.53,1095.43,24278
2020-04-17,1147.55,1150.0,1096.73,1119.05,33498
2020-04-20,1120.0,1134.98,1075.0,1107.43,38062
2020-04-21,1072.5,1105.0,1072.5,1099.4,36379
2020-04-22,1084.5,1159.5,1084.5,1135.23,34837
2020-04-23,1135.5,1142.15,1113.1,1118.9,11758
2020-04-24,1115.0,1132.0,1087.5,1094.4,17131
2020-04-27,1093.53,1137.5,1093.5,1115.25,42755
2020-04-28,1117.5,1130.0,1077.75,1118.68,30961
2020-04-29,1108.0,1144.5,1108.0,1130.63,43826
2020-04-30,1131.55,1144.5,1099.3,1123.78,54332
