date,open,high,low,close,volume
2003-09-05,66.38,66.48,64.56,65.59,1021124
2003-09-08,66.56,68.2,66.02,66.44,743449
2003-09-09,67.89,70.7,67.27,69.97,1413696
2003-09-10,68.83,68.83,66.47,67.24,831446
2003-09-11,65.63,67.45,65.47,66.01,705418
2003-09-12,68.36,68.36,64.69,65.03,838503
2003-09-15,64.77,65.81,62.66,63.11,760623
2003-09-16,62.99,66.28,62.72,65.77,814700
2003-09-17,67.11,68.7,67.11,67.63,1104652
2003-09-18,66.64,67.96,65.81,66.27,793056
2003-09-19,67.5,68.13,66.09,67.5,651000
2003-09-22,68.31,68.67,67.1,68.33,821557
2003-09-23,67.64,67.89,66.19,67.43,775020
2003-09-24,67.58,70.97,67.5,70.45,1074038
2003-09-25,67.42,70.94,67.42,70.43,949111
2003-09-26,70.16,71.48,69.39,71.12,786572
2003-09-29,71.41,71.52,69.57,69.91,785079
2003-09-30,71.06,71.37,70.19,70.75,681070
2003-10-01,70.3,72.17,70.03,71.47,722349
2003-10-03,72.38,72.63,71.01,71.25,596335
2003-10-06,71.58,72.1,57.97,71.39,524881
2003-10-07,71.69,71.92,69.43,69.9,461955
2003-10-08,70.31,70.59,67.74,68.58,802104
2003-10-09,69.14,70.47,68.22,69.49,799856
2003-10-10,73.44,74.06,69.92,72.34,1294913
2003-10-13,73.45,74.68,72.66,74.18,829883
2003-10-14,74.54,75.39,73.46,73.78,607290
2003-10-15,73.78,74.3,72.85,73.99,521646
2003-10-16,74.44,74.44,71.66,72.35,490718
2003-10-17,72.81,74.22,71.88,73.99,680292
2003-10-20,73.98,74.61,71.58,72.23,461344
2003-10-21,75.0,75.0,70.64,71.12,498822
2003-10-22,71.86,71.86,70.08,70.51,591003
2003-10-23,70.31,71.25,68.45,69.03,495188
2003-10-24,81.25,81.25,69.03,71.16,523484
2003-10-25,71.85,73.03,71.28,71.49,112352
2003-10-27,71.36,71.39,69.38,69.48,349091
2003-10-28,70.15,70.86,69.38,69.8,562025
2003-10-29,70.33,71.56,70.33,71.41,418429
2003-10-30,72.03,73.03,71.02,72.13,509946
2003-10-31,71.88,74.29,70.78,74.04,567955
2003-11-03,74.3,78.31,74.3,77.8,749801
2003-11-04,78.61,79.99,77.98,78.54,618320
2003-11-05,78.75,78.75,77.11,78.02,470144
2003-11-06,77.81,80.43,77.81,79.3,670704
2003-11-07,79.22,80.16,77.16,77.85,414246
2003-11-10,77.34,78.13,75.58,77.13,252106
2003-11-11,76.41,77.81,75.99,76.93,414088
2003-11-12,77.03,77.34,75.47,76.07,510305
2003-11-13,76.72,77.17,73.45,74.17,569345
2003-11-14,74.14,74.48,71.58,72.28,480439
2003-11-15,71.17,72.66,71.17,72.21,118926
2003-11-17,72.23,73.05,71.72,72.25,439201
2003-11-18,72.34,73.98,71.58,72.08,595592
2003-11-19,71.59,73.58,71.33,72.84,704199
2003-11-20,73.46,74.02,71.72,72.22,386869
2003-11-21,71.88,73.27,71.8,72.99,395993
2003-11-24,72.62,73.05,69.38,72.28,335924
2003-11-25,73.28,74.16,73.25,73.96,362053
2003-11-27,74.69,77.5,74.69,77.01,700170
2003-11-28,76.25,77.5,76.18,76.97,303237
2003-12-01,77.5,81.17,77.5,80.68,560330
2003-12-02,81.27,81.88,79.32,80.28,394633
2003-12-03,80.23,80.45,79.14,79.6,427915
2003-12-04,73.44,79.67,73.44,79.09,434897
2003-12-05,78.49,79.25,76.44,76.73,369657
2003-12-08,76.56,77.11,76.05,76.65,310648
2003-12-09,77.05,78.27,77.05,77.8,299072
2003-12-10,77.34,78.75,77.05,77.6,415721
2003-12-11,78.73,78.73,77.22,77.78,325825
2003-12-12,78.13,78.9,77.73,78.63,358639
2003-12-15,78.91,80.59,78.91,80.3,290862
2003-12-16,78.13,81.95,78.13,81.7,632989
2003-12-17,80.31,81.22,79.69,80.03,438254
2003-12-18,82.78,82.78,79.78,80.14,407241
2003-12-19,81.09,83.18,80.75,82.2,588371
2003-12-22,82.27,83.52,81.25,83.18,357879
2003-12-23,83.15,85.55,83.13,85.19,606571
2003-12-24,85.16,85.16,83.53,84.75,342761
2003-12-26,84.92,85.31,83.99,84.3,267119
