date,open,high,low,close,volume
2015-04-09,98.57,110.61,98.57,108.04,37276199
2015-04-10,108.9,111.39,106.83,108.33,4920286
2015-04-13,107.81,109.11,104.39,106.03,1636434
2015-04-15,106.03,114.44,104.12,108.22,4703486
2015-04-16,108.91,120.01,108.9,118.16,5612060
2015-04-17,117.15,121.84,114.91,116.78,3528516
2015-04-20,117.01,117.7,110.07,111.07,1418441
2015-04-21,111.73,113.11,107.59,108.63,1155631
2015-04-22,109.24,110.77,103.1,108.89,1177867
2015-04-23,109.66,112.32,106.98,107.53,823774
2015-04-24,108.02,108.31,102.27,103.6,752809
2015-04-27,104.31,106.34,99.21,102.9,1214104
2015-04-28,103.0,107.17,101.73,105.88,668062
2015-04-29,105.72,105.76,101.78,102.87,1125210
2015-04-30,102.59,105.67,102.55,105.07,525000
2015-05-04,105.15,107.6,104.24,106.63,323518
2015-05-05,105.51,106.46,103.34,104.28,212921
2015-05-06,104.13,104.13,98.6,99.79,387624
2015-05-07,99.07,102.1,98.82,100.09,367788
2015-05-08,101.04,104.73,101.04,102.95,357288
2015-05-11,103.01,109.02,103.01,107.1,522455
2015-05-12,107.44,107.75,103.75,104.38,319958
2015-05-13,105.72,113.1,105.67,111.42,1197426
2015-05-14,110.65,113.09,109.13,110.87,633351
2015-05-15,111.09,116.24,110.98,115.11,1116014
2015-05-18,118.88,118.9,109.69,110.57,1931454
2015-05-19,110.08,113.04,109.59,112.47,493880
2015-05-20,112.37,113.67,106.95,107.99,523768
2015-05-21,108.18,110.52,105.95,108.8,469992
2015-05-22,108.8,110.57,107.75,108.49,309097
2015-05-25,109.17,110.03,107.15,107.46,171174
2015-05-26,107.72,108.68,104.59,105.76,354564
2015-05-27,105.21,107.94,103.87,107.26,268430
2015-05-28,107.69,109.26,107.22,108.17,475036
2015-05-29,108.28,109.19,107.05,107.38,125541
2015-06-01,107.94,108.16,105.03,105.71,120112
2015-06-02,105.95,107.62,103.43,104.25,149221
2015-06-03,104.24,105.3,95.65,103.46,395358
2015-06-04,103.06,103.99,101.06,103.37,361777
2015-06-05,103.61,105.2,102.49,103.45,143022
2015-06-08,103.21,103.38,100.67,102.26,101058
2015-06-09,102.71,103.01,100.62,101.0,115158
2015-06-10,102.24,102.52,99.81,100.38,176276
2015-06-11,100.91,101.31,95.01,96.27,203821
2015-06-12,97.09,102.42,95.69,101.07,1000566
2015-06-15,101.51,103.93,99.41,101.86,327279
2015-06-16,101.25,102.49,101.06,101.52,86122
2015-06-17,102.29,103.01,101.28,101.95,214132
2015-06-18,102.18,105.45,101.9,103.27,373510
2015-06-19,104.24,106.8,102.52,105.66,724053
2015-06-22,106.85,108.06,105.0,105.63,239447
2015-06-23,106.53,106.93,104.35,105.07,141980
2015-06-24,104.49,106.85,98.71,101.64,203682
2015-06-25,101.28,105.47,101.28,104.93,176465
2015-06-26,105.24,107.44,104.64,105.62,214512
2015-06-29,101.42,105.51,101.42,104.29,130058
2015-06-30,105.45,106.21,103.75,104.22,113273
2015-07-01,104.49,106.29,104.03,104.89,110627
2015-07-02,108.18,111.13,106.71,107.41,402305
2015-07-03,106.48,111.88,106.48,109.18,467425
2015-07-06,107.94,114.71,107.47,114.36,533135
2015-07-07,115.43,116.39,113.01,114.06,427689
2015-07-08,112.62,113.78,108.43,109.85,234134
2015-07-09,110.38,113.08,109.66,110.44,169225
2015-07-10,111.14,111.88,109.91,111.38,85827
2015-07-13,110.92,114.84,110.92,114.21,164396
2015-07-14,115.33,115.48,111.63,112.1,139510
2015-07-15,113.0,113.33,110.91,111.68,98396
2015-07-16,112.13,112.37,110.19,110.61,66404
2015-07-17,110.2,112.35,109.67,109.96,146479
2015-07-20,110.54,111.14,109.42,110.25,55765
2015-07-21,110.77,110.91,105.46,106.26,129302
2015-07-22,107.35,108.68,106.21,107.53,171412
2015-07-23,108.17,108.18,105.34,106.08,77202
2015-07-24,106.46,109.34,103.13,104.08,276043
2015-07-27,104.08,108.43,104.08,107.69,498487
2015-07-28,108.64,108.65,102.52,102.96,657356
2015-07-29,103.5,104.24,100.46,102.02,568952
2015-07-30,102.49,103.75,101.05,101.91,140654
2015-07-31,103.24,103.5,102.02,102.92,227944
2015-08-03,103.53,103.53,101.78,102.16,101486
2015-08-04,103.01,103.01,100.96,101.35,140240
2015-08-05,102.27,103.67,101.53,102.43,155077
2015-08-06,102.52,103.01,101.65,101.97,108476
2015-08-07,102.21,102.48,99.41,100.16,176311
2015-08-10,101.04,101.12,95.37,96.16,258208
2015-08-11,96.82,100.05,96.0,98.65,175044
2015-08-12,98.57,99.99,96.11,96.45,94091
2015-08-13,96.45,98.08,91.53,92.34,265925
2015-08-14,93.62,99.57,92.42,98.44,351626
2015-08-17,98.92,98.94,96.03,97.54,88371
2015-08-18,98.08,99.3,96.95,98.12,82832
2015-08-19,98.56,99.73,97.34,98.75,100070
2015-08-20,98.66,100.9,96.4,97.19,91521
2015-08-21,96.31,96.31,93.71,95.16,134173
2015-08-24,93.27,93.27,82.86,84.39,162381
2015-08-25,85.27,88.28,77.64,85.45,310043
2015-08-26,85.02,86.74,82.7,84.6,193328
2015-08-27,85.76,88.72,85.2,87.71,121991
2015-08-28,89.69,97.05,88.22,88.47,278290
2015-08-31,89.15,90.93,88.22,90.21,56653
2015-09-01,89.92,95.62,88.73,92.24,298132
2015-09-02,94.56,94.89,92.68,93.68,104821
2015-09-03,95.11,95.97,93.64,94.21,86439
2015-09-04,94.14,94.63,91.18,92.93,71707
2015-09-07,92.91,93.89,88.99,89.82,64444
2015-09-08,90.21,92.41,88.65,91.75,98851
2015-09-09,93.45,99.26,92.19,96.69,413767
2015-09-10,95.07,95.07,92.44,93.77,94368
2015-09-11,94.63,95.91,91.97,92.51,80812
2015-09-14,92.98,94.33,91.72,92.71,373637
2015-09-15,92.66,93.64,91.2,92.03,301811
2015-09-16,92.28,93.15,91.7,92.66,110126
2015-09-18,93.64,93.64,91.43,91.66,54953
2015-09-21,89.47,91.67,89.47,91.07,50885
2015-09-22,91.43,92.66,89.25,89.57,59314
2015-09-23,88.72,89.65,87.77,88.14,81500
2015-09-24,88.9,89.44,87.24,88.09,56235
2015-09-28,87.24,91.16,85.51,86.03,72820
2015-09-29,85.28,87.43,84.06,85.39,148888
2015-09-30,85.31,89.28,84.6,88.42,345589
2015-10-01,89.8,89.95,87.22,87.88,281952
2015-10-05,88.72,89.95,88.1,89.06,51812
2015-10-06,89.21,91.55,86.25,90.56,1356910
2015-10-07,91.4,93.0,89.46,90.03,375799
2015-10-08,90.19,90.91,88.72,89.71,83243
2015-10-09,90.17,91.65,89.01,90.23,60535
2015-10-12,90.93,93.47,88.73,91.99,742301
2015-10-13,93.15,94.79,90.33,94.12,97914
2015-10-14,94.12,95.52,93.15,93.84,82390
2015-10-15,93.85,95.62,92.97,95.49,142968
2015-10-16,96.21,99.24,95.0,97.41,285428
2015-10-19,98.71,100.05,96.98,97.57,77713
2015-10-20,97.75,100.72,97.7,99.1,438106
2015-10-21,99.5,99.5,97.34,98.67,139439
2015-10-23,99.09,99.34,96.77,97.82,111097
2015-10-26,98.33,101.38,93.93,96.0,912233
2015-10-27,98.3,100.05,97.61,99.41,494638
2015-10-28,100.25,100.42,98.17,98.94,230150
2015-10-29,99.08,99.68,97.4,98.92,91862
2015-10-30,98.86,99.3,96.18,97.83,107791
2015-11-02,97.46,98.33,95.67,96.08,102866
2015-11-03,97.34,97.34,94.63,95.76,139342
2015-11-04,96.47,97.32,94.89,95.69,73257
2015-11-05,95.86,96.1,94.26,94.58,45685
2015-11-06,95.62,96.11,92.66,93.07,37342
2015-11-09,89.95,94.14,89.95,90.92,135409
2015-11-10,90.93,92.26,90.07,90.53,53324
2015-11-11,93.35,93.35,91.59,92.24,44283
2015-11-13,91.23,92.41,88.35,88.67,168955
2015-11-16,89.94,91.13,88.99,90.17,207910
2015-11-17,90.69,91.16,89.33,89.75,57277
2015-11-18,90.06,90.38,87.93,88.63,74311
2015-11-19,88.74,92.49,88.74,91.09,173819
2015-11-20,90.93,92.17,89.48,90.28,72622
2015-11-23,91.6,91.6,88.97,90.08,30690
2015-11-24,90.44,90.91,88.99,90.32,56183
2015-11-26,90.8,90.8,88.57,88.83,75466
2015-11-27,89.7,89.7,88.22,89.06,157518
2015-11-30,88.96,89.75,88.54,89.07,84466
2015-12-01,89.92,90.44,88.65,89.49,114519
2015-12-02,89.57,90.19,88.97,89.31,43642
2015-12-03,89.21,90.19,88.4,88.91,69833
2015-12-04,88.72,89.12,87.68,88.17,92647
2015-12-07,89.54,90.93,87.68,87.95,115452
2015-12-08,87.74,88.58,85.82,86.15,67423
2015-12-09,86.0,86.74,83.79,85.75,99643
2015-12-10,87.11,87.47,85.86,86.4,89791
2015-12-11,86.99,86.99,83.89,84.35,63568
2015-12-14,85.76,85.76,83.8,84.27,38589
2015-12-15,84.53,87.21,84.53,85.88,90417
2015-12-16,86.74,87.83,86.07,86.68,60857
2015-12-17,87.22,88.32,85.96,86.69,241100
2015-12-18,86.57,87.67,86.28,86.81,144061
2015-12-21,86.74,91.23,86.74,90.21,112100
2015-12-22,91.43,91.49,88.37,88.7,114654
2015-12-23,89.46,93.27,89.1,90.01,270792
2015-12-24,90.35,91.67,89.85,90.13,87500
2015-12-28,89.95,91.36,89.46,89.84,98802
2015-12-29,89.95,90.29,88.25,88.65,75083
2015-12-30,88.72,90.17,88.47,88.93,77634
2015-12-31,89.8,89.8,88.22,88.6,46341
2016-01-01,89.33,89.43,88.37,88.69,69435
2016-01-04,88.96,89.02,87.56,88.62,92958
2016-01-05,88.47,89.09,87.85,88.51,88295
2016-01-06,89.21,91.13,89.21,89.76,147153
2016-01-07,89.46,89.46,85.94,86.13,89895
2016-01-08,87.48,88.22,86.25,86.83,35551
2016-01-11,86.21,86.5,85.04,85.33,37486
2016-01-12,86.13,86.18,84.03,85.55,110246
2016-01-13,85.88,86.97,81.82,84.16,92720
2016-01-14,83.29,83.29,81.32,81.88,96280
2016-01-15,82.32,82.86,77.65,78.67,50860
2016-01-18,80.34,80.34,73.94,76.74,255981
2016-01-19,76.04,79.84,75.16,79.47,227195
2016-01-20,79.52,80.09,75.41,79.01,238622
2016-01-21,79.84,80.97,75.68,77.11,463733
2016-01-22,79.31,79.31,76.15,76.37,270211
2016-01-25,77.86,78.11,75.46,75.9,64711
2016-01-27,76.26,78.37,75.78,78.09,69767
2016-01-28,77.87,78.98,76.54,78.25,50490
2016-01-29,77.87,78.61,77.29,78.09,113395
2016-02-01,78.37,79.1,76.25,76.41,120419
2016-02-02,77.12,77.75,73.81,74.55,107687
2016-02-03,73.93,74.67,72.13,72.59,185000
2016-02-04,73.19,74.64,70.11,70.73,302999
2016-02-05,70.74,73.66,70.73,72.62,290095
2016-02-08,73.17,73.18,66.78,67.51,909670
2016-02-09,67.15,68.91,65.55,66.44,385170
2016-02-10,66.44,67.03,61.71,63.26,250898
2016-02-11,62.69,62.69,58.81,60.14,331549
2016-02-12,60.38,61.58,58.22,60.45,273764
2016-02-15,62.35,62.72,60.5,61.26,164723
2016-02-16,61.47,61.83,56.52,57.25,409101
2016-02-17,57.31,58.16,53.36,57.17,944391
2016-02-18,57.31,59.83,54.23,56.04,225199
2016-02-19,55.45,58.28,54.79,57.3,120985
2016-02-22,58.64,60.08,57.18,58.39,244351
2016-02-23,58.77,59.01,55.84,56.52,105407
2016-02-24,56.58,56.68,55.32,55.99,59294
2016-02-25,56.2,56.68,54.23,54.84,216435
2016-02-26,55.46,55.92,53.25,53.89,118297
2016-02-29,55.68,56.43,53.24,53.92,85191
2016-03-01,52.98,57.91,52.98,57.11,328045
2016-03-02,57.91,60.38,57.42,58.74,303197
2016-03-03,58.9,70.48,58.9,70.06,1319225
2016-03-04,69.72,75.73,66.25,72.93,1349260
2016-03-08,71.47,75.63,70.46,71.11,558713
2016-03-09,70.65,72.18,68.63,69.56,250242
2016-03-10,69.99,70.92,66.04,66.61,240589
2016-03-11,66.78,67.45,63.09,63.7,354716
2016-03-14,64.81,64.97,60.06,62.25,481817
2016-03-15,62.17,65.22,61.88,62.25,513659
2016-03-16,62.84,66.04,61.3,65.54,557821
2016-03-17,66.54,67.66,65.14,65.43,281244
2016-03-18,65.6,67.15,65.19,65.8,196172
2016-03-21,65.8,67.52,65.8,66.88,138263
2016-03-22,66.78,67.77,66.3,66.99,495587
2016-03-23,66.56,67.28,65.58,65.9,85457
2016-03-28,66.54,67.04,63.09,63.57,118215
2016-03-29,63.58,65.18,61.71,62.01,182797
2016-03-30,62.84,64.97,62.84,64.6,202831
2016-03-31,64.57,65.0,62.84,63.88,418184
2016-04-01,64.07,66.02,63.83,65.79,195096
2016-04-04,65.8,66.52,63.62,63.97,81313
2016-04-05,64.06,64.06,60.39,60.65,242628
2016-04-06,61.58,62.54,60.62,61.0,122461
2016-04-07,61.12,61.88,60.75,61.05,104078
2016-04-08,61.29,61.55,60.13,60.3,84993
2016-04-11,60.99,61.1,59.53,60.31,100755
2016-04-12,61.24,63.16,60.4,62.34,637293
2016-04-13,62.84,63.9,62.22,62.77,336481
2016-04-18,62.61,64.43,62.1,62.85,469428
2016-04-20,63.58,70.85,63.33,67.76,1145799
2016-04-21,68.11,69.2,66.78,67.17,458686
2016-04-22,67.15,67.92,65.8,66.51,106507
2016-04-25,66.52,68.47,66.29,66.77,206105
2016-04-26,66.65,67.34,64.82,65.22,142673
2016-04-27,65.5,69.47,65.4,66.48,716137
2016-04-28,66.81,69.69,66.07,66.4,519482
2016-04-29,66.75,68.09,65.58,66.98,392148
2016-05-02,67.03,72.06,67.03,71.13,1246362
2016-05-03,71.19,71.96,69.49,69.72,391234
2016-05-04,69.84,71.93,68.32,70.11,281369
2016-05-05,70.23,72.5,70.23,71.82,441319
2016-05-06,71.95,72.7,57.58,59.53,5714308
2016-05-09,61.12,64.41,60.66,61.6,3457564
2016-05-10,61.83,62.93,59.51,59.82,907612
2016-05-11,59.14,59.56,57.27,57.59,670067
2016-05-12,58.11,59.35,57.3,58.34,597273
2016-05-13,58.63,59.88,57.79,59.12,379698
2016-05-16,59.44,60.54,58.97,60.29,564522
2016-05-17,60.43,62.05,60.1,60.38,343990
2016-05-18,60.13,60.13,58.32,59.03,315488
2016-05-19,59.24,60.23,58.16,58.42,394537
2016-05-20,58.9,59.12,56.94,57.27,252615
2016-05-23,57.83,58.23,57.15,57.91,195776
2016-05-24,57.75,58.27,56.93,57.09,156122
2016-05-25,57.53,57.86,55.89,56.15,253789
2016-05-26,56.56,57.1,55.71,56.32,220472
