date,open,high,low,close,volume
2014-12-18,64.87,68.1,64.87,68.1,887525
2014-12-19,71.47,71.47,71.47,71.47,60516
2014-12-22,75.03,75.03,69.51,70.82,7565327
2014-12-23,71.19,74.33,67.31,68.01,17777954
2014-12-24,67.49,71.38,66.7,71.38,847898
2014-12-26,74.94,74.94,73.54,74.94,877258
2014-12-29,76.77,78.17,74.0,75.08,813426
2014-12-30,75.5,75.5,71.71,73.21,500111
2014-12-31,73.68,76.86,73.68,76.86,813237
2015-01-01,78.69,80.7,78.31,80.7,556979
2015-01-02,83.47,88.95,82.72,83.32,3443300
2015-01-05,84.03,87.54,82.76,85.85,2042183
2015-01-06,84.21,84.82,80.56,80.84,1677334
2015-01-07,81.45,84.92,80.0,83.79,1753030
2015-01-08,85.15,94.14,83.51,90.77,6383300
2015-01-09,91.71,108.9,91.43,108.38,12384277
2015-01-12,110.54,125.9,106.23,121.73,17485970
2015-01-13,118.87,122.9,110.87,113.25,7496775
2015-01-14,114.28,116.86,107.21,110.21,3273143
2015-01-15,111.71,116.58,108.99,112.36,2757082
2015-01-16,111.57,120.56,109.93,118.92,4167583
2015-01-19,119.76,122.62,116.3,117.05,1653672
2015-01-20,117.1,117.75,111.94,113.54,1143884
2015-01-21,113.58,115.83,109.6,110.44,1090967
2015-01-22,110.96,114.24,109.13,109.69,1135497
2015-01-23,111.47,112.04,102.86,104.21,1194355
2015-01-27,105.01,114.61,99.48,114.61,1917741
2015-01-28,116.77,118.97,106.46,107.68,2160614
2015-01-29,107.54,112.6,106.37,107.73,1449995
2015-01-30,108.99,110.26,99.86,101.73,1522538
2015-02-02,103.04,111.9,101.45,111.15,2508274
2015-02-03,111.94,113.02,106.6,109.27,1053927
2015-02-04,110.07,112.27,106.79,107.91,1209673
2015-02-05,108.62,113.35,106.09,107.49,1666877
2015-02-06,108.52,109.84,105.39,106.04,1082292
2015-02-09,104.92,107.12,100.8,101.26,682655
2015-02-10,100.23,104.82,97.19,97.94,786834
2015-02-11,99.02,101.08,92.13,94.38,1574190
2015-02-12,94.61,100.23,94.61,98.78,1209151
2015-02-13,99.67,103.79,98.92,100.28,994461
2015-02-16,100.94,103.61,99.39,100.23,779597
2015-02-18,101.12,102.39,98.36,98.97,775607
2015-02-19,98.97,108.57,98.5,107.02,2444722
2015-02-20,106.7,110.91,103.51,106.42,2026139
2015-02-23,107.31,110.54,105.01,105.9,1055318
2015-02-24,105.9,108.57,102.2,103.65,684039
2015-02-25,103.84,105.48,102.2,103.84,747798
2015-02-26,104.12,104.12,98.73,99.48,698947
2015-02-27,99.48,102.43,99.3,100.56,487210
2015-02-28,100.37,103.84,96.86,101.97,650337
2015-03-02,102.2,114.0,99.67,112.46,2816800
2015-03-03,112.55,116.06,109.23,112.08,2028873
2015-03-04,113.3,114.19,105.9,106.56,795523
2015-03-05,106.6,109.79,105.43,107.87,742828
