date,open,high,low,close,volume
2002-01-01,4.02,4.05,3.9,3.92,8830
2002-01-02,3.98,3.98,3.85,3.88,2956
2002-01-03,3.9,3.98,3.9,3.96,1935
2002-01-04,3.91,4.03,3.9,3.93,4280
2002-01-07,3.86,4.2,3.86,4.09,4173
2002-01-08,4.07,4.12,4.0,4.01,3600
2002-01-09,3.97,4.03,3.89,3.91,3380
2002-01-10,3.95,3.97,3.86,3.91,3450
2002-01-11,3.95,3.95,3.81,3.85,5554
2002-01-14,4.0,4.05,3.95,4.03,5024
2002-01-15,4.02,4.07,3.98,4.01,5634
2002-01-16,4.05,4.05,3.98,4.01,4711
2002-01-17,4.0,4.1,3.95,4.03,5644
2002-01-18,3.97,4.08,3.95,3.97,4128
2002-01-21,4.08,4.08,4.01,4.05,1997
2002-01-22,4.08,4.08,3.95,3.99,4989
2002-01-23,4.03,4.04,3.95,3.97,3615
2002-01-24,4.0,4.05,3.98,3.99,2265
2002-01-25,4.0,4.22,3.98,4.18,11557
2002-01-28,4.2,4.34,4.18,4.2,7692
2002-01-29,4.23,4.3,4.23,4.27,7545
2002-01-30,4.23,4.29,4.22,4.26,6390
2002-01-31,4.53,4.73,4.35,4.39,22588
2002-02-01,4.5,4.55,4.38,4.42,19141
2002-02-04,4.48,4.51,4.44,4.47,10356
2002-02-05,4.43,4.45,4.4,4.44,5484
2002-02-06,4.5,4.55,4.45,4.51,12912
2002-02-07,4.5,4.57,4.41,4.52,13826
2002-02-08,4.55,4.71,4.51,4.67,20938
2002-02-11,4.75,4.8,4.66,4.68,13255
2002-02-12,4.75,4.75,4.61,4.64,10192
2002-02-13,4.64,4.69,4.6,4.65,11881
2002-02-14,4.7,4.73,4.68,4.68,9789
2002-02-15,4.58,4.77,4.58,4.75,13135
2002-02-18,4.8,4.96,4.8,4.83,20998
2002-02-19,4.8,4.85,4.67,4.72,15145
2002-02-20,4.68,4.74,4.66,4.69,6165
2002-02-21,4.78,5.03,4.75,4.93,49464
2002-02-22,5.05,5.05,4.81,4.93,11010
2002-02-25,5.0,5.23,4.95,5.1,46257
2002-02-26,5.2,5.25,5.1,5.14,32474
2002-02-27,5.25,5.25,5.01,5.14,37839
2002-02-28,5.15,5.15,4.4,4.53,32959
2002-03-01,4.5,4.75,4.5,4.72,15139
2002-03-04,5.12,5.12,4.85,5.06,26902
2002-03-05,5.11,5.2,5.0,5.01,16031
2002-03-06,4.91,5.03,4.91,5.0,14513
2002-03-07,4.95,5.03,4.95,4.98,21269
2002-03-08,5.0,5.15,4.93,4.93,20122
2002-03-11,5.05,5.05,4.8,4.81,6241
2002-03-12,4.95,4.95,4.71,4.75,12180
2002-03-13,4.65,4.8,4.61,4.77,7321
2002-03-14,4.7,4.83,4.7,4.75,6335
2002-03-15,4.78,4.88,4.75,4.83,7415
2002-03-18,4.84,4.95,4.8,4.81,7860
2002-03-19,4.83,4.87,4.75,4.77,9956
2002-03-20,4.75,4.75,4.68,4.72,5480
2002-03-21,5.0,5.0,4.7,4.72,4876
2002-03-22,4.68,4.74,4.66,4.68,5424
2002-03-26,4.64,4.68,4.56,4.6,5721
2002-03-27,4.58,4.65,4.58,4.62,3265
2002-03-28,4.6,4.71,4.6,4.66,5075
2002-04-01,4.65,4.79,4.64,4.72,4711
2002-04-02,4.7,4.7,4.63,4.66,2905
2002-04-03,4.65,4.65,4.57,4.65,5170
2002-04-04,4.7,4.9,4.7,4.82,10443
2002-04-05,4.8,5.06,4.8,4.98,23024
2002-04-08,5.05,5.48,5.05,5.39,67893
2002-04-09,5.5,5.58,5.25,5.28,41503
2002-04-10,5.34,5.55,5.18,5.43,50311
2002-04-11,5.45,5.87,5.45,5.8,77523
2002-04-12,5.75,6.58,5.75,6.5,141485
2002-04-15,6.62,6.73,6.21,6.4,76113
2002-04-16,6.42,6.43,6.08,6.18,25498
2002-04-17,6.25,6.4,6.1,6.13,18179
2002-04-18,6.23,6.24,5.96,6.0,11445
2002-04-19,6.01,6.14,5.9,5.94,18385
2002-04-22,6.0,6.33,5.95,6.2,20833
2002-04-23,6.35,6.35,6.05,6.08,23294
2002-04-24,6.15,6.35,6.1,6.22,17745
2002-04-25,6.25,6.3,6.08,6.12,14256
2002-04-26,6.13,6.21,6.05,6.1,6089
2002-04-29,6.19,6.19,6.0,6.01,5326
2002-04-30,5.95,6.14,5.91,5.96,9074
2002-05-02,6.2,6.22,5.95,6.05,4795
2002-05-03,6.0,6.15,5.93,6.11,6915
2002-05-06,6.3,6.45,6.26,6.32,25824
2002-05-07,6.44,6.44,6.3,6.33,13300
2002-05-08,6.3,6.35,6.21,6.23,11960
2002-05-09,6.35,6.35,6.12,6.19,5098
2002-05-10,6.2,6.2,6.1,6.11,3562
2002-05-13,6.25,6.25,6.06,6.07,6138
2002-05-14,6.01,6.07,5.97,5.98,2812
2002-05-15,5.95,5.98,5.82,5.86,4529
2002-05-16,5.66,5.8,5.6,5.76,6491
2002-05-17,5.75,6.26,5.62,5.89,35284
2002-05-20,6.24,6.24,5.15,5.31,15105
2002-05-21,5.06,5.14,4.91,5.02,17252
2002-05-22,5.08,5.24,4.99,5.03,8708
2002-05-23,4.86,5.15,4.7,4.75,21141
2002-05-24,5.0,5.3,4.95,5.25,22429
2002-05-27,5.31,5.37,5.2,5.34,11130
2002-05-28,5.16,5.22,5.01,5.06,5552
2002-05-29,5.2,5.97,5.2,5.87,61725
2002-05-30,5.95,6.25,5.46,5.54,47349
2002-05-31,5.64,5.64,5.5,5.57,10510
2002-06-03,5.77,6.25,5.77,6.17,65481
2002-06-04,6.25,6.43,6.1,6.16,46971
2002-06-05,6.29,6.35,6.17,6.29,20616
2002-06-06,6.4,6.4,6.05,6.26,17611
2002-06-07,6.2,6.36,6.0,6.3,33461
2002-06-10,6.4,6.72,6.4,6.51,85214
2002-06-11,6.7,6.9,6.53,6.71,134702
2002-06-12,6.95,6.95,6.35,6.44,98153
2002-06-13,6.63,6.7,6.45,6.48,45476
2002-06-14,6.6,6.6,6.36,6.37,26845
2002-06-17,7.0,7.0,6.4,6.43,17840
2002-06-18,6.5,6.6,6.39,6.4,26077
2002-06-19,6.45,6.63,6.3,6.56,26117
2002-06-20,6.58,6.63,6.42,6.56,15837
2002-06-21,6.64,6.64,6.35,6.4,5800
2002-06-24,6.29,6.45,6.25,6.29,6208
2002-06-25,6.26,6.55,6.2,6.5,12839
2002-06-26,6.36,6.48,6.33,6.36,10125
2002-06-27,6.35,6.47,6.28,6.42,4430
2002-06-28,6.42,6.55,6.38,6.42,10587
2002-07-01,5.55,6.47,5.55,6.34,6722
2002-07-02,6.41,6.75,6.41,6.57,51324
2002-07-03,6.65,6.74,6.58,6.69,35745
2002-07-04,6.7,7.35,6.7,7.22,151720
2002-07-05,7.35,7.48,7.1,7.15,72741
2002-07-08,7.2,7.25,6.81,6.95,32240
2002-07-09,7.0,7.0,6.91,6.93,17023
2002-07-10,6.83,7.34,6.83,7.1,60822
2002-07-11,7.24,7.3,7.06,7.14,45690
2002-07-12,7.25,7.35,7.16,7.23,62881
2002-07-15,7.35,7.49,7.05,7.18,30938
2002-07-16,7.2,7.33,7.01,7.08,26117
2002-07-17,6.99,7.12,6.93,6.96,18146
2002-07-18,7.45,7.5,6.93,7.13,15861
2002-07-19,7.3,7.51,7.19,7.28,106758
2002-07-22,7.37,7.6,7.05,7.15,115363
2002-07-23,6.8,7.65,6.8,7.54,89254
2002-07-24,7.05,7.6,7.05,7.3,38393
2002-07-25,7.55,7.57,7.2,7.25,25911
2002-07-26,7.1,7.22,6.91,6.97,24819
2002-07-29,7.01,7.1,6.51,6.65,21978
2002-07-30,6.76,6.85,6.35,6.54,18914
2002-07-31,6.4,6.66,6.2,6.52,26582
2002-08-01,6.55,6.73,6.46,6.52,15841
2002-08-02,6.54,6.58,6.32,6.5,13720
2002-08-05,6.6,6.63,6.41,6.48,47017
2002-08-06,6.45,6.56,6.37,6.4,21991
2002-08-07,6.5,6.62,6.49,6.54,31195
2002-08-08,6.51,6.58,6.33,6.4,20516
2002-08-09,6.4,6.43,6.26,6.33,15837
2002-08-12,6.35,6.48,6.31,6.43,5778
2002-08-13,6.48,6.73,6.45,6.69,15183
2002-08-14,6.75,6.85,6.65,6.74,17651
2002-08-16,6.8,6.9,6.75,6.76,5756
2002-08-19,6.65,6.75,6.65,6.71,3502
2002-08-20,6.7,6.82,6.68,6.81,17778
2002-08-21,6.48,6.58,6.48,6.5,6852
2002-08-22,6.59,6.59,6.45,6.48,5213
2002-08-23,6.45,6.5,6.43,6.44,5002
2002-08-26,6.5,6.5,6.4,6.46,5801
2002-08-27,6.5,6.5,6.4,6.41,3092
2002-08-28,5.75,6.55,5.75,6.47,8133
2002-08-29,6.44,6.45,6.4,6.43,1716
2002-08-30,6.44,6.5,6.42,6.48,2640
2002-09-02,6.43,6.58,6.43,6.51,5944
2002-09-03,6.57,6.75,6.46,6.5,12878
2002-09-04,6.45,6.52,6.43,6.5,2717
2002-09-05,6.49,6.55,6.46,6.49,2517
2002-09-06,6.42,6.51,6.37,6.41,5132
2002-09-09,6.35,6.4,6.14,6.29,3588
2002-09-11,6.29,6.3,6.17,6.22,3125
2002-09-12,6.33,6.33,6.14,6.15,4648
2002-09-13,6.16,6.19,6.11,6.16,6542
2002-09-16,6.2,6.25,5.8,5.9,23425
2002-09-17,5.87,6.05,5.85,5.97,6278
2002-09-18,5.95,5.98,5.88,5.9,1755
2002-09-19,5.9,5.94,5.79,5.89,2810
2002-09-20,5.57,5.93,5.56,5.89,2103
2002-09-23,5.9,6.1,5.9,6.01,2400
2002-09-24,6.0,6.0,5.8,5.84,8015
2002-09-25,5.56,5.76,5.56,5.58,7306
2002-09-26,5.58,5.99,5.58,5.7,8947
2002-09-27,5.7,5.75,5.7,5.73,3143
2002-09-30,5.89,5.9,5.76,5.77,7736
2002-10-01,5.73,5.8,5.64,5.75,6385
2002-10-03,5.94,5.98,5.85,5.91,7308
2002-10-04,5.88,6.1,5.85,6.01,5030
2002-10-07,6.11,6.34,6.0,6.26,8456
2002-10-08,6.24,6.29,6.18,6.19,3802
2002-10-09,6.18,6.3,6.15,6.25,9004
2002-10-10,6.16,6.23,6.15,6.22,4896
2002-10-11,6.9,6.9,6.21,6.25,5867
2002-10-14,6.23,6.35,6.23,6.29,4396
2002-10-16,6.26,6.5,6.26,6.42,10939
2002-10-17,6.42,6.59,6.32,6.5,7809
2002-10-18,6.55,6.78,6.53,6.73,10032
2002-10-21,6.7,6.93,6.68,6.82,24589
2002-10-22,6.73,6.8,6.56,6.62,11074
2002-10-23,6.63,6.75,6.62,6.64,8845
2002-10-24,6.74,6.87,6.56,6.83,34543
2002-10-25,6.95,7.2,6.9,6.96,50918
2002-10-28,6.93,7.0,6.83,6.86,12701
