date,open,high,low,close,volume
2008-02-25,9.75,10.0,8.4,9.48,22521617
2008-02-26,9.83,9.83,9.13,9.25,5365516
2008-02-27,9.49,10.54,9.27,10.19,14738869
2008-02-28,10.15,10.7,10.04,10.26,7811243
2008-02-29,10.0,10.33,9.6,9.68,2006405
2008-03-03,9.55,10.19,9.21,9.68,3412517
2008-03-04,9.75,10.2,9.45,9.84,2293406
2008-03-05,9.85,10.06,9.76,9.82,1106293
2008-03-07,9.75,10.2,9.1,9.94,1849094
2008-03-10,9.85,9.95,9.26,9.59,1267839
2008-03-11,9.5,9.94,9.45,9.73,1159618
2008-03-12,9.8,10.0,9.6,9.63,612383
2008-03-13,9.48,9.84,9.26,9.29,525153
2008-03-14,9.5,9.6,9.18,9.24,368654
2008-03-17,8.9,9.28,8.76,9.05,230166
2008-03-18,9.23,9.23,8.8,8.9,120132
2008-03-19,9.11,9.3,9.0,9.19,253222
2008-03-24,9.01,9.1,8.03,8.29,301849
2008-03-25,8.4,8.88,8.28,8.62,379831
2008-03-26,8.82,8.98,8.2,8.64,225317
2008-03-27,8.56,9.17,8.4,8.97,1032760
2008-03-28,9.1,9.25,8.76,8.89,313421
2008-03-31,8.73,9.08,8.11,8.47,800785
2008-04-01,8.56,8.74,8.38,8.4,183793
2008-04-02,8.68,8.75,8.16,8.31,292969
2008-04-03,8.2,8.6,8.2,8.4,205223
2008-04-04,8.43,8.75,8.3,8.52,418715
2008-04-07,8.55,8.97,8.4,8.84,291944
2008-04-08,8.9,9.5,8.66,8.79,536300
2008-04-09,8.75,8.99,8.61,8.8,89990
2008-04-10,8.85,9.07,8.75,8.83,174236
2008-04-11,8.91,9.2,8.76,9.14,288231
2008-04-15,9.0,9.65,8.89,9.56,366569
2008-04-16,9.66,10.98,9.66,10.45,2667624
2008-04-17,10.65,10.7,10.02,10.19,890512
2008-04-21,10.32,10.75,10.16,10.45,409318
2008-04-22,10.57,10.9,10.35,10.56,654828
2008-04-23,10.55,10.79,10.41,10.53,459156
2008-04-24,10.85,10.85,9.83,10.13,880442
2008-04-25,10.2,10.3,9.89,10.03,162735
2008-04-28,10.1,10.72,9.76,10.63,872541
2008-04-29,10.6,11.1,10.51,10.65,1463722
2008-04-30,10.7,11.09,10.6,10.66,1128671
2008-05-02,10.8,10.95,10.73,10.77,603873
2008-05-05,10.8,11.0,10.6,10.65,529050
2008-05-06,10.67,10.75,10.13,10.5,329077
2008-05-07,10.65,10.93,10.38,10.44,747999
2008-05-08,10.26,10.67,10.1,10.54,388227
2008-05-09,10.53,10.54,9.92,10.08,195220
2008-05-12,10.16,10.22,9.6,10.02,267220
2008-05-13,10.05,10.55,10.05,10.43,672537
2008-05-14,10.25,10.5,10.2,10.27,161636
2008-05-15,10.28,10.45,10.25,10.3,85919
2008-05-16,10.35,10.65,10.33,10.51,360016
2008-05-20,10.46,10.55,10.3,10.39,106210
2008-05-21,10.15,10.66,10.15,10.56,241209
2008-05-22,10.15,10.58,10.1,10.15,421619
2008-05-23,10.15,10.28,9.8,9.84,204702
2008-05-26,9.75,9.82,9.08,9.32,318766
2008-05-27,9.49,9.55,9.0,9.06,169596
2008-05-28,9.11,9.25,8.83,9.16,260836
2008-05-29,9.25,9.32,8.75,9.09,211735
2008-05-30,9.11,9.7,8.77,9.51,350854
2008-06-02,9.25,9.67,9.0,9.09,92346
2008-06-03,8.83,9.35,8.77,9.21,144348
2008-06-04,9.13,9.35,8.93,9.14,82649
2008-06-05,9.02,9.66,9.02,9.4,89542
2008-06-06,9.65,9.85,9.17,9.24,109617
2008-06-09,8.76,9.3,8.76,9.11,106017
2008-06-10,8.96,9.23,8.91,9.04,43662
2008-06-11,9.1,9.2,8.8,8.86,103465
2008-06-12,8.99,9.15,8.55,9.04,68875
2008-06-13,9.1,9.11,8.95,9.0,30363
2008-06-16,9.1,9.43,9.03,9.27,89688
2008-06-17,9.3,9.53,9.1,9.4,250464
2008-06-18,9.6,9.75,9.26,9.36,213768
2008-06-19,9.25,9.35,9.03,9.13,37329
2008-06-20,9.15,9.23,8.83,9.03,85677
2008-06-23,8.9,8.95,8.45,8.59,73217
2008-06-24,8.59,8.75,8.05,8.2,61937
2008-06-25,8.05,8.38,7.85,8.27,75463
2008-06-26,8.35,8.55,8.31,8.39,40498
2008-06-27,8.2,8.2,7.41,7.53,103506
2008-06-30,7.75,8.17,7.05,7.83,383411
2008-07-01,7.75,8.1,6.6,7.51,376056
2008-07-02,7.38,7.85,6.83,7.56,187832
2008-07-03,7.5,7.75,7.11,7.58,175642
