date,open,high,low,close,volume
2003-09-05,18.18,18.76,18.13,18.59,390533
2003-09-08,18.56,18.98,18.56,18.92,346779
2003-09-09,19.0,19.02,18.22,18.37,283265
2003-09-10,18.45,18.77,18.29,18.68,195411
2003-09-11,18.67,18.87,18.12,18.22,311655
2003-09-12,18.32,18.56,17.78,17.88,279538
2003-09-15,17.76,18.0,17.51,17.62,230003
2003-09-16,17.53,18.03,17.33,17.71,656765
2003-09-17,17.91,17.91,17.33,17.41,398912
2003-09-18,17.39,17.55,17.11,17.21,209548
2003-09-19,17.45,17.89,17.25,17.67,347662
2003-09-22,17.85,17.87,17.32,17.34,242817
2003-09-23,17.22,17.62,17.18,17.56,199951
2003-09-24,17.73,18.33,17.5,18.23,446180
2003-09-25,17.8,18.4,17.8,18.04,351976
2003-09-26,18.16,18.31,17.96,18.24,238535
2003-09-29,18.18,18.35,18.0,18.09,126763
2003-09-30,18.2,18.24,17.67,17.8,319100
2003-10-01,17.93,18.11,17.78,18.01,179624
2003-10-03,18.02,18.26,17.89,18.0,313067
2003-10-06,18.13,18.76,18.07,18.64,547381
2003-10-07,18.73,19.03,18.54,18.63,523296
2003-10-08,18.85,18.87,18.56,18.74,281836
2003-10-09,18.89,19.65,18.78,19.53,514431
2003-10-10,19.56,19.96,19.54,19.76,304471
2003-10-13,19.69,20.22,19.6,20.09,362692
2003-10-14,20.22,20.27,19.25,19.49,347409
2003-10-15,19.63,19.89,19.06,19.63,313518
2003-10-16,19.78,20.07,19.59,19.92,296710
2003-10-17,19.82,20.0,19.45,19.69,250704
2003-10-20,19.67,19.78,19.42,19.47,245968
2003-10-21,19.33,19.56,19.09,19.39,327730
2003-10-22,19.36,19.56,19.23,19.47,261908
2003-10-23,19.47,19.47,18.67,18.85,246715
2003-10-24,18.85,19.16,18.67,19.07,187709
2003-10-25,19.11,19.67,18.78,19.38,50145
2003-10-27,19.42,19.55,19.11,19.23,265904
2003-10-28,19.18,19.45,19.14,19.3,250169
2003-10-29,19.51,19.51,18.78,19.18,726775
2003-10-30,19.16,19.22,19.05,19.12,271501
2003-10-31,19.11,19.47,19.11,19.26,251349
2003-11-03,19.45,19.8,19.22,19.7,398321
2003-11-04,19.78,20.13,19.78,20.01,419042
2003-11-05,19.89,20.21,19.61,19.75,518255
2003-11-06,19.71,19.82,19.45,19.49,285240
2003-11-07,19.49,19.53,19.03,19.2,311420
2003-11-10,19.22,19.33,18.78,19.16,191571
2003-11-11,19.38,19.38,19.16,19.23,338984
2003-11-12,19.38,19.42,18.76,18.91,234066
2003-11-13,19.11,19.11,18.85,18.97,283562
2003-11-14,18.93,19.08,18.89,19.0,330055
2003-11-15,19.0,19.2,18.93,19.11,28592
2003-11-17,19.0,19.26,18.96,19.1,124765
2003-11-18,19.25,19.33,19.07,19.2,179928
2003-11-19,19.33,19.42,18.94,19.32,171481
2003-11-20,19.43,19.71,18.93,19.14,296835
2003-11-21,19.17,19.51,18.89,19.41,260229
2003-11-24,19.49,19.56,19.06,19.11,157989
2003-11-25,19.22,19.27,18.92,19.01,194250
2003-11-27,19.0,19.2,18.8,19.01,427391
2003-11-28,18.89,19.29,18.89,19.06,255399
2003-12-01,19.31,19.45,19.05,19.38,408984
2003-12-02,19.45,19.69,19.29,19.49,322021
2003-12-03,19.51,19.85,19.36,19.45,367222
2003-12-04,19.49,20.22,19.43,20.0,576507
2003-12-05,20.11,20.71,20.11,20.24,765510
2003-12-08,20.17,20.51,20.16,20.29,380816
2003-12-09,20.33,21.22,20.33,21.1,797625
2003-12-10,21.33,22.0,21.22,21.74,914952
2003-12-11,21.78,21.87,21.11,21.63,415834
2003-12-12,20.78,21.67,20.51,21.49,246274
2003-12-15,21.56,22.2,21.54,22.11,296751
2003-12-16,22.16,23.1,21.85,22.93,753296
2003-12-17,23.02,23.02,22.25,22.51,388411
2003-12-18,22.56,22.56,21.89,21.95,361594
2003-12-19,22.29,22.47,21.82,21.96,311766
2003-12-22,22.07,22.09,21.81,21.93,134494
2003-12-23,22.0,22.09,21.58,21.68,168865
2003-12-24,22.09,22.09,21.52,21.71,391314
2003-12-26,21.89,22.07,21.51,21.67,213136
2003-12-29,21.93,22.49,21.62,22.11,493883
2003-12-30,22.16,22.4,21.67,21.86,496643
2003-12-31,21.89,22.07,21.78,21.86,356391
2004-01-01,22.0,22.33,21.81,22.11,539968
2004-01-02,22.12,22.89,22.12,22.73,804559
2004-01-05,23.22,23.73,22.58,23.58,900708
2004-01-06,23.67,23.87,22.67,22.97,406755
2004-01-07,22.69,23.0,22.35,22.78,351055
2004-01-08,22.89,24.11,22.82,23.93,580698
