date,open,high,low,close,volume
2004-12-17,1.33,6.67,1.33,5.66,3305
2004-12-20,6.19,6.2,5.33,5.54,6258
2004-12-21,5.67,5.73,5.41,5.6,2545
2004-12-22,6.27,6.27,5.27,5.49,1400
2004-12-23,5.93,5.93,5.28,5.34,505
2004-12-24,5.77,5.77,5.2,5.53,772
2004-12-27,5.27,5.41,5.27,5.41,361
2004-12-28,5.0,5.33,4.88,4.93,1027
2004-12-29,5.6,5.6,5.0,5.02,5955
2004-12-30,5.32,5.32,5.0,5.03,1872
2004-12-31,4.67,5.29,4.67,5.09,1015
2005-01-03,2.52,3.05,2.4,3.02,16585
2005-01-04,3.27,3.33,2.98,3.12,8711
2005-01-05,3.63,3.63,2.77,2.82,2401
2005-01-06,2.97,3.38,2.83,3.38,16580
2005-01-07,3.63,3.97,3.4,3.56,38943
2005-01-10,3.7,3.73,2.87,3.29,5378
2005-01-11,3.27,3.37,3.23,3.24,2370
2005-01-12,3.21,3.21,2.92,2.92,3193
2005-01-13,3.16,3.17,2.93,2.95,1163
2005-01-14,2.95,2.95,2.67,2.67,4782
2005-01-17,2.71,2.71,2.41,2.47,759
2005-01-18,2.7,2.7,2.54,2.63,521
2005-01-19,2.54,2.57,2.38,2.41,2490
2005-01-20,2.5,2.5,2.18,2.22,7596
2005-01-24,2.33,2.38,2.27,2.37,551
2005-01-25,2.5,2.5,2.38,2.41,1711
2005-01-27,2.5,2.5,2.37,2.38,2710
2005-01-28,2.37,2.5,2.37,2.42,2144
2005-01-31,2.45,2.56,2.37,2.37,1335
2005-02-01,2.38,2.46,2.3,2.33,4818
2005-02-02,2.46,2.49,2.29,2.35,2551
2005-02-03,2.42,2.5,2.42,2.47,2265
2005-02-04,2.43,2.51,2.43,2.5,1235
2005-02-07,2.53,2.73,2.53,2.66,2141
2005-02-08,2.56,2.91,2.56,2.83,5159
2005-02-09,3.03,3.07,2.85,2.91,17744
2005-02-10,3.03,3.03,2.67,2.82,4116
2005-02-11,2.67,2.9,2.54,2.71,3331
2005-02-14,2.77,2.77,2.59,2.6,1945
2005-02-15,2.6,2.6,2.5,2.5,1016
2005-02-16,2.44,2.6,2.44,2.49,681
2005-02-17,2.53,2.53,2.45,2.47,981
2005-02-18,2.53,2.53,2.47,2.47,426
2005-02-21,2.43,2.5,2.43,2.5,210
2005-02-22,2.57,2.75,2.43,2.75,6878
2005-02-23,3.0,3.03,2.84,3.03,4482
2005-02-24,3.18,3.18,3.07,3.18,31975
2005-02-25,3.22,3.3,3.02,3.02,8050
2005-02-28,2.88,3.0,2.87,2.87,3066
2005-03-01,2.8,2.87,2.8,2.8,2344
2005-03-02,2.77,2.86,2.77,2.81,932
2005-03-03,2.8,2.89,2.8,2.81,2917
2005-03-04,2.88,2.88,2.75,2.76,1193
2005-03-07,2.88,2.88,2.7,2.84,6647
2005-03-08,2.83,2.98,2.77,2.85,9145
