date,open,high,low,close,volume
2003-09-05,34.97,36.5,34.4,35.94,974880
2003-09-08,36.4,38.56,36.31,37.73,1721648
2003-09-09,38.2,38.28,35.67,36.19,743732
2003-09-10,36.2,36.6,35.1,35.4,588144
2003-09-11,34.34,36.38,34.34,35.79,538782
2003-09-12,36.0,37.17,35.21,35.54,573413
2003-09-15,36.89,38.5,34.93,37.91,1576145
2003-09-16,37.74,42.09,36.44,41.57,2641523
2003-09-17,42.23,44.14,40.91,41.7,1785391
2003-09-18,41.78,42.4,39.84,40.18,1404240
2003-09-19,41.0,41.78,39.32,40.96,1190777
2003-09-22,41.6,43.19,40.6,41.91,1107712
2003-09-23,41.76,45.92,41.03,44.67,2115716
2003-09-24,45.02,45.38,43.22,44.02,1357947
2003-09-25,43.96,45.76,43.5,44.22,990258
2003-09-26,44.34,45.13,43.64,43.9,505834
2003-09-29,44.18,45.5,43.2,43.53,961043
2003-09-30,43.98,44.88,42.02,43.04,1190399
2003-10-01,43.4,44.96,43.22,44.47,1023906
2003-10-03,44.99,46.94,44.82,46.55,1792284
2003-10-06,46.88,47.2,45.3,45.6,711695
2003-10-07,46.07,46.68,45.13,45.48,811546
2003-10-08,45.6,45.99,43.71,44.31,565842
2003-10-09,44.31,47.89,44.31,47.22,1704745
2003-10-10,47.23,48.28,45.72,46.0,851911
2003-10-13,46.26,46.98,45.41,46.56,410208
2003-10-14,46.87,47.2,45.0,45.66,798284
2003-10-15,45.74,46.12,44.81,45.35,359182
2003-10-16,45.72,46.4,45.21,45.7,251654
2003-10-17,45.96,46.05,44.92,45.19,226050
2003-10-20,45.6,46.78,44.33,44.75,340284
2003-10-21,45.05,45.6,43.5,43.76,339509
2003-10-22,44.24,44.91,42.3,42.86,275046
2003-10-23,43.08,44.8,42.4,42.7,405515
2003-10-24,42.95,43.6,42.0,43.45,317064
2003-10-25,43.88,44.2,43.45,43.92,94733
2003-10-27,44.06,45.45,43.82,44.17,265740
2003-10-28,44.4,44.72,43.5,44.14,211442
2003-10-29,44.8,47.36,44.73,46.97,772820
2003-10-30,47.23,48.2,46.26,46.74,751538
2003-10-31,46.52,47.25,45.4,46.52,482664
2003-11-03,46.84,48.98,46.15,47.97,1190200
2003-11-04,48.42,50.83,48.4,50.29,1352581
2003-11-05,50.4,50.4,45.22,46.33,741532
2003-11-06,46.88,48.08,46.12,46.46,949330
2003-11-07,46.89,47.65,45.62,45.89,568262
2003-11-10,46.3,46.3,44.5,45.8,145609
2003-11-11,46.54,46.8,45.63,45.95,285979
2003-11-12,45.28,46.64,45.28,45.93,201000
2003-11-13,46.4,46.53,44.33,44.82,220372
2003-11-14,44.98,45.09,42.72,43.15,313014
2003-11-15,43.34,44.8,42.6,43.82,114504
2003-11-17,44.46,44.7,41.82,42.19,496355
2003-11-18,42.74,44.3,41.08,41.41,687681
2003-11-19,41.6,42.38,41.02,41.21,378467
2003-11-20,42.19,44.35,41.7,42.84,1055084
2003-11-21,43.3,43.33,41.7,42.93,384585
2003-11-24,43.34,43.48,42.13,42.33,263100
2003-11-25,43.34,43.34,42.15,42.32,178609
2003-11-27,42.6,44.8,42.6,44.33,603329
2003-11-28,44.7,45.4,43.73,43.96,462838
2003-12-01,44.2,45.5,44.2,44.93,369293
2003-12-02,45.2,47.0,44.9,46.59,787455
2003-12-03,46.98,47.9,46.4,46.64,476897
2003-12-04,46.8,47.56,45.54,47.01,376919
2003-12-05,47.38,49.68,47.16,49.07,1032052
2003-12-08,49.4,53.79,49.4,53.22,1693246
2003-12-09,53.6,54.13,51.5,52.73,808742
2003-12-10,52.4,56.4,52.4,55.4,1011471
2003-12-11,55.14,57.32,54.8,56.49,805064
2003-12-12,56.83,63.54,55.6,61.61,3558302
2003-12-15,62.2,64.78,61.02,61.45,947304
2003-12-16,61.5,61.93,57.42,58.75,858164
2003-12-17,59.28,59.39,56.6,56.96,660680
2003-12-18,57.2,59.38,57.11,58.16,519468
2003-12-19,58.78,60.47,58.0,58.26,623312
2003-12-22,58.56,58.92,57.1,57.49,296543
2003-12-23,57.97,60.2,57.62,58.97,512151
2003-12-24,59.5,61.0,58.26,59.82,666780
2003-12-26,60.2,61.46,59.41,59.87,358864
2003-12-29,60.4,62.74,60.03,61.39,499551
2003-12-30,62.0,62.08,58.6,59.42,391939
2003-12-31,60.0,60.09,57.62,57.99,289900
2004-01-01,59.02,59.94,58.0,58.24,250390
2004-01-02,58.74,59.75,58.12,58.55,275668
2004-01-05,59.04,59.33,56.4,56.65,259088
2004-01-06,56.6,58.89,56.32,57.91,681628
2004-01-07,58.24,59.6,57.13,58.23,462722
2004-01-08,58.74,62.0,58.4,61.5,964035
2004-01-09,62.44,63.56,60.41,60.81,822455
2004-01-12,61.34,61.48,56.4,58.56,280068
2004-01-13,59.0,59.0,55.26,57.65,235460
2004-01-14,58.2,61.6,57.02,61.25,534118
2004-01-15,62.32,64.58,61.6,62.82,1003695
2004-01-16,63.84,63.84,59.03,59.7,480619
2004-01-19,60.0,64.0,58.52,62.65,575667
2004-01-20,63.13,63.2,60.4,61.61,420478
2004-01-21,61.44,61.56,54.51,55.31,261109
2004-01-22,54.78,57.8,53.4,55.78,377272
2004-01-23,57.0,59.44,56.2,58.87,162203
2004-01-27,58.82,59.99,57.21,59.62,193722
2004-01-28,59.6,61.36,57.21,57.75,372261
2004-01-29,57.82,58.9,55.05,56.32,289559
2004-01-30,56.8,57.16,53.23,53.94,235113
2004-02-03,53.4,54.36,49.44,50.33,238165
2004-02-04,50.69,51.4,48.8,51.06,196726
2004-02-05,51.63,51.63,49.67,50.14,198887
2004-02-06,49.62,50.62,48.8,49.39,129484
2004-02-09,49.77,50.2,48.83,49.43,160538
2004-02-10,49.0,53.19,49.0,52.74,570079
2004-02-11,52.93,53.55,52.18,52.76,182621
2004-02-12,53.2,53.75,52.62,53.03,151025
2004-02-13,53.13,53.13,51.68,52.46,150234
2004-02-16,52.76,54.69,52.6,54.19,220908
2004-02-17,54.6,55.04,53.41,53.79,165444
2004-02-18,54.0,54.53,53.32,53.67,104315
2004-02-19,54.0,54.27,48.84,49.33,174178
2004-02-20,49.6,49.93,46.43,46.8,350293
2004-02-23,47.24,47.76,41.85,42.55,372962
2004-02-24,43.0,47.18,41.8,45.76,1193695
2004-02-25,46.0,48.6,45.1,47.77,760877
2004-02-26,47.93,49.12,47.6,48.32,412673
2004-02-27,48.8,51.68,47.6,51.24,484135
2004-03-01,51.9,54.4,51.51,53.59,471863
2004-03-03,53.94,54.58,52.31,52.51,215622
2004-03-04,52.8,54.74,51.0,53.76,217529
2004-03-05,54.54,54.98,53.4,54.54,238130
2004-03-08,54.6,54.98,53.4,54.68,147426
2004-03-09,55.2,55.2,52.8,54.1,112986
2004-03-10,53.6,54.26,52.91,53.67,92021
2004-03-11,53.22,53.8,51.0,51.65,75757
2004-03-12,50.4,52.18,49.62,51.14,95952
2004-03-15,50.4,52.74,47.8,49.1,107181
2004-03-16,48.5,48.8,46.84,48.39,85676
2004-03-17,49.2,51.17,48.72,50.86,109145
2004-03-18,50.8,51.34,49.1,50.08,53928
2004-03-19,49.7,50.6,47.04,47.57,122128
2004-03-22,48.08,48.08,42.82,43.16,135399
2004-03-23,43.02,44.0,41.72,42.36,171242
2004-03-24,42.4,44.0,42.22,42.6,241877
2004-03-25,42.88,43.88,42.7,42.96,154392
2004-03-26,43.57,44.16,42.48,42.89,270046
2004-03-29,43.28,44.08,43.22,43.45,143492
2004-03-30,43.68,45.0,41.73,42.15,335986
2004-03-31,42.76,43.08,42.02,42.3,228246
2004-04-01,43.0,44.8,42.6,44.5,292486
2004-04-02,45.08,46.4,45.0,45.6,359660
2004-04-05,45.8,47.0,45.6,46.08,245433
2004-04-06,46.3,46.57,44.3,45.13,166503
2004-04-07,45.37,45.65,44.44,45.31,119581
2004-04-08,45.0,45.64,44.5,45.42,100294
2004-04-12,45.4,46.32,45.3,45.53,122507
2004-04-13,45.85,45.85,44.4,45.25,74233
2004-04-15,45.46,47.97,45.3,46.2,211306
2004-04-16,46.57,47.4,46.2,46.43,152075
2004-04-17,46.8,46.8,45.81,46.04,46113
2004-04-19,45.8,46.36,44.8,44.99,95439
2004-04-20,44.5,45.28,44.4,44.58,68855
2004-04-21,44.59,45.9,43.83,45.65,96251
2004-04-22,44.4,46.2,44.08,45.71,67675
