date,open,high,low,close,volume
2004-06-14,7.04,7.85,7.04,7.85,2
2004-06-15,8.01,8.01,8.0,8.0,2
2004-06-16,9.02,9.02,8.65,8.65,300
2004-06-17,7.94,7.94,7.15,7.2,1300
2004-06-18,7.16,7.16,7.16,7.16,200
2004-06-21,7.73,7.73,7.69,7.69,2
2004-06-23,7.35,7.35,7.34,7.34,2
2004-06-24,6.89,6.89,6.89,6.89,50
2004-06-25,7.54,8.04,6.64,7.09,2805
2004-06-28,7.39,7.4,7.39,7.4,2
2004-06-29,7.26,7.27,7.14,7.23,1525
2004-06-30,6.98,7.41,6.98,7.41,409
2004-07-01,7.05,7.05,6.88,6.89,10917
2004-07-02,7.05,7.14,7.04,7.04,11943
2004-07-05,7.04,7.04,7.04,7.04,400
2004-07-06,7.04,7.04,6.94,6.94,700
2004-07-07,7.04,7.04,6.92,7.02,2325
2004-07-08,7.04,7.31,6.74,6.76,265276
2004-07-09,6.89,7.22,6.64,7.08,20775
2004-07-12,7.04,7.12,6.99,7.04,14553
2004-07-13,6.74,7.14,6.74,7.13,4204
2004-07-14,7.14,7.65,7.0,7.14,43304
2004-07-15,7.2,7.83,7.2,7.76,29287
2004-07-16,7.67,8.15,7.65,7.91,19373
2004-07-19,7.75,8.24,7.67,7.85,10116
2004-07-20,7.29,8.01,7.29,7.55,1214
2004-07-21,7.6,7.95,7.6,7.95,4900
2004-07-22,7.61,7.68,7.59,7.61,1075
2004-07-23,7.64,7.65,7.55,7.61,1463
2004-07-26,8.44,8.44,7.48,7.75,15809
2004-07-27,8.04,8.04,7.51,7.64,11856
2004-07-28,7.25,8.34,7.25,8.05,22171
2004-07-29,7.75,8.12,7.75,7.85,25152
2004-07-30,7.85,8.1,7.65,7.66,31602
2004-08-02,7.95,7.95,7.8,7.8,36399
2004-08-03,7.95,8.59,7.95,8.15,23615
2004-08-04,8.05,8.35,7.89,7.91,4000
2004-08-05,8.03,9.21,8.03,8.69,44106
2004-08-06,9.21,9.42,8.25,8.79,53175
2004-08-09,8.35,10.16,8.35,9.69,58628
2004-08-10,9.81,10.14,9.56,9.61,81051
2004-08-11,9.86,9.86,9.27,9.42,13761
2004-08-12,9.46,9.76,9.06,9.14,10331
2004-08-13,9.01,9.25,8.99,9.15,3816
2004-08-16,9.26,9.26,8.65,8.68,551
2004-08-17,9.06,9.31,8.77,9.15,8991
2004-08-18,9.24,10.46,9.06,9.29,31215
2004-08-19,9.28,10.21,9.06,9.8,29646
2004-08-20,9.67,11.37,9.62,10.21,57900
2004-08-23,10.26,10.27,9.7,9.76,15049
2004-08-24,9.66,9.9,9.58,9.66,2513
2004-08-25,9.68,9.7,9.58,9.6,4805
2004-08-26,9.86,9.86,9.56,9.72,9912
2004-08-27,9.73,9.73,9.51,9.55,6512
2004-08-30,9.86,10.77,9.71,10.53,73377
2004-08-31,10.54,10.54,10.11,10.18,24406
2004-09-01,10.34,10.56,10.12,10.26,56545
2004-09-02,10.16,10.77,10.16,10.45,79043
2004-09-03,10.67,10.97,10.51,10.83,40765
2004-09-06,10.94,11.03,10.56,10.62,41225
2004-09-07,10.67,11.02,10.67,10.86,71085
2004-09-08,11.03,11.92,10.87,11.62,255865
2004-09-09,12.84,12.84,11.14,11.26,140447
2004-09-10,11.33,11.62,11.17,11.37,67983
2004-09-13,11.55,11.87,11.41,11.48,181073
2004-09-14,11.52,11.52,11.14,11.18,48619
2004-09-15,11.35,11.35,10.94,11.04,26335
2004-09-16,10.87,11.25,10.87,11.1,63142
2004-09-17,11.07,11.25,11.06,11.17,36534
2004-09-20,11.29,11.29,10.87,10.93,11440
2004-09-21,10.97,11.23,10.89,10.93,20520
2004-09-22,10.9,11.0,10.83,10.88,16723
2004-09-23,10.92,11.0,10.77,10.85,35738
2004-09-24,10.77,10.97,10.77,10.92,9543
2004-09-27,10.98,11.0,10.77,10.82,15120
2004-09-28,11.03,12.03,10.9,11.52,116029
2004-09-29,11.53,11.53,11.18,11.32,43392
2004-09-30,11.4,11.62,11.12,11.27,33320
2004-10-01,11.37,12.25,11.27,12.03,240401
2004-10-04,12.13,12.84,12.01,12.53,249977
2004-10-05,12.82,13.99,12.43,13.7,291503
2004-10-06,14.05,14.05,12.73,12.88,158874
2004-10-07,13.2,13.28,12.8,12.96,59140
2004-10-08,13.07,13.08,12.81,13.01,24970
2004-10-09,12.93,13.08,12.78,12.84,33165
2004-10-11,12.79,13.18,12.28,12.42,39641
2004-10-12,12.68,12.68,12.07,12.13,18308
2004-10-14,12.07,12.55,12.07,12.35,42711
2004-10-15,12.42,12.44,12.19,12.28,40350
2004-10-18,12.18,12.58,11.87,11.96,20692
2004-10-19,11.92,12.33,11.92,12.1,50362
2004-10-20,12.28,12.28,11.88,11.97,39359
2004-10-21,11.8,11.88,11.69,11.81,23936
2004-10-25,11.75,11.87,11.64,11.74,7162
2004-10-26,11.57,11.81,11.47,11.51,21944
2004-10-27,11.77,12.07,11.62,11.63,22182
2004-10-28,11.7,11.95,11.38,11.91,30980
2004-10-29,11.91,11.95,11.57,11.61,7141
2004-11-01,11.67,11.67,11.34,11.47,9373
2004-11-02,11.47,12.53,9.2,11.98,171119
2004-11-03,12.43,12.56,12.17,12.24,96322
2004-11-04,11.87,12.4,11.87,12.29,49809
2004-11-05,12.09,12.88,11.98,12.42,154047
2004-11-08,12.53,12.98,12.43,12.63,177491
2004-11-09,15.09,15.09,12.18,12.45,157738
2004-11-10,12.33,12.77,12.28,12.61,41149
2004-11-11,12.78,13.03,12.54,12.68,61638
2004-11-12,12.77,12.85,12.38,12.51,20384
2004-11-16,12.35,13.89,12.35,12.93,109817
2004-11-17,12.73,13.72,12.28,13.13,211028
2004-11-18,13.28,13.48,12.88,12.92,34159
2004-11-19,13.26,13.26,12.49,12.58,62063
2004-11-22,12.38,13.18,12.36,13.0,48263
2004-11-23,12.88,13.73,12.88,13.2,127250
2004-11-24,13.08,15.09,13.08,14.84,642823
2004-11-25,14.52,16.26,13.68,15.04,548578
2004-11-29,15.15,16.0,14.54,15.36,203582
2004-11-30,14.89,15.6,14.59,14.66,130046
2004-12-01,14.69,14.74,14.09,14.57,96321
2004-12-02,14.77,15.23,14.49,14.64,70130
2004-12-03,14.79,15.5,14.64,15.26,101107
2004-12-06,14.89,15.28,14.71,14.79,22242
2004-12-07,14.89,15.04,14.52,14.66,27444
2004-12-08,14.89,14.89,14.37,14.55,52197
2004-12-09,14.69,14.89,14.5,14.57,52635
2004-12-10,14.85,16.1,14.71,15.51,255852
2004-12-13,15.09,16.7,15.09,16.26,349654
2004-12-14,16.74,17.54,16.5,17.12,260506
2004-12-15,17.29,17.33,16.0,16.22,161782
2004-12-16,16.6,16.73,16.22,16.37,71912
2004-12-17,16.1,16.73,15.83,16.02,80055
2004-12-20,16.08,16.29,15.73,15.95,40355
2004-12-21,16.38,16.4,15.91,16.01,60774
2004-12-22,15.91,16.2,15.31,15.61,36886
2004-12-23,15.79,16.38,15.5,16.02,77051
2004-12-24,16.1,16.86,15.72,16.31,177859
2004-12-27,16.48,16.78,15.29,16.41,163161
2004-12-28,16.86,16.86,15.76,16.2,66693
2004-12-29,16.1,16.1,15.5,15.74,44970
2004-12-30,16.0,16.0,15.1,15.4,55566
2004-12-31,15.9,16.06,15.39,15.78,59677
2005-01-03,16.03,16.03,15.61,15.71,64070
2005-01-04,15.9,16.58,15.9,16.34,176134
2005-01-05,16.48,16.48,15.09,15.4,69084
2005-01-06,15.3,16.42,15.2,15.73,59722
2005-01-07,15.6,16.05,15.6,15.78,37602
2005-01-10,15.8,16.1,15.7,15.77,46426
2005-01-11,16.06,16.06,14.73,15.36,50349
2005-01-12,15.29,15.33,14.7,14.86,82540
2005-01-13,15.29,15.89,15.09,15.44,47164
2005-01-14,15.5,15.7,15.09,15.1,27403
2005-01-17,15.01,15.01,14.34,14.48,23019
2005-01-18,14.55,14.74,14.41,14.54,6802
2005-01-19,14.71,14.89,14.44,14.71,11052
2005-01-20,14.53,14.69,14.09,14.3,19780
2005-01-24,14.49,14.74,13.98,14.08,10476
2005-01-25,13.99,13.99,13.1,13.45,26706
2005-01-27,13.79,13.79,13.3,13.38,28955
2005-01-28,13.64,13.88,13.51,13.81,22327
2005-01-31,14.04,14.09,13.35,13.52,15892
2005-02-01,13.8,13.8,13.44,13.53,25796
2005-02-02,13.67,13.67,13.28,13.33,35878
2005-02-03,13.38,13.83,13.28,13.58,48860
2005-02-04,13.68,14.45,13.51,14.01,108858
2005-02-07,14.47,14.69,14.0,14.61,86034
2005-02-08,14.49,15.59,14.49,15.27,112269
2005-02-09,15.48,17.89,15.48,17.46,613377
2005-02-10,17.57,17.91,16.4,17.18,192251
2005-02-11,17.35,17.69,16.4,16.67,85962
2005-02-14,16.94,17.31,16.1,16.2,46530
2005-02-15,16.5,16.88,16.02,16.42,66011
2005-02-16,16.58,16.82,16.31,16.53,95019
2005-02-17,15.5,16.7,15.5,16.34,57138
2005-02-18,16.88,16.9,15.9,15.96,14254
2005-02-21,17.0,17.0,15.9,16.2,37088
2005-02-22,16.5,16.72,16.2,16.51,68608
2005-02-23,16.7,16.7,16.24,16.5,19053
2005-02-24,16.4,16.72,16.4,16.65,43793
2005-02-25,16.65,17.71,16.44,17.18,217876
2005-02-28,17.37,20.62,16.76,19.89,1041927
2005-03-01,19.92,20.09,18.17,18.41,678893
2005-03-02,18.61,18.97,18.32,18.5,111937
2005-03-03,18.67,18.96,18.23,18.39,99798
2005-03-04,18.52,21.0,18.41,20.07,920146
2005-03-07,20.32,20.88,19.34,20.62,486726
2005-03-08,20.73,22.03,20.18,20.84,242932
2005-03-09,20.73,20.73,19.32,20.14,185901
2005-03-10,20.1,20.53,19.62,20.05,101435
2005-03-11,20.24,20.88,19.18,19.43,159754
2005-03-14,19.82,20.53,19.12,19.44,92485
2005-03-15,19.65,21.12,19.32,20.12,270978
2005-03-16,20.32,21.33,20.2,20.36,204358
2005-03-17,20.53,20.53,19.32,19.51,128098
2005-03-18,19.32,20.02,18.71,19.03,70568
2005-03-21,19.4,20.53,19.16,19.95,270962
2005-03-22,20.1,20.1,18.52,18.68,58465
2005-03-23,18.61,19.2,17.72,18.15,62233
2005-03-24,18.01,21.29,18.01,20.26,506953
2005-03-28,20.8,21.29,19.2,19.45,189077
2005-03-29,19.82,19.9,17.98,18.32,68383
2005-03-30,18.89,19.4,18.51,19.14,98990
2005-03-31,19.42,19.92,19.12,19.37,64303
2005-04-01,19.74,20.12,19.22,19.6,78805
2005-04-04,19.72,19.86,19.17,19.26,232211
2005-04-05,19.42,19.92,18.92,19.36,768197
2005-04-06,19.92,23.23,19.92,23.2,3118917
2005-04-07,23.75,23.75,21.64,21.95,840105
2005-04-08,22.19,22.84,21.4,22.25,352339
2005-04-11,24.09,24.09,21.59,21.77,163521
2005-04-12,22.13,22.42,21.38,21.67,79094
2005-04-13,21.79,22.12,21.05,21.3,127949
2005-04-15,21.3,21.3,19.75,19.94,315663
2005-04-18,19.53,19.91,19.13,19.61,78348
2005-04-19,20.04,21.02,19.39,19.56,86913
2005-04-20,19.56,21.73,19.42,21.52,479308
