date,open,high,low,close,volume
2003-09-05,1.57,1.59,1.52,1.57,9294375
2003-09-08,1.6,1.62,1.5,1.51,9183172
2003-09-09,1.53,1.54,1.4,1.41,11126718
2003-09-10,1.4,1.41,1.28,1.38,17080898
2003-09-11,1.38,1.45,1.36,1.38,10764263
2003-09-12,1.42,1.42,1.32,1.33,6139411
2003-09-15,1.36,1.36,1.27,1.29,8742472
2003-09-16,1.3,1.42,1.27,1.42,11750176
2003-09-17,1.47,1.54,1.44,1.46,20248490
2003-09-18,1.48,1.48,1.35,1.36,10541660
2003-09-19,1.39,1.43,1.34,1.38,9521438
2003-09-22,1.38,1.38,1.26,1.32,7212079
2003-09-23,1.3,1.45,1.3,1.43,9773574
2003-09-24,1.49,1.49,1.35,1.4,9741683
2003-09-25,1.38,1.5,1.36,1.45,15257607
2003-09-26,1.46,1.53,1.44,1.48,13790415
2003-09-29,1.52,1.61,1.41,1.43,13869965
2003-09-30,1.43,1.45,1.42,1.44,5219024
2003-10-01,1.42,1.45,1.4,1.4,6029494
2003-10-03,1.44,1.45,1.4,1.41,6263008
2003-10-06,1.43,1.45,1.41,1.42,8836468
2003-10-07,1.45,1.53,1.42,1.48,18564746
2003-10-08,1.5,1.5,1.42,1.44,8379355
2003-10-09,1.43,1.48,1.41,1.46,4722919
2003-10-10,1.47,1.53,1.46,1.46,9054172
2003-10-13,1.49,1.5,1.47,1.49,5799687
2003-10-14,1.51,1.64,1.48,1.57,32734770
2003-10-15,1.58,1.69,1.55,1.63,23294815
2003-10-16,1.65,1.69,1.63,1.65,13436090
2003-10-17,1.65,1.74,1.61,1.72,20211235
2003-10-20,1.74,1.85,1.72,1.75,29353633
2003-10-21,1.91,1.91,1.57,1.57,40325916
2003-10-22,1.6,1.67,1.42,1.46,27771597
2003-10-23,1.5,1.53,1.42,1.43,18100293
2003-10-24,1.44,1.44,1.37,1.42,9989219
2003-10-25,1.44,1.46,1.42,1.44,3123873
2003-10-27,1.45,1.45,1.36,1.38,6053440
2003-10-28,1.4,1.4,1.33,1.34,5968337
2003-10-29,1.37,1.37,1.32,1.34,3999008
2003-10-30,1.36,1.4,1.33,1.36,6525524
2003-10-31,1.36,1.38,1.32,1.34,4520059
2003-11-03,1.36,1.36,1.26,1.27,7011703
2003-11-04,1.27,1.39,1.23,1.35,12280123
2003-11-05,1.4,1.4,1.32,1.34,5230026
2003-11-06,1.35,1.47,1.34,1.44,13473447
2003-11-07,1.45,1.5,1.4,1.42,8315292
2003-11-10,1.42,1.45,1.41,1.42,3032927
2003-11-11,1.43,1.46,1.41,1.43,5394707
2003-11-12,1.45,1.54,1.45,1.48,13053158
2003-11-13,1.5,1.52,1.33,1.35,15987849
2003-11-14,1.22,1.27,1.22,1.22,12616890
2003-11-15,1.12,1.28,1.1,1.25,16399488
2003-11-17,1.27,1.28,1.2,1.22,9918301
2003-11-18,1.23,1.25,1.19,1.19,5572472
2003-11-19,1.2,1.2,1.16,1.17,4146076
2003-11-20,1.19,1.24,1.16,1.16,6946822
2003-11-21,1.17,1.17,1.1,1.13,4743462
2003-11-24,1.18,1.2,1.14,1.18,7631900
2003-11-25,1.22,1.22,1.16,1.16,4462026
2003-11-27,1.18,1.18,1.15,1.15,4143070
2003-11-28,1.17,1.18,1.15,1.16,3542065
2003-12-01,1.17,1.2,1.16,1.17,4385451
2003-12-02,1.1,1.2,1.1,1.16,2570504
2003-12-03,1.17,1.18,1.14,1.15,2512152
2003-12-04,1.14,1.17,1.13,1.14,2402100
2003-12-05,1.17,1.17,1.12,1.13,2378671
2003-12-08,1.11,1.15,1.11,1.13,2058107
2003-12-09,1.15,1.17,1.13,1.16,4147745
2003-12-10,1.17,1.22,1.16,1.18,7397505
2003-12-11,1.21,1.24,1.19,1.2,4479872
2003-12-12,1.2,1.22,1.18,1.21,2952543
2003-12-15,1.22,1.25,1.2,1.23,4184712
2003-12-16,1.24,1.24,1.19,1.2,3976372
2003-12-17,1.22,1.23,1.18,1.19,3189125
2003-12-18,1.2,1.22,1.19,1.2,2969947
2003-12-19,1.21,1.23,1.18,1.19,3877382
2003-12-22,1.2,1.21,1.19,1.2,2264617
2003-12-23,1.2,1.21,1.17,1.18,2495860
2003-12-24,1.18,1.24,1.17,1.22,4391587
2003-12-26,1.23,1.34,1.23,1.34,9381749
2003-12-29,1.37,1.45,1.36,1.41,9353358
2003-12-30,1.45,1.45,1.33,1.35,8154877
2003-12-31,1.35,1.36,1.31,1.32,5129830
2004-01-01,1.35,1.37,1.33,1.35,3579942
2004-01-02,1.37,1.41,1.36,1.39,5505861
2004-01-05,1.41,1.48,1.32,1.34,5112875
2004-01-06,1.4,1.4,1.25,1.27,4385504
2004-01-07,1.29,1.29,1.24,1.27,3459977
2004-01-08,1.3,1.31,1.2,1.3,3183686
2004-01-09,1.31,1.31,1.24,1.25,4636247
2004-01-12,1.27,1.27,1.21,1.21,3253992
2004-01-13,1.22,1.26,1.19,1.22,4476540
2004-01-14,1.23,1.26,1.22,1.22,3893659
2004-01-15,1.23,1.25,1.19,1.2,2889934
2004-01-16,1.2,1.22,1.15,1.18,3305345
2004-01-19,1.18,1.2,1.16,1.19,3476491
2004-01-20,1.22,1.31,1.21,1.29,20885133
2004-01-21,1.3,1.32,1.17,1.18,8241415
2004-01-22,1.2,1.23,1.14,1.15,8639170
2004-01-23,1.18,1.23,1.16,1.21,5541973
2004-01-27,1.23,1.24,1.19,1.21,3364363
2004-01-28,1.2,1.23,1.18,1.18,2484843
2004-01-29,1.19,1.2,1.17,1.19,2271805
2004-01-30,1.2,1.2,1.15,1.16,2026285
2004-02-03,1.18,1.18,1.06,1.08,3620041
2004-02-04,1.08,1.11,1.07,1.11,3669234
2004-02-05,1.12,1.16,1.1,1.11,3881282
2004-02-06,1.12,1.13,1.1,1.11,1745644
2004-02-09,1.12,1.14,1.11,1.13,1339523
2004-02-10,1.13,1.13,1.1,1.11,1675194
2004-02-11,1.11,1.11,1.08,1.09,1814138
2004-02-12,1.1,1.13,1.09,1.1,1748454
2004-02-13,1.1,1.13,1.09,1.12,2588167
2004-02-16,1.14,1.17,1.13,1.14,3127707
2004-02-17,1.14,1.17,1.13,1.14,2747019
2004-02-18,1.15,1.15,1.09,1.1,2385758
2004-02-19,1.11,1.15,1.09,1.1,3414208
2004-02-20,1.1,1.11,1.08,1.09,1484184
2004-02-23,1.1,1.12,1.06,1.07,1488272
2004-02-24,1.07,1.08,1.05,1.07,2076112
2004-02-25,1.08,1.08,1.02,1.03,1646030
2004-02-26,1.04,1.05,1.01,1.02,1618933
2004-02-27,1.02,1.04,0.98,0.99,2696409
2004-03-01,1.0,1.0,0.95,0.97,2348855
