date,open,high,low,close,volume
2003-09-05,10.47,10.59,10.21,10.27,27448
2003-09-08,10.47,10.47,10.01,10.15,33509
2003-09-09,10.2,10.31,9.93,10.01,28579
2003-09-10,10.21,10.21,9.63,9.74,45010
2003-09-11,9.8,10.09,9.67,9.74,54451
2003-09-12,9.93,10.01,9.52,9.61,40196
2003-09-15,9.77,9.97,9.48,9.92,59473
2003-09-16,9.78,9.95,9.7,9.76,28942
2003-09-17,9.9,9.93,9.67,9.77,17333
2003-09-18,9.68,9.81,9.24,9.3,28464
2003-09-19,9.38,9.5,8.98,9.12,37666
2003-09-22,9.24,9.32,8.89,9.0,23402
2003-09-23,9.2,9.2,8.94,9.11,19587
2003-09-24,9.2,9.49,9.13,9.41,32127
2003-09-25,9.36,9.62,9.36,9.4,25220
2003-09-26,9.43,9.59,9.43,9.56,15333
2003-09-29,9.78,10.08,9.63,10.01,44241
2003-09-30,10.15,10.28,9.97,10.09,32190
2003-10-01,10.09,10.2,10.01,10.12,172748
2003-10-03,10.2,10.31,10.13,10.25,43765
2003-10-06,10.2,10.93,10.2,10.9,116450
2003-10-07,10.95,11.08,10.46,10.55,46356
2003-10-08,10.57,10.97,10.4,10.52,111362
2003-10-09,10.76,10.76,10.56,10.62,28453
2003-10-10,10.7,11.28,10.63,10.81,202729
2003-10-13,10.8,10.94,10.51,10.56,66157
2003-10-14,10.67,10.67,10.22,10.29,54201
2003-10-15,10.19,10.43,10.16,10.35,38072
2003-10-16,10.55,10.6,10.4,10.55,42242
2003-10-17,10.63,11.09,10.52,11.01,166553
2003-10-20,10.97,11.39,10.97,11.26,136114
2003-10-21,11.36,11.36,10.86,11.15,115241
2003-10-22,11.28,11.46,11.11,11.33,98431
2003-10-23,11.44,11.44,10.91,10.98,46908
2003-10-24,10.93,11.17,10.82,10.93,43918
2003-10-25,11.17,11.36,11.07,11.11,19500
2003-10-27,11.01,11.39,11.01,11.3,78256
2003-10-28,11.36,11.5,11.13,11.16,72489
2003-10-29,11.36,11.59,11.25,11.54,92404
2003-10-30,11.59,11.82,11.51,11.54,104559
2003-10-31,11.63,11.82,11.57,11.67,62746
2003-11-03,11.74,11.93,11.51,11.55,83998
2003-11-04,11.59,11.7,11.44,11.52,48344
2003-11-05,11.63,11.74,11.46,11.6,43802
2003-11-06,11.63,11.76,11.61,11.72,36948
2003-11-07,11.59,11.74,11.55,11.63,27807
2003-11-10,11.63,11.74,11.5,11.54,52578
2003-11-11,11.63,12.71,11.63,12.51,99596
2003-11-12,12.78,12.9,12.52,12.77,74184
2003-11-13,11.98,12.9,11.98,12.28,29450
2003-11-14,12.3,12.51,11.74,11.83,46612
2003-11-15,11.63,12.01,11.63,11.9,14803
2003-11-17,11.9,12.01,11.82,11.91,19949
2003-11-18,11.95,12.13,11.74,11.84,22142
2003-11-19,11.9,12.28,11.59,11.67,23924
2003-11-20,11.59,11.82,11.42,11.5,16549
2003-11-21,11.4,11.55,11.4,11.47,22234
2003-11-24,11.7,12.11,11.7,11.75,30814
2003-11-25,11.84,11.9,11.55,11.64,16602
2003-11-27,11.81,11.94,11.74,11.9,26170
2003-11-28,11.83,12.17,11.83,12.03,44553
2003-12-01,12.16,12.16,12.02,12.08,25669
2003-12-02,12.13,12.98,11.97,12.69,94743
2003-12-03,13.28,13.65,13.21,13.35,114948
2003-12-04,13.39,13.82,12.9,13.07,65143
2003-12-05,13.17,13.36,12.94,13.1,37933
2003-12-08,13.09,13.17,12.79,12.88,22278
2003-12-09,13.05,13.84,13.02,13.76,76304
2003-12-10,13.94,14.05,13.61,13.89,36660
2003-12-11,14.27,14.27,13.79,14.08,40988
2003-12-12,14.05,14.25,13.86,14.05,26512
2003-12-15,14.25,14.31,14.05,14.1,25504
2003-12-16,14.25,14.25,13.92,14.12,28725
2003-12-17,14.17,14.63,14.17,14.25,41844
2003-12-18,14.32,14.44,14.09,14.33,31040
2003-12-19,14.44,14.7,14.28,14.45,28890
2003-12-22,14.4,16.32,14.38,14.8,51901
2003-12-23,14.82,15.17,14.63,14.75,42515
2003-12-24,14.81,14.82,14.44,14.49,22260
2003-12-26,14.71,14.71,14.32,14.45,22088
2003-12-29,14.52,14.52,13.98,14.32,29709
2003-12-30,14.48,14.52,14.25,14.36,41358
2003-12-31,14.5,14.86,14.32,14.51,39278
2004-01-01,14.55,15.08,14.52,15.03,49849
2004-01-02,15.02,15.36,15.02,15.16,57642
2004-01-05,15.36,15.59,14.99,15.06,82894
2004-01-06,15.05,15.23,14.82,14.9,36580
2004-01-07,14.86,15.01,14.32,14.55,47399
2004-01-08,14.59,15.09,14.59,15.02,22397
2004-01-09,15.04,15.36,14.83,15.26,40615
2004-01-12,15.36,15.4,14.94,15.3,37337
2004-01-13,15.69,15.69,14.98,15.35,40173
2004-01-14,15.36,15.48,15.18,15.37,40734
2004-01-15,15.64,16.21,15.59,15.76,66755
2004-01-16,16.15,16.17,15.06,15.51,43077
2004-01-19,15.44,15.44,14.63,15.17,39810
2004-01-20,15.36,15.36,15.13,15.22,43273
2004-01-21,15.21,15.21,14.55,14.69,59484
2004-01-22,14.44,15.36,14.06,14.16,71873
2004-01-23,14.25,15.09,14.05,14.95,40803
2004-01-27,14.52,14.82,14.48,14.69,34352
2004-01-28,14.55,14.78,14.33,14.37,49203
