date,open,high,low,close,volume
2003-09-05,4.2,4.6,4.2,4.57,1437
2003-09-08,4.43,4.6,4.43,4.54,1425
2003-09-09,4.54,4.66,4.4,4.54,1250
2003-09-10,4.5,4.5,4.42,4.49,1102
2003-09-11,4.62,4.63,4.45,4.58,2350
2003-09-12,4.25,4.59,4.25,4.4,2543
2003-09-15,4.35,4.4,4.34,4.4,850
2003-09-16,4.38,4.38,4.25,4.29,308
2003-09-17,4.32,4.32,4.15,4.22,2748
2003-09-18,4.18,4.32,4.1,4.1,3154
2003-09-19,4.03,4.48,4.0,4.34,1425
2003-09-22,4.45,4.6,4.41,4.56,4624
2003-09-23,4.79,4.79,4.26,4.6,1116
2003-09-24,4.59,4.65,4.55,4.6,2380
2003-09-25,4.6,4.6,4.45,4.5,600
2003-09-26,4.55,4.55,4.38,4.42,650
2003-09-29,4.5,4.5,4.39,4.46,820
2003-09-30,4.4,4.65,4.4,4.46,550
2003-10-01,4.55,4.6,4.48,4.54,2300
2003-10-03,4.42,4.6,4.42,4.51,1500
2003-10-06,4.3,4.9,4.3,4.78,7426
2003-10-07,4.8,5.05,4.72,4.96,16363
2003-10-08,5.0,5.13,4.85,5.0,6659
2003-10-09,4.96,5.6,4.92,5.49,28877
2003-10-10,5.52,5.8,5.52,5.57,9496
2003-10-13,5.4,5.94,5.4,5.71,4829
2003-10-14,5.6,5.79,5.6,5.69,7387
2003-10-15,5.5,5.59,5.43,5.59,1600
2003-10-16,5.5,5.59,5.48,5.51,12718
2003-10-17,5.5,5.58,5.41,5.5,3760
2003-10-20,5.5,5.85,5.42,5.85,13970
2003-10-21,5.7,5.78,5.44,5.46,5029
2003-10-22,5.28,5.28,5.01,5.13,2406
2003-10-23,4.7,5.43,4.7,5.1,4502
2003-10-24,5.1,5.3,5.1,5.3,4510
2003-10-25,5.49,5.5,5.49,5.5,500
2003-10-27,5.5,5.5,5.27,5.27,250
2003-10-28,5.22,5.22,5.02,5.02,225
2003-10-29,5.11,5.4,5.11,5.35,2100
2003-10-30,5.21,5.83,5.21,5.76,2471
2003-10-31,5.9,6.05,5.55,6.0,4665
2003-11-03,6.0,6.07,5.45,5.49,4870
2003-11-04,5.7,5.77,5.23,5.73,4192
2003-11-05,5.5,6.25,5.5,5.97,9150
2003-11-06,6.0,6.8,6.0,6.55,15344
2003-11-07,7.7,7.7,6.41,6.6,9898
2003-11-10,7.2,7.2,6.46,6.95,5775
2003-11-11,6.78,7.2,6.51,6.91,13425
2003-11-12,7.0,7.15,6.55,6.59,3455
2003-11-13,6.6,6.6,6.2,6.25,1810
2003-11-14,6.2,6.2,5.9,5.96,1515
2003-11-15,5.63,6.49,5.61,6.15,623
2003-11-17,6.2,6.6,6.2,6.58,4925
2003-11-18,6.58,7.0,6.58,6.71,16670
2003-11-19,6.97,7.3,6.5,6.6,2411
2003-11-20,6.5,7.92,6.5,7.69,47530
2003-11-21,7.81,8.9,7.81,8.22,81781
