date,open,high,low,close,volume
2007-08-28,17.5,20.0,16.92,17.42,5343469
2007-08-29,16.6,18.78,16.2,18.22,4096774
2007-08-30,18.74,18.79,16.8,17.26,617820
2007-08-31,17.37,17.7,16.27,16.41,343827
2007-09-03,16.68,16.99,16.27,16.38,231062
2007-09-04,16.49,16.8,16.34,16.41,131696
2007-09-05,16.5,16.75,16.31,16.4,89426
2007-09-06,16.35,16.55,16.2,16.34,41799
2007-09-07,16.27,16.49,16.27,16.31,54562
2007-09-10,16.21,16.45,15.91,16.04,45921
2007-09-11,15.91,16.24,15.6,15.73,31539
2007-09-12,16.0,16.28,15.5,15.64,46393
2007-09-13,15.7,15.92,15.51,15.63,29981
2007-09-14,15.99,16.0,15.24,15.35,30116
2007-09-17,15.01,15.7,15.01,15.2,55709
2007-09-18,15.2,15.55,15.01,15.15,35183
2007-09-19,15.4,15.5,15.1,15.24,39079
2007-09-20,15.15,15.31,15.0,15.01,27069
2007-09-21,15.0,17.0,15.0,15.58,161899
2007-09-24,16.3,16.3,15.13,15.2,24490
2007-09-25,15.2,15.39,15.0,15.01,25487
2007-09-26,15.02,15.79,15.0,15.02,28015
2007-09-27,15.11,15.32,15.0,15.01,23192
2007-09-28,15.35,15.5,15.0,15.02,14906
2007-10-01,15.18,15.18,14.82,14.89,21142
2007-10-03,14.91,15.0,11.92,13.8,28610
2007-10-04,13.8,14.63,13.15,14.09,33292
2007-10-05,14.21,14.21,13.01,13.34,24254
2007-10-08,13.6,13.67,12.5,12.58,20718
2007-10-09,12.23,13.0,12.1,12.58,22692
2007-10-10,12.79,13.33,12.46,12.56,17894
2007-10-11,12.6,12.74,12.5,12.55,5825
2007-10-12,12.5,12.7,12.35,12.45,14292
2007-10-15,12.46,12.88,12.4,12.46,19226
2007-10-16,12.41,12.64,12.41,12.49,12816
2007-10-17,10.37,13.2,10.37,12.56,16547
2007-10-18,12.9,12.99,12.5,12.6,27179
2007-10-19,12.7,12.9,12.5,12.72,17105
2007-10-22,12.51,12.7,12.35,12.48,8250
2007-10-23,12.51,12.88,12.51,12.6,9613
2007-10-24,12.8,12.85,12.5,12.63,7296
2007-10-25,12.74,12.81,12.58,12.63,8516
2007-10-26,12.79,12.9,12.51,12.59,14227
2007-10-29,13.5,14.0,13.12,13.25,24523
2007-10-30,13.35,13.4,12.7,12.96,12981
2007-10-31,13.0,13.19,12.62,12.81,9782
2007-11-01,13.0,13.0,12.3,12.45,10004
2007-11-02,12.31,12.41,12.2,12.33,6366
2007-11-05,12.5,13.4,12.5,13.21,26586
2007-11-06,13.2,13.3,12.22,12.4,15033
2007-11-07,12.51,12.6,12.03,12.15,9284
2007-11-08,12.17,12.3,12.06,12.15,3666
2007-11-09,12.3,12.48,12.14,12.19,1315
2007-11-12,12.4,12.4,11.63,12.17,7031
2007-11-13,11.87,12.3,11.8,11.91,6226
2007-11-14,12.0,12.5,11.9,12.0,13185
2007-11-15,12.3,12.3,11.9,12.09,7129
2007-11-16,12.1,13.39,12.1,13.06,28722
2007-11-19,13.3,15.68,13.15,15.68,76849
2007-11-20,15.99,17.5,15.99,16.58,178808
2007-11-21,16.84,18.0,15.65,16.04,88704
2007-11-22,15.9,16.4,14.91,15.38,22385
2007-11-23,15.0,15.96,15.0,15.36,14263
2007-11-26,15.6,16.7,15.28,16.08,51895
2007-11-27,16.25,16.25,15.3,16.05,20733
2007-11-28,15.9,16.3,15.81,16.09,10950
2007-11-29,15.95,16.29,15.73,15.99,8401
2007-11-30,15.6,16.09,15.47,15.62,6613
2007-12-03,16.0,16.3,15.6,15.91,8735
2007-12-04,15.7,16.2,15.7,16.0,4680
2007-12-05,16.47,16.47,15.84,15.99,8527
2007-12-06,15.9,16.25,15.9,16.15,7869
2007-12-07,15.9,16.25,15.55,15.75,6104
2007-12-10,15.9,16.24,15.6,16.01,9562
2007-12-11,16.2,16.4,15.9,16.18,14114
2007-12-12,16.2,17.5,16.2,17.17,35076
2007-12-13,17.01,17.6,16.74,16.87,11680
2007-12-14,16.6,17.25,16.6,17.08,6338
2007-12-17,17.4,17.4,16.41,16.54,8140
2007-12-18,17.0,17.0,16.15,16.56,2689
2007-12-19,16.36,17.6,16.01,16.71,13741
2007-12-20,16.66,16.75,16.2,16.37,5120
2007-12-24,16.5,16.59,16.27,16.36,1960
2007-12-26,17.2,17.6,16.56,16.97,15032
2007-12-27,17.39,18.1,17.16,17.45,52571
2007-12-28,17.79,18.0,16.8,17.88,25565
2007-12-31,18.0,19.4,17.64,19.18,81010
2008-01-01,19.0,19.86,18.54,19.06,33859
2008-01-02,19.1,19.6,18.5,19.11,33303
2008-01-03,19.4,19.4,18.1,18.6,16045
2008-01-04,18.9,18.9,17.17,17.84,11079
2008-01-07,17.5,18.65,17.5,18.34,9392
2008-01-08,18.5,18.72,17.17,17.27,7680
2008-01-09,17.01,17.66,16.8,17.0,4772
2008-01-10,18.24,18.24,16.5,16.55,6503
2008-01-11,16.12,16.88,16.12,16.51,6187
2008-01-14,16.0,17.1,16.0,16.39,2344
2008-01-15,16.8,16.8,16.11,16.23,2531
2008-01-16,16.29,16.3,15.4,15.8,2848
2008-01-17,15.98,18.9,15.82,17.39,27190
2008-01-18,17.31,18.0,15.6,16.04,10914
2008-01-21,15.62,17.5,13.1,13.84,6721
2008-01-22,13.5,13.5,11.1,11.81,2125
2008-01-23,14.0,14.0,12.5,12.69,8027
2008-01-24,13.5,13.88,12.2,12.54,5261
2008-01-25,12.52,13.77,12.52,13.01,2345
2008-01-28,13.0,13.1,12.6,13.0,2128
2008-01-29,13.13,13.4,13.0,13.23,1487
2008-01-30,13.7,13.7,12.81,13.36,657
2008-01-31,13.9,13.9,12.21,13.24,1818
2008-02-01,13.55,13.55,12.01,12.47,8087
2008-02-04,12.5,13.5,12.5,13.25,3656
2008-02-05,13.7,15.8,13.7,15.4,73572
2008-02-06,15.4,15.4,14.45,14.78,15402
2008-02-07,14.61,15.0,13.71,14.01,4750
2008-02-08,13.9,14.35,12.63,13.71,3320
2008-02-11,12.9,13.5,12.57,12.71,2263
2008-02-12,12.55,12.75,12.3,12.46,1328
2008-02-13,12.5,12.9,12.11,12.65,2001
2008-02-14,13.0,13.4,11.7,12.77,13665
2008-02-15,13.0,13.78,12.71,13.5,55185
2008-02-18,14.0,14.58,13.7,14.01,4140
2008-02-19,13.76,14.35,13.68,13.8,1197
2008-02-20,13.8,13.8,13.25,13.42,1083
2008-02-21,13.3,14.0,13.3,13.9,1177
2008-02-22,13.5,13.61,12.53,12.76,733
2008-02-25,13.2,13.5,12.14,12.96,3739
2008-02-26,13.19,14.0,12.71,13.8,3661
2008-02-27,14.01,14.47,13.8,13.99,4221
2008-02-28,14.4,14.5,14.18,14.42,2756
2008-02-29,14.99,14.99,13.13,13.53,2399
2008-03-03,13.16,13.6,12.62,12.99,2062
2008-03-04,13.5,13.5,12.51,12.67,1062
2008-03-05,14.0,14.0,12.37,12.97,1291
2008-03-07,12.7,13.0,11.62,12.1,1445
2008-03-10,11.7,11.85,11.03,11.64,2108
2008-03-11,12.12,13.23,10.03,12.21,4205
2008-03-12,13.0,13.17,11.51,11.91,12277
2008-03-13,12.1,12.4,11.1,11.2,2224
2008-03-14,11.21,11.94,11.21,11.73,3187
2008-03-17,11.2,11.2,10.5,10.8,8959
2008-03-18,10.7,11.2,9.91,10.46,4750
2008-03-19,10.51,10.7,10.0,10.3,7835
2008-03-24,10.31,10.8,9.0,9.24,7245
2008-03-25,9.4,10.5,9.4,9.78,8985
2008-03-26,10.18,10.59,9.75,10.48,5074
2008-03-27,10.49,10.58,10.03,10.22,8231
2008-03-28,10.69,10.7,10.01,10.49,4376
2008-03-31,10.49,10.49,9.2,9.61,19546
2008-04-01,9.88,10.15,9.7,9.84,4323
2008-04-02,9.9,10.15,9.73,9.95,2846
2008-04-03,9.95,10.09,9.81,9.86,2105
2008-04-04,10.0,10.15,9.9,10.02,2094
2008-04-07,9.8,10.08,9.74,10.0,807
2008-04-08,9.9,10.25,9.9,10.04,948
2008-04-09,10.0,10.19,10.0,10.17,389
2008-04-10,10.1,10.74,9.93,10.32,2412
2008-04-11,10.3,10.4,10.0,10.03,903
2008-04-15,10.24,10.24,9.86,9.96,21330
2008-04-16,9.93,10.67,9.93,10.5,29970
2008-04-17,10.4,10.9,9.98,10.07,131560
2008-04-21,10.59,10.59,10.22,10.42,42620
2008-04-22,10.39,10.5,10.15,10.37,98710
2008-04-23,10.24,10.88,10.24,10.6,53450
2008-04-24,10.52,10.6,10.42,10.48,9780
2008-04-25,10.28,10.6,10.28,10.58,72500
2008-04-28,10.5,10.8,10.5,10.53,25150
2008-04-29,10.42,10.63,10.22,10.47,59040
2008-04-30,10.83,11.1,10.6,10.81,115960
2008-05-02,10.8,11.0,10.56,10.64,12440
2008-05-05,10.55,10.79,10.5,10.54,10700
2008-05-06,10.41,10.75,10.33,10.47,9360
2008-05-07,10.36,10.69,10.35,10.48,13130
2008-05-08,10.4,10.87,10.03,10.63,26120
2008-05-09,10.5,11.0,10.17,10.39,30790
2008-05-12,9.23,10.59,9.23,10.4,6530
2008-05-13,10.5,10.79,10.2,10.47,22660
2008-05-14,10.12,11.2,10.12,10.69,38230
2008-05-15,11.26,11.26,10.8,10.94,42120
2008-05-16,11.27,12.0,11.27,11.62,128620
2008-05-20,11.61,12.3,11.6,11.77,59320
2008-05-21,12.17,12.17,11.51,11.76,14400
2008-05-22,11.9,11.9,11.52,11.54,22070
2008-05-23,11.9,11.9,10.22,11.58,49570
2008-05-26,11.25,11.67,10.82,10.92,6370
2008-05-27,10.8,11.48,10.13,10.57,71100
2008-05-28,10.9,10.95,10.71,10.9,23010
2008-05-29,11.1,11.1,10.53,10.69,18200
2008-05-30,11.0,11.0,10.53,10.54,18270
2008-06-02,10.4,10.78,10.31,10.41,5670
2008-06-03,10.2,10.6,10.06,10.12,12060
2008-06-04,10.89,10.9,9.9,9.93,15040
2008-06-05,9.99,10.2,9.71,9.9,8190
2008-06-06,10.01,10.49,9.61,9.76,20980
2008-06-09,9.6,9.99,9.22,9.6,19670
2008-06-10,9.33,9.99,9.13,9.29,32000
2008-06-11,9.5,9.85,9.38,9.66,18420
2008-06-12,9.33,9.8,9.32,9.8,7270
2008-06-13,9.7,10.35,9.7,9.76,31410
2008-06-16,10.48,10.48,9.67,10.07,15010
2008-06-17,10.07,10.19,10.0,10.01,1800
2008-06-18,10.44,10.45,10.01,10.13,12540
2008-06-19,10.0,10.24,9.7,9.73,13350
2008-06-20,9.71,10.4,9.46,9.62,30490
2008-06-23,9.2,10.0,8.8,9.67,29450
2008-06-24,9.55,9.84,9.2,9.33,12050
2008-06-25,9.01,9.4,9.01,9.27,20090
2008-06-26,8.33,10.25,8.33,10.03,22320
2008-06-27,9.55,9.7,9.3,9.36,8270
2008-06-30,9.81,10.09,9.23,9.26,29150
2008-07-01,9.03,9.3,8.8,8.88,19690
2008-07-02,8.63,8.94,8.38,8.77,20720
2008-07-03,8.3,9.8,8.3,8.65,7940
2008-07-04,8.5,8.86,8.45,8.52,20640
2008-07-07,8.82,9.4,8.7,8.89,6720
2008-07-08,8.85,9.05,8.52,8.96,9660
2008-07-09,9.79,9.79,9.0,9.52,165020
2008-07-10,9.7,9.88,9.13,9.49,12380
2008-07-11,9.08,9.5,9.08,9.25,9710
2008-07-14,9.2,9.38,9.08,9.16,1430
2008-07-15,9.0,9.0,8.43,8.53,29650
2008-07-16,8.47,8.98,8.47,8.97,12380
2008-07-17,8.61,9.2,8.61,8.86,17820
2008-07-18,9.1,9.1,8.7,8.94,12390
2008-07-21,8.9,8.98,8.6,8.88,5890
2008-07-22,9.03,9.6,8.95,9.11,6820
2008-07-23,9.2,9.59,8.92,9.14,8140
2008-07-24,9.1,9.3,8.92,9.03,10940
2008-07-25,9.8,9.8,8.96,8.96,2700
2008-07-28,9.78,9.78,9.3,9.48,14630
2008-07-29,9.35,9.49,8.83,8.95,22430
2008-07-30,9.12,9.33,9.04,9.05,14780
2008-07-31,9.27,9.4,9.09,9.11,15670
2008-08-01,9.0,9.59,9.0,9.16,13370
2008-08-04,9.38,10.39,9.38,10.16,36780
2008-08-05,10.01,10.4,9.95,10.06,44210
2008-08-06,10.35,10.35,9.8,10.1,48660
2008-08-07,10.01,10.28,9.91,10.13,16500
2008-08-08,9.86,10.3,9.85,10.05,7180
2008-08-11,11.51,11.51,10.03,10.15,29960
2008-08-12,11.49,11.49,9.91,10.1,16140
2008-08-13,9.9,10.2,9.81,9.88,15740
2008-08-14,10.29,11.45,10.11,10.36,215250
2008-08-18,10.6,10.9,10.2,10.29,113760
2008-08-19,10.2,10.3,9.91,10.06,44650
2008-08-20,10.2,10.33,9.9,9.97,26600
2008-08-21,10.01,10.01,9.57,9.72,28900
2008-08-22,9.51,9.98,9.51,9.63,20080
2008-08-25,9.58,9.7,9.51,9.53,46150
2008-08-26,9.53,9.79,9.3,9.51,28810
2008-08-27,9.02,9.74,9.02,9.16,45500
2008-08-28,9.16,9.24,9.05,9.23,4760
2008-08-29,9.3,9.38,9.0,9.06,17970
2008-09-01,8.99,9.19,8.99,9.08,7870
2008-09-02,9.05,9.25,9.05,9.19,11730
2008-09-04,8.91,9.2,8.91,9.02,9140
2008-09-05,8.93,9.19,8.93,9.03,8590
2008-09-08,9.21,9.21,9.01,9.03,9600
2008-09-09,9.04,9.1,9.0,9.04,4110
2008-09-10,9.01,9.08,8.93,8.93,3450
2008-09-11,8.96,9.06,8.92,8.93,4560
2008-09-12,8.92,9.1,8.82,8.88,2208410
2008-09-15,8.72,8.88,8.33,8.53,30640
2008-09-16,8.6,8.6,8.31,8.58,7610
2008-09-17,8.5,8.7,8.5,8.5,1372770
2008-09-18,8.39,8.69,8.2,8.31,34970
2008-09-19,8.26,8.4,8.2,8.33,25020
2008-09-22,8.33,8.5,8.33,8.37,2320
2008-09-23,8.48,8.49,8.2,8.3,212650
2008-09-24,8.22,8.49,8.22,8.31,5250
2008-09-25,8.32,8.5,8.3,8.48,12540
2008-09-26,8.4,8.49,8.3,8.34,9490
2008-09-29,8.15,8.3,7.5,7.61,27500
2008-09-30,7.5,7.6,7.3,7.48,13900
2008-10-01,7.1,7.77,7.1,7.6,8480
2008-10-03,7.6,7.6,7.27,7.45,2740
2008-10-06,7.5,7.5,6.71,6.78,17460
2008-10-07,7.4,7.4,6.2,6.6,9630
2008-10-08,6.3,7.0,5.38,6.44,23270
2008-10-10,6.3,6.5,5.6,5.65,28200
2008-10-13,5.9,6.78,5.64,6.78,16390
2008-10-14,6.53,6.94,6.41,6.47,33020
2008-10-15,6.7,6.75,6.21,6.48,11190
2008-10-16,5.77,6.5,5.76,6.1,13610
2008-10-17,5.8,6.7,5.8,5.83,4010
2008-10-20,5.62,6.25,5.62,6.1,4160
2008-10-21,5.8,6.38,5.8,6.17,3580
2008-10-22,6.28,6.48,5.81,5.93,7340
2008-10-23,5.7,6.2,5.7,5.94,5940
2008-10-24,5.99,6.0,5.2,5.25,17040
2008-10-27,5.01,5.01,4.2,4.48,37050
2008-10-28,4.3,5.15,4.3,4.57,1010
2008-10-29,4.6,5.07,4.4,4.41,8650
2008-10-31,4.2,5.19,4.2,4.8,9620
2008-11-03,4.6,5.2,4.6,4.95,3530
2008-11-04,4.7,5.89,4.7,5.36,8520
2008-11-05,5.1,5.5,5.02,5.07,9430
2008-11-06,4.82,4.95,4.42,4.65,3550
2008-11-07,4.6,5.1,4.6,5.08,3840
2008-11-10,5.1,5.1,4.8,4.98,19870
2008-11-11,5.06,5.4,4.75,4.85,1340
2008-11-12,4.7,4.86,4.7,4.73,302450
2008-11-14,5.0,5.0,4.7,4.93,606150
2008-11-17,4.72,5.0,4.72,4.98,3900
2008-11-18,4.55,4.99,4.22,4.46,9370
2008-11-19,4.88,4.95,4.43,4.7,11400
2008-11-20,4.42,4.88,4.42,4.75,8290
2008-11-21,4.7,4.7,4.46,4.6,1700
2008-11-24,4.6,4.6,4.35,4.5,3100
2008-11-25,4.3,4.55,4.13,4.3,2264200
2008-11-26,4.25,4.46,4.03,4.46,1229090
2008-11-28,4.5,4.5,4.3,4.3,500200
2008-12-01,4.8,4.8,4.4,4.4,2860
2008-12-02,4.3,4.47,4.02,4.15,3650
2008-12-03,4.2,4.79,4.0,4.55,4530
2008-12-04,4.32,4.74,4.03,4.6,10960
2008-12-05,4.6,4.7,4.28,4.3,12010
2008-12-08,4.84,4.99,4.5,4.61,10120
2008-12-10,4.55,4.99,4.55,4.67,5620
2008-12-11,4.84,4.95,4.84,4.9,7500
2008-12-12,4.8,5.3,4.8,5.05,9410
2008-12-15,5.1,5.3,4.33,4.95,9050
2008-12-16,5.1,5.3,4.4,4.92,27870
2008-12-17,5.7,5.79,5.2,5.24,16550
2008-12-18,5.07,5.5,5.07,5.37,1002500
2008-12-19,5.17,5.5,5.06,5.15,11550
2008-12-22,5.2,5.69,4.62,4.98,54630
2008-12-23,4.81,5.0,4.5,4.6,17680
2008-12-24,4.8,4.98,4.43,4.46,10230
2008-12-26,4.42,4.6,4.3,4.32,10860
2008-12-29,4.4,4.78,4.25,4.45,197890
2008-12-30,4.3,4.75,4.3,4.75,1850
2008-12-31,4.7,4.7,4.65,4.65,700
2009-01-01,4.51,5.0,4.51,4.88,6090
2009-01-02,4.88,5.2,4.77,5.14,2660
2009-01-05,5.04,5.1,4.5,4.61,54410
2009-01-06,4.65,5.07,4.42,4.43,80290
2009-01-07,4.5,4.65,4.2,4.45,21020
2009-01-09,4.51,4.51,4.0,4.38,5980
2009-01-12,4.39,4.39,3.7,3.8,94680
2009-01-13,4.04,4.04,3.5,3.65,48560
2009-01-14,3.52,4.0,3.52,3.93,21760
2009-01-15,3.7,3.9,3.7,3.75,9140
2009-01-16,3.7,3.75,3.53,3.62,26780
2009-01-19,3.53,3.67,3.15,3.23,202280
2009-01-20,3.15,3.32,3.1,3.3,36070
2009-01-21,3.13,3.3,2.96,3.12,41340
2009-01-22,3.0,3.1,2.64,2.76,69530
2009-01-23,2.71,2.8,2.4,2.5,98600
2009-01-27,2.55,2.65,2.31,2.5,66620
2009-01-28,2.59,2.7,2.5,2.65,20220
2009-01-29,2.8,2.89,2.68,2.8,23010
2009-01-30,2.7,2.9,2.6,2.71,40530
2009-02-02,2.61,2.75,2.58,2.67,8990
2009-02-03,2.54,2.8,2.54,2.79,24060
2009-02-04,2.79,2.79,2.52,2.55,28860
2009-02-05,2.53,2.64,2.37,2.43,86750
2009-02-06,2.5,2.68,2.35,2.45,78330
