date,open,high,low,close,volume
2015-12-23,360.0,421.85,355.58,412.5,22217904
2015-12-24,419.0,454.35,418.0,448.03,9238499
2015-12-28,450.0,453.5,414.0,417.68,3424225
2015-12-29,421.0,424.88,399.05,405.5,2644667
2015-12-30,406.45,414.15,401.5,403.3,1307644
2015-12-31,405.0,409.85,392.5,402.23,1411591
2016-01-01,403.75,409.68,400.5,401.8,682083
2016-01-04,400.95,412.0,396.55,406.08,1288717
2016-01-05,408.2,414.5,403.98,408.53,778749
2016-01-06,408.5,432.0,405.13,417.93,1825228
2016-01-07,411.0,415.0,400.0,401.9,373132
2016-01-08,405.5,411.0,402.5,403.45,328208
2016-01-11,401.5,402.45,393.3,398.53,354808
2016-01-12,399.9,408.0,398.5,401.1,371860
2016-01-13,404.73,407.45,388.18,399.83,438596
2016-01-14,386.18,410.45,386.18,407.25,370832
2016-01-15,412.0,412.0,391.0,394.55,147545
2016-01-18,390.0,396.23,382.55,385.93,172923
2016-01-19,388.48,388.5,352.5,361.1,970683
2016-01-20,357.0,374.0,348.25,360.18,686899
2016-01-21,364.9,368.85,362.5,364.48,120661
2016-01-22,368.5,372.18,355.0,368.83,152880
2016-01-25,368.15,382.2,366.4,374.33,241245
2016-01-27,377.0,388.0,369.2,379.2,150224
2016-01-28,374.63,384.5,374.55,378.93,74260
2016-01-29,379.0,395.88,375.4,387.1,316960
2016-02-01,387.75,405.48,387.5,399.58,206519
2016-02-02,402.45,408.6,392.78,399.0,182113
2016-02-03,392.5,402.0,385.0,393.33,103985
2016-02-04,390.5,403.95,390.5,401.35,517300
2016-02-05,403.5,404.95,398.35,400.13,49206
2016-02-08,395.0,406.78,395.0,400.35,41172
2016-02-09,396.5,399.0,392.55,397.43,37792
2016-02-10,395.55,404.0,392.0,401.45,56327
2016-02-11,393.5,407.5,393.5,399.6,145971
2016-02-12,399.5,410.0,388.53,401.33,177643
2016-02-15,416.5,425.0,405.63,412.68,148787
2016-02-16,411.5,426.85,402.53,420.28,156266
2016-02-17,424.33,427.95,411.0,425.6,304861
2016-02-18,428.18,437.13,422.48,428.8,149122
2016-02-19,428.9,437.45,423.03,433.15,72046
2016-02-22,435.0,439.5,417.63,423.55,93270
2016-02-23,424.53,435.0,408.15,425.95,113125
2016-02-24,415.0,426.38,412.0,415.15,39657
2016-02-25,417.5,420.0,413.5,418.18,78742
2016-02-26,419.33,420.83,410.0,414.25,22318
2016-02-29,417.0,417.0,407.25,413.35,142044
2016-03-01,413.0,421.95,413.0,414.38,29602
2016-03-02,417.03,432.65,414.88,426.5,98579
2016-03-03,432.0,473.5,428.93,446.95,507551
2016-03-04,444.9,444.9,427.53,429.5,94155
2016-03-08,430.2,433.0,420.0,422.33,64592
2016-03-09,419.9,452.43,417.0,436.93,251261
2016-03-10,434.5,439.98,425.0,432.23,72891
2016-03-11,426.53,439.85,426.53,431.35,39072
2016-03-14,430.5,452.4,428.63,445.3,137006
2016-03-15,447.0,457.5,438.0,453.33,135275
2016-03-16,455.0,455.0,439.0,441.03,47970
2016-03-17,442.03,474.7,441.1,453.08,343488
2016-03-18,454.0,468.5,452.5,461.35,96995
2016-03-21,460.0,471.0,455.5,459.13,92940
2016-03-22,459.0,472.45,458.05,470.0,89361
2016-03-23,469.0,483.45,457.5,460.73,132423
2016-03-28,462.2,469.5,460.5,465.8,61760
2016-03-29,464.5,471.5,460.0,463.48,59952
2016-03-30,466.5,472.48,463.63,465.3,87052
2016-03-31,469.0,469.53,456.0,461.65,116771
2016-04-01,460.0,477.0,459.0,471.23,91533
2016-04-04,471.5,498.7,471.5,494.0,193192
2016-04-05,494.0,507.2,492.48,494.58,200157
2016-04-06,497.4,502.0,483.75,493.98,57883
2016-04-07,496.45,500.95,492.48,495.43,143818
2016-04-08,499.83,505.7,492.45,501.7,47136
2016-04-11,510.0,522.2,504.23,510.98,230486
2016-04-12,514.0,516.65,505.95,511.48,37646
2016-04-13,514.95,515.9,503.0,505.93,33669
2016-04-18,507.5,507.5,491.7,493.5,32203
2016-04-20,495.0,501.75,492.0,493.53,35037
2016-04-21,497.83,499.98,487.5,488.93,34853
2016-04-22,486.0,495.0,470.9,482.6,32112
2016-04-25,485.05,492.45,481.5,484.48,19282
2016-04-26,486.85,491.9,484.93,486.2,14432
2016-04-27,488.73,503.9,487.78,497.98,56567
2016-04-28,500.5,504.38,493.5,496.28,32686
2016-04-29,495.23,503.0,488.08,492.55,65661
2016-05-02,494.0,496.25,481.5,483.38,52137
2016-05-03,486.0,495.48,485.55,490.58,172581
2016-05-04,485.08,490.13,485.08,487.18,13829
2016-05-05,495.5,495.5,487.5,489.4,7604
2016-05-06,490.08,490.08,482.0,485.78,8193
2016-05-09,495.5,502.5,460.15,490.9,42336
2016-05-10,491.05,492.45,475.0,477.53,15141
2016-05-11,476.95,487.0,472.5,478.93,17134
2016-05-12,482.4,484.0,476.53,477.75,7649
2016-05-13,478.5,482.5,474.0,476.43,6583
2016-05-16,516.5,516.5,474.98,478.75,17135
2016-05-17,480.05,489.5,479.0,487.25,27805
2016-05-18,489.5,495.5,481.15,492.35,14044
2016-05-19,497.48,497.48,486.75,490.05,7101
2016-05-20,490.55,495.0,480.5,487.48,7892
2016-05-23,493.9,493.9,480.5,481.5,27940
2016-05-24,480.0,486.75,478.0,479.75,6237
2016-05-25,487.0,487.0,480.83,485.43,5138
2016-05-26,487.0,492.5,481.48,490.05,10057
2016-05-27,490.05,507.45,463.03,470.75,223659
2016-05-30,472.5,484.2,470.63,472.95,40219
2016-05-31,471.5,477.35,468.0,469.83,17317
2016-06-01,465.05,475.5,465.05,474.45,13668
2016-06-02,476.0,482.5,473.48,481.78,48003
2016-06-03,486.0,507.75,482.5,496.15,125926
2016-06-06,498.7,498.7,488.0,494.7,22746
2016-06-07,499.4,505.0,494.03,498.13,46900
2016-06-08,503.18,503.18,492.5,494.88,35067
2016-06-09,498.48,509.5,492.5,494.53,22385
2016-06-10,499.35,506.73,490.0,494.03,34363
2016-06-13,491.5,501.98,491.5,497.98,38538
2016-06-14,498.0,499.5,486.28,489.45,33223
2016-06-15,493.98,494.45,476.25,478.25,23208
2016-06-16,477.5,478.43,457.45,468.43,151778
2016-06-17,471.98,472.45,442.5,448.6,366562
2016-06-20,443.6,446.85,432.63,434.8,53805
2016-06-21,432.93,441.9,419.3,421.13,101646
2016-06-22,422.0,428.45,407.5,423.63,101139
2016-06-23,424.0,424.0,415.65,418.9,38758
2016-06-24,410.0,412.55,385.0,410.28,33197
2016-06-27,412.45,423.0,407.55,418.7,43512
2016-06-28,416.0,425.5,416.0,420.38,23663
2016-06-29,423.85,429.0,419.75,427.7,54792
2016-06-30,430.45,430.45,416.5,423.65,87830
2016-07-01,427.45,427.45,417.55,419.1,19432
2016-07-04,422.0,448.4,421.03,440.88,121827
2016-07-05,440.88,458.45,440.88,456.7,124825
2016-07-07,458.5,486.0,457.33,464.05,155620
2016-07-08,466.0,477.2,466.0,475.4,93634
2016-07-11,478.3,498.7,475.0,497.45,111438
2016-07-12,500.0,504.0,490.0,496.98,47969
2016-07-13,496.98,501.85,481.65,484.18,30070
2016-07-14,488.0,492.98,483.0,487.98,13348
2016-07-15,486.15,499.3,486.15,491.45,17022
2016-07-18,489.0,497.98,488.95,492.88,9474
2016-07-19,492.88,497.5,487.58,490.75,15186
2016-07-20,492.95,498.5,490.53,494.53,16152
2016-07-21,493.1,497.4,487.5,493.35,21795
2016-07-22,493.8,494.25,488.45,489.48,93553
2016-07-25,493.98,497.5,482.0,486.25,16575
2016-07-26,488.75,490.25,482.75,485.68,27289
2016-07-27,485.68,490.98,482.1,484.08,6855
2016-07-28,485.65,490.0,479.0,480.88,18248
2016-07-29,484.5,504.7,480.5,486.25,313467
2016-08-01,487.5,494.5,483.3,487.05,39436
2016-08-02,487.5,490.5,475.08,477.78,23766
2016-08-03,477.98,480.25,464.8,466.93,17960
2016-08-04,467.5,477.93,462.5,465.3,8797
2016-08-05,467.93,473.13,463.0,464.75,44206
2016-08-08,468.7,469.43,459.5,462.53,15525
2016-08-09,464.2,465.33,452.55,455.68,15071
2016-08-10,457.45,457.45,450.0,452.3,10044
2016-08-11,451.75,455.0,448.68,454.15,12293
2016-08-12,455.38,470.0,453.5,466.63,25220
2016-08-16,469.0,472.65,457.53,460.48,9359
2016-08-17,474.0,474.0,451.0,458.55,22962
2016-08-18,464.5,467.5,460.0,463.08,25202
2016-08-19,463.1,471.0,463.1,465.48,12320
2016-08-22,465.0,470.0,460.5,463.88,6406
2016-08-23,463.88,467.9,458.75,460.75,6411
2016-08-24,460.75,478.95,460.75,466.2,270961
2016-08-25,466.0,474.5,464.5,467.63,11285
2016-08-26,461.65,467.5,456.55,460.9,24461
2016-08-29,459.73,466.5,459.73,462.75,7460
2016-08-30,467.5,521.15,467.0,502.88,429143
2016-08-31,504.0,559.98,502.23,540.88,701966
2016-09-01,539.0,542.5,525.0,530.6,152906
2016-09-02,530.0,635.0,525.55,580.65,1466322
2016-09-06,587.35,599.5,557.0,563.5,206837
2016-09-07,567.0,580.0,561.5,568.25,143709
2016-09-08,568.25,581.0,559.0,563.48,112278
2016-09-09,565.5,598.5,564.0,570.85,254156
2016-09-12,562.5,584.0,555.05,575.03,176566
2016-09-14,577.55,588.25,562.5,567.58,104864
2016-09-15,573.0,573.5,562.5,566.13,37611
2016-09-16,571.78,604.65,567.5,599.4,404277
2016-09-19,595.0,638.0,586.23,623.98,408969
2016-09-20,627.5,629.35,596.0,600.68,117269
2016-09-21,603.5,615.03,591.0,596.5,78404
2016-09-22,599.5,610.0,590.0,593.45,49919
2016-09-23,595.05,598.45,585.0,587.35,42577
2016-09-26,581.0,602.43,579.8,583.38,74957
2016-09-27,587.33,594.0,577.5,581.15,48857
2016-09-28,584.5,586.85,567.98,572.45,31666
2016-09-29,575.5,576.8,495.0,541.48,85046
2016-09-30,542.5,542.5,526.13,535.05,59607
2016-10-03,533.1,545.0,533.1,538.75,48626
2016-10-04,542.43,549.5,531.0,536.03,33638
2016-10-05,539.0,545.85,530.5,531.5,38104
2016-10-06,531.53,540.0,525.53,531.38,32951
2016-10-07,531.4,534.0,521.25,524.83,16184
2016-10-10,525.0,532.0,520.0,523.55,28869
2016-10-13,524.35,524.5,511.0,517.98,77221
2016-10-14,524.0,524.0,514.6,519.03,37611
2016-10-17,515.0,531.85,501.13,505.43,178928
2016-10-18,507.5,515.03,507.0,512.25,80983
2016-10-19,516.9,519.5,510.5,513.78,31359
2016-10-20,517.5,548.85,510.5,536.68,91342
2016-10-21,541.18,567.5,540.0,561.15,218459
2016-10-24,571.0,594.88,567.6,590.0,183486
2016-10-25,592.0,594.38,572.03,575.35,59834
2016-10-26,575.35,585.0,563.5,574.23,68985
2016-10-27,574.5,592.5,573.03,589.2,51773
