date,open,high,low,close,volume
2016-12-19,97.98,99.6,95.0,96.08,87741675
2016-12-20,96.56,97.89,93.14,94.74,12775220
2016-12-21,94.8,96.0,94.0,94.68,4620385
2016-12-22,94.4,95.58,94.0,94.91,5630110
2016-12-23,94.99,95.6,94.22,95.13,2094665
2016-12-26,95.0,95.4,90.44,91.04,2237565
2016-12-27,91.5,98.28,90.66,96.25,7962865
2016-12-28,96.6,98.0,94.86,97.25,4318655
2016-12-29,97.76,99.78,95.34,96.05,1870740
2016-12-30,96.75,96.9,95.8,96.17,814260
2017-01-02,96.4,97.58,95.19,97.28,903575
2017-01-03,97.2,97.6,95.11,95.27,561355
2017-01-04,95.98,96.75,94.76,95.1,491035
2017-01-05,95.77,96.58,95.1,95.27,455055
2017-01-06,95.78,95.98,94.31,94.55,340570
2017-01-09,95.59,96.0,92.56,95.06,948015
2017-01-10,95.07,95.4,93.7,94.62,370290
2017-01-11,94.8,95.6,94.61,95.01,377015
2017-01-12,94.4,96.11,93.93,95.05,436490
2017-01-13,95.0,99.94,94.65,98.92,2654720
2017-01-16,99.2,99.76,96.8,97.05,2818405
2017-01-17,97.18,97.9,95.0,95.39,2304050
2017-01-18,95.79,97.0,95.4,95.62,317020
2017-01-19,95.73,97.0,95.73,96.17,346810
2017-01-20,96.0,96.4,95.1,95.76,580095
2017-01-23,95.8,96.34,95.07,95.49,737715
2017-01-24,95.6,96.2,94.88,95.5,1472090
2017-01-25,95.93,96.0,95.2,95.52,797325
2017-01-27,94.41,96.0,94.41,94.71,181720
2017-01-30,94.8,96.0,94.44,95.63,542220
2017-01-31,95.8,96.2,94.8,94.95,389600
2017-02-01,94.1,96.09,94.1,95.12,3309870
2017-02-02,95.2,96.0,94.5,94.8,654590
2017-02-03,95.76,101.58,93.4,100.56,3281520
2017-02-06,102.0,116.28,101.4,111.41,13370230
2017-02-07,111.6,117.0,108.5,111.97,7256860
2017-02-08,112.48,113.94,109.24,110.0,2018595
2017-02-09,110.6,113.0,110.6,111.94,1700945
2017-02-10,111.7,111.7,105.45,107.16,2309325
2017-02-13,107.2,108.0,103.02,103.7,1661280
2017-02-14,104.6,104.6,101.31,102.03,1387530
2017-02-15,102.0,104.8,100.72,101.71,1498280
2017-02-16,101.96,102.02,100.15,100.75,1146180
2017-02-17,101.6,101.75,99.4,100.16,796185
2017-02-20,101.18,101.54,99.61,101.06,2796630
2017-02-21,101.0,104.89,99.6,103.26,1426800
2017-02-22,104.0,106.82,103.17,104.34,1468740
2017-02-23,103.8,106.38,103.8,104.24,574105
2017-02-27,104.91,104.91,101.46,102.09,534435
2017-02-28,102.02,104.09,101.43,101.99,552205
2017-03-01,102.57,104.98,101.69,102.02,1252155
2017-03-02,102.95,103.2,100.12,101.62,633500
2017-03-03,101.62,102.08,100.2,101.38,572980
2017-03-06,101.99,103.24,101.1,102.37,491905
2017-03-07,102.8,106.2,101.35,104.3,1245775
2017-03-08,104.18,104.35,103.09,103.58,700715
2017-03-09,103.2,104.79,102.61,102.99,505475
2017-03-10,103.35,103.79,102.0,102.21,213005
2017-03-14,103.34,104.2,102.21,102.93,224685
2017-03-15,103.0,106.6,103.0,105.46,1243615
2017-03-16,106.19,107.0,105.33,106.12,616800
2017-03-17,106.1,107.0,104.64,106.12,603860
2017-03-20,106.2,107.96,105.0,105.54,716870
2017-03-21,107.0,107.01,103.01,103.59,583580
2017-03-22,103.02,103.59,99.26,102.44,316640
2017-03-23,102.6,104.29,101.99,102.37,465955
2017-03-24,103.38,103.6,101.99,102.01,439855
2017-03-27,102.23,103.6,102.21,102.58,388630
2017-03-28,103.4,103.4,101.51,102.07,374540
2017-03-29,102.3,103.43,102.18,102.98,1555455
2017-03-30,103.2,105.98,102.2,103.69,539645
2017-03-31,104.0,104.51,102.63,103.24,364060
2017-04-03,103.4,105.6,103.0,104.12,329685
2017-04-05,104.59,105.8,103.05,103.97,777775
2017-04-06,103.8,105.38,103.1,103.43,215210
2017-04-07,103.05,104.98,100.5,102.12,3167850
2017-04-10,102.0,104.8,102.0,102.86,410910
