date,open,high,low,close,volume
2003-09-05,27.01,27.4,26.6,26.78,82224
2003-09-08,27.03,28.4,26.7,28.26,265659
2003-09-09,28.75,28.89,27.8,28.11,218569
2003-09-10,27.77,28.04,27.02,27.29,172699
2003-09-11,27.3,27.74,26.89,27.16,108330
2003-09-12,27.36,27.5,26.61,26.78,58294
2003-09-15,26.71,26.8,25.6,25.69,84523
2003-09-16,25.7,26.56,25.04,25.41,160260
2003-09-17,25.6,26.59,25.4,25.54,148823
2003-09-18,25.68,25.68,25.0,25.01,114276
2003-09-19,25.28,25.3,23.43,24.67,280053
2003-09-22,24.8,25.2,23.7,24.02,118554
2003-09-23,24.02,24.36,23.61,24.1,52379
2003-09-24,24.4,25.2,24.37,24.96,96862
2003-09-25,25.2,25.35,24.8,24.91,86403
2003-09-26,25.0,25.58,25.0,25.17,60255
2003-09-29,25.8,25.8,25.22,25.35,65107
2003-09-30,25.68,28.0,25.52,27.23,655936
2003-10-01,27.54,28.98,27.5,28.65,696803
2003-10-03,29.08,29.37,28.21,28.43,723581
2003-10-06,28.6,30.7,28.6,29.87,933694
2003-10-07,30.08,31.0,29.0,30.27,998223
2003-10-08,30.48,32.0,30.47,31.7,1667586
2003-10-09,32.4,34.0,32.31,33.58,1426372
2003-10-10,34.26,35.35,32.64,34.53,1176470
2003-10-13,35.14,35.39,34.01,34.94,926686
2003-10-14,35.0,36.91,34.6,36.18,936872
2003-10-15,36.4,36.59,35.5,36.07,560543
2003-10-16,36.0,37.12,36.0,36.58,308591
2003-10-17,36.58,37.2,36.27,36.47,226735
2003-10-20,36.5,36.5,31.0,34.42,263273
2003-10-21,34.5,34.58,32.8,33.52,371236
2003-10-22,33.4,35.4,32.27,34.13,320609
2003-10-23,34.0,34.3,33.46,33.98,221403
2003-10-24,33.3,34.48,33.3,34.26,105478
2003-10-25,34.6,34.82,34.0,34.3,34061
2003-10-27,34.15,34.56,33.85,34.29,97805
2003-10-28,34.3,34.5,33.7,34.16,98908
2003-10-29,34.49,34.49,32.1,32.67,148037
2003-10-30,33.32,33.76,33.04,33.43,93144
2003-10-31,33.8,35.12,33.6,34.21,91984
2003-11-03,35.01,35.6,34.01,34.33,265065
2003-11-04,34.8,34.9,33.3,33.69,197092
2003-11-05,33.62,34.85,33.4,33.86,422933
2003-11-06,34.28,34.75,32.7,33.12,92753
2003-11-07,33.48,34.2,32.61,32.95,51926
2003-11-10,32.24,32.98,31.7,32.14,64512
2003-11-11,32.5,32.88,32.12,32.53,97891
2003-11-12,33.26,35.6,33.26,34.52,565497
2003-11-13,35.0,38.0,34.62,36.44,897903
2003-11-14,37.98,38.38,34.11,34.58,5950105
2003-11-15,35.0,35.76,34.4,35.2,236179
2003-11-17,35.47,36.6,34.2,35.7,462508
2003-11-18,35.4,35.98,34.63,34.86,137084
2003-11-19,34.99,35.0,33.71,33.97,133667
2003-11-20,34.36,34.69,32.6,33.14,108382
2003-11-21,32.78,33.4,32.2,32.94,132969
2003-11-24,33.27,35.22,33.22,34.64,358799
2003-11-25,35.03,36.2,34.66,34.94,403211
2003-11-27,35.22,35.76,34.32,34.53,236996
2003-11-28,34.9,36.57,34.4,35.99,889155
2003-12-01,36.36,36.74,35.1,35.35,243744
2003-12-02,35.92,38.28,35.04,37.79,1410596
2003-12-03,38.14,39.24,37.02,37.63,952746
2003-12-04,37.88,38.84,36.8,37.58,795777
2003-12-05,38.0,39.68,37.64,38.63,984955
2003-12-08,39.02,41.96,38.84,41.5,1511025
2003-12-09,42.34,43.48,42.08,43.11,1033634
2003-12-10,43.0,43.0,40.83,41.32,484633
2003-12-11,41.8,41.8,39.6,39.89,413054
2003-12-12,40.86,41.98,39.8,41.0,934438
2003-12-15,41.4,42.96,41.04,42.23,707377
2003-12-16,43.96,43.96,40.19,40.66,354284
2003-12-17,41.0,41.4,39.71,39.92,367882
2003-12-18,40.02,40.59,39.6,39.72,348140
2003-12-19,40.2,40.2,39.69,40.06,292742
2003-12-22,40.2,42.36,40.0,41.05,545925
2003-12-23,41.58,42.8,41.1,42.22,757729
2003-12-24,42.8,43.28,42.0,42.51,490107
2003-12-26,42.8,44.0,42.17,43.26,544148
2003-12-29,43.74,44.28,42.61,43.44,392318
2003-12-30,43.6,45.1,43.0,44.05,492434
2003-12-31,44.39,45.4,43.6,43.81,400339
2004-01-01,44.1,44.7,43.4,43.6,143477
2004-01-02,44.28,44.98,43.98,44.1,189518
2004-01-05,44.43,44.64,42.3,42.59,224618
