date,open,high,low,close,volume
2003-09-05,32.78,32.78,31.83,32.17,1462026
2003-09-08,32.87,33.22,32.36,32.86,928846
2003-09-09,33.22,33.67,32.23,33.3,1529625
2003-09-10,33.22,34.28,33.22,34.15,2337884
2003-09-11,34.31,34.63,33.53,33.77,1442521
2003-09-12,34.06,34.47,33.28,33.43,1549048
2003-09-15,30.56,33.82,30.56,32.63,860566
2003-09-16,32.22,34.13,31.69,33.99,1636339
2003-09-17,34.11,34.39,32.92,33.24,934227
2003-09-18,33.33,33.33,31.78,31.97,906702
2003-09-19,33.22,33.22,31.47,32.47,904239
2003-09-22,32.67,33.22,32.01,32.72,747643
2003-09-23,32.67,33.22,32.24,32.96,613877
2003-09-24,33.22,34.5,32.82,34.27,1531890
2003-09-25,34.19,34.36,33.56,34.08,634770
2003-09-26,34.11,34.91,33.94,34.8,1108602
2003-09-29,34.89,35.75,34.89,35.56,836510
2003-09-30,35.71,36.09,35.06,35.9,991885
2003-10-01,35.56,36.1,35.33,35.61,768583
2003-10-03,36.0,37.99,35.51,37.67,1483841
2003-10-06,37.78,38.89,37.14,38.72,1529916
2003-10-07,39.33,39.99,37.33,39.36,1396610
2003-10-08,39.64,39.78,38.28,38.87,1292452
2003-10-09,39.11,40.22,38.73,40.04,1502156
2003-10-10,40.22,42.44,40.0,42.08,1672486
2003-10-13,42.17,44.22,41.46,42.57,1242556
2003-10-14,42.22,43.22,41.89,42.43,1202752
2003-10-15,42.17,43.0,41.58,42.64,1176651
2003-10-16,42.44,43.54,42.37,42.86,972360
2003-10-17,42.99,44.87,41.68,44.52,1856327
2003-10-20,44.78,46.41,44.0,45.79,1854144
2003-10-21,45.11,45.66,44.05,44.9,1771938
2003-10-22,44.44,45.11,44.13,44.62,1296807
2003-10-23,44.44,45.44,43.7,44.08,1260545
2003-10-24,43.9,44.27,41.89,43.46,1537216
2003-10-25,43.99,44.78,43.99,44.1,205026
2003-10-27,44.0,44.71,42.89,43.21,1167675
2003-10-28,43.1,44.56,42.31,43.79,1032104
2003-10-29,44.44,44.56,43.01,43.42,1018701
2003-10-30,43.56,44.2,43.33,43.82,602107
2003-10-31,44.21,45.38,44.06,45.17,987960
2003-11-03,45.49,46.83,45.49,46.67,1163325
2003-11-04,46.91,47.23,45.69,47.01,1316338
2003-11-05,46.99,47.64,46.44,46.83,1211769
2003-11-06,47.21,47.32,46.22,46.59,624711
2003-11-07,46.67,47.2,45.85,45.98,532333
2003-11-10,45.89,45.89,44.78,45.31,313482
2003-11-11,45.56,46.0,45.13,45.63,719702
2003-11-12,45.23,46.78,45.0,46.51,964374
2003-11-13,46.36,46.67,45.11,45.69,649240
2003-11-14,45.44,45.89,43.11,43.49,1129474
2003-11-15,43.77,44.39,42.78,44.02,195788
2003-11-17,44.0,44.66,43.41,44.16,545013
2003-11-18,44.54,44.66,42.78,43.11,834900
2003-11-19,43.11,43.11,40.24,41.04,1697213
2003-11-20,41.22,42.1,40.11,40.46,1273180
2003-11-21,40.19,40.89,39.73,40.47,1027607
2003-11-24,40.78,41.95,40.56,41.54,860332
2003-11-25,42.0,42.71,41.67,42.44,873136
2003-11-27,42.33,43.19,42.33,42.93,1052058
2003-11-28,43.06,44.72,43.01,44.54,778740
2003-12-01,44.94,45.99,44.33,45.59,854781
2003-12-02,46.04,46.11,44.72,45.35,1293376
2003-12-03,45.44,46.16,45.39,45.79,897037
2003-12-04,45.56,45.78,44.84,45.41,471039
2003-12-05,45.56,46.91,45.46,45.73,1357017
2003-12-08,45.56,46.66,45.12,46.21,965828
2003-12-09,46.5,48.09,46.45,47.9,1228887
2003-12-10,47.89,48.88,47.67,48.54,1243174
2003-12-11,48.67,49.0,47.78,48.77,1036968
2003-12-12,48.78,49.32,48.13,48.58,1006265
2003-12-15,48.67,49.44,48.51,49.17,502419
2003-12-16,48.89,48.89,47.81,48.51,594213
2003-12-17,48.56,48.59,47.91,48.27,543081
2003-12-18,47.71,51.47,47.71,50.92,1168160
2003-12-19,51.22,55.78,50.28,55.41,4190934
2003-12-22,54.67,55.93,53.89,54.75,1189087
2003-12-23,54.89,55.31,54.06,54.26,1092944
2003-12-24,54.44,58.0,54.44,57.15,1386028
2003-12-26,51.11,59.3,51.11,58.82,1919715
2003-12-29,58.67,59.94,58.56,59.2,1092045
2003-12-30,66.56,66.56,57.26,58.68,1165850
2003-12-31,59.0,60.56,58.34,58.58,1214795
2004-01-01,59.42,59.75,58.79,59.06,732150
2004-01-02,48.88,60.06,48.88,59.62,917594
2004-01-05,60.0,60.04,56.11,58.55,1011498
2004-01-06,58.78,62.75,57.33,58.45,2345364
2004-01-07,58.89,59.94,57.01,59.35,1979980
2004-01-08,60.0,64.33,59.89,63.7,1808775
2004-01-09,66.11,66.67,63.69,64.74,1936192
2004-01-12,64.61,65.32,63.0,64.4,1060398
2004-01-13,62.78,65.11,62.78,64.42,1024081
2004-01-14,65.0,66.32,64.78,65.6,931859
2004-01-15,66.13,66.13,61.69,62.38,1295919
2004-01-16,62.56,62.56,56.23,58.52,2187186
2004-01-19,58.33,61.85,56.69,59.7,2107911
2004-01-20,59.78,61.0,57.22,57.76,1776707
2004-01-21,57.56,59.2,55.33,56.42,1621392
2004-01-22,56.78,57.77,54.67,55.62,1653114
2004-01-23,56.67,59.76,56.67,59.2,1163103
2004-01-27,60.22,61.5,58.33,61.13,1008643
2004-01-28,61.0,61.72,57.9,58.52,1276121
2004-01-29,58.89,59.56,56.87,57.94,1616098
2004-01-30,58.78,59.0,55.24,55.73,1096664
2004-02-03,55.0,56.43,54.14,55.15,1701215
2004-02-04,55.78,57.93,55.01,57.65,1262878
2004-02-05,57.89,58.67,55.08,55.68,1604402
2004-02-06,56.11,56.11,51.52,55.31,4559513
2004-02-09,55.78,56.67,54.22,56.04,2587488
2004-02-10,56.11,57.33,55.26,56.07,2680878
2004-02-11,56.56,57.76,56.45,57.58,1549228
2004-02-12,57.69,58.87,57.22,57.93,2128208
2004-02-13,58.0,58.89,57.23,58.55,1079549
2004-02-16,58.78,61.21,58.78,60.78,1937363
2004-02-17,60.89,62.35,60.02,62.0,1793731
2004-02-18,62.28,62.55,60.45,60.76,1743455
2004-02-19,60.56,61.54,59.77,60.27,1959896
2004-02-20,60.1,61.33,59.11,60.17,2085667
2004-02-23,60.35,60.98,57.56,57.95,1139364
2004-02-24,58.0,60.99,57.62,60.64,1842302
2004-02-25,61.11,62.21,60.67,61.05,2242413
2004-02-26,61.6,63.2,60.0,62.49,2657786
2004-02-27,62.89,63.33,61.34,62.52,1486477
2004-03-01,62.67,66.06,62.67,65.55,1685608
2004-03-03,65.95,65.95,64.45,65.37,1113312
2004-03-04,65.22,66.75,64.34,65.13,1480606
2004-03-05,65.22,66.61,64.9,66.32,1402932
2004-03-08,66.45,68.19,66.45,67.36,1538744
2004-03-09,67.11,67.45,65.11,66.02,909877
2004-03-10,65.78,65.97,64.68,65.06,841998
2004-03-11,64.49,65.0,62.5,62.78,921600
