date,open,high,low,close,volume
2011-08-12,50.09,50.09,45.85,46.55,98188151
2011-08-16,47.34,47.71,45.58,45.85,12435359
2011-08-17,46.18,46.32,44.65,44.78,4804559
2011-08-18,44.78,45.11,42.92,43.06,4346287
2011-08-19,42.83,42.83,41.53,41.76,4196723
2011-08-22,41.85,42.23,41.3,41.58,3144678
2011-08-23,41.9,43.67,41.53,43.2,4208711
2011-08-24,43.16,44.83,42.79,43.95,3142285
2011-08-25,44.37,44.83,43.72,44.13,1740800
2011-08-26,44.37,44.55,42.6,42.92,1769056
2011-08-29,43.72,49.34,43.48,47.25,6213609
2011-08-30,48.83,49.11,45.81,46.32,10696584
2011-09-02,46.55,47.71,45.2,47.02,3811454
2011-09-05,46.51,48.37,46.09,47.9,5493057
2011-09-06,47.58,48.6,47.06,48.18,5941534
2011-09-07,48.37,49.02,47.76,48.46,5477769
2011-09-08,48.41,48.55,47.95,48.18,2291566
2011-09-09,48.27,48.55,47.25,47.39,1657760
2011-09-12,47.39,48.04,46.23,47.25,2943855
2011-09-13,47.81,47.95,46.6,46.69,1345797
2011-09-14,47.25,47.25,46.6,46.69,737756
2011-09-15,47.06,47.53,46.6,46.74,956407
2011-09-16,46.83,47.11,46.41,46.55,985457
2011-09-19,46.09,46.88,46.09,46.46,698587
2011-09-20,46.51,46.83,46.09,46.46,742380
2011-09-21,46.51,47.44,46.41,47.02,1324373
2011-09-22,46.51,46.78,45.58,45.67,1156544
2011-09-23,45.34,45.71,44.41,45.16,1426707
2011-09-26,45.11,45.62,43.9,44.37,1091743
2011-09-27,45.02,45.81,44.78,45.62,1077459
2011-09-28,45.85,45.99,45.39,45.62,620212
2011-09-29,45.3,45.67,44.74,44.92,667839
2011-09-30,44.92,45.48,44.65,44.78,504352
2011-10-03,44.23,44.65,43.9,44.23,504729
2011-10-04,44.09,44.65,43.62,43.99,620098
2011-10-05,44.18,44.51,43.72,43.76,389282
2011-10-07,44.83,46.41,44.32,45.48,1410397
2011-10-10,45.58,46.41,45.58,46.32,974262
2011-10-11,46.51,47.34,46.51,46.88,1173838
2011-10-12,46.97,47.2,46.41,46.92,718660
2011-10-13,47.34,47.34,46.88,47.06,710772
2011-10-14,47.06,47.25,46.69,47.11,587892
2011-10-17,47.11,48.46,46.51,47.81,1813344
2011-10-18,47.44,48.27,47.11,47.9,1482558
2011-10-19,47.99,48.64,47.99,48.32,1354263
2011-10-20,48.27,48.27,47.48,47.9,831887
2011-10-21,47.9,48.83,47.81,48.13,1816525
2011-10-24,48.51,48.74,46.6,46.78,516658
2011-10-25,46.97,47.71,45.85,46.78,554002
2011-10-26,47.44,47.81,46.97,47.67,355159
2011-10-28,48.37,48.74,47.81,48.23,902363
2011-10-31,48.37,48.46,47.53,47.62,373628
2011-11-01,47.53,47.67,46.97,47.2,276862
2011-11-02,47.16,48.83,46.51,48.13,4431921
2011-11-03,48.55,48.74,47.67,48.55,2122740
2011-11-04,48.55,48.83,48.04,48.13,736305
2011-11-08,48.18,48.18,47.53,47.62,360389
2011-11-09,47.71,47.9,46.6,46.65,535201
2011-11-11,46.51,46.51,45.67,45.71,788760
2011-11-14,46.51,46.51,45.34,45.48,306415
2011-11-15,45.76,45.76,43.48,43.67,1429142
2011-11-16,43.81,45.06,43.72,44.83,557451
2011-11-17,44.65,45.11,44.04,44.13,377344
2011-11-18,44.09,44.09,42.51,42.83,1271943
2011-11-21,43.16,43.34,41.53,41.67,1240873
2011-11-22,42.09,42.65,41.67,42.18,532353
2011-11-23,42.18,42.18,40.92,41.06,1034599
2011-11-24,40.92,42.37,40.92,41.99,485611
2011-11-25,41.85,42.74,41.48,42.27,390898
2011-11-28,42.37,43.2,42.37,43.02,300681
2011-11-29,42.83,43.3,42.51,42.69,274261
2011-11-30,42.65,42.65,41.95,42.18,192211
2011-12-01,42.92,43.62,42.79,42.97,426595
2011-12-02,43.11,43.25,42.51,43.11,320868
2011-12-05,43.16,43.44,42.83,42.88,223676
2011-12-07,43.25,43.62,42.51,43.02,249015
2011-12-08,42.88,43.11,41.99,42.55,248212
2011-12-09,42.23,42.79,41.85,42.37,220128
2011-12-12,42.79,42.79,41.48,41.62,231374
2011-12-13,41.58,42.37,41.25,41.95,264654
2011-12-14,39.48,42.18,39.48,41.99,220079
2011-12-15,41.85,41.99,41.02,41.48,222807
2011-12-16,41.58,42.18,40.83,40.97,311380
2011-12-19,40.92,40.92,39.25,39.95,404738
2011-12-20,40.04,40.79,39.16,39.53,299070
2011-12-21,39.99,40.46,39.2,39.76,354177
2011-12-22,39.72,40.27,39.53,40.04,197154
2011-12-23,40.18,40.65,40.04,40.37,205281
2011-12-26,40.37,41.02,40.37,40.55,150344
2011-12-27,40.88,41.2,40.46,40.6,167046
2011-12-28,40.6,40.92,40.18,40.55,128220
2011-12-29,40.46,40.55,39.99,40.13,100478
2011-12-30,40.09,40.46,39.76,39.86,196784
2012-01-02,39.99,40.41,39.86,39.95,121400
2012-01-03,40.32,40.83,40.09,40.65,217573
2012-01-04,40.74,40.74,40.27,40.37,195198
2012-01-05,40.92,40.92,39.99,40.51,134402
2012-01-06,40.46,40.79,40.04,40.41,109783
2012-01-07,40.74,41.2,40.27,40.88,27466
2012-01-09,40.92,41.58,40.46,41.3,150198
2012-01-10,41.39,42.65,41.3,42.04,635401
2012-01-11,42.27,44.27,41.67,43.76,823933
2012-01-12,42.97,44.18,42.97,43.76,496784
2012-01-13,43.72,44.88,43.72,44.65,647078
2012-01-16,44.46,44.51,43.39,43.58,200486
2012-01-17,44.41,44.83,43.72,44.04,368175
