date,open,high,low,close,volume
2006-12-18,6.0,6.2,5.13,5.32,5173941
2006-12-19,5.3,5.79,5.02,5.39,6344360
2006-12-20,5.37,5.53,5.18,5.21,1266385
2006-12-21,5.23,5.26,5.0,5.03,540837
2006-12-22,5.08,5.09,4.83,4.89,363765
2006-12-26,4.8,4.96,4.59,4.65,516831
2006-12-27,4.71,4.93,4.6,4.73,727022
2006-12-28,4.8,4.82,4.58,4.6,214915
2006-12-29,4.65,4.8,4.53,4.73,382470
2007-01-02,4.75,5.24,4.68,5.03,949830
2007-01-03,5.05,5.15,4.89,5.04,456458
2007-01-04,5.04,5.14,4.95,4.97,270205
2007-01-05,4.86,5.05,4.83,4.87,145493
2007-01-08,4.92,4.95,4.71,4.76,190618
2007-01-09,4.83,4.85,4.68,4.72,85147
2007-01-10,4.75,4.85,4.67,4.7,105425
2007-01-11,4.68,4.92,4.68,4.76,192249
2007-01-12,4.8,5.06,4.76,4.98,361526
2007-01-15,4.99,5.74,4.95,5.55,1510151
2007-01-16,5.57,5.65,5.25,5.29,535961
2007-01-17,5.37,5.63,5.32,5.49,453200
2007-01-18,5.58,5.65,5.33,5.37,213827
2007-01-19,5.45,5.46,5.22,5.27,96629
2007-01-22,5.38,5.5,5.27,5.31,82417
2007-01-23,5.33,5.33,5.09,5.13,92840
2007-01-24,5.24,5.26,5.03,5.05,112494
2007-01-25,5.1,5.3,5.08,5.19,92967
2007-01-29,5.21,5.3,5.13,5.19,70479
2007-01-31,5.14,5.25,5.1,5.14,50292
2007-02-01,5.2,5.2,5.03,5.06,44197
2007-02-02,5.03,5.19,5.03,5.05,56072
2007-02-05,5.12,5.43,5.05,5.32,227446
2007-02-06,5.38,5.79,5.37,5.55,1302068
2007-02-07,5.6,5.69,5.33,5.36,342771
2007-02-08,5.4,5.46,5.18,5.24,113000
2007-02-09,5.24,5.25,5.01,5.04,107164
2007-02-12,4.93,4.98,4.6,4.65,127210
2007-02-13,4.65,4.8,4.61,4.69,89897
2007-02-14,4.7,4.7,4.47,4.61,101066
2007-02-15,4.76,4.94,4.68,4.84,117613
2007-02-19,4.9,5.13,4.89,4.96,103995
2007-02-20,5.1,5.25,4.82,4.84,95868
2007-02-21,4.86,5.0,4.7,4.73,39026
2007-02-22,4.8,4.84,4.67,4.7,30001
2007-02-23,4.61,4.78,4.45,4.47,81460
2007-02-26,4.39,4.59,4.3,4.5,39967
2007-02-27,4.57,4.65,4.46,4.54,44936
2007-02-28,4.3,4.46,4.15,4.28,85511
2007-03-01,4.32,4.39,4.08,4.24,61989
2007-03-02,4.38,4.58,4.31,4.37,90799
2007-03-05,4.12,4.3,3.84,3.9,113459
2007-03-06,3.98,4.06,3.89,3.99,49673
2007-03-07,3.98,4.13,3.9,3.95,46705
2007-03-08,3.96,4.19,3.92,4.17,50081
2007-03-09,4.2,4.2,4.02,4.05,43652
2007-03-12,4.09,4.15,4.01,4.11,39629
2007-03-13,4.12,4.17,4.01,4.09,29950
2007-03-14,3.9,4.08,3.9,4.02,30353
2007-03-15,4.1,4.18,4.06,4.11,47263
2007-03-16,4.1,4.38,4.09,4.3,33495
2007-03-19,4.39,5.16,4.35,5.13,556509
2007-03-20,5.3,5.44,4.84,4.89,375720
2007-03-21,4.95,4.97,4.53,4.61,123140
2007-03-22,4.69,5.15,4.55,4.88,304104
2007-03-23,4.88,4.99,4.74,4.76,38240
2007-03-26,4.8,4.85,4.56,4.61,31106
2007-03-28,4.7,5.49,4.35,4.39,59095
2007-03-29,4.4,4.72,4.4,4.53,50791
2007-03-30,4.52,4.65,4.52,4.58,28933
2007-04-02,4.24,4.55,4.24,4.43,15226
2007-04-03,4.4,4.68,4.36,4.44,49863
2007-04-04,4.52,4.59,4.47,4.54,22569
2007-04-05,4.53,4.74,4.49,4.61,42720
2007-04-09,4.6,4.69,4.56,4.6,23716
2007-04-10,4.61,4.7,4.56,4.66,20671
