date,open,high,low,close,volume
2003-09-05,47.1,54.29,47.1,53.38,1942802
2003-09-08,53.5,56.59,53.01,55.81,1716410
2003-09-09,56.1,59.0,55.01,57.77,1878825
2003-09-10,57.79,57.79,53.5,53.98,1074747
2003-09-11,54.1,56.59,54.0,54.86,821404
2003-09-12,59.9,59.9,53.01,53.71,727833
2003-09-15,57.0,57.0,49.66,50.19,665277
2003-09-16,49.8,52.4,46.1,51.59,905380
2003-09-17,53.5,56.16,51.5,52.0,680257
2003-09-18,51.5,52.37,48.21,48.64,544327
2003-09-19,49.33,50.2,45.95,47.38,991872
2003-09-22,48.2,48.88,45.86,46.65,473024
2003-09-23,46.1,47.69,45.5,47.25,844879
2003-09-24,45.7,45.7,38.53,44.07,3590612
2003-09-25,42.6,47.88,42.0,47.07,1646397
2003-09-26,43.2,48.8,43.0,48.03,17661
2003-09-29,49.9,49.9,46.1,46.38,17112
2003-09-30,47.0,48.99,46.5,48.12,33482
2003-10-01,48.2,52.5,47.0,50.63,70613
2003-10-03,53.0,53.0,49.6,49.98,65380
2003-10-06,52.5,52.5,49.7,52.17,78136
2003-10-07,59.0,59.0,51.15,51.94,51055
2003-10-08,58.8,58.8,49.0,53.3,69012
2003-10-09,58.0,58.0,54.0,57.2,92096
2003-10-10,58.0,58.01,55.02,55.52,50398
2003-10-13,54.5,58.51,54.0,56.45,233608
2003-10-14,60.0,60.0,54.34,56.63,82185
2003-10-15,59.9,59.9,54.0,54.13,64906
2003-10-16,57.49,57.49,54.6,55.31,22364
2003-10-17,61.0,61.0,54.3,54.78,14390
2003-10-20,61.0,61.0,54.66,55.13,48224
2003-10-21,57.5,57.5,53.0,53.99,42460
2003-10-22,57.0,57.0,53.01,53.99,88704
2003-10-23,57.0,57.0,51.4,52.02,17591
2003-10-24,56.0,56.0,48.0,52.88,45132
2003-10-25,53.0,53.0,51.71,52.19,6538
2003-10-27,52.1,52.1,50.15,50.73,29119
2003-10-28,51.0,51.1,49.7,50.6,19875
2003-10-29,50.8,50.8,48.5,50.48,34941
2003-10-30,50.5,52.7,50.2,51.46,27455
2003-10-31,48.7,53.0,48.7,52.59,60574
2003-11-03,52.7,55.0,51.75,53.89,35785
2003-11-04,55.0,58.0,54.01,56.88,93992
2003-11-05,58.0,61.5,57.5,60.67,226285
2003-11-06,60.0,61.8,59.0,59.86,87119
2003-11-07,60.0,60.1,57.6,59.18,27735
2003-11-10,58.5,59.5,57.2,59.06,9206
2003-11-11,59.5,60.3,57.5,59.03,21291
2003-11-12,60.51,62.4,59.4,61.13,59072
2003-11-13,62.3,62.5,59.8,60.49,33299
2003-11-14,60.0,60.45,58.0,59.35,64761
2003-11-15,58.9,60.0,58.67,59.31,6656
2003-11-17,59.2,59.9,58.2,59.45,8476
2003-11-18,59.9,62.49,59.53,61.55,30710
2003-11-19,61.5,64.5,61.5,63.51,63576
2003-11-20,64.5,65.0,61.0,61.29,37837
2003-11-21,60.9,62.4,59.9,61.81,12950
2003-11-24,62.0,63.4,61.2,63.11,18750
2003-11-25,63.1,64.95,63.0,64.52,24672
2003-11-27,64.0,69.0,63.9,67.5,35394
2003-11-28,67.0,69.5,67.0,68.65,23746
2003-12-01,69.8,73.21,68.5,72.73,49244
2003-12-02,72.5,72.5,70.1,71.34,44082
2003-12-03,71.5,73.0,70.13,71.54,32217
2003-12-04,72.4,72.5,69.02,72.2,53298
2003-12-05,73.0,76.6,72.5,75.89,42349
2003-12-08,81.4,81.4,73.6,74.39,33037
