date,open,high,low,close,volume
2003-09-05,23.99,25.3,23.51,25.08,2741231
2003-09-08,25.35,25.91,25.31,25.74,1925592
2003-09-09,26.0,26.05,25.05,25.28,1282957
2003-09-10,25.25,27.03,25.03,26.83,5337137
2003-09-11,26.75,27.68,26.52,27.21,2176653
2003-09-12,27.25,27.71,26.28,26.41,1117911
2003-09-15,26.5,26.61,25.76,26.21,990519
2003-09-16,26.19,28.05,25.82,27.87,1419395
2003-09-17,27.75,28.2,26.51,26.96,931399
2003-09-18,26.5,26.88,25.16,25.35,1168555
2003-09-19,25.5,26.86,24.7,26.56,1763422
2003-09-22,26.63,27.34,25.1,26.68,1065278
2003-09-23,26.5,27.75,26.38,27.6,1318286
2003-09-24,27.8,28.63,27.45,28.38,1533122
2003-09-25,28.13,28.88,27.63,28.28,1432286
2003-09-26,28.25,29.16,28.25,28.85,1130650
2003-09-29,29.0,29.86,28.75,29.62,1066399
2003-09-30,29.75,30.13,29.13,29.64,1062847
2003-10-01,30.0,30.38,29.32,30.08,849266
2003-10-03,29.88,31.63,29.88,31.3,1270289
2003-10-06,31.68,34.34,31.56,34.14,2060228
2003-10-07,34.38,35.18,32.88,34.02,2448620
2003-10-08,34.34,35.24,34.13,34.83,1809017
2003-10-09,35.08,36.13,34.89,35.95,1563094
2003-10-10,36.28,36.59,35.7,36.34,1134173
2003-10-13,36.56,36.98,35.7,36.75,989029
2003-10-14,36.88,37.1,35.43,35.69,1267895
2003-10-15,35.13,37.0,35.01,36.42,927366
2003-10-16,36.75,38.09,36.75,37.51,1499117
2003-10-17,37.74,39.31,37.31,38.61,2543795
2003-10-20,39.25,40.0,38.06,38.32,1210787
2003-10-21,33.25,39.31,33.25,36.93,2140328
2003-10-22,36.88,37.93,35.69,36.25,1841296
2003-10-23,36.38,37.04,35.25,35.64,1466603
2003-10-24,35.98,38.56,34.63,38.08,2476802
2003-10-25,38.75,39.3,38.26,39.07,818252
2003-10-27,38.78,40.5,38.46,38.84,3566335
2003-10-28,39.0,39.55,37.66,38.16,2596313
2003-10-29,38.56,40.43,38.33,40.13,2917439
2003-10-30,40.25,40.85,39.75,40.48,3168391
2003-10-31,40.75,42.84,40.75,42.61,2708329
2003-11-03,43.0,44.38,42.75,44.14,2350400
2003-11-04,44.63,45.18,43.13,43.68,1922258
2003-11-05,44.43,44.43,42.55,43.32,2035465
2003-11-06,43.73,43.9,42.25,42.73,1811529
2003-11-07,42.88,42.93,41.43,41.69,1948404
2003-11-10,42.31,42.31,40.61,41.91,846615
2003-11-11,42.13,42.88,41.75,42.05,1374321
2003-11-12,42.38,43.01,42.03,42.42,1257799
2003-11-13,42.5,42.88,41.43,41.78,1333408
2003-11-14,41.88,41.88,40.3,40.53,1236198
2003-11-15,40.73,42.5,40.07,41.26,347329
2003-11-17,41.25,42.18,40.89,41.96,1206838
2003-11-18,42.03,42.78,41.16,41.54,1171305
2003-11-19,41.61,41.61,39.25,39.45,2033713
2003-11-20,39.99,40.48,38.45,38.62,2003119
2003-11-21,38.74,40.5,38.07,40.16,2672031
2003-11-24,40.38,41.0,39.82,40.45,1774557
2003-11-25,41.11,41.61,40.26,41.48,1359160
2003-11-27,41.75,44.24,41.69,43.23,2193975
2003-11-28,43.51,44.38,42.63,44.09,1676764
2003-12-01,44.5,45.24,44.14,44.94,1560187
2003-12-02,45.55,45.55,43.28,43.98,1672413
2003-12-03,44.25,44.62,43.58,43.92,1066098
2003-12-04,44.5,44.56,43.39,44.15,1141643
2003-12-05,44.31,44.49,42.63,42.83,793312
2003-12-08,42.88,43.83,42.25,43.47,917045
2003-12-09,44.38,44.79,43.26,44.46,1106136
2003-12-10,44.5,44.74,43.64,43.96,915848
2003-12-11,44.25,44.36,43.31,43.76,693236
2003-12-12,44.18,44.25,43.19,44.04,757708
2003-12-15,44.38,44.56,43.79,43.96,992651
2003-12-16,44.05,44.05,43.01,43.61,824935
2003-12-17,43.63,44.22,43.44,43.64,1239165
2003-12-18,47.63,47.63,43.38,44.06,1449044
2003-12-19,44.25,45.38,44.02,44.87,1663520
2003-12-22,50.63,50.63,44.93,45.58,1417571
2003-12-23,45.88,46.43,45.69,45.93,1660572
2003-12-24,45.99,46.06,45.01,45.17,1124456
2003-12-26,45.51,47.18,45.38,46.97,1334112
2003-12-29,47.31,48.11,47.25,47.74,1098526
2003-12-30,48.75,49.5,46.51,47.14,866308
2003-12-31,47.68,48.86,46.91,48.6,1614029
2004-01-01,49.07,49.71,48.81,49.2,1285556
2004-01-02,49.38,49.63,49.0,49.3,770432
2004-01-05,49.38,50.25,48.5,49.1,940628
2004-01-06,49.5,49.63,48.4,48.82,821723
2004-01-07,48.75,49.0,47.65,48.73,548012
2004-01-08,49.11,50.75,49.01,50.38,968490
2004-01-09,51.25,53.25,50.53,52.72,2136690
2004-01-12,52.25,53.13,48.75,51.28,801645
2004-01-13,51.49,54.0,50.75,53.48,1443526
2004-01-14,53.91,55.0,53.88,54.83,1180021
2004-01-15,55.24,55.93,52.21,52.49,1566727
2004-01-16,52.75,53.54,50.25,50.63,1583387
2004-01-19,51.0,51.86,48.63,51.58,2850554
2004-01-20,52.48,53.1,49.27,49.74,2126955
2004-01-21,49.99,49.99,45.25,45.89,2031954
2004-01-22,46.51,48.49,44.6,45.24,2306706
2004-01-23,46.5,51.24,45.44,50.78,1637163
2004-01-27,50.01,52.99,50.01,52.64,1326828
2004-01-28,52.76,53.44,49.25,50.43,1946120
2004-01-29,51.86,52.19,49.22,50.71,1842866
2004-01-30,51.5,52.55,49.05,51.16,4092328
2004-02-03,51.74,53.88,50.88,51.48,4028504
2004-02-04,51.99,55.25,51.81,54.99,3556959
2004-02-05,55.13,57.59,54.0,55.08,4735498
2004-02-06,55.13,56.11,53.58,55.2,3161022
2004-02-09,55.98,57.1,53.89,56.78,3509709
2004-02-10,56.99,57.0,54.17,55.31,2676184
2004-02-11,55.63,56.22,55.15,56.0,2289904
2004-02-12,56.25,58.26,56.24,57.93,5253914
2004-02-13,58.13,58.21,56.94,57.93,2044293
2004-02-16,57.81,61.98,57.5,60.73,6576584
2004-02-17,60.13,61.74,59.71,61.38,4163506
2004-02-18,61.85,63.19,61.63,62.59,5054385
2004-02-19,62.5,62.63,60.52,61.01,4046441
2004-02-20,60.63,62.23,59.88,61.31,2819278
2004-02-23,62.13,62.25,59.33,59.71,1889459
2004-02-24,59.5,60.78,58.75,60.59,2641536
2004-02-25,60.99,60.99,56.95,58.81,1933420
2004-02-26,59.38,59.88,55.5,55.92,4851830
2004-02-27,56.18,58.5,55.69,58.09,2853103
2004-03-01,58.61,59.38,58.0,59.31,1573771
2004-03-03,59.5,61.56,59.08,61.09,3015294
2004-03-04,61.25,62.11,59.92,60.87,3148043
2004-03-05,61.88,62.16,60.89,61.71,1668465
2004-03-08,61.88,62.88,61.52,61.83,1724463
2004-03-09,61.88,62.36,59.38,61.36,1777189
2004-03-10,61.84,61.84,59.84,60.64,1772009
2004-03-11,56.99,61.11,56.99,58.5,1862999
2004-03-12,58.13,60.25,57.39,59.95,2273968
2004-03-15,60.36,61.25,57.14,57.84,2044300
2004-03-16,57.48,59.31,55.64,57.85,2774534
2004-03-17,58.43,58.87,56.53,57.68,2057300
2004-03-18,57.53,58.24,55.88,56.29,2137964
2004-03-19,56.27,57.37,55.31,56.43,1911143
2004-03-22,56.38,56.38,52.01,52.6,2390085
2004-03-23,52.75,54.85,52.5,53.51,2260937
2004-03-24,50.29,55.6,50.29,54.44,1712852
2004-03-25,55.25,56.11,54.03,55.05,1958041
2004-03-26,55.88,58.48,55.88,58.08,1409637
2004-03-29,58.14,58.63,56.63,57.98,1363975
2004-03-30,58.25,58.56,56.63,56.92,1284433
2004-03-31,56.95,58.54,56.5,58.08,1692876
2004-04-01,58.38,60.0,58.38,59.69,1934421
2004-04-02,60.38,60.63,58.31,59.51,2173160
2004-04-05,60.0,60.74,58.64,59.07,1715861
2004-04-06,59.13,60.74,58.4,59.44,2610664
2004-04-07,59.75,60.55,59.16,60.1,1710798
2004-04-08,60.23,60.44,59.16,59.62,1483676
2004-04-12,60.13,60.5,58.66,59.12,1141831
2004-04-13,59.31,60.5,58.01,60.21,1077806
2004-04-15,60.5,61.56,59.78,60.24,1593120
2004-04-16,60.63,61.23,60.02,60.3,826847
2004-04-17,60.93,60.93,59.53,59.78,226120
2004-04-19,60.38,60.59,58.0,58.31,1005909
2004-04-20,58.09,58.75,57.16,57.62,1176322
2004-04-21,57.63,59.7,57.21,59.38,1103149
2004-04-22,59.38,61.26,58.81,60.98,1326445
2004-04-23,61.49,62.13,60.1,60.68,1320440
2004-04-27,60.19,60.19,57.5,57.96,829978
2004-04-28,57.94,60.48,57.94,59.88,2004079
2004-04-29,60.13,60.6,58.43,59.04,1818653
