date,open,high,low,close,volume
2006-03-17,26.7,28.93,24.34,27.59,20061111
2006-03-20,27.85,28.68,27.29,27.89,3450640
2006-03-21,27.97,30.1,27.94,28.93,5209708
2006-03-22,28.91,29.02,27.06,27.57,1911397
2006-03-23,27.75,29.47,27.75,28.88,2170224
2006-03-24,29.51,29.51,28.52,29.03,1092428
2006-03-27,29.07,29.47,28.72,29.2,557831
2006-03-28,29.42,30.61,28.89,29.72,1901377
2006-03-29,29.9,30.15,29.07,29.18,334951
2006-03-30,29.54,29.86,28.68,28.84,258214
2006-03-31,28.71,29.29,28.4,28.73,156175
2006-04-03,28.83,29.31,28.3,28.56,359644
2006-04-04,28.74,29.54,28.24,29.15,247973
2006-04-05,29.26,29.66,29.07,29.5,155426
2006-04-07,29.53,29.77,28.01,28.32,184663
2006-04-10,28.36,29.03,27.89,27.94,92631
2006-04-12,28.48,28.53,26.93,27.06,84149
2006-04-13,27.16,27.82,26.5,27.56,103845
2006-04-17,27.99,28.46,26.7,27.15,118366
2006-04-18,27.29,27.62,26.82,26.9,52595
2006-04-19,27.29,27.29,26.7,26.81,29557
2006-04-20,26.73,27.29,26.1,26.62,158089
2006-04-21,26.93,27.69,26.7,26.79,70593
2006-04-24,26.79,27.41,26.64,27.03,60313
2006-04-25,27.22,27.75,26.99,27.34,191696
2006-04-26,27.28,27.91,26.94,27.54,60601
2006-04-27,27.64,28.08,27.41,27.62,69170
2006-04-28,26.82,28.36,26.22,27.85,115212
2006-04-29,28.24,28.29,27.17,27.5,43406
2006-05-02,27.09,28.05,27.09,27.83,48080
2006-05-03,28.05,29.66,27.29,28.84,192630
2006-05-04,29.07,29.78,27.89,29.63,190078
2006-05-05,28.83,29.78,28.83,29.55,84243
2006-05-08,28.83,30.97,28.83,30.74,269712
2006-05-09,31.04,31.04,30.49,30.63,211387
2006-05-10,30.61,30.9,29.19,30.14,201719
2006-05-11,29.23,30.31,29.23,30.02,75284
2006-05-12,29.81,30.25,29.23,29.84,340576
2006-05-15,29.31,30.97,28.48,30.64,275559
2006-05-16,29.78,30.59,28.0,29.39,146461
2006-05-17,28.87,30.14,28.87,29.77,132381
