date,open,high,low,close,volume
2020-10-12,107.45,108.48,85.98,85.98,39929204
2020-10-13,86.0,92.35,82.0,90.73,18862563
2020-10-14,90.23,93.7,89.05,91.13,6178509
2020-10-15,90.98,91.38,85.5,85.93,3193483
2020-10-16,86.88,87.73,82.5,84.03,3072942
2020-10-19,85.38,86.43,83.75,84.15,1922584
2020-10-20,83.85,84.9,82.7,83.03,1262381
2020-10-21,83.45,88.85,83.23,85.83,4477916
2020-10-22,86.15,87.45,83.85,85.33,2003364
2020-10-23,87.08,89.5,86.2,87.7,3573971
2020-10-26,87.98,87.98,85.0,85.4,927445
2020-10-27,85.45,85.78,83.73,84.43,774974
2020-10-28,84.98,85.6,83.5,83.63,931754
2020-10-29,83.58,84.5,83.1,83.5,905814
2020-10-30,83.75,84.85,82.5,83.38,953836
2020-11-02,83.38,86.25,82.65,84.18,1208681
2020-11-03,84.6,84.98,83.03,83.3,610024
2020-11-04,83.25,83.95,82.55,82.9,719104
2020-11-05,83.38,86.1,83.23,84.63,1502066
2020-11-06,84.78,87.0,84.5,85.03,1994558
2020-11-09,86.0,90.98,85.7,89.73,6497799
2020-11-10,89.63,89.63,85.38,86.2,2379955
2020-11-11,86.5,88.18,86.0,87.23,1638130
2020-11-12,87.3,89.0,86.25,88.03,1423822
2020-11-13,89.7,92.25,88.75,91.58,6506244
2020-11-14,92.45,95.4,92.0,94.13,2954791
2020-11-17,95.7,96.4,90.63,91.95,3800604
2020-11-18,92.0,93.25,91.5,91.7,1690667
2020-11-19,91.6,93.5,90.8,92.28,2163334
2020-11-20,92.88,94.4,91.9,92.23,2696783
2020-11-23,92.5,92.98,90.38,91.1,1493301
2020-11-24,91.38,92.75,90.45,90.7,1478112
2020-11-25,91.4,91.68,89.6,89.9,1477833
2020-11-26,90.23,90.73,89.18,89.63,1109635
2020-11-27,89.88,91.33,89.05,89.5,1913953
2020-12-01,90.23,91.75,90.18,91.0,1309783
2020-12-02,91.4,91.5,90.0,90.45,797822
2020-12-03,90.9,93.88,90.85,92.38,2529433
2020-12-04,92.5,92.93,90.95,91.2,1040179
2020-12-07,91.4,97.1,91.35,95.68,4321530
2020-12-08,96.25,97.65,93.55,94.35,2381609
2020-12-09,95.78,99.45,94.9,97.95,5333254
2020-12-10,97.73,98.38,95.0,95.9,1429930
2020-12-11,96.25,97.3,94.0,94.38,1610208
2020-12-14,94.68,97.65,94.53,97.08,1642855
2020-12-15,97.0,97.0,95.0,95.53,1035176
2020-12-16,95.88,113.95,95.75,110.15,20419578
2020-12-17,109.03,111.95,102.5,103.68,9138262
2020-12-18,104.4,112.85,101.25,110.98,15138674
2020-12-21,110.5,112.38,98.0,102.33,4318465
2020-12-22,102.53,105.85,98.03,104.5,3005087
2020-12-23,104.88,109.0,104.5,107.3,1662354
2020-12-24,107.88,109.1,105.08,106.2,1053802
2020-12-28,107.18,108.95,106.53,107.9,1408447
2020-12-29,108.9,108.9,105.6,106.28,1004118
2020-12-30,107.0,112.85,105.4,110.58,4562158
2020-12-31,110.45,111.98,108.7,109.23,1680277
2021-01-01,109.48,117.43,109.1,113.83,8197913
2021-01-04,114.5,115.85,112.0,113.65,2149446
2021-01-05,113.5,115.48,111.8,112.68,1495373
2021-01-06,113.25,113.53,108.0,109.65,1720088
2021-01-07,110.58,112.28,109.33,110.15,1518541
2021-01-08,111.3,113.5,110.05,110.85,1198545
2021-01-11,111.5,111.85,108.83,109.35,741376
2021-01-12,108.98,111.95,108.5,109.5,1176092
2021-01-13,109.85,111.15,107.5,108.63,959361
2021-01-14,109.18,112.43,107.55,109.98,1780545
2021-01-15,110.03,110.93,108.0,108.63,675723
2021-01-18,108.53,108.65,105.5,106.03,667237
2021-01-19,106.75,108.45,106.5,107.33,487691
2021-01-20,107.33,109.68,106.43,108.35,826080
2021-01-21,108.88,109.4,103.6,104.98,722422
2021-01-22,105.9,107.23,104.25,104.83,552496
2021-01-25,105.8,106.35,102.38,104.28,531963
2021-01-27,104.88,106.0,100.45,102.1,623976
2021-01-28,100.48,104.48,100.48,103.3,848958
2021-01-29,104.75,108.38,104.18,105.43,1315002
2021-02-01,106.95,109.5,104.7,108.4,1116145
2021-02-02,109.33,109.73,107.55,107.85,528593
2021-02-03,108.23,109.25,107.6,108.05,418571
2021-02-04,108.15,111.5,107.78,109.68,1146057
2021-02-05,110.58,111.45,108.5,109.55,572071
2021-02-08,110.38,112.2,110.05,110.53,750845
2021-02-09,110.78,113.0,109.35,110.03,1068127
2021-02-10,110.53,114.0,109.55,112.48,1761757
2021-02-11,113.0,121.3,112.38,115.9,5459925
2021-02-12,116.48,117.4,111.5,112.2,1348285
2021-02-15,111.0,111.95,107.9,108.43,1175830
2021-02-16,110.5,111.75,108.8,109.95,957030
2021-02-17,110.63,110.9,107.1,107.35,1308896
2021-02-18,108.1,110.2,106.55,109.28,1942116
2021-02-19,109.28,111.0,107.25,109.15,1457352
2021-02-22,107.5,108.9,102.8,104.05,1080439
2021-02-23,104.53,108.85,103.75,107.78,1180959
2021-02-24,108.73,110.95,108.25,108.95,906939
2021-02-25,109.5,111.2,109.0,109.7,1125289
2021-02-26,107.6,108.73,105.85,106.6,887720
2021-03-01,107.48,109.8,107.15,109.08,1350131
2021-03-02,109.98,114.33,109.83,112.38,2510274
2021-03-03,113.25,120.68,112.55,115.83,4094678
2021-03-04,114.98,119.53,114.33,116.53,1710837
2021-03-05,116.3,117.45,110.25,110.9,1261469
2021-03-08,111.75,115.0,111.7,113.5,879033
2021-03-09,114.3,115.0,110.25,111.23,756539
2021-03-10,112.45,114.4,110.58,113.23,692482
2021-03-12,114.23,115.0,110.1,110.43,935337
2021-03-15,110.9,111.33,108.05,109.68,564018
2021-03-16,110.35,110.63,107.5,108.1,431450
2021-03-17,107.95,109.1,105.0,105.4,507648
2021-03-18,106.1,107.13,101.65,102.38,773488
2021-03-19,102.65,106.0,100.13,105.48,741640
