date,open,high,low,close,volume
2012-03-09,281.6,285.71,256.44,259.34,7941567
2012-03-12,259.19,265.98,242.45,246.81,2970241
2012-03-13,246.8,261.7,246.8,258.63,2523025
2012-03-14,259.76,265.8,252.62,254.52,2198401
2012-03-15,254.4,256.8,251.4,253.61,571247
2012-03-16,254.4,265.0,248.57,259.44,1631266
2012-03-19,254.0,262.0,252.8,259.05,575324
2012-03-20,258.26,260.6,254.24,255.86,214823
2012-03-21,255.56,258.8,252.42,257.45,186596
2012-03-22,255.4,258.94,250.77,251.7,162355
2012-03-23,252.8,256.64,247.99,249.73,230145
2012-03-26,249.4,253.0,249.21,251.88,198871
2012-03-27,252.41,258.0,250.01,251.5,103574
2012-03-28,251.5,252.0,246.28,247.62,149912
2012-03-29,247.6,250.96,246.83,249.95,94140
2012-03-30,250.9,256.13,249.53,254.05,126223
2012-04-02,255.27,263.2,253.97,261.33,385598
2012-04-03,262.8,264.75,260.07,261.62,246259
2012-04-04,261.0,261.6,256.45,258.38,96759
2012-04-09,257.59,257.6,252.03,252.71,64166
2012-04-10,253.05,254.4,249.73,251.44,145577
2012-04-11,252.4,258.99,251.02,254.15,378709
2012-04-12,254.94,257.72,252.2,253.13,150628
2012-04-13,254.12,254.5,248.2,249.3,140467
2012-04-16,250.0,254.0,248.63,252.79,90027
2012-04-17,254.0,256.0,252.41,253.93,190928
2012-04-18,254.71,255.6,251.8,253.19,107360
2012-04-19,253.38,253.98,251.62,252.14,65153
2012-04-20,252.54,252.73,249.0,249.9,87381
2012-04-23,247.22,250.99,240.22,242.7,96686
2012-04-24,240.24,245.2,240.24,242.69,149867
2012-04-25,240.42,245.4,239.22,240.1,124153
2012-04-26,239.6,239.6,230.38,233.22,114835
2012-04-27,230.41,234.4,220.4,222.21,158682
2012-04-28,223.29,229.78,220.0,227.33,54544
2012-04-30,227.2,228.46,218.03,218.91,141946
2012-05-02,220.02,224.0,220.0,221.98,181491
2012-05-03,223.8,225.8,211.0,211.53,261178
2012-05-04,211.01,212.37,201.4,202.33,298706
2012-05-07,201.03,207.6,196.0,205.92,137919
2012-05-08,205.91,208.5,203.43,204.27,82846
2012-05-09,204.0,207.4,203.01,206.42,90639
2012-05-10,207.24,209.98,205.6,206.45,47096
2012-05-11,206.28,206.7,200.0,200.9,44853
2012-05-14,201.74,203.39,199.0,200.46,88792
2012-05-15,199.4,201.0,196.0,199.83,74602
2012-05-16,198.96,199.34,195.74,196.8,96969
2012-05-17,197.77,199.7,192.12,192.86,102415
2012-05-18,191.99,192.0,188.0,189.26,137655
2012-05-21,189.4,191.68,186.24,186.94,46774
2012-05-22,189.79,190.39,180.02,182.1,126449
2012-05-23,181.0,181.78,174.22,175.61,121449
2012-05-24,175.79,184.3,175.22,177.51,314485
2012-05-25,180.26,182.75,177.6,179.39,208650
2012-05-28,181.18,181.18,177.4,178.63,84687
2012-05-29,178.8,181.14,177.82,179.78,90301
2012-05-30,178.5,179.78,172.0,172.5,75822
2012-05-31,171.6,189.78,167.6,187.31,866490
2012-06-01,186.0,199.0,186.0,191.1,1174037
2012-06-04,189.61,197.78,185.72,193.72,367020
2012-06-05,193.83,201.6,192.44,199.03,407654
2012-06-06,201.0,203.58,198.22,199.36,266389
2012-06-07,200.4,209.78,200.4,208.85,325109
2012-06-08,207.0,209.48,204.21,206.43,122236
2012-06-11,207.79,209.6,200.2,201.89,91388
2012-06-12,201.0,206.8,200.2,203.55,101403
2012-06-13,204.99,208.09,204.02,205.06,73203
2012-06-14,205.2,209.34,201.4,203.78,98295
2012-06-15,204.85,207.79,201.0,202.86,63222
2012-06-18,205.01,205.76,200.2,200.5,48277
2012-06-19,201.6,208.0,200.2,203.43,126845
2012-06-20,204.1,206.95,202.61,203.12,40654
2012-06-21,203.41,205.4,201.2,202.39,45454
2012-06-22,202.2,211.6,202.2,209.32,275570
2012-06-25,211.4,213.95,206.5,208.28,125494
2012-06-26,207.91,210.1,205.01,206.43,63549
2012-06-27,206.4,208.48,205.2,205.9,46337
2012-06-28,206.2,210.59,205.01,207.66,61815
2012-06-29,209.02,215.0,208.12,212.12,89598
2012-07-02,213.2,214.98,211.01,212.5,61623
2012-07-03,213.25,215.8,212.6,212.97,57357
2012-07-04,213.8,214.16,208.4,209.54,60183
2012-07-05,211.18,212.27,208.63,209.41,35393
2012-07-06,210.0,226.36,209.55,224.06,541485
2012-07-09,221.02,234.35,210.42,228.97,441091
2012-07-10,230.01,235.59,229.6,231.29,246350
2012-07-11,236.73,257.6,224.6,225.74,1977286
2012-07-12,227.35,229.8,220.32,221.33,709605
2012-07-13,225.0,226.2,222.05,222.76,172307
2012-07-16,217.4,224.6,217.4,219.9,124913
2012-07-17,221.0,222.94,217.54,219.75,171269
2012-07-18,218.0,226.0,216.02,222.82,344323
2012-07-19,224.59,227.4,222.45,224.3,218475
2012-07-20,222.2,222.77,217.23,220.25,144859
2012-07-23,219.01,221.65,215.6,216.52,89321
2012-07-24,216.88,219.59,215.0,215.69,61240
2012-07-25,216.0,216.79,210.6,215.1,78842
2012-07-26,216.04,217.4,212.01,213.87,82392
2012-07-27,216.01,216.01,202.8,204.23,121486
2012-07-30,206.75,206.8,201.25,204.92,72133
2012-07-31,206.93,208.98,204.86,205.74,82222
2012-08-01,206.0,212.8,206.0,210.44,139214
2012-08-02,214.8,216.5,210.2,211.55,165287
