date,open,high,low,close,volume
2000-01-03,0.35,0.37,0.35,0.37,547762
2000-01-04,0.34,0.35,0.34,0.34,582222
2000-01-05,0.32,0.36,0.32,0.35,1096553
2000-01-06,0.38,0.38,0.34,0.38,856361
2000-01-07,0.4,0.4,0.36,0.38,1130499
2000-01-10,0.38,0.39,0.38,0.39,1233365
2000-01-11,0.38,0.39,0.36,0.38,1850562
2000-01-12,0.4,0.4,0.38,0.39,342030
2000-01-13,0.4,0.4,0.38,0.38,307569
2000-01-14,0.38,0.38,0.38,0.38,342030
2000-01-17,0.4,0.41,0.39,0.4,1062093
2000-01-18,0.4,0.41,0.39,0.41,753494
2000-01-19,0.44,0.44,0.41,0.41,1610884
2000-01-20,0.43,0.43,0.4,0.41,582222
2000-01-21,0.42,0.43,0.42,0.43,1370692
2000-01-24,0.41,0.41,0.4,0.4,204703
2000-01-25,0.4,0.4,0.38,0.38,1508018
2000-01-27,0.38,0.38,0.38,0.38,136297
2000-01-28,0.38,0.38,0.38,0.38,33431
2000-02-01,0.35,0.38,0.35,0.38,787955
2000-02-02,0.39,0.41,0.39,0.41,1336231
2000-02-03,0.41,0.41,0.39,0.4,273624
2000-02-04,0.38,0.41,0.38,0.41,821900
2000-02-07,0.4,0.42,0.4,0.41,547762
2000-02-08,0.42,0.45,0.42,0.45,1541964
2000-02-09,0.48,0.48,0.48,0.48,2228081
2000-02-10,0.49,0.51,0.49,0.5,2707952
2000-02-11,0.52,0.54,0.5,0.54,1405152
2000-02-14,0.55,0.58,0.52,0.54,2536680
2000-02-15,0.54,0.54,0.52,0.54,2090755
2000-02-16,0.53,0.55,0.53,0.55,4594004
2000-02-17,0.54,0.55,0.54,0.54,1336231
2000-02-18,0.53,0.54,0.52,0.54,513302
2000-02-21,0.52,0.52,0.5,0.5,787955
2000-02-22,0.51,0.52,0.5,0.5,1096553
2000-02-23,0.51,0.52,0.5,0.5,376490
2000-02-24,0.5,0.54,0.5,0.54,1473558
2000-02-25,0.55,0.58,0.55,0.56,1027633
2000-02-28,0.57,0.57,0.52,0.52,1610884
2000-02-29,0.5,0.52,0.48,0.48,1062093
2000-03-01,0.47,0.47,0.47,0.47,239163
2000-03-02,0.47,0.49,0.47,0.47,719034
2000-03-03,0.47,0.47,0.45,0.45,307569
2000-03-06,0.47,0.48,0.44,0.44,444896
2000-03-07,0.41,0.41,0.41,0.41,239163
2000-03-14,0.38,0.38,0.38,0.38,33431
2000-03-15,0.35,0.35,0.35,0.35,33431
2000-03-16,0.32,0.32,0.32,0.32,101837
2000-03-21,0.32,0.32,0.32,0.32,170757
2000-03-22,0.32,0.32,0.32,0.32,136297
2000-03-23,0.32,0.32,0.32,0.32,33431
2000-03-24,0.32,0.32,0.32,0.32,33431
2000-03-27,0.32,0.34,0.32,0.32,1816617
2000-03-28,0.32,0.32,0.32,0.32,307569
2000-03-29,0.33,0.34,0.33,0.34,67891
2000-03-30,0.36,0.36,0.36,0.36,33431
2000-03-31,0.39,0.39,0.39,0.39,67891
2000-04-03,0.39,0.4,0.39,0.4,67891
2000-04-04,0.37,0.37,0.37,0.37,67891
2000-04-05,0.34,0.34,0.34,0.34,67891
2000-04-07,0.32,0.32,0.32,0.32,33431
2000-04-10,0.33,0.33,0.33,0.33,33431
2000-04-11,0.34,0.34,0.32,0.32,67891
2000-04-12,0.33,0.33,0.33,0.33,67891
2000-04-13,0.33,0.33,0.33,0.33,33431
2000-04-17,0.33,0.33,0.33,0.33,33431
2000-04-18,0.33,0.33,0.33,0.33,33431
2000-04-25,0.32,0.32,0.32,0.32,33431
2000-04-27,0.32,0.32,0.32,0.32,33431
2000-04-28,0.32,0.32,0.32,0.32,33431
2000-05-02,0.34,0.34,0.34,0.34,33431
2000-05-09,0.33,0.33,0.33,0.33,33431
2000-05-16,0.33,0.33,0.33,0.33,33431
2000-05-18,0.34,0.34,0.3,0.3,136297
2000-05-23,0.29,0.29,0.29,0.29,67891
2000-05-25,0.29,0.29,0.29,0.29,342030
2000-05-26,0.31,0.31,0.31,0.31,33431
2000-05-29,0.29,0.29,0.29,0.29,33431
2000-05-30,0.3,0.3,0.29,0.29,67891
2000-06-01,0.32,0.32,0.32,0.32,67891
2000-06-05,0.32,0.32,0.32,0.32,33431
2000-06-06,0.33,0.33,0.32,0.32,136297
2000-06-08,0.32,0.32,0.32,0.32,67891
2000-06-09,0.34,0.34,0.34,0.34,67891
2000-06-12,0.33,0.33,0.33,0.33,33431
2000-06-19,0.36,0.36,0.36,0.36,33431
2000-06-26,0.38,0.38,0.38,0.38,33431
2000-06-27,0.38,0.41,0.38,0.38,376490
2000-06-30,0.37,0.37,0.37,0.37,33431
2000-07-03,0.36,0.38,0.36,0.38,376490
2000-07-04,0.36,0.36,0.36,0.36,33431
2000-07-05,0.38,0.38,0.38,0.38,33431
2000-07-06,0.38,0.38,0.38,0.38,101837
2000-07-10,0.39,0.41,0.39,0.41,136297
2000-07-11,0.38,0.39,0.38,0.39,67891
2000-07-12,0.39,0.4,0.39,0.39,342030
2000-07-13,0.39,0.39,0.39,0.39,67891
2000-07-17,0.4,0.41,0.4,0.41,410436
2000-07-18,0.44,0.44,0.43,0.44,2193621
2000-07-19,0.46,0.46,0.44,0.45,959227
2000-07-20,0.44,0.44,0.44,0.44,204703
2000-07-21,0.44,0.45,0.44,0.44,924767
2000-07-24,0.42,0.42,0.42,0.42,513302
2000-07-25,0.43,0.43,0.39,0.4,376490
2000-07-26,0.4,0.4,0.39,0.39,273624
2000-07-27,0.37,0.37,0.37,0.37,33431
2000-07-31,0.37,0.37,0.36,0.36,67891
2000-08-01,0.36,0.37,0.36,0.37,204703
2000-08-02,0.38,0.38,0.35,0.36,1302286
2000-08-03,0.35,0.38,0.35,0.38,2913685
2000-08-04,0.4,0.42,0.39,0.41,5625752
2000-08-07,0.39,0.4,0.38,0.38,2718239
2000-08-08,0.37,0.41,0.37,0.41,5433906
2000-08-09,0.41,0.43,0.4,0.42,4312665
2000-08-10,0.42,0.44,0.42,0.43,8675735
2000-08-11,0.42,0.46,0.42,0.46,17953751
2000-08-14,0.45,0.46,0.43,0.44,3145134
2000-08-16,0.44,0.44,0.44,0.44,1023004
2000-08-17,0.44,0.46,0.44,0.45,1619113
2000-08-18,0.44,0.48,0.44,0.47,1653059
2000-08-21,0.47,0.5,0.46,0.48,6459482
2000-08-22,0.48,0.52,0.48,0.51,9411742
2000-08-23,0.52,0.55,0.52,0.55,4516854
2000-08-24,0.57,0.59,0.56,0.59,5828398
2000-08-25,0.61,0.64,0.61,0.64,6064991
2000-08-28,0.69,0.69,0.65,0.66,7924297
2000-08-29,0.66,0.66,0.61,0.63,6946554
2000-08-30,0.61,0.61,0.58,0.58,1840276
2000-08-31,0.54,0.55,0.54,0.55,4728759
2000-09-04,0.53,0.53,0.52,0.53,846074
2000-09-05,0.52,0.53,0.51,0.53,969513
2000-09-06,0.51,0.54,0.49,0.49,1080095
2000-09-07,0.5,0.52,0.5,0.52,410436
2000-09-08,0.52,0.53,0.5,0.52,3494364
2000-09-11,0.53,0.55,0.52,0.53,4075558
2000-09-12,0.54,0.58,0.53,0.57,887735
2000-09-13,0.58,0.58,0.56,0.56,1081123
2000-09-14,0.57,0.6,0.57,0.58,1463271
2000-09-15,0.55,0.62,0.55,0.58,2491419
2000-09-18,0.61,0.61,0.56,0.56,204189
2000-09-19,0.57,0.58,0.53,0.53,470098
2000-09-20,0.55,0.55,0.55,0.55,57605
2000-09-21,0.56,0.57,0.55,0.57,162014
2000-09-22,0.54,0.54,0.54,0.54,34974
2000-09-25,0.5,0.58,0.5,0.58,2451815
2000-09-26,0.56,0.6,0.55,0.6,3586944
2000-09-27,0.59,0.59,0.58,0.58,26745
2000-09-28,0.59,0.59,0.57,0.57,55547
2000-09-29,0.57,0.62,0.56,0.62,2378780
2000-10-03,0.59,0.6,0.57,0.6,281853
2000-10-04,0.58,0.6,0.58,0.6,379576
2000-10-05,0.58,0.61,0.58,0.61,31888
2000-10-06,0.58,0.6,0.58,0.58,270023
2000-10-09,0.6,0.63,0.54,0.54,2214709
2000-10-10,0.53,0.53,0.5,0.5,121382
2000-10-11,0.52,0.52,0.47,0.52,198017
2000-10-12,0.5,0.5,0.48,0.48,914480
2000-10-13,0.51,0.52,0.49,0.52,787955
2000-10-16,0.52,0.56,0.51,0.51,145041
2000-10-17,0.52,0.55,0.51,0.55,224248
2000-10-18,0.58,0.58,0.52,0.54,86407
2000-10-19,0.53,0.53,0.53,0.53,16458
2000-10-20,0.5,0.52,0.5,0.52,135783
2000-10-23,0.53,0.56,0.5,0.56,1425725
2000-10-24,0.54,0.56,0.54,0.56,170757
2000-10-25,0.55,0.55,0.55,0.55,42175
2000-10-27,0.56,0.56,0.55,0.55,101837
2000-10-30,0.55,0.55,0.55,0.55,325057
2000-10-31,0.58,0.58,0.55,0.56,117267
2000-11-01,0.57,0.57,0.55,0.55,427923
2000-11-02,0.57,0.58,0.55,0.55,120867
2000-11-03,0.58,0.58,0.55,0.57,369289
2000-11-06,0.57,0.58,0.55,0.58,944311
2000-11-07,0.57,0.63,0.55,0.62,3707297
2000-11-08,0.64,0.64,0.6,0.6,395006
2000-11-09,0.61,0.64,0.6,0.63,1437040
2000-11-10,0.62,0.63,0.61,0.62,268480
2000-11-13,0.58,0.61,0.57,0.58,558563
2000-11-14,0.62,0.63,0.59,0.6,102388899
2000-11-15,0.47,0.47,0.41,0.41,571936
2000-11-16,0.42,0.42,0.41,0.41,136469
2000-11-17,0.39,0.4,0.38,0.38,162185
2000-11-20,0.35,0.36,0.35,0.36,205732
2000-11-21,0.39,0.39,0.36,0.37,1431554
2000-11-22,0.39,0.39,0.36,0.37,452611
2000-11-23,0.39,0.39,0.35,0.36,65148
2000-11-24,0.36,0.36,0.36,0.36,37031
2000-11-27,0.35,0.38,0.35,0.37,484499
2000-11-28,0.4,0.4,0.38,0.4,1170617
2000-11-29,0.41,0.41,0.38,0.38,208475
2000-11-30,0.37,0.37,0.36,0.36,251336
2000-12-01,0.36,0.36,0.36,0.36,342201
2000-12-04,0.36,0.38,0.36,0.37,1422296
2000-12-05,0.37,0.38,0.35,0.35,3508080
2000-12-06,0.35,0.38,0.35,0.38,4067672
2000-12-07,0.38,0.39,0.38,0.39,205046
2000-12-08,0.38,0.38,0.36,0.37,359345
2000-12-12,0.36,0.36,0.36,0.36,108695
2000-12-13,0.33,0.38,0.33,0.35,94403053
2000-12-14,0.36,0.36,0.36,0.36,164243
2000-12-15,0.38,0.38,0.36,0.38,626798
2000-12-18,0.4,0.4,0.36,0.38,359688
2000-12-19,0.36,0.39,0.36,0.39,358317
2000-12-20,0.41,0.42,0.39,0.41,1535792
2000-12-21,0.38,0.39,0.38,0.38,140240
2000-12-22,0.38,0.39,0.37,0.37,120353
2000-12-26,0.36,0.38,0.36,0.38,119324
2000-12-28,0.36,0.36,0.36,0.36,102180
2000-12-29,0.36,0.37,0.35,0.35,102180
2001-01-02,0.37,0.37,0.34,0.37,702233
2001-01-04,0.35,0.36,0.35,0.36,116581
2001-01-05,0.35,0.35,0.34,0.34,21601
2001-01-08,0.35,0.35,0.34,0.34,110752
2001-01-09,0.35,0.35,0.32,0.34,582565
2001-01-10,0.34,0.35,0.34,0.35,40460
2001-01-11,0.34,0.34,0.34,0.34,57605
2001-01-12,0.34,0.34,0.32,0.33,169043
2001-01-15,0.34,0.34,0.31,0.31,290768
2001-01-16,0.31,0.34,0.31,0.33,182758
2001-01-17,0.34,0.34,0.34,0.34,16458
2001-01-18,0.32,0.35,0.32,0.35,585308
2001-01-19,0.33,0.36,0.33,0.36,453297
2001-01-22,0.34,0.34,0.34,0.34,170757
2001-01-23,0.34,0.35,0.34,0.34,83321
2001-01-24,0.35,0.35,0.35,0.35,33602
2001-01-25,0.32,0.35,0.32,0.35,20647989
2001-01-29,0.35,0.35,0.35,0.35,102180
2001-01-30,0.36,0.36,0.33,0.33,59662
2001-01-31,0.34,0.36,0.34,0.36,623712
2001-02-01,0.34,0.36,0.34,0.35,183101
2001-02-02,0.34,0.37,0.34,0.36,625083
2001-02-05,0.36,0.37,0.35,0.37,935396
2001-02-06,0.36,0.39,0.36,0.38,501644
2001-02-07,0.39,0.4,0.39,0.39,971399
2001-02-08,0.39,0.41,0.39,0.41,1019404
2001-02-09,0.41,0.44,0.41,0.42,10485494
2001-02-12,0.43,0.44,0.4,0.41,1414753
2001-02-13,0.42,0.42,0.41,0.41,1186733
2001-02-14,0.41,0.41,0.41,0.41,2743
2001-02-15,0.41,0.41,0.39,0.41,37374
2001-02-16,0.41,0.43,0.41,0.41,452268
2001-02-19,0.43,0.43,0.41,0.41,397063
2001-02-20,0.41,0.41,0.39,0.39,150184
2001-02-21,0.38,0.42,0.38,0.42,179330
2001-02-22,0.39,0.39,0.39,0.39,42175
2001-02-23,0.39,0.39,0.39,0.39,170757
2001-02-26,0.39,0.39,0.39,0.39,30174
2001-02-27,0.37,0.39,0.37,0.38,375118
2001-02-28,0.35,0.39,0.35,0.38,170757
2001-03-01,0.39,0.41,0.39,0.4,1340003
2001-03-02,0.39,0.39,0.38,0.38,110752
2001-03-05,0.36,0.38,0.35,0.37,201960
2001-03-07,0.35,0.39,0.35,0.39,465983
2001-03-08,0.39,0.39,0.37,0.38,102866
2001-03-09,0.36,0.41,0.35,0.39,419694
2001-03-12,0.36,0.36,0.36,0.36,614111
2001-03-13,0.33,0.33,0.33,0.33,77149
2001-03-14,0.32,0.35,0.31,0.32,120353
2001-03-15,0.34,0.34,0.34,0.34,102523
2001-03-16,0.32,0.37,0.31,0.37,492729
2001-03-19,0.34,0.4,0.34,0.4,151213
2001-03-20,0.38,0.42,0.37,0.39,266766
2001-03-21,0.36,0.38,0.36,0.37,86064
2001-03-22,0.36,0.38,0.35,0.38,256479
2001-03-23,0.36,0.36,0.35,0.35,56576
2001-03-26,0.35,0.35,0.33,0.34,84007
2001-03-27,0.34,0.36,0.34,0.34,180701
2001-03-28,0.35,0.36,0.35,0.36,121039
