date,open,high,low,close,volume
2022-03-28,31.05,32.6,29.5,29.5,30152894
2022-03-29,28.05,28.57,28.05,28.05,76737652
2022-03-30,26.67,29.43,26.67,29.36,81796402
2022-03-31,28.81,30.81,28.24,30.69,14995715
2022-04-01,30.41,32.21,29.17,30.83,61777134
2022-04-04,31.62,31.88,30.74,31.45,6653848
2022-04-05,31.43,32.76,30.57,31.93,21329176
2022-04-06,31.93,32.74,31.67,32.5,7671586
2022-04-07,32.83,32.83,31.52,32.14,5612799
2022-04-08,32.38,33.74,32.14,33.74,20348714
2022-04-11,34.52,35.62,33.14,34.74,21456841
2022-04-12,34.74,34.93,32.38,33.0,6975535
2022-04-13,33.1,35.14,32.86,34.79,8610420
2022-04-18,34.29,34.52,32.64,32.81,8575398
2022-04-19,32.98,33.33,30.48,31.21,6009175
2022-04-20,31.31,31.86,30.76,31.64,5191796
2022-04-21,31.76,33.19,31.76,32.83,4794597
2022-04-22,32.57,34.1,31.91,33.83,10983404
2022-04-25,33.12,34.33,33.02,33.36,6143817
2022-04-26,34.0,36.19,32.83,35.38,15921204
2022-04-27,35.0,35.21,33.86,34.07,7375668
2022-04-28,34.43,34.6,32.86,33.64,4471669
2022-04-29,33.69,33.81,32.55,33.1,4832692
2022-05-02,32.48,33.29,31.86,33.14,2784419
2022-05-04,33.48,33.52,31.91,32.1,2785058
2022-05-05,32.1,33.31,31.79,33.12,6621627
2022-05-06,31.91,32.33,31.1,32.14,3757367
2022-05-09,31.43,32.02,30.95,31.48,4048732
2022-05-10,31.43,32.0,30.57,30.88,4323892
2022-05-11,31.38,31.41,29.55,30.05,6219377
2022-05-12,29.17,29.57,27.93,28.76,7162504
2022-05-13,29.14,30.76,29.14,29.74,3354650
2022-05-16,30.29,30.29,28.38,29.24,3442740
2022-05-17,29.24,30.43,28.71,30.17,2973933
2022-05-18,30.81,30.81,29.71,30.14,2230813
2022-05-19,29.48,29.95,28.69,29.6,2455948
2022-05-20,30.0,30.12,29.36,29.55,4453522
2022-05-23,29.86,30.14,29.19,29.76,4399785
2022-05-24,30.24,30.24,29.17,29.88,5199484
2022-05-25,30.1,30.21,28.64,28.81,4325276
2022-05-26,29.29,29.76,28.19,29.48,4228760
2022-05-27,29.05,30.6,28.81,30.38,6555193
2022-05-30,30.71,31.14,29.88,30.74,3113045
2022-05-31,30.48,31.6,30.43,31.24,7387067
