date,open,high,low,close,volume
2003-09-05,32.1,32.1,31.05,31.86,899856
2003-09-08,32.03,32.18,31.53,31.63,555777
2003-09-09,31.5,32.38,30.28,30.73,1077259
2003-09-10,30.65,31.0,29.63,30.06,1310309
2003-09-11,30.0,30.96,29.14,29.48,1538376
2003-09-12,29.73,29.94,28.5,28.61,1101977
2003-09-15,28.75,28.75,26.25,26.78,1571771
2003-09-16,26.88,27.73,24.58,27.59,1837425
2003-09-17,27.91,28.24,26.13,26.46,1013033
2003-09-18,26.01,26.73,25.51,25.84,949514
2003-09-19,26.25,26.49,24.43,26.03,1057101
2003-09-22,26.25,27.38,26.24,26.41,1076994
2003-09-23,26.25,27.38,26.08,27.13,771565
2003-09-24,27.5,28.73,27.49,28.49,1163278
2003-09-25,28.0,28.86,27.61,27.88,1276915
2003-09-26,28.23,29.7,27.75,29.39,1547572
2003-09-29,29.75,30.21,29.25,29.79,718953
2003-09-30,29.95,30.19,29.15,29.54,652645
2003-10-01,30.25,30.9,30.0,30.34,1159305
2003-10-03,30.95,31.75,30.53,31.59,1396034
2003-10-06,31.94,33.43,31.75,32.85,2294785
2003-10-07,33.25,34.95,33.14,33.46,3182306
2003-10-08,33.85,35.98,33.53,35.44,2895722
2003-10-09,36.45,38.13,36.08,37.74,4882163
2003-10-10,38.0,38.7,33.58,35.51,6560687
2003-10-13,36.25,38.11,35.75,36.15,1975466
2003-10-14,36.5,36.75,34.13,34.46,1576461
2003-10-15,34.49,35.34,32.75,33.46,3459128
2003-10-16,33.85,34.73,33.03,33.35,2116932
2003-10-17,33.5,33.73,30.86,32.66,1221997
2003-10-20,32.2,33.7,31.31,32.33,3026270
2003-10-21,32.61,33.25,32.06,32.74,2107999
2003-10-22,33.38,33.74,31.65,31.95,1676818
2003-10-23,32.05,32.88,31.8,32.11,1306036
2003-10-24,32.46,34.56,31.69,34.31,1890429
2003-10-25,34.94,34.95,33.96,34.18,356410
2003-10-27,34.13,34.63,33.65,33.89,1316700
2003-10-28,33.75,34.0,32.63,32.96,1226701
2003-10-29,33.36,33.36,32.64,32.93,445006
2003-10-30,33.03,34.05,32.4,33.0,1356660
2003-10-31,33.1,34.48,33.0,34.3,1307239
2003-11-03,34.68,36.75,34.5,36.41,2296689
2003-11-04,37.53,38.25,36.24,37.9,3550452
2003-11-05,38.4,39.5,37.39,38.16,3536064
2003-11-06,38.63,39.06,37.53,37.83,2080201
2003-11-07,38.13,38.2,36.54,36.8,1411736
2003-11-10,37.1,38.63,36.25,38.13,1430145
2003-11-11,38.25,39.45,38.14,38.63,2287054
2003-11-12,39.25,39.43,38.03,38.34,1272159
2003-11-13,38.63,38.8,36.35,36.71,1495281
2003-11-14,36.63,36.69,35.53,35.74,921539
2003-11-15,36.25,37.0,35.48,36.33,640148
2003-11-17,36.73,37.19,35.83,36.89,928418
2003-11-18,37.18,37.73,35.5,36.09,956703
2003-11-19,35.88,36.09,34.9,35.05,711642
2003-11-20,35.2,36.08,33.78,34.15,1203897
2003-11-21,34.24,35.0,33.44,34.78,885277
2003-11-24,35.05,35.73,34.84,35.16,833904
2003-11-25,35.65,35.85,34.94,35.7,961502
2003-11-27,36.0,36.45,35.41,35.65,1453076
2003-11-28,36.25,38.8,36.13,38.36,3903003
2003-12-01,39.15,41.19,39.01,41.0,4039371
2003-12-02,41.35,42.96,40.35,42.53,4262673
2003-12-03,42.48,43.59,42.15,42.4,2481573
2003-12-04,42.45,42.96,34.03,41.73,1775064
2003-12-05,42.1,43.25,40.79,41.05,1785760
2003-12-08,40.5,41.74,40.38,41.44,1317734
2003-12-09,41.95,43.13,41.5,42.83,1820459
2003-12-10,42.75,43.08,41.28,41.78,1283227
2003-12-11,42.13,42.73,41.19,42.03,1319275
2003-12-12,42.33,43.34,41.25,43.09,2653399
2003-12-15,43.5,44.59,43.13,44.25,1798551
2003-12-16,44.25,44.5,42.55,43.39,1708449
2003-12-17,44.45,44.45,42.74,43.09,1117647
2003-12-18,43.36,44.6,42.56,44.29,1820390
2003-12-19,44.5,45.13,43.65,44.04,1450792
2003-12-22,44.38,45.5,43.75,45.28,1384771
2003-12-23,45.73,46.93,45.25,45.64,2047218
2003-12-24,46.0,47.73,45.5,47.29,1875084
2003-12-26,47.25,49.25,47.25,48.86,1588427
2003-12-29,49.25,49.83,48.38,49.1,1472578
2003-12-30,49.48,49.55,47.25,47.81,1337859
