date,open,high,low,close,volume
2006-11-21,22.55,31.19,22.55,29.63,11598927
2006-11-22,30.75,30.75,27.5,29.33,5039857
2006-11-23,29.7,31.4,29.61,30.71,4652534
2006-11-24,31.0,31.01,28.76,29.19,2099368
2006-11-27,29.24,30.69,28.25,30.12,2856682
2006-11-28,29.5,30.1,29.0,29.83,1444453
2006-11-29,30.25,31.65,30.22,30.96,3441902
2006-11-30,31.1,32.18,30.6,31.55,2373149
2006-12-01,31.65,32.35,31.45,31.71,1078554
2006-12-04,31.5,31.9,29.9,30.13,625401
2006-12-05,30.25,30.8,29.62,29.91,945684
2006-12-06,30.12,30.74,29.31,29.59,784331
2006-12-07,29.75,30.35,29.3,30.0,827189
2006-12-08,30.22,30.24,28.91,29.15,438401
2006-12-11,29.33,29.33,26.57,28.04,528699
2006-12-12,28.0,28.39,25.25,26.77,586208
2006-12-13,27.2,27.5,25.4,26.58,410244
2006-12-14,27.07,27.47,26.75,27.14,220211
2006-12-15,27.45,29.15,27.33,28.89,667825
2006-12-18,29.2,29.2,27.35,28.28,651818
2006-12-19,28.0,28.39,27.51,28.09,277289
2006-12-20,28.34,29.6,27.85,28.89,521029
2006-12-21,28.65,30.23,28.08,29.44,716818
2006-12-22,29.4,30.9,29.4,29.78,639080
2006-12-26,29.99,30.64,29.54,29.67,266382
2006-12-27,29.95,30.25,29.25,29.42,175074
2006-12-28,29.72,29.72,28.33,28.6,192980
2006-12-29,29.17,29.34,28.74,29.02,165940
2007-01-02,29.11,29.75,28.85,29.49,125064
2007-01-03,29.64,31.49,29.64,30.8,1313494
2007-01-04,31.0,34.09,30.92,32.98,3009330
2007-01-05,33.08,35.09,32.94,34.39,1871500
2007-01-08,35.01,36.75,34.25,36.18,1756991
2007-01-09,36.8,37.5,33.75,34.12,1285839
2007-01-10,33.9,34.45,32.93,33.97,724086
2007-01-11,34.2,35.0,33.63,34.92,492882
2007-01-12,35.0,35.0,33.57,33.85,239916
2007-01-15,34.14,34.35,33.61,33.81,184178
2007-01-16,34.0,36.1,33.67,34.79,507549
2007-01-17,35.0,35.19,34.36,34.56,279563
2007-01-18,34.85,35.99,34.6,34.83,406875
2007-01-19,35.2,35.2,33.85,34.27,218035
2007-01-22,34.5,35.55,33.85,35.08,159391
2007-01-23,35.39,36.25,35.25,35.53,328998
2007-01-24,35.85,36.7,35.43,36.36,260188
2007-01-25,36.73,37.75,36.21,36.66,405158
2007-01-29,36.84,37.75,35.75,37.11,209270
2007-01-31,37.9,38.0,34.4,34.81,183711
2007-02-01,35.21,35.21,34.1,34.21,98956
2007-02-02,34.6,36.95,34.3,36.55,323417
2007-02-05,36.5,36.6,35.8,36.04,115061
2007-02-06,36.1,36.9,36.0,36.18,140271
2007-02-07,36.8,36.8,34.76,35.13,46094
2007-02-08,35.4,37.25,35.22,37.0,214717
2007-02-09,37.3,37.37,34.55,35.11,85430
2007-02-12,35.25,35.25,31.75,32.62,74220
2007-02-13,32.75,33.9,31.81,32.24,74563
2007-02-14,31.14,32.3,30.53,31.76,41235
2007-02-15,32.22,33.4,32.22,32.78,81788
2007-02-19,34.0,34.0,32.7,33.2,47587
2007-02-20,33.05,33.45,32.5,32.66,63683
2007-02-21,32.94,33.75,32.76,33.05,35413
2007-02-22,33.5,33.69,31.81,32.13,101342
2007-02-23,32.25,32.9,29.8,30.47,42686
2007-02-26,30.45,32.94,30.1,32.47,58060
2007-02-27,32.7,33.6,31.76,33.38,46201
2007-02-28,31.5,34.3,29.25,33.03,79441
2007-03-01,33.0,34.0,32.5,33.48,63156
2007-03-02,33.25,34.1,32.45,32.87,54390
2007-03-05,32.65,33.65,31.7,32.25,111956
2007-03-06,32.9,33.4,31.2,32.22,97998
2007-03-07,32.84,33.35,31.5,31.9,143697
2007-03-08,32.0,32.45,30.25,31.07,82464
2007-03-09,31.6,32.5,31.3,31.82,27756
2007-03-12,32.0,32.75,31.75,32.56,16286
2007-03-13,32.5,33.75,32.2,33.47,21268
2007-03-14,32.56,32.75,30.5,32.57,6732
2007-03-15,33.35,37.75,32.25,33.65,394669
2007-03-16,34.42,35.85,33.9,35.28,175829
2007-03-19,35.5,37.45,34.95,36.87,234130
2007-03-20,36.9,38.84,36.27,36.52,338462
2007-03-21,36.75,37.3,34.56,34.82,184794
2007-03-22,35.5,35.83,34.61,34.79,78815
2007-03-23,35.0,35.6,33.9,34.29,75309
2007-03-26,34.5,34.85,33.9,34.34,108830
2007-03-28,34.24,34.4,33.05,33.77,51047
2007-03-29,33.6,34.25,33.6,34.02,24288
2007-03-30,34.15,35.25,33.6,33.86,66838
2007-04-02,33.5,35.0,33.5,33.87,73067
2007-04-03,33.87,34.45,33.3,33.97,42968
2007-04-04,34.39,34.65,33.53,33.8,20298
2007-04-05,33.68,33.97,33.34,33.42,8669
2007-04-09,33.82,34.75,33.6,33.78,54489
2007-04-10,33.99,35.5,33.83,34.28,119155
2007-04-11,34.49,36.6,34.25,36.2,211485
2007-04-12,35.95,36.93,35.41,36.48,71182
2007-04-13,36.59,38.6,35.5,37.8,278052
2007-04-16,38.09,41.25,38.09,40.1,238794
2007-04-17,40.29,40.49,38.66,38.97,64011
2007-04-18,39.34,39.34,38.15,38.41,54578
2007-04-19,37.65,38.15,37.0,37.32,18444
2007-04-20,37.94,38.8,36.51,36.69,52547
2007-04-23,37.29,37.29,35.77,35.97,23942
2007-04-24,35.99,37.5,35.5,36.84,53253
2007-04-25,36.75,36.75,35.85,35.98,20174
2007-04-26,37.1,37.2,35.95,36.69,71284
2007-04-27,36.5,36.75,35.76,35.89,13039
2007-04-30,35.64,39.49,35.51,38.93,102269
2007-05-03,39.94,40.5,37.3,38.26,116481
2007-05-04,38.6,38.65,37.28,37.59,32648
2007-05-07,37.95,38.7,37.25,37.53,15633
2007-05-08,37.55,44.0,37.55,41.22,1193077
2007-05-09,41.01,41.62,39.06,39.5,360254
2007-05-10,39.8,42.2,39.76,40.73,567245
2007-05-11,40.0,41.15,38.25,40.24,183356
2007-05-14,41.25,41.25,40.1,40.44,82246
2007-05-15,40.6,40.65,39.75,39.99,48819
2007-05-16,40.25,40.94,40.0,40.13,33148
2007-05-17,40.5,41.82,40.0,40.21,108372
2007-05-18,39.03,40.95,39.03,40.04,36223
2007-05-21,40.6,41.0,40.02,40.27,21466
2007-05-22,40.5,41.4,40.0,40.49,45870
2007-05-23,40.75,41.15,38.81,39.56,48216
2007-05-24,39.7,40.75,39.5,40.08,54385
2007-05-25,39.15,40.8,39.15,39.93,33821
2007-05-28,40.5,41.15,39.5,39.58,20507
2007-05-29,40.0,41.5,39.4,41.23,136946
2007-05-30,41.0,41.77,40.0,40.2,111082
2007-05-31,40.75,41.15,40.25,40.49,25691
2007-06-01,41.0,41.4,40.61,41.22,44898
2007-06-04,41.45,43.75,40.9,43.11,301693
2007-06-05,42.9,44.2,41.61,42.04,277395
2007-06-06,42.4,42.4,40.75,41.06,52115
2007-06-07,40.75,41.68,40.4,40.56,114585
2007-06-08,41.5,41.5,39.8,40.53,67585
2007-06-11,40.95,41.3,40.53,40.72,9281
2007-06-12,40.8,40.8,38.9,40.33,27723
2007-06-13,40.55,40.55,39.5,39.72,7771
2007-06-14,40.35,40.9,39.8,40.01,9942
2007-06-15,40.5,41.5,40.1,40.82,55293
2007-06-18,40.8,41.24,39.01,39.25,23147
2007-06-19,39.25,39.7,33.78,38.86,29385
2007-06-20,39.44,41.1,39.11,40.38,39601
2007-06-21,40.5,40.75,39.51,39.75,9544
2007-06-22,39.98,40.24,37.25,39.1,13714
2007-06-25,39.3,40.0,38.75,39.07,9112
2007-06-26,39.45,40.0,38.75,39.09,31247
2007-06-27,39.2,39.75,38.85,39.02,27037
2007-06-28,39.55,39.55,38.75,38.91,21800
2007-06-29,39.4,39.4,38.78,38.99,16772
2007-07-02,39.7,39.7,38.75,38.91,7504
2007-07-03,39.4,41.25,39.35,40.26,55250
2007-07-04,40.5,40.5,39.5,39.93,10325
2007-07-05,40.05,40.05,39.1,39.21,12175
2007-07-06,39.05,39.99,38.75,39.45,27833
2007-07-09,39.75,40.26,39.11,39.78,12917
2007-07-10,40.2,47.74,40.2,47.74,455999
2007-07-11,48.25,51.2,45.76,46.29,752573
2007-07-12,46.92,49.74,43.05,45.15,525985
2007-07-13,45.87,51.5,44.1,44.57,442694
2007-07-16,45.26,45.26,43.42,44.39,127039
2007-07-17,44.85,44.9,42.4,43.0,137184
2007-07-18,42.38,43.4,41.5,42.11,60132
2007-07-19,42.87,42.87,41.37,41.78,46236
2007-07-20,41.75,44.0,41.08,43.46,156965
2007-07-23,43.65,44.0,42.5,42.83,40457
2007-07-24,44.75,44.75,42.63,42.88,41708
2007-07-25,42.13,42.95,41.25,41.52,25774
2007-07-26,42.0,42.6,41.27,41.72,26000
2007-07-27,41.75,41.75,39.18,41.37,49363
2007-07-30,41.4,42.35,40.06,40.99,464025
2007-07-31,41.0,43.6,41.0,42.98,55825
2007-08-01,42.95,42.95,41.2,41.28,35681
2007-08-02,41.5,42.15,40.5,41.38,13853
2007-08-03,42.3,43.5,41.65,43.19,30801
2007-08-06,41.05,43.0,41.05,42.64,17000
2007-08-07,42.75,45.85,42.75,44.26,95316
2007-08-08,44.95,46.95,44.95,46.26,89105
2007-08-09,46.5,47.1,43.08,44.9,33854
