date,open,high,low,close,volume
2003-09-05,9.24,9.24,9.1,9.18,15180
2003-09-08,9.16,9.39,9.16,9.29,20600
2003-09-09,9.35,9.4,9.0,9.08,9277
2003-09-10,9.5,9.5,9.0,9.06,8460
2003-09-11,9.4,9.52,9.3,9.52,17342
2003-09-12,9.7,9.89,9.31,9.48,24820
2003-09-15,9.5,9.5,9.2,9.39,26075
2003-09-16,9.3,9.86,9.3,9.81,37565
2003-09-17,9.9,10.2,9.51,9.61,28455
2003-09-18,9.5,9.6,9.26,9.29,8280
2003-09-19,9.35,9.5,9.2,9.29,11035
2003-09-22,9.0,9.36,9.0,9.16,5214
2003-09-23,9.1,9.62,9.09,9.62,21596
2003-09-24,10.0,10.09,9.51,9.78,18156
2003-09-25,9.72,10.0,9.7,9.83,16302
2003-09-26,9.9,10.33,9.67,10.15,52377
2003-09-29,10.4,10.66,10.4,10.66,37515
2003-09-30,11.1,11.19,10.92,11.05,33386
2003-10-01,11.2,11.6,11.2,11.6,33547
2003-10-03,12.16,12.18,11.9,12.18,30577
2003-10-06,12.75,12.75,11.63,11.92,52023
2003-10-07,12.24,12.47,11.38,11.58,65046
2003-10-08,11.55,11.6,11.29,11.38,15979
2003-10-09,11.6,11.95,11.43,11.95,28350
2003-10-10,12.45,12.45,11.6,11.67,17750
2003-10-13,11.46,12.25,11.46,12.19,38231
2003-10-14,12.8,12.8,11.7,11.88,30017
2003-10-15,11.53,12.06,11.53,11.78,10564
2003-10-16,11.9,12.37,11.8,12.37,46162
2003-10-17,12.0,12.4,12.0,12.07,20400
2003-10-20,12.19,12.19,11.5,11.55,20349
2003-10-21,11.6,11.8,11.0,11.08,20566
2003-10-22,11.25,11.37,10.7,10.79,11951
2003-10-23,10.82,11.25,10.8,11.18,8722
2003-10-24,11.1,11.5,10.89,11.46,12043
2003-10-25,11.89,12.0,11.21,11.86,14677
2003-10-27,11.7,11.89,11.5,11.69,12498
2003-10-28,12.0,12.28,11.63,12.03,61377
2003-10-29,12.46,12.46,11.58,11.71,17832
2003-10-30,11.78,12.0,11.7,11.93,20615
2003-10-31,12.0,12.27,11.67,12.08,28323
2003-11-03,12.4,12.69,11.9,12.21,92525
2003-11-04,12.49,12.51,12.0,12.09,20545
2003-11-05,12.15,12.15,11.65,11.7,20688
2003-11-06,11.8,12.28,11.8,12.28,22025
2003-11-07,12.1,12.52,12.05,12.23,34550
2003-11-10,12.21,12.3,11.8,11.85,18930
2003-11-11,12.27,12.39,11.7,12.12,47567
2003-11-12,12.21,12.73,12.21,12.73,57070
2003-11-13,13.0,13.37,12.6,12.89,74353
2003-11-14,12.8,12.86,12.25,12.26,20875
2003-11-15,11.91,12.85,11.91,12.77,13077
2003-11-17,12.8,13.41,12.5,13.41,36144
2003-11-18,14.08,14.08,13.65,14.04,79721
2003-11-19,13.7,14.75,13.7,13.76,30567
2003-11-20,13.9,14.45,13.9,14.0,53757
2003-11-21,13.9,14.2,13.81,14.14,23628
2003-11-24,14.5,14.85,14.39,14.85,43421
2003-11-25,15.54,15.6,15.25,15.4,65807
2003-11-27,15.9,15.9,14.94,15.07,32957
2003-11-28,15.4,15.5,15.1,15.26,22122
2003-12-01,15.6,15.69,15.21,15.47,17084
2003-12-02,15.16,15.5,15.0,15.45,26550
2003-12-03,15.6,16.23,15.5,16.23,51639
2003-12-04,16.6,17.04,16.4,17.04,61854
2003-12-05,17.8,17.9,17.43,17.68,50481
2003-12-08,18.0,18.56,18.0,18.56,20981
2003-12-09,19.35,19.49,19.1,19.48,26913
2003-12-10,19.9,19.9,18.51,18.52,17357
2003-12-11,18.7,19.0,17.59,18.0,15021
2003-12-12,18.0,18.0,17.6,17.86,10207
2003-12-15,18.75,18.75,18.2,18.75,16112
2003-12-16,19.38,19.6,18.76,19.11,39262
