date,open,high,low,close,volume
2012-04-12,4.49,4.49,4.26,4.31,940724
2012-04-13,4.3,4.31,4.11,4.22,132886
2012-04-16,4.22,4.22,4.1,4.12,66672
2012-04-17,4.13,4.13,4.0,4.05,80956
2012-04-18,3.93,4.25,3.93,4.25,70645
2012-04-19,4.32,4.46,4.25,4.46,139538
2012-04-20,4.6,4.6,4.31,4.36,45858
2012-04-23,4.4,4.4,4.2,4.28,15605
2012-04-24,4.31,4.42,4.23,4.41,38854
2012-04-25,4.3,4.49,4.3,4.46,70776
2012-04-26,4.53,4.57,4.31,4.36,53815
2012-04-27,4.4,4.4,4.23,4.25,31995
2012-04-28,4.25,4.29,4.21,4.22,3280
2012-04-30,4.19,4.31,4.19,4.27,10566
2012-05-02,4.35,4.35,4.16,4.21,14853
2012-05-03,4.28,4.28,4.11,4.12,8361
2012-05-04,4.09,4.11,3.96,4.0,17666
2012-05-07,4.0,4.03,3.89,4.0,22876
2012-05-08,4.0,4.13,3.96,4.1,31186
2012-05-09,4.07,4.13,3.97,4.0,6479
2012-05-10,4.08,4.08,3.9,3.93,7525
2012-05-11,3.91,3.99,3.81,3.85,15726
2012-05-14,3.87,3.9,3.78,3.8,6343
2012-05-15,3.78,3.84,3.74,3.8,11652
2012-05-16,3.86,3.86,3.64,3.67,15667
2012-05-17,3.81,3.82,3.24,3.57,28510
2012-05-18,3.58,3.61,3.47,3.57,12397
2012-05-21,3.6,3.63,3.56,3.6,113135
2012-05-22,3.6,3.68,3.58,3.6,10737
2012-05-23,3.58,3.62,3.58,3.6,2357
2012-05-24,3.64,3.68,3.51,3.66,8139
2012-05-25,3.64,3.65,3.59,3.59,10717
2012-05-28,3.64,3.64,3.6,3.62,27210
2012-05-29,3.66,3.74,3.64,3.71,10704
2012-05-30,3.77,4.03,3.77,3.91,39509
2012-05-31,3.91,3.93,3.84,3.92,9900
2012-06-01,3.83,3.93,3.83,3.86,13028
2012-06-04,3.8,3.93,3.78,3.85,7164
2012-06-05,3.78,3.89,3.74,3.77,11955
2012-06-06,3.74,3.86,3.73,3.81,29544
2012-06-07,3.82,3.88,3.76,3.83,41678
2012-06-08,3.78,3.85,3.69,3.77,28309
2012-06-11,3.74,3.86,3.74,3.82,166074
2012-06-12,3.82,3.86,3.73,3.78,52394
2012-06-13,3.82,3.87,3.8,3.86,167417
2012-06-14,3.81,3.84,3.73,3.77,52123
2012-06-15,3.78,3.84,3.76,3.79,9186
2012-06-18,3.82,3.91,3.76,3.78,6514
2012-06-19,3.84,3.84,3.7,3.77,6495
2012-06-20,3.77,3.89,3.77,3.84,25787
2012-06-21,3.91,4.0,3.87,3.96,32159
2012-06-22,3.94,4.16,3.91,4.09,40031
2012-06-25,4.1,4.33,4.1,4.15,41390
2012-06-26,4.16,4.22,4.11,4.16,11559
2012-06-27,4.2,4.22,4.09,4.13,17011
2012-06-28,4.12,4.21,4.12,4.18,22780
2012-06-29,4.18,4.26,4.15,4.18,19051
2012-07-02,4.22,4.22,4.14,4.15,10104
2012-07-03,4.17,4.24,4.1,4.21,30419
2012-07-04,4.22,4.29,4.16,4.26,19962
2012-07-05,4.22,4.58,4.22,4.44,194186
2012-07-06,4.48,4.49,4.32,4.44,45243
2012-07-09,4.42,4.56,4.42,4.51,386380
2012-07-10,4.56,4.62,4.45,4.47,37720
2012-07-11,4.57,4.8,4.47,4.51,883296
2012-07-12,4.51,4.62,4.49,4.51,92965
2012-07-13,4.52,4.56,4.49,4.52,50386
2012-07-16,4.53,4.71,4.53,4.62,139748
2012-07-17,4.67,4.71,4.44,4.48,64047
2012-07-18,4.55,4.55,4.38,4.43,45074
2012-07-19,4.49,4.61,4.38,4.52,58823
2012-07-20,4.47,4.55,4.45,4.47,11839
2012-07-23,4.44,4.48,4.36,4.44,14523
2012-07-24,4.4,4.46,4.37,4.4,12898
