date,open,high,low,close,volume
2010-01-08,127.75,128.75,123.76,124.73,648
2010-01-11,120.05,125.75,120.0,124.95,825
2010-01-12,127.0,127.0,123.57,125.14,68346
2010-01-13,125.14,127.0,124.0,124.47,1032
2010-01-14,126.75,129.75,123.5,128.41,330361
2010-01-15,129.0,129.0,125.0,125.68,8229
2010-01-18,128.7,128.7,125.7,126.81,883
2010-01-19,128.35,128.5,126.55,127.81,688
2010-01-20,127.5,128.75,127.0,127.13,641
2010-01-21,127.0,128.45,125.0,126.31,831
2010-01-22,125.0,126.5,123.9,126.45,681
2010-01-25,133.27,133.27,125.5,126.11,1955
2010-01-27,128.5,128.75,124.93,128.35,5302
2010-01-28,128.4,130.5,126.78,129.34,1048
2010-01-29,126.3,129.0,126.3,126.65,787
2010-02-01,130.0,130.0,125.76,126.61,614
2010-02-02,129.96,129.96,127.0,128.01,831
2010-02-03,129.4,130.0,127.8,128.23,8681
2010-02-04,127.4,129.19,127.4,128.42,442
2010-02-05,129.1,129.1,122.1,127.46,1651
2010-02-06,122.75,128.65,122.75,128.32,33
2010-02-08,128.5,133.6,128.5,132.28,8181
2010-02-09,130.01,141.2,130.01,139.63,8861
2010-02-10,140.1,162.2,136.93,137.51,44699
2010-02-11,140.95,140.95,136.31,136.86,31881
2010-02-15,140.75,140.75,130.7,135.96,4504
2010-02-16,139.6,140.74,134.85,135.09,6120
2010-02-17,135.26,137.15,134.07,134.44,9981
2010-02-18,134.44,135.5,132.25,132.58,2203
2010-02-19,132.5,134.25,131.4,132.01,7495
2010-02-22,131.25,132.45,128.0,129.25,14820
2010-02-23,128.5,129.5,127.55,127.61,3070
2010-02-24,127.5,129.5,127.0,128.74,9918
2010-02-25,129.0,130.0,127.61,127.98,4264
2010-02-26,126.31,132.5,126.31,131.35,4239
2010-03-02,131.0,132.25,130.0,131.27,3343
2010-03-03,131.5,132.0,130.23,131.46,2339
2010-03-04,130.5,132.5,130.5,131.7,4796
2010-03-05,133.5,135.99,133.5,135.06,14392
2010-03-08,136.5,137.5,134.61,136.3,9767
2010-03-09,135.0,137.55,135.0,137.26,4212
2010-03-10,136.05,138.25,136.05,137.0,8386
2010-03-11,136.25,137.0,134.75,136.64,27712
2010-03-12,141.25,141.25,134.5,135.77,19872
2010-03-15,136.55,137.85,135.21,137.24,2980
2010-03-16,136.78,136.8,133.0,133.62,9216
2010-03-17,134.5,134.5,132.75,133.93,2149
2010-03-18,134.9,134.9,132.9,133.4,6485
2010-03-19,134.49,134.49,131.05,132.32,11167
2010-03-22,132.5,132.99,130.58,131.74,21885
2010-03-23,132.06,133.05,131.75,132.69,2990
2010-03-25,133.0,133.25,130.5,132.42,8068
2010-03-26,131.61,136.0,131.61,134.37,22900
2010-03-29,133.5,140.0,132.15,135.65,7730
2010-03-30,135.55,136.5,132.16,133.53,9235
2010-03-31,137.5,137.55,130.0,133.53,16964
2010-04-01,133.28,136.75,131.75,135.48,20334
2010-04-05,137.5,137.5,134.96,135.96,13077
2010-04-06,135.76,141.55,135.25,138.01,32846
2010-04-07,137.5,138.5,135.61,137.56,3657
2010-04-08,135.8,137.5,133.75,135.93,108603
2010-04-09,134.77,136.24,134.55,135.05,3248
2010-04-12,136.38,136.5,132.96,134.74,5090
2010-04-13,134.0,136.25,133.0,135.73,8135
2010-04-15,136.13,138.0,134.05,137.39,4672
2010-04-16,136.0,138.75,135.55,137.36,4681
2010-04-19,137.25,140.5,135.66,138.05,7606
2010-04-20,137.01,140.43,137.01,138.66,37732
2010-04-21,137.55,142.0,137.55,140.65,9344
2010-04-22,142.5,149.7,138.1,143.87,41088
2010-04-23,114.75,142.5,114.75,136.11,85414
2010-04-26,135.06,139.0,135.04,137.78,24239
2010-04-27,138.5,139.9,137.5,139.68,20373
2010-04-28,137.76,140.25,137.76,139.98,103864
2010-04-29,139.98,140.5,138.51,139.48,3186
2010-04-30,141.0,141.0,137.55,138.16,70882
2010-05-03,136.75,139.3,136.75,137.53,81877
2010-05-04,137.5,138.75,136.15,137.57,4674
2010-05-05,136.2,138.5,136.2,137.72,14124
2010-05-06,137.06,138.0,137.01,137.71,3566
2010-05-07,137.05,138.75,136.01,136.58,37579
2010-05-10,138.48,141.75,136.29,139.73,177339
2010-05-11,139.84,139.84,137.25,137.38,2376
2010-05-12,135.5,139.75,135.5,139.52,2315
2010-05-13,140.0,141.5,138.09,139.52,7755
2010-05-14,138.15,140.97,138.15,140.33,7030
2010-05-17,141.45,143.0,139.5,142.65,5205
2010-05-18,143.32,147.89,142.5,147.43,11975
2010-05-19,145.75,148.23,144.85,147.28,11104
2010-05-20,145.27,147.25,142.5,144.69,23083
2010-05-21,144.0,146.2,133.51,139.41,28256
2010-05-24,142.4,146.75,140.1,145.16,7809
2010-05-25,143.6,145.0,137.55,138.86,5329
2010-05-26,141.1,141.25,139.76,140.5,12312
2010-05-27,141.2,142.5,138.11,141.82,2569
2010-05-28,142.45,144.5,142.15,143.03,10678
2010-05-31,143.5,147.0,142.5,143.96,8318
2010-06-01,146.5,146.5,142.22,142.77,8078
2010-06-02,144.29,145.55,139.5,141.88,165739
2010-06-03,147.4,147.4,140.0,140.36,9976
2010-06-04,140.5,142.0,139.75,140.52,7972
2010-06-07,140.52,141.99,138.75,139.84,4549
2010-06-08,140.22,142.25,140.0,141.06,121330
2010-06-09,141.75,143.45,139.65,143.09,4667
2010-06-10,141.35,145.0,141.35,144.61,2766
2010-06-11,145.34,145.34,143.56,144.89,8908
2010-06-14,146.25,146.25,143.75,145.23,2040
2010-06-15,144.35,145.75,144.35,145.42,2069
2010-06-16,146.42,146.92,145.3,146.43,2709
2010-06-17,146.25,146.25,144.5,145.81,2214
2010-06-18,146.38,149.17,145.23,147.6,6429
2010-06-21,147.25,153.2,147.15,149.84,12661
2010-06-22,143.63,148.65,143.63,145.59,8260
2010-06-23,145.65,149.02,144.25,144.96,36713
2010-06-24,147.25,147.5,145.35,146.97,6216
2010-06-25,145.5,147.4,145.25,145.38,2090
2010-06-28,147.45,147.45,144.25,145.37,5672
2010-06-29,145.35,145.75,144.4,144.89,19808
2010-06-30,144.85,147.5,142.64,143.98,115279
2010-07-01,144.75,148.74,144.7,147.15,7854
2010-07-02,147.15,149.5,145.25,148.93,6474
2010-07-05,147.8,156.25,147.5,154.24,24078
2010-07-06,154.25,156.0,153.6,154.55,16725
2010-07-07,154.49,154.49,151.05,151.7,3734
2010-07-08,153.3,154.6,152.05,152.39,5845
2010-07-09,153.73,153.74,148.88,149.2,11188
2010-07-12,165.0,165.0,149.0,149.75,2926
2010-07-13,149.75,151.95,148.1,149.25,10651
2010-07-14,147.65,151.0,147.65,149.48,7359
2010-07-15,150.15,150.15,148.0,148.86,4156
2010-07-16,148.9,153.35,148.25,151.15,26706
2010-07-19,154.25,154.25,149.36,149.61,9316
2010-07-20,150.8,150.8,149.25,149.99,2986
2010-07-21,149.25,150.98,147.25,147.56,7766
2010-07-22,149.38,149.38,147.1,147.5,3466
2010-07-23,148.45,148.8,147.0,147.64,6664
2010-07-26,147.2,151.24,146.55,150.38,7893
2010-07-27,149.05,150.25,147.75,149.63,4554
2010-07-28,150.0,150.05,147.5,148.06,4805
2010-07-29,151.38,151.38,147.5,148.28,5144
2010-07-30,148.5,151.67,148.03,151.03,15480
2010-08-02,152.0,152.0,150.36,151.14,3671
2010-08-03,152.0,154.25,147.83,148.15,8654
2010-08-04,150.0,151.0,145.0,145.36,12561
2010-08-05,146.5,147.0,138.25,139.92,35921
2010-08-06,140.8,141.5,137.51,138.5,85524
2010-08-09,138.75,141.5,138.5,139.54,21872
2010-08-10,140.1,142.0,139.59,140.94,10540
2010-08-11,141.28,142.6,138.78,141.41,17058
2010-08-12,142.0,142.3,140.0,141.54,43064
2010-08-13,140.5,142.0,139.6,140.02,60853
2010-08-16,138.62,141.4,137.5,138.2,11436
2010-08-17,137.77,139.13,135.05,136.36,28193
2010-08-18,136.9,139.75,136.52,137.67,16295
2010-08-19,137.76,141.65,137.76,140.83,10641
2010-08-20,138.8,145.75,138.8,144.0,123051
2010-08-23,142.55,146.4,142.55,145.52,177521
2010-08-24,145.5,149.5,145.1,147.35,6949
2010-08-25,145.8,150.0,143.25,148.35,13955
2010-08-26,149.2,155.0,149.05,153.88,84591
2010-08-27,154.35,154.94,152.55,153.09,44864
2010-08-30,155.0,160.0,153.26,155.34,24605
2010-08-31,155.0,155.0,150.75,153.94,28886
2010-09-01,154.0,156.0,152.5,153.46,31311
2010-09-02,156.0,161.85,152.5,156.48,474245
2010-09-03,157.0,159.7,156.25,158.91,14176
2010-09-06,159.5,162.5,159.0,160.38,27873
2010-09-07,160.35,161.25,159.55,160.22,9507
2010-09-08,160.25,162.38,159.0,160.45,13574
2010-09-09,160.0,160.0,156.66,158.5,205913
2010-09-13,159.5,160.14,157.75,159.14,6721
2010-09-14,159.5,161.5,157.76,160.2,11995
2010-09-15,161.06,161.06,157.35,157.85,24323
2010-09-16,158.25,162.95,157.05,159.54,22303
2010-09-17,159.0,165.0,158.1,163.17,133266
2010-09-20,163.25,165.5,160.28,163.48,38322
2010-09-21,163.48,166.7,163.0,165.43,17797
2010-09-22,163.5,165.7,161.4,164.75,19232
2010-09-23,165.25,165.5,162.25,162.88,11305
2010-09-24,162.88,166.23,162.88,165.66,93158
2010-09-27,165.85,168.55,163.5,166.9,14146
2010-09-28,167.6,167.6,165.81,167.45,13857
2010-09-29,166.3,167.55,165.05,167.04,10116
2010-09-30,166.65,169.95,163.53,169.11,14539
2010-10-01,167.55,168.5,167.05,168.03,3678
2010-10-04,169.0,169.25,165.01,165.6,9495
2010-10-05,165.6,165.6,162.79,163.47,9666
2010-10-06,164.01,164.01,159.06,159.88,12884
2010-10-07,159.88,163.75,159.5,160.49,15687
