date,open,high,low,close,volume
2018-01-29,127.05,133.35,123.13,126.2,14008351
2018-01-30,125.35,130.5,117.2,126.48,2036442
2018-01-31,126.0,129.0,122.28,124.78,658605
2018-02-01,122.5,130.5,121.25,126.48,784681
2018-02-02,123.08,125.9,115.83,116.95,483743
2018-02-05,112.55,118.7,111.5,116.3,218693
2018-02-06,112.0,113.98,107.5,113.3,303655
2018-02-07,115.0,118.1,114.18,116.65,207757
2018-02-08,116.65,119.48,116.65,118.95,159340
2018-02-09,117.5,121.5,115.55,118.15,132285
2018-02-12,118.95,126.0,118.78,124.3,319651
2018-02-14,124.45,125.9,122.78,124.65,152694
2018-02-15,125.0,125.75,119.0,119.58,92349
2018-02-16,120.13,122.0,115.8,117.03,91927
2018-02-19,115.08,118.4,114.1,114.9,62408
2018-02-20,115.2,116.73,114.0,115.0,59487
2018-02-21,115.5,116.53,113.63,115.1,73689
2018-02-22,114.45,118.83,114.45,118.28,93627
2018-02-23,118.48,119.1,116.25,117.0,48360
2018-02-26,117.23,122.13,115.55,119.53,113804
2018-02-27,122.95,124.0,120.5,122.25,196307
2018-02-28,122.4,123.0,120.0,121.75,114283
2018-03-01,121.68,124.0,121.68,122.05,172192
2018-03-05,122.5,123.9,119.53,120.95,106999
2018-03-06,121.25,122.68,118.75,119.28,58602
2018-03-07,119.0,121.0,116.0,117.93,67101
2018-03-08,118.13,119.9,117.5,119.13,67681
2018-03-09,119.13,120.2,118.13,119.05,50588
2018-03-12,119.65,122.93,119.65,121.73,115154
2018-03-13,121.33,122.43,120.15,121.53,67591
2018-03-14,121.48,121.85,119.03,119.45,26245
2018-03-15,119.03,120.28,119.0,119.35,56262
2018-03-16,119.4,120.95,119.0,119.73,293721
2018-03-19,119.28,121.0,116.3,116.95,25097
2018-03-20,116.28,116.8,114.65,114.98,86787
2018-03-21,115.53,116.65,114.2,115.23,73067
2018-03-22,115.3,116.35,114.0,114.53,48979
2018-03-23,113.4,114.5,110.53,112.5,75896
2018-03-26,114.98,114.98,113.3,114.08,35944
2018-03-27,114.5,115.4,110.55,113.68,32179
2018-03-28,114.35,116.9,113.75,115.9,40668
2018-04-02,115.9,118.78,115.0,117.68,28158
2018-04-03,119.35,119.35,116.5,117.33,21845
2018-04-04,118.45,120.0,116.9,118.68,109248
2018-04-05,118.93,121.0,118.0,118.4,41336
2018-04-06,117.5,122.28,117.5,120.65,50642
2018-04-09,120.03,121.5,119.48,119.95,46638
2018-04-10,120.0,120.5,119.0,119.98,106674
2018-04-11,120.23,121.45,119.58,120.65,26418
2018-04-12,120.5,121.18,118.0,120.45,122315
2018-04-13,120.0,122.5,119.25,121.63,65364
2018-04-16,121.5,122.0,119.53,119.88,18452
2018-04-17,119.98,120.63,118.25,118.65,12816
2018-04-18,118.5,119.2,116.4,116.9,23666
2018-04-19,116.25,118.28,114.8,115.43,32408
2018-04-20,115.5,117.78,115.08,116.18,37242
2018-04-23,116.5,121.73,116.5,118.65,44551
2018-04-24,118.43,120.85,118.43,118.73,16345
2018-04-25,118.63,119.8,116.13,116.73,25910
2018-04-26,117.5,120.08,116.03,119.38,41655
2018-04-27,119.0,120.28,117.25,119.65,41418
2018-04-30,120.15,130.4,118.33,125.58,392785
2018-05-02,125.98,129.85,124.5,125.53,88505
2018-05-03,125.35,125.35,122.0,123.03,28981
2018-05-04,123.15,126.0,122.9,124.5,59727
2018-05-07,125.5,128.0,124.8,127.35,84523
2018-05-08,128.5,131.35,127.28,127.6,286173
2018-05-09,129.4,130.85,127.55,127.65,50431
2018-05-10,127.78,129.45,124.5,124.78,20660
2018-05-11,124.78,128.35,124.08,125.23,29931
2018-05-14,124.25,127.0,124.25,126.38,52484
2018-05-15,125.53,129.5,125.53,127.08,81874
2018-05-16,126.45,129.0,125.6,127.35,47630
2018-05-17,126.55,135.0,126.38,131.9,349283
2018-05-18,133.43,136.0,129.0,129.7,138811
2018-05-21,131.0,132.23,128.2,128.95,58786
2018-05-22,128.95,131.0,123.05,125.95,282877
2018-05-23,126.0,129.95,124.0,126.38,110773
2018-05-24,127.43,130.33,124.85,125.58,97661
2018-05-25,126.23,128.75,126.23,128.45,113820
2018-05-28,128.73,130.0,128.28,129.03,75583
2018-05-29,128.98,129.15,126.0,127.18,28544
2018-05-30,126.0,128.18,125.5,125.93,31066
2018-05-31,126.2,134.0,126.18,133.5,341333
2018-06-01,132.0,136.0,131.1,133.05,102557
2018-06-04,127.78,132.0,126.0,126.4,27252
2018-06-05,126.4,129.2,125.0,125.7,74159
2018-06-06,123.75,129.98,123.75,128.65,40321
2018-06-07,129.73,129.98,126.13,127.65,28239
2018-06-08,128.48,131.1,127.0,129.58,54301
2018-06-11,132.75,132.75,127.5,128.85,24218
2018-06-12,128.3,131.5,127.8,130.88,31260
2018-06-13,131.98,131.98,127.0,127.45,21564
2018-06-14,126.13,128.0,124.5,125.1,58791
2018-06-15,126.25,126.3,124.75,125.3,30071
2018-06-18,124.5,128.83,124.5,125.55,56565
2018-06-19,125.5,127.4,119.0,124.53,111720
2018-06-20,122.5,126.48,122.5,125.1,33780
2018-06-21,126.0,128.05,124.23,126.08,29594
2018-06-22,126.95,127.95,124.98,126.78,54870
2018-06-25,123.75,129.13,123.75,125.08,36121
2018-06-26,126.98,127.48,122.5,122.88,23708
2018-06-27,123.88,126.25,117.15,121.53,58046
2018-06-28,120.5,124.5,117.55,123.18,43652
2018-06-29,126.63,129.95,121.08,126.68,70207
2018-07-02,126.38,128.98,122.05,123.13,20218
2018-07-03,123.13,124.7,120.05,121.5,21745
2018-07-04,120.25,124.5,120.25,124.1,21411
2018-07-05,124.03,125.0,122.0,122.53,9362
2018-07-06,123.9,124.25,119.3,121.78,46583
