date,open,high,low,close,volume
2008-03-03,86.81,86.81,83.1,86.53,1760
2008-03-04,87.8,87.8,82.2,82.2,628
2008-03-05,79.95,81.49,78.09,80.9,553
2008-03-07,82.31,82.31,76.86,76.93,751
2008-03-10,69.38,79.94,69.38,78.16,1286
2008-03-11,80.27,85.98,78.59,85.98,1086
2008-03-12,94.58,94.58,94.58,94.58,389
2008-03-13,101.12,101.12,85.12,85.12,3524
2008-03-14,85.45,93.63,78.43,92.52,3246
2008-03-17,85.37,88.97,83.27,83.28,1414
2008-03-18,86.22,87.8,78.31,80.96,1691
2008-03-19,86.07,87.88,73.53,74.66,1173
2008-03-24,78.31,78.35,67.34,69.63,1421
2008-03-25,63.5,75.26,63.5,74.04,1450
2008-03-26,76.82,76.82,71.49,73.11,830
2008-03-27,71.18,75.65,70.55,74.54,763
2008-03-28,74.63,81.99,70.55,80.64,930
2008-03-31,81.99,88.71,80.74,81.25,3033
2008-04-01,84.23,89.36,81.45,85.77,2053
2008-04-02,90.15,93.29,83.97,84.78,1094
2008-04-03,84.7,84.7,79.96,81.17,781
2008-04-04,83.8,88.58,79.18,79.87,1899
2008-04-07,83.02,87.85,81.92,87.85,5010
2008-04-08,94.78,96.64,91.71,96.64,1903
2008-04-09,106.3,106.3,106.3,106.3,1798
2008-04-10,111.62,111.62,111.62,111.62,7351
2008-04-11,117.2,117.2,117.2,117.2,5136
2008-04-15,123.06,123.06,111.34,111.34,67243
2008-04-16,106.22,107.4,105.77,105.77,30098
2008-04-17,106.61,111.07,101.52,102.14,60471
2008-04-21,104.81,105.83,101.75,102.74,14594
2008-04-22,103.09,103.09,97.86,98.43,13549
2008-04-23,98.38,99.22,93.99,94.97,14600
2008-04-24,97.21,99.09,94.23,96.16,8432
2008-04-25,98.77,100.96,93.29,100.96,16260
2008-04-28,106.01,106.01,103.48,106.01,6816
2008-04-29,111.32,111.32,103.87,105.55,55005
2008-04-30,106.77,110.83,106.77,110.83,21273
2008-05-02,116.37,116.37,116.37,116.37,4058
2008-05-05,122.19,122.19,114.45,119.88,137895
2008-05-06,121.51,121.51,114.85,115.76,46658
2008-05-07,117.59,117.98,110.59,111.23,23606
2008-05-08,110.92,116.79,106.61,116.79,26476
2008-05-09,120.63,122.63,112.1,113.04,68137
2008-05-12,112.88,118.69,108.58,116.16,39226
2008-05-13,118.26,121.12,113.28,114.35,32938
2008-05-14,113.67,118.37,113.67,116.6,32846
2008-05-15,116.8,117.59,113.02,116.53,28423
2008-05-16,117.51,117.59,112.34,113.56,24046
2008-05-20,114.45,117.12,109.12,110.2,52427
2008-05-21,112.63,115.71,111.71,115.71,162618
2008-05-22,121.49,121.49,116.18,120.42,239390
2008-05-23,120.96,120.96,114.4,114.4,107311
2008-05-26,112.65,112.65,108.69,108.69,26046
2008-05-27,103.97,109.35,103.25,103.25,58190
2008-05-28,102.63,103.48,98.36,100.76,48565
2008-05-29,102.3,103.45,99.97,101.17,29049
2008-05-30,103.01,103.01,96.42,97.2,16558
2008-06-02,98.54,99.48,92.34,92.34,25420
2008-06-03,87.96,91.01,87.73,89.27,26122
2008-06-04,88.43,90.31,84.82,84.82,14355
2008-06-05,82.78,85.78,81.43,84.56,19016
2008-06-06,84.43,88.79,84.43,87.78,22093
2008-06-09,84.19,91.63,83.39,89.31,29509
2008-06-10,89.6,92.66,86.38,88.9,25639
2008-06-11,90.31,91.72,88.66,89.59,19623
2008-06-12,88.87,91.58,86.19,89.81,12921
2008-06-13,90.07,92.17,86.31,88.24,17726
2008-06-16,90.07,90.9,88.49,89.21,11265
2008-06-17,87.02,89.94,87.02,88.84,4516
2008-06-18,88.19,91.48,85.84,89.5,12862
2008-06-19,89.37,89.37,87.09,87.52,4559
2008-06-20,86.55,87.46,83.16,83.16,13717
2008-06-23,79.96,82.08,79.01,79.01,11766
2008-06-24,79.04,79.96,75.06,75.06,22129
2008-06-25,71.32,73.8,71.31,71.95,38459
2008-06-26,73.14,75.02,70.55,71.05,26554
2008-06-27,68.2,70.55,67.5,67.5,31514
2008-06-30,67.5,67.5,64.12,64.12,15549
2008-07-01,63.5,63.5,60.92,60.92,15557
2008-07-02,58.79,61.5,57.88,60.17,36665
2008-07-03,61.62,61.62,57.17,57.17,7135
2008-07-04,54.35,57.62,54.31,54.31,11095
2008-07-07,51.6,53.86,51.6,51.6,52380
2008-07-08,49.02,54.18,49.02,54.18,93078
2008-07-09,56.9,56.9,56.9,56.9,2489
2008-07-10,59.75,59.75,56.91,59.19,101558
2008-07-11,62.09,62.09,56.24,56.77,85415
2008-07-14,55.51,59.62,55.27,59.01,143320
2008-07-15,58.29,58.32,56.05,56.05,41801
2008-07-16,55.27,57.62,53.26,53.26,24541
2008-07-17,55.27,55.74,50.81,51.46,46004
2008-07-18,51.74,54.03,50.94,54.03,83244
2008-07-21,56.74,56.74,51.34,52.49,45116
2008-07-22,53.34,55.13,52.22,55.08,47620
2008-07-23,57.84,57.84,57.84,57.84,7353
2008-07-24,60.73,60.73,59.26,60.73,92144
2008-07-25,60.91,63.78,58.09,63.78,134758
2008-07-28,63.45,66.98,63.45,66.98,38178
2008-07-29,68.77,70.33,65.87,70.33,212201
2008-07-30,73.85,73.85,72.83,73.85,4548
2008-07-31,77.54,77.54,77.54,77.54,7915
2008-08-01,80.76,81.42,78.01,81.42,182659
2008-08-04,85.22,85.36,85.22,85.36,18159
2008-08-05,89.63,89.63,82.31,85.16,364334
2008-08-06,87.02,88.19,80.9,80.9,123848
2008-08-07,76.86,80.43,76.86,77.01,73919
2008-08-08,75.26,80.87,73.4,80.87,138939
2008-08-11,84.91,84.91,80.91,84.91,137711
2008-08-12,89.16,89.16,81.87,84.65,189710
2008-08-13,83.49,87.58,82.31,84.45,190399
2008-08-14,84.66,86.03,82.31,82.78,71507
2008-08-18,82.31,85.13,80.67,81.48,64459
2008-08-19,85.56,85.56,77.61,78.3,73746
2008-08-20,78.78,82.22,78.78,82.22,253534
2008-08-21,81.64,82.78,78.11,78.28,76586
2008-08-22,78.08,78.31,76.0,76.81,40526
2008-08-25,78.78,80.2,73.14,73.79,51130
2008-08-26,73.38,74.5,70.85,72.41,49470
2008-08-27,70.84,73.33,70.84,71.36,55251
2008-08-28,70.84,71.69,67.8,68.08,40856
2008-08-29,69.37,71.49,68.67,71.49,53650
2008-09-01,71.49,74.28,71.49,73.1,101382
2008-09-02,73.38,75.07,72.55,73.39,46715
2008-09-04,73.61,76.44,72.67,73.69,58463
2008-09-05,71.26,73.38,70.01,70.17,45589
2008-09-08,72.43,73.14,68.9,69.72,48531
2008-09-09,69.6,71.46,68.45,70.13,33390
2008-09-10,68.92,70.08,63.56,66.9,83759
2008-09-11,67.03,67.6,65.4,66.41,84035
2008-09-12,66.32,67.97,64.67,65.66,84702
2008-09-15,64.76,64.76,59.1,59.45,88620
2008-09-16,58.79,59.45,53.63,54.44,143941
2008-09-17,55.14,58.79,50.82,52.43,135431
2008-09-18,51.74,51.74,47.22,48.56,141857
2008-09-19,50.56,51.0,50.33,51.0,30563
2008-09-22,53.55,53.55,52.23,53.55,23810
2008-09-23,56.21,56.23,54.09,56.03,97741
2008-09-24,57.62,58.28,54.21,55.97,71227
2008-09-25,57.38,58.44,55.54,56.97,92565
2008-09-26,56.0,56.9,54.13,54.89,55803
2008-09-29,54.33,54.33,52.15,52.15,54399
2008-09-30,50.56,51.97,49.55,50.68,61538
2008-10-01,51.97,52.77,51.05,51.87,42852
2008-10-03,50.56,52.17,49.86,50.86,29506
2008-10-06,48.46,49.39,48.32,48.32,23254
2008-10-07,47.74,48.92,45.91,46.02,43586
2008-10-08,45.62,46.09,43.73,44.75,40648
2008-10-10,43.51,43.51,42.52,43.04,30783
2008-10-13,43.74,45.15,40.89,43.28,59522
2008-10-14,43.74,45.39,43.74,44.93,37859
2008-10-15,43.51,44.92,42.68,43.39,25528
2008-10-16,41.27,43.51,41.27,43.27,77818
2008-10-17,43.51,44.68,41.11,41.16,19833
2008-10-20,42.68,43.21,39.27,39.87,47068
2008-10-21,41.63,41.63,40.22,40.7,11753
2008-10-22,40.67,41.18,38.69,38.93,15841
2008-10-23,37.01,37.85,36.99,37.02,17025
2008-10-24,36.21,36.22,35.18,35.18,7972
2008-10-27,34.81,34.81,33.43,33.43,6272
2008-10-28,34.39,35.03,33.4,34.09,11406
2008-10-29,34.81,34.81,32.5,33.51,16388
2008-10-31,34.1,34.78,33.18,33.8,24783
2008-11-03,33.8,35.49,33.8,35.49,21437
2008-11-04,37.16,37.26,34.83,37.26,23926
2008-11-05,39.13,39.13,36.45,37.32,57543
2008-11-06,36.9,37.37,35.46,36.03,19967
2008-11-07,36.22,38.1,35.41,36.59,37144
2008-11-10,37.63,43.92,36.92,42.46,85807
2008-11-11,42.9,48.14,41.65,43.61,371433
2008-11-12,44.66,46.08,40.92,41.59,133544
2008-11-14,44.98,44.98,40.27,40.69,67521
2008-11-17,41.39,41.39,36.24,37.52,53920
2008-11-18,37.12,37.12,34.81,35.37,46285
2008-11-19,36.12,37.76,34.88,35.39,51237
2008-11-20,34.1,34.78,32.92,33.23,56894
2008-11-21,33.16,34.12,32.45,33.61,45271
2008-11-24,32.94,35.02,32.69,33.07,24690
2008-11-25,34.51,34.51,32.71,32.8,24809
2008-11-26,33.16,33.16,30.11,30.49,39221
2008-11-28,29.17,31.0,27.99,29.83,26859
2008-12-01,30.24,31.71,29.87,30.22,23896
2008-12-02,28.93,29.4,28.5,29.13,14636
2008-12-03,30.34,33.38,29.4,31.35,94730
2008-12-04,31.28,33.16,30.93,32.34,59376
2008-12-05,31.51,33.16,30.7,31.02,36472
2008-12-08,33.16,35.04,31.98,32.47,53431
2008-12-10,33.16,33.16,32.23,32.75,26800
2008-12-11,32.22,34.55,32.22,33.16,56376
2008-12-12,31.75,34.57,31.75,33.35,48942
2008-12-15,33.84,38.1,33.1,36.97,99516
2008-12-16,37.86,44.18,35.99,42.61,757859
2008-12-17,44.54,45.86,38.85,39.99,226969
2008-12-18,39.98,42.1,38.1,40.92,128074
2008-12-19,39.98,42.33,39.98,40.42,69538
2008-12-22,40.8,41.27,39.03,39.43,43022
2008-12-23,38.82,39.83,37.89,38.28,50010
2008-12-24,37.65,40.17,37.63,38.55,86850
2008-12-26,38.23,39.63,36.25,36.77,45932
2008-12-29,36.92,38.8,35.86,38.11,42196
2008-12-30,38.57,40.14,38.23,38.92,64787
2008-12-31,40.1,40.52,38.7,38.98,43038
2009-01-01,39.27,46.01,39.27,44.99,343224
2009-01-02,45.39,47.2,43.16,44.39,462663
2009-01-05,45.25,45.98,43.63,44.15,146302
2009-01-06,44.68,45.18,42.6,43.43,83521
2009-01-07,43.55,43.98,36.73,37.66,88232
2009-01-09,33.63,37.28,33.63,34.79,63199
2009-01-12,34.81,36.22,34.15,34.57,47247
2009-01-13,35.25,36.88,33.87,34.21,70380
2009-01-14,36.22,36.22,34.67,35.12,20557
2009-01-15,34.05,35.26,33.16,34.28,28066
2009-01-16,35.28,35.94,34.11,35.56,48631
2009-01-19,35.94,36.76,35.45,36.05,65702
2009-01-20,36.05,36.05,35.28,35.45,19072
2009-01-21,34.81,35.5,34.39,34.82,39479
2009-01-22,35.28,35.32,34.1,34.61,31891
2009-01-23,33.87,34.91,33.8,34.24,46409
2009-01-27,33.87,35.63,33.87,34.68,43268
2009-01-28,35.04,40.73,34.81,40.07,363836
2009-01-29,41.03,41.98,38.33,38.99,133403
2009-01-30,38.57,39.98,37.43,39.11,82854
2009-02-02,39.27,40.45,37.65,38.73,45827
2009-02-03,39.93,39.93,38.13,38.59,32820
2009-02-04,39.24,39.75,38.48,38.83,35414
2009-02-05,37.98,39.27,37.28,37.62,21685
2009-02-06,37.66,38.48,37.06,37.44,31651
2009-02-09,38.1,41.16,38.1,40.36,148284
2009-02-10,40.57,41.63,39.63,40.05,77499
2009-02-11,38.83,40.69,38.69,39.71,52330
2009-02-12,39.63,40.59,39.16,39.46,48976
2009-02-13,39.98,40.17,39.53,39.6,23923
2009-02-16,39.98,40.45,38.83,39.04,23555
2009-02-17,38.18,39.04,37.75,38.04,20904
2009-02-18,38.29,38.31,37.16,37.62,19560
2009-02-19,37.84,38.5,37.1,37.31,21688
2009-02-20,36.98,37.45,35.28,35.9,20347
2009-02-24,35.75,36.22,34.36,35.95,21584
2009-02-25,36.45,36.92,35.06,35.29,28451
2009-02-26,35.28,35.69,34.57,34.72,23942
2009-02-27,35.31,36.69,34.61,35.68,36030
2009-03-02,35.32,35.84,34.68,35.43,21200
2009-03-03,35.28,35.98,33.9,34.24,34758
2009-03-04,34.11,34.81,33.7,34.38,19600
2009-03-05,34.78,35.04,33.87,34.52,46654
2009-03-06,34.57,34.57,32.95,33.72,13224
2009-03-09,33.6,35.28,33.28,33.5,15437
2009-03-12,34.1,34.1,33.5,33.7,11658
2009-03-13,34.09,34.81,33.42,33.75,24016
2009-03-16,33.87,37.04,32.98,35.28,137096
2009-03-17,35.39,37.16,35.06,35.3,61049
2009-03-18,35.75,37.06,35.54,35.84,56245
2009-03-19,35.96,37.48,35.54,35.66,60858
2009-03-20,36.1,36.57,35.28,35.46,36503
2009-03-23,36.22,39.46,35.68,38.22,231048
2009-03-24,39.27,40.43,36.25,36.61,201981
2009-03-25,36.69,37.84,35.82,36.84,72938
2009-03-26,37.11,38.57,35.98,36.48,92033
2009-03-27,37.39,38.55,36.45,37.59,98397
2009-03-30,36.92,38.1,36.26,36.61,80924
2009-03-31,37.16,37.58,36.45,36.64,49101
2009-04-01,36.64,38.06,36.45,36.71,67188
2009-04-02,37.39,38.87,37.18,37.95,107523
2009-04-06,38.63,39.98,38.52,38.67,122344
2009-04-08,37.73,41.98,37.39,40.42,180736
2009-04-09,40.85,42.68,38.83,39.35,201024
2009-04-13,40.22,47.22,39.64,47.22,643105
2009-04-15,47.51,56.68,45.62,53.47,1484084
2009-04-16,54.09,56.21,48.13,48.41,451419
2009-04-17,49.62,51.72,48.01,48.48,228509
2009-04-20,48.45,49.32,46.57,48.47,196570
2009-04-21,46.8,52.0,46.21,48.92,323662
2009-04-22,50.05,50.79,47.2,47.84,139561
2009-04-23,48.4,50.33,47.98,49.0,152482
2009-04-24,49.27,50.66,48.94,49.54,139727
2009-04-27,49.29,50.56,48.21,48.59,82101
2009-04-28,49.34,49.5,44.92,45.57,60448
2009-04-29,46.33,47.74,44.74,46.55,86456
2009-05-04,47.96,49.11,47.04,47.24,94783
2009-05-05,47.95,51.95,47.27,50.82,302688
2009-05-06,51.86,55.57,50.92,51.89,753263
2009-05-07,53.79,53.79,52.0,52.83,151248
2009-05-08,53.39,55.5,52.14,54.13,356707
2009-05-11,55.03,55.03,51.75,52.6,150532
2009-05-12,51.72,52.91,50.82,52.29,115464
2009-05-13,52.37,53.81,50.56,51.28,109334
2009-05-14,50.56,55.03,48.92,53.19,643826
2009-05-15,54.09,54.56,51.52,52.24,149289
2009-05-18,62.65,62.7,62.65,62.67,15578
2009-05-19,61.15,67.97,52.91,60.95,503255
2009-05-20,59.97,66.41,59.97,65.0,459939
2009-05-21,65.38,73.12,65.05,68.17,498192
2009-05-22,68.2,72.15,68.2,70.05,252259
2009-05-25,71.66,80.43,70.58,79.01,514802
2009-05-26,80.76,86.91,79.96,82.78,703681
2009-05-27,85.37,91.06,84.19,91.06,444898
2009-05-28,96.72,100.17,94.31,100.09,1326834
2009-05-29,101.9,108.86,101.9,105.52,821468
2009-06-01,108.13,111.57,105.52,107.31,519177
2009-06-02,108.65,108.65,101.95,101.95,93284
2009-06-03,96.86,96.95,96.86,96.86,38739
2009-06-04,92.03,101.7,92.03,101.7,337708
2009-06-05,106.54,106.79,96.62,98.22,403023
2009-06-08,100.49,101.13,93.32,93.32,170898
2009-06-09,91.95,97.99,88.66,97.34,404507
2009-06-10,97.6,99.95,92.91,98.1,375911
2009-06-11,97.83,99.23,93.37,94.44,206127
2009-06-12,95.25,98.54,91.72,93.2,229460
2009-06-15,92.42,96.42,92.42,92.86,146995
2009-06-16,91.72,97.5,90.08,94.71,211424
2009-06-17,94.78,95.01,89.98,89.99,122592
2009-06-18,87.02,90.52,85.5,85.5,121693
2009-06-19,85.58,88.19,81.37,83.78,126640
2009-06-22,86.29,86.29,81.28,82.27,59678
2009-06-23,80.9,86.38,78.31,86.16,211728
2009-06-24,88.19,88.9,84.66,85.84,146555
2009-06-25,87.46,87.94,83.76,84.22,80493
2009-06-26,85.6,87.43,84.21,86.65,85487
2009-06-29,87.02,87.72,84.99,85.72,71739
2009-06-30,85.96,88.18,83.61,84.35,92727
2009-07-01,84.66,85.83,81.28,84.21,82623
2009-07-02,84.9,87.96,83.74,86.92,122829
2009-07-03,86.53,87.45,83.96,84.78,63902
2009-07-06,85.82,87.52,80.55,80.55,109484
2009-07-07,76.46,85.84,73.19,74.72,118884
2009-07-08,72.91,82.19,72.43,77.86,386184
2009-07-09,78.77,82.08,76.43,77.29,193629
2009-07-10,77.83,79.18,71.24,72.8,100598
2009-07-13,72.88,77.37,70.09,73.27,252205
2009-07-14,74.42,76.43,74.2,75.3,150399
2009-07-15,76.42,82.84,76.42,82.63,675295
2009-07-16,84.59,88.19,83.74,84.3,746416
2009-07-17,86.31,92.73,86.31,91.68,1540049
2009-07-20,94.25,94.25,87.72,88.39,427492
2009-07-21,88.43,89.37,85.13,85.9,210433
2009-07-22,90.2,90.2,86.55,87.2,428707
2009-07-23,88.58,89.29,86.45,87.59,170514
2009-07-24,89.34,89.34,86.13,87.04,112456
2009-07-27,88.19,88.19,86.31,87.29,107922
2009-07-28,87.58,91.43,86.78,88.84,353810
2009-07-29,88.66,89.77,84.66,86.25,127461
2009-07-30,85.96,86.3,82.12,85.22,94944
2009-07-31,86.69,87.67,83.96,84.37,69290
2009-08-03,83.96,85.37,81.63,84.75,95515
2009-08-04,84.9,88.9,84.69,86.53,147434
2009-08-05,89.37,90.86,88.66,90.86,340179
2009-08-06,92.9,94.74,88.44,89.74,494998
2009-08-07,90.54,92.18,87.98,88.67,243816
2009-08-10,90.57,91.25,85.97,86.53,96593
2009-08-11,87.34,87.6,84.69,85.92,102811
2009-08-12,85.77,86.76,83.77,84.69,130023
2009-08-13,85.84,87.96,85.39,87.71,110160
2009-08-14,88.17,88.17,85.13,85.77,111737
2009-08-17,85.25,86.05,83.26,83.65,57911
2009-08-18,83.72,86.55,83.72,84.69,101206
2009-08-19,85.64,86.0,81.25,82.35,70569
2009-08-20,84.66,85.33,82.79,83.75,88323
2009-08-21,83.49,85.32,83.02,83.96,57025
2009-08-24,84.66,85.79,84.24,84.65,59369
2009-08-25,84.66,85.84,83.97,85.44,82835
2009-08-26,85.44,88.54,84.9,86.45,185062
2009-08-27,85.49,88.94,85.49,87.87,180038
2009-08-28,89.05,90.19,87.49,88.09,231676
2009-08-31,87.02,89.34,86.31,88.44,111256
2009-09-01,88.66,89.13,85.84,86.53,75660
2009-09-02,86.45,87.02,83.98,84.78,43713
2009-09-03,86.03,86.03,84.02,84.48,42778
2009-09-04,85.23,86.3,84.22,85.48,59845
2009-09-07,85.84,89.0,85.84,87.77,168282
2009-09-08,87.96,89.3,86.08,86.36,53257
2009-09-09,87.07,89.11,86.8,87.07,94793
2009-09-10,88.19,88.6,85.58,85.96,60816
2009-09-11,87.02,88.66,84.02,84.53,201879
2009-09-14,84.53,86.31,83.55,84.37,70260
2009-09-15,84.66,86.55,84.66,85.03,59233
2009-09-16,85.84,86.97,85.22,85.43,68274
2009-09-17,86.31,86.78,84.22,84.57,46915
2009-09-18,84.28,85.59,83.96,85.18,57090
2009-09-22,86.08,86.55,85.13,85.95,73442
2009-09-23,85.42,86.08,83.96,84.44,25918
2009-09-24,83.49,85.09,82.08,83.58,72830
2009-09-25,83.58,86.27,83.28,84.15,86712
2009-09-29,85.37,85.37,82.78,83.18,62269
2009-09-30,83.55,86.55,83.55,84.44,110763
2009-10-01,85.25,85.25,83.51,83.83,63928
2009-10-05,83.25,84.36,81.68,82.18,38168
2009-10-06,82.78,83.49,79.57,81.87,55219
2009-10-07,84.66,84.66,81.61,82.29,41152
2009-10-08,83.49,83.49,80.9,81.23,45178
2009-10-09,82.31,82.31,80.04,80.54,51404
2009-10-12,80.91,81.29,79.73,80.18,44648
2009-10-14,80.68,81.82,80.2,81.28,56294
2009-10-15,82.05,82.31,80.22,80.89,55316
