date,open,high,low,close,volume
2004-11-05,73.33,73.33,58.33,62.96,232535736
2004-11-08,64.0,65.5,62.5,62.67,68865277
2004-11-09,62.58,63.42,62.12,62.75,37460886
2004-11-10,62.92,63.29,62.5,62.54,17413433
2004-11-11,62.79,62.83,61.92,62.04,15961426
2004-11-12,62.5,68.67,61.37,62.21,4253463
2004-11-16,62.25,62.33,61.0,61.37,13254394
2004-11-17,61.42,62.67,61.25,61.33,20036184
2004-11-18,62.5,66.54,61.25,61.37,17954359
2004-11-19,61.37,62.37,61.25,61.29,15895741
2004-11-22,61.33,62.54,60.0,62.04,28118069
2004-11-23,62.5,63.75,62.46,63.21,29755772
2004-11-24,63.79,65.0,63.5,64.83,30821250
2004-11-25,64.92,65.83,64.0,64.21,23538442
2004-11-29,64.33,65.0,63.96,64.42,14201592
2004-11-30,64.92,66.42,64.04,65.92,39953911
2004-12-01,66.25,67.08,65.83,66.42,33721820
2004-12-02,67.08,67.79,66.62,67.04,18200351
2004-12-03,67.29,67.42,66.04,66.33,12751825
2004-12-06,68.0,68.42,66.37,66.58,10983285
2004-12-07,66.83,68.12,66.29,67.04,21482990
2004-12-08,67.25,67.67,66.29,66.67,21705590
2004-12-09,66.58,66.96,66.33,66.67,9418563
2004-12-10,68.0,68.0,65.58,65.83,9916789
2004-12-13,65.96,66.67,65.71,66.33,7050908
2004-12-14,66.75,68.12,66.5,68.0,16024313
2004-12-15,68.33,70.42,68.29,70.08,23958928
2004-12-16,70.42,70.83,69.58,69.83,9719163
2004-12-17,70.08,70.17,68.75,69.17,8752951
2004-12-20,69.17,69.96,69.17,69.37,6285852
2004-12-21,69.58,70.67,69.54,70.42,10321921
2004-12-22,70.79,70.79,69.08,69.29,8455261
2004-12-23,69.17,70.0,69.17,69.37,5830509
2004-12-24,69.79,70.33,69.42,69.71,5597965
2004-12-27,69.58,71.25,69.17,70.87,10965357
2004-12-28,71.21,72.62,71.08,72.46,10554064
2004-12-29,72.5,74.25,72.17,72.54,16424060
2004-12-30,72.62,73.17,71.08,71.37,16434144
2004-12-31,71.75,73.25,71.67,72.71,6575789
2005-01-03,73.33,74.0,72.54,73.75,10136028
2005-01-04,73.87,74.71,73.04,74.0,11406200
2005-01-05,73.71,74.25,68.54,70.71,14253722
2005-01-06,70.62,70.62,68.0,68.92,18412524
2005-01-07,69.92,69.96,69.0,69.46,7801660
2005-01-10,73.33,73.33,69.25,69.54,6833531
2005-01-11,69.58,69.83,67.96,68.17,8314946
