date,open,high,low,close,volume
2023-09-26,550.0,558.0,522.5,522.5,89029
2023-09-27,496.38,496.38,496.38,496.38,1936
2023-09-28,471.56,488.77,471.56,472.0,143979
2023-09-29,448.4,487.0,448.4,482.05,81364
2023-10-03,477.8,477.8,457.95,459.74,201692
2023-10-04,451.2,458.8,436.76,436.76,52478
2023-10-05,425.2,448.99,420.0,435.34,93177
2023-10-06,436.0,457.1,425.04,457.1,30739
2023-10-09,457.8,464.6,440.31,448.17,11473
2023-10-10,452.0,470.57,452.0,470.57,21819
2023-10-11,483.4,488.0,457.06,471.15,28360
2023-10-12,476.79,485.0,462.01,472.8,15581
2023-10-13,471.76,481.0,465.0,469.08,21684
2023-10-16,460.4,472.8,460.4,469.83,43372
2023-10-17,472.0,480.0,466.8,470.33,33682
2023-10-18,470.41,473.0,464.04,470.71,30262
2023-10-19,470.8,517.77,467.01,512.23,114280
2023-10-20,511.61,518.0,508.33,512.4,51282
2023-10-23,513.0,519.8,492.05,502.99,59528
2023-10-25,508.0,520.0,499.62,505.39,34781
2023-10-26,500.0,544.89,492.32,540.91,98080
2023-10-27,546.0,550.59,535.0,542.72,33254
2023-10-30,580.0,589.57,562.02,572.62,97836
2023-10-31,600.2,602.02,567.03,584.67,162341
2023-11-01,590.0,595.59,568.3,579.19,38693
2023-11-02,590.18,595.78,572.15,575.91,33968
2023-11-03,593.94,593.94,568.32,575.77,22984
2023-11-06,579.4,580.23,549.0,562.06,45477
2023-11-07,562.0,564.4,547.97,551.04,21655
2023-11-08,551.21,555.6,542.9,547.11,34055
2023-11-09,540.03,547.69,526.11,540.51,53276
2023-11-10,535.8,547.4,523.73,530.61,276469
2023-11-12,537.0,553.2,535.0,542.77,124435
2023-11-13,548.0,581.71,542.52,549.48,477945
2023-11-15,556.01,576.88,551.1,560.84,272066
2023-11-16,565.0,594.14,551.77,579.77,243270
2023-11-17,584.0,634.92,573.85,624.36,370308
2023-11-20,629.8,652.88,611.2,642.55,317244
2023-11-21,650.2,662.8,633.04,641.13,104611
2023-11-22,644.2,645.8,623.44,634.73,110815
2023-11-23,638.8,650.6,633.04,643.91,88417
2023-11-24,647.6,651.4,629.0,632.84,91066
2023-11-28,633.02,638.78,628.4,637.29,55462
2023-11-29,643.2,643.2,628.01,634.04,92808
2023-11-30,634.04,636.92,616.0,628.54,92658
2023-12-01,630.08,644.0,629.01,635.21,86431
2023-12-04,690.0,690.0,645.12,662.7,328880
2023-12-05,669.8,669.8,643.11,649.71,107286
2023-12-06,650.4,657.02,644.48,649.33,51204
2023-12-07,649.0,652.08,642.02,647.2,110224
2023-12-08,653.6,653.6,621.68,633.04,64663
2023-12-11,638.8,647.5,630.21,640.17,155404
2023-12-12,647.4,657.6,642.62,653.51,228446
2023-12-13,659.06,722.0,654.0,710.59,288681
2023-12-14,723.01,728.0,705.03,718.46,135882
2023-12-15,724.8,754.0,720.99,742.45,195508
2023-12-18,733.23,738.97,713.09,723.0,73181
2023-12-19,725.0,734.37,712.02,724.02,54651
2023-12-20,734.8,749.0,703.02,713.0,103035
2023-12-21,700.2,734.8,695.0,733.2,43279
2023-12-22,736.0,740.19,713.21,724.47,37525
2023-12-26,725.0,746.0,722.51,729.2,46043
2023-12-27,737.6,737.6,714.8,722.13,21441
2023-12-28,725.6,730.0,711.02,725.9,31940
2023-12-29,729.59,729.59,708.93,717.99,23790
2024-01-01,724.0,730.03,712.0,723.14,15641
2024-01-02,723.2,725.94,703.0,713.82,30070
2024-01-03,715.8,725.03,706.61,718.17,25185
2024-01-04,720.0,731.0,714.52,721.0,28837
2024-01-05,718.6,738.21,718.6,727.15,36220
2024-01-08,727.15,732.18,688.0,693.28,58062
2024-01-09,699.57,702.18,685.01,691.9,42271
2024-01-10,691.9,725.17,686.0,707.74,49133
2024-01-11,714.0,720.0,702.0,717.36,67370
2024-01-12,724.76,750.42,711.8,741.4,84565
2024-01-15,759.99,759.99,730.22,746.78,60343
2024-01-16,750.0,750.0,700.2,714.45,60090
2024-01-17,714.45,715.0,673.81,687.53,161911
