date,open,high,low,close,volume
2009-09-30,146.13,154.23,145.33,152.16,19748012
2009-10-01,146.93,156.49,146.93,155.51,3074254
2009-10-05,153.6,155.45,151.55,152.07,919832
2009-10-06,153.31,154.29,150.95,152.65,627957
2009-10-07,153.84,154.76,152.0,152.21,698216
2009-10-08,152.67,157.31,152.27,156.03,788173
2009-10-09,156.8,161.33,155.33,159.42,1047417
2009-10-12,157.87,161.33,156.8,159.43,464697
2009-10-14,159.73,163.7,158.0,158.73,581221
2009-10-15,159.73,160.65,157.34,157.94,301790
2009-10-16,158.49,160.4,157.6,158.8,313011
2009-10-17,165.33,165.33,157.33,158.64,35143
2009-10-20,159.47,160.47,156.27,157.05,156941
2009-10-21,157.87,159.2,154.27,155.48,309098
2009-10-22,155.33,157.92,154.4,155.33,338413
2009-10-23,156.65,157.26,154.83,155.29,216929
2009-10-26,153.51,156.67,152.67,154.19,209553
2009-10-27,153.34,153.34,148.56,152.05,407594
2009-10-28,152.13,152.13,148.13,150.69,243141
2009-10-29,150.03,151.72,148.68,150.97,65246
2009-10-30,152.67,152.67,148.0,149.41,117100
2009-11-03,146.93,150.33,146.93,149.33,179969
2009-11-04,149.99,154.53,149.33,153.45,284546
2009-11-05,150.27,153.87,150.27,153.19,49813
2009-11-06,154.0,155.81,152.83,154.2,295089
2009-11-09,153.34,155.6,153.34,155.34,93970
2009-11-10,154.27,155.99,152.27,153.03,286131
2009-11-11,152.93,158.8,152.72,157.51,325326
2009-11-12,158.67,159.07,156.0,157.68,143567
2009-11-13,156.67,163.16,155.73,159.26,440047
2009-11-16,160.0,160.67,157.77,160.07,114113
2009-11-17,160.0,161.2,159.33,160.61,104357
2009-11-18,160.27,162.79,159.87,161.46,153001
2009-11-19,161.33,162.68,160.15,162.26,83081
2009-11-20,161.88,162.27,160.27,161.75,218820
2009-11-23,161.33,162.32,160.8,161.32,42584
2009-11-24,163.99,163.99,158.67,160.08,36517
2009-11-25,159.76,168.46,158.67,166.22,725321
2009-11-26,165.6,166.13,164.8,165.65,134899
2009-11-27,165.32,167.2,161.6,165.77,171900
2009-11-30,166.07,171.84,166.0,169.59,175633
2009-12-01,170.67,179.18,170.0,176.42,344503
2009-12-02,177.8,183.2,166.7,179.78,284901
2009-12-03,180.23,181.2,170.8,172.3,310227
2009-12-04,173.34,174.66,166.9,167.38,173346
2009-12-07,168.14,170.74,166.8,170.14,76784
2009-12-08,170.0,171.34,168.27,169.1,44266
2009-12-09,168.55,171.34,166.17,166.55,64014
2009-12-10,166.0,167.34,162.97,165.01,128698
2009-12-11,166.39,167.2,164.13,165.55,36703
2009-12-14,166.64,167.47,161.47,165.34,33757
2009-12-15,166.0,166.64,160.0,165.35,236248
