date,open,high,low,close,volume
2003-09-05,72.78,73.31,70.0,72.57,704690
2003-09-08,73.33,75.87,73.33,74.97,785028
2003-09-09,76.87,77.09,74.12,75.07,910356
2003-09-10,75.56,76.78,74.73,76.53,806667
2003-09-11,75.33,76.33,74.67,75.42,784192
2003-09-12,75.56,76.67,72.36,73.05,866873
2003-09-15,73.11,73.11,65.59,66.21,1154071
2003-09-16,66.22,68.55,62.1,68.08,1885704
2003-09-17,67.67,68.46,62.35,63.53,1260529
2003-09-18,63.43,64.16,59.8,60.37,1497102
2003-09-19,61.01,61.77,57.02,60.14,2009582
2003-09-22,61.22,61.55,57.79,58.22,1197591
2003-09-23,57.77,61.89,56.9,61.65,2774329
2003-09-24,62.25,64.23,60.56,63.43,1989864
2003-09-25,64.45,66.0,63.67,64.02,1807606
2003-09-26,64.56,65.39,62.89,63.8,1128346
2003-09-29,64.22,68.66,64.22,67.44,2913758
2003-09-30,68.3,69.33,67.56,67.91,1499051
2003-10-01,69.11,69.11,66.68,67.27,795519
2003-10-03,67.67,68.48,65.88,67.58,1374150
2003-10-06,68.33,70.78,66.67,70.14,1453705
2003-10-07,71.22,71.62,69.12,69.48,1279246
2003-10-08,69.89,70.17,68.47,69.49,694172
2003-10-09,70.04,70.56,69.45,69.93,566224
2003-10-10,70.43,70.43,67.45,68.35,826907
2003-10-13,69.31,71.39,68.35,70.93,946752
2003-10-14,72.0,72.0,68.45,69.02,847144
2003-10-15,69.11,69.87,66.92,69.27,707448
2003-10-16,69.99,70.22,68.33,68.85,414885
2003-10-17,68.78,70.57,68.35,69.73,688928
2003-10-20,70.11,70.11,67.67,67.97,795926
2003-10-21,68.56,68.56,65.9,66.38,784029
2003-10-22,66.89,67.45,63.95,64.31,582424
2003-10-23,64.67,66.3,63.66,64.07,619765
2003-10-24,64.45,65.16,63.11,64.79,584594
2003-10-25,66.22,67.33,65.33,66.91,317759
2003-10-27,67.76,68.36,65.06,65.61,911055
2003-10-28,66.25,66.33,64.46,65.14,675419
2003-10-29,64.56,64.95,63.36,64.23,698548
2003-10-30,64.45,65.55,63.17,63.65,1043481
2003-10-31,63.89,66.67,63.68,66.23,833701
2003-11-03,67.56,68.08,66.39,67.72,585774
2003-11-04,68.21,70.0,66.81,69.52,1164698
2003-11-05,70.7,72.22,69.89,70.99,1295078
2003-11-06,72.0,72.45,70.56,71.08,733684
2003-11-07,71.38,72.22,70.38,71.15,1050590
2003-11-10,71.12,73.56,70.78,73.21,494844
2003-11-11,73.67,74.81,73.36,73.83,758684
2003-11-12,74.55,74.98,72.89,73.68,682065
2003-11-13,73.91,74.21,70.67,71.33,728520
2003-11-14,71.67,71.67,68.89,69.33,551360
2003-11-15,69.55,70.0,68.56,69.34,132645
2003-11-17,70.0,70.63,69.22,70.01,350458
2003-11-18,70.56,70.91,68.33,68.7,319410
2003-11-19,68.78,68.78,67.57,68.05,451795
2003-11-20,68.0,68.89,66.68,67.13,473980
2003-11-21,66.82,67.2,65.7,66.74,393867
2003-11-24,67.38,68.27,67.01,67.47,213541
2003-11-25,67.78,68.11,67.24,67.5,364260
2003-11-27,68.0,68.67,66.69,67.07,709401
2003-11-28,68.1,69.33,67.67,68.61,727613
2003-12-01,69.01,69.75,68.8,69.2,499457
2003-12-02,69.33,69.77,67.93,68.32,417003
2003-12-03,68.78,69.8,68.33,69.4,450377
2003-12-04,69.78,70.52,68.51,69.66,555532
2003-12-05,70.22,70.44,68.12,68.5,571115
2003-12-08,68.67,68.78,67.56,68.43,261436
2003-12-09,69.11,72.12,68.92,71.7,993986
2003-12-10,72.01,76.88,71.67,75.31,1846722
2003-12-11,76.0,77.22,74.73,77.07,963373
2003-12-12,77.78,78.33,76.12,77.06,489310
2003-12-15,76.67,77.78,75.89,76.33,339033
2003-12-16,76.11,76.45,74.67,75.21,296942
2003-12-17,74.72,76.17,74.72,75.18,330270
2003-12-18,75.67,79.71,75.0,78.93,1400550
2003-12-19,79.97,83.72,79.22,82.85,1336845
2003-12-22,83.22,85.32,81.25,84.2,1009253
2003-12-23,84.45,84.45,81.7,82.06,422289
2003-12-24,84.45,84.45,80.57,81.56,1168335
2003-12-26,81.67,83.2,80.57,81.84,430371
2003-12-29,83.33,84.33,82.35,83.26,483291
2003-12-30,84.89,88.87,83.25,86.79,1292639
2003-12-31,87.76,90.32,86.67,88.7,1013019
2004-01-01,90.56,91.99,89.33,91.34,718555
2004-01-02,92.0,104.88,91.67,102.15,2844441
2004-01-05,111.11,111.11,103.33,104.08,2888266
