date,open,high,low,close,volume
2011-01-03,41.0,42.67,39.33,39.78,522450
2011-01-04,39.83,40.2,39.33,39.63,281872
2011-01-05,39.33,39.85,38.15,38.57,215054
2011-01-06,39.17,39.27,37.72,38.38,681567
2011-01-07,38.02,38.23,35.33,36.18,951073
2011-01-10,36.0,36.47,35.07,35.2,831949
2011-01-11,35.33,36.0,34.47,34.98,335307
2011-01-12,35.17,36.55,34.75,36.03,363302
2011-01-13,36.48,36.52,34.83,35.08,301886
2011-01-14,35.17,36.12,34.75,35.08,540097
2011-01-17,34.85,36.1,34.27,35.25,1015488
2011-01-18,35.67,36.33,35.33,35.98,204509
2011-01-19,36.33,38.33,36.2,38.0,1950769
2011-01-20,37.83,38.2,36.93,37.5,949173
2011-01-21,37.47,37.47,36.5,36.6,562628
2011-01-24,36.67,39.13,36.1,38.7,1542058
2011-01-25,39.8,40.8,38.07,38.85,791857
2011-01-27,39.32,40.75,35.0,38.8,11127500
2011-01-28,35.48,36.15,34.68,35.68,1722587
2011-01-31,35.1,36.3,34.43,35.83,497886
2011-02-01,36.13,36.5,35.08,35.27,335903
2011-02-02,35.9,36.8,35.43,35.68,535954
2011-02-03,35.83,36.28,35.68,36.02,113899
2011-02-04,36.0,36.5,35.37,35.45,188337
2011-02-07,35.67,35.98,34.17,34.9,310846
2011-02-08,35.18,35.38,33.83,34.15,251832
2011-02-09,34.12,34.63,31.93,32.88,527532
2011-02-10,33.33,34.0,29.87,33.48,742816
2011-02-11,33.67,34.3,32.52,33.78,483229
2011-02-14,34.05,35.03,33.75,34.68,503516
2011-02-15,34.67,36.0,34.12,35.18,934673
2011-02-16,34.67,35.67,34.67,35.25,159033
2011-02-17,35.07,35.8,35.02,35.53,193772
2011-02-18,34.95,36.0,34.17,34.48,318141
2011-02-21,34.48,35.78,33.73,35.17,1150027
2011-02-22,35.1,35.12,34.08,34.58,439552
2011-02-23,34.62,36.0,34.2,35.62,671745
2011-02-24,35.33,36.88,32.55,34.17,7097464
2011-02-25,34.57,35.07,33.03,33.67,507764
2011-02-28,34.0,34.65,33.33,33.83,923666
2011-03-01,34.1,35.03,34.08,34.73,233188
2011-03-03,35.3,35.3,34.13,34.63,751920
2011-03-04,35.25,35.25,33.93,34.12,784168
2011-03-07,34.0,34.33,32.83,33.32,223016
2011-03-08,33.03,33.9,33.03,33.7,144412
2011-03-09,33.73,34.27,33.73,34.07,161256
2011-03-10,34.0,34.63,33.72,33.87,171076
2011-03-11,33.37,34.33,33.08,33.47,168967
2011-03-14,32.65,33.67,32.18,33.47,192850
2011-03-15,33.02,33.33,32.07,32.95,150872
2011-03-16,33.3,33.63,33.05,33.27,87411
2011-03-17,33.17,33.4,32.67,33.07,121567
2011-03-18,32.7,33.73,32.0,33.33,242287
2011-03-21,33.27,33.65,32.52,32.82,139574
2011-03-22,33.27,33.5,32.03,33.1,703537
2011-03-23,33.1,33.9,33.02,33.33,284251
2011-03-24,33.52,33.83,32.08,33.17,410011
2011-03-25,33.9,35.6,33.02,35.1,1253305
2011-03-28,34.83,35.92,34.83,35.27,354232
2011-03-29,35.3,35.43,34.37,34.65,210124
2011-03-30,35.0,35.1,34.42,34.52,143246
2011-03-31,34.93,35.83,33.2,35.22,1675081
2011-04-01,35.4,35.8,34.93,35.1,103859
2011-04-04,35.5,36.17,35.0,35.77,594396
2011-04-05,36.03,36.67,35.38,35.88,361814
2011-04-06,36.27,36.45,35.45,35.58,347270
2011-04-07,35.87,36.67,35.43,35.63,859318
2011-04-08,35.97,35.98,34.17,34.47,319285
2011-04-11,34.07,34.73,34.02,34.25,228326
2011-04-13,34.0,35.27,33.75,34.78,323942
2011-04-15,34.97,34.97,34.27,34.42,94420
2011-04-18,34.9,35.0,34.0,34.03,210360
2011-04-19,33.77,34.48,33.37,34.13,129735
2011-04-20,34.63,35.0,34.22,34.4,186290
2011-04-21,34.73,35.0,34.4,34.73,320938
2011-04-25,34.83,35.0,34.25,34.37,83963
2011-04-26,34.53,34.63,34.18,34.48,112173
2011-04-27,34.75,35.32,34.18,34.35,160699
2011-04-28,34.9,35.4,33.58,35.07,819453
2011-04-29,35.0,35.03,33.87,34.42,123281
2011-05-02,34.63,34.78,33.97,34.08,52810
2011-05-03,34.33,34.42,33.52,33.67,59160
2011-05-04,33.33,34.15,33.05,33.83,207260
2011-05-05,33.83,34.17,33.2,33.35,97494
2011-05-06,33.35,34.0,33.35,33.72,136080
2011-05-09,33.7,34.3,33.47,34.0,68771
2011-05-10,34.17,34.6,33.8,34.23,116101
2011-05-11,34.07,34.45,33.53,33.68,141400
2011-05-12,33.65,34.17,33.55,33.7,73729
2011-05-13,33.38,35.32,32.7,34.58,299265
2011-05-16,34.88,35.47,34.05,35.13,251073
2011-05-17,35.57,36.0,34.33,34.78,217314
2011-05-18,35.3,35.67,34.35,34.73,278028
2011-05-19,34.67,34.87,34.17,34.3,78160
2011-05-20,34.0,34.77,34.0,34.45,107004
2011-05-23,34.37,34.42,33.65,34.03,99719
2011-05-24,33.95,34.33,33.7,33.8,53270
2011-05-25,33.55,33.98,33.12,33.28,105832
2011-05-26,33.83,34.33,32.67,33.1,2326427
2011-05-27,33.47,33.47,32.83,33.02,178165
2011-05-30,33.03,33.47,32.88,33.28,83635
2011-05-31,33.45,33.82,33.13,33.58,424338
2011-06-01,33.63,34.1,33.2,33.55,462783
2011-06-02,33.33,33.58,32.68,33.1,136783
2011-06-03,33.15,33.58,32.85,32.98,85721
2011-06-06,33.33,33.4,32.83,33.2,156031
2011-06-07,33.25,33.35,32.95,33.13,136944
2011-06-08,33.13,33.28,31.67,32.6,272557
2011-06-09,32.6,32.92,32.4,32.52,104425
2011-06-10,32.52,32.72,31.7,32.33,281268
2011-06-13,32.5,33.42,32.13,33.08,168510
2011-06-14,33.53,33.53,32.83,33.2,72288
2011-06-15,33.42,33.5,32.68,32.77,132428
2011-06-16,32.68,32.78,32.18,32.38,71689
2011-06-17,32.18,32.67,32.15,32.25,112313
2011-06-20,32.33,32.67,27.25,29.98,1023969
2011-06-21,30.02,30.78,26.68,30.1,1936087
2011-06-22,30.4,30.97,30.0,30.1,971169
2011-06-23,30.02,31.63,29.67,31.0,488810
2011-06-24,31.42,32.97,31.35,32.63,376614
2011-06-27,32.02,32.53,31.95,32.12,140741
2011-06-28,32.62,32.63,32.0,32.18,259096
2011-06-29,32.37,33.73,32.22,32.72,599448
2011-06-30,33.33,33.33,32.58,32.85,737441
2011-07-01,33.15,33.15,32.5,32.72,286214
2011-07-04,33.27,33.6,32.67,32.73,122351
2011-07-05,32.68,32.93,32.27,32.42,75934
2011-07-06,32.42,32.63,32.0,32.28,110835
2011-07-07,32.3,33.17,32.23,32.78,97803
2011-07-08,32.67,33.17,32.33,32.5,88755
2011-07-11,32.47,32.83,32.13,32.25,58743
2011-07-12,32.6,33.07,31.8,32.83,175852
2011-07-13,33.0,33.33,32.52,32.63,211992
2011-07-14,32.35,32.8,32.18,32.5,59684
2011-07-15,32.67,32.67,32.2,32.35,48260
2011-07-18,32.5,32.67,32.12,32.32,65223
2011-07-19,32.42,32.62,32.17,32.27,68778
2011-07-20,32.48,32.72,32.03,32.17,116809
2011-07-21,32.15,32.4,32.0,32.2,37840
2011-07-22,32.57,32.68,32.17,32.4,63193
2011-07-25,32.4,33.0,32.2,32.6,75596
2011-07-26,32.92,34.87,32.82,34.05,1186777
2011-07-27,34.3,34.33,33.02,33.35,300890
2011-07-28,33.28,34.0,32.33,32.65,742444
2011-07-29,32.55,33.82,30.42,32.48,687997
2011-08-01,32.83,32.83,32.05,32.28,61039
2011-08-02,32.05,32.52,32.0,32.18,91303
2011-08-03,31.82,32.27,29.6,31.57,340503
2011-08-04,31.68,32.17,31.67,31.88,66142
2011-08-05,31.33,31.67,30.45,31.38,168677
2011-08-08,30.67,31.33,30.62,31.02,99313
2011-08-09,30.02,31.33,30.0,30.95,721622
2011-08-10,31.35,31.58,30.87,31.18,82453
2011-08-11,31.33,31.93,30.87,31.67,64923
2011-08-12,32.15,32.45,31.17,31.55,74498
2011-08-16,31.83,32.23,30.03,30.53,123170
2011-08-17,30.03,31.63,30.0,31.23,201904
2011-08-18,30.77,31.35,29.22,30.83,882871
2011-08-19,30.0,31.17,30.0,30.78,460867
2011-08-22,30.33,32.97,30.33,32.53,498784
2011-08-23,32.67,34.77,32.15,34.42,713439
2011-08-24,34.07,34.73,33.05,34.18,888607
2011-08-25,34.3,34.67,33.07,34.13,639209
2011-08-26,33.82,33.92,32.97,33.0,112545
2011-08-29,33.87,34.33,33.18,34.0,167875
2011-08-30,34.63,34.63,33.67,33.93,97597
2011-09-02,33.85,35.67,33.8,35.27,608485
2011-09-05,35.3,35.3,34.43,34.8,80357
2011-09-06,34.73,36.5,34.32,36.12,463440
2011-09-07,36.62,36.63,35.52,35.88,350429
2011-09-08,35.88,36.05,35.33,35.77,76654
2011-09-09,36.13,36.33,35.38,35.72,145240
2011-09-12,36.0,36.0,34.33,35.33,171101
2011-09-13,35.33,36.47,35.33,36.28,248654
2011-09-14,36.63,38.67,35.8,38.18,1689331
2011-09-15,38.53,38.63,36.07,37.2,1034903
2011-09-16,37.33,37.63,35.73,36.12,185066
2011-09-19,35.03,37.17,35.03,36.98,186202
2011-09-20,36.97,38.0,36.72,37.68,492583
2011-09-21,37.35,38.32,36.8,38.02,497158
2011-09-22,36.85,37.75,36.5,37.3,332668
2011-09-23,37.33,38.67,36.13,37.98,396211
2011-09-26,38.35,39.15,37.33,38.68,1652174
2011-09-27,39.45,41.63,38.93,40.35,1766452
2011-09-28,40.67,42.05,40.32,41.65,1020777
2011-09-29,41.72,42.97,39.38,40.22,15556131
2011-09-30,40.07,40.07,36.5,37.5,1245386
2011-10-03,37.33,37.53,35.52,36.38,374085
2011-10-04,36.63,37.42,36.57,36.97,185714
2011-10-05,37.4,37.4,35.7,36.8,148944
2011-10-07,37.0,37.83,36.83,37.32,146941
2011-10-10,37.07,37.75,37.0,37.57,196265
2011-10-11,37.97,38.23,36.93,37.25,225720
2011-10-12,37.48,37.48,36.62,36.8,88875
2011-10-13,36.83,37.47,36.48,36.95,249040
2011-10-14,36.8,38.07,36.4,36.58,735105
2011-10-17,36.83,36.93,35.68,36.22,379827
2011-10-18,36.13,36.75,35.25,36.45,445199
2011-10-19,36.6,37.67,36.5,37.33,540750
2011-10-20,38.13,38.13,36.72,37.47,189684
2011-10-21,37.38,37.8,37.0,37.08,90823
2011-10-24,37.08,37.5,36.07,36.28,56404
2011-10-25,36.67,36.92,34.67,35.25,1702940
2011-10-26,35.63,35.67,35.25,35.37,68784
2011-10-28,36.0,36.82,35.4,36.63,123651
2011-10-31,36.87,36.87,36.0,36.6,100266
2011-11-01,36.6,36.93,36.32,36.73,101255
2011-11-02,36.28,36.83,36.07,36.67,157622
2011-11-03,36.95,36.95,36.58,36.68,101882
2011-11-04,37.03,37.03,36.63,36.7,120110
2011-11-08,36.75,36.95,36.53,36.72,95428
2011-11-09,36.8,36.9,36.37,36.53,156694
2011-11-11,36.08,36.5,35.68,36.13,105882
2011-11-14,36.02,36.5,32.2,35.63,3169448
2011-11-15,35.67,36.23,33.52,34.65,1333102
2011-11-16,33.4,34.92,33.18,34.7,833653
2011-11-17,34.0,34.75,32.27,33.93,286109
2011-11-18,33.3,34.73,32.7,34.18,103909
2011-11-21,34.07,34.45,33.03,33.93,165067
2011-11-22,34.33,34.33,33.7,33.9,143139
2011-11-23,34.25,34.25,32.17,32.6,622042
2011-11-24,32.75,34.73,31.12,34.18,1567028
2011-11-25,33.8,34.33,32.83,33.78,88839
2011-11-28,34.05,34.4,33.5,33.78,126193
2011-11-29,33.67,34.3,33.17,33.47,64102
2011-11-30,33.47,34.0,32.37,33.08,178628
2011-12-01,33.97,34.1,32.87,33.57,197907
2011-12-02,33.17,33.93,33.05,33.45,110926
2011-12-05,33.13,33.67,33.0,33.38,97279
2011-12-07,33.58,33.75,33.17,33.52,148921
2011-12-08,33.35,33.67,33.03,33.28,102990
2011-12-09,33.0,33.23,32.33,32.65,99867
2011-12-12,32.97,33.0,32.43,32.65,713836
2011-12-13,32.97,32.97,31.22,32.43,94900
2011-12-14,32.43,32.63,32.0,32.17,90180
2011-12-15,32.37,32.63,31.4,32.5,110667
2011-12-16,32.78,33.2,32.4,32.83,263114
2011-12-19,33.33,34.4,32.33,34.1,362284
2011-12-20,34.9,34.9,32.53,33.1,267728
2011-12-21,33.18,33.93,31.73,32.33,115911
2011-12-22,32.47,32.92,31.2,32.2,569380
2011-12-23,32.23,32.3,31.55,31.75,364815
2011-12-26,32.27,32.68,31.48,32.43,641256
2011-12-27,32.3,32.32,31.08,31.53,162158
2011-12-28,31.13,32.8,30.67,32.48,1105744
2011-12-29,30.83,33.83,30.83,32.12,4188501
2011-12-30,31.92,31.93,31.03,31.18,205869
2012-01-02,31.6,31.6,30.87,31.32,51382
2012-01-03,31.42,31.82,31.0,31.58,201810
2012-01-04,31.6,31.8,31.03,31.15,115051
2012-01-05,31.48,31.67,31.03,31.22,263755
2012-01-06,30.9,31.42,30.7,31.28,165968
2012-01-07,30.85,31.63,30.83,31.38,64571
2012-01-09,31.02,31.33,30.77,30.93,61795
2012-01-10,31.15,31.47,30.73,30.95,587680
2012-01-11,31.23,31.73,30.75,31.25,521471
2012-01-12,31.07,31.15,30.72,30.85,129468
2012-01-13,30.67,32.0,28.7,31.0,1043866
2012-01-16,30.97,31.67,30.33,31.22,282790
2012-01-17,31.47,31.93,30.72,31.18,630169
