date,open,high,low,close,volume
2010-04-06,90.4,111.83,90.4,101.59,14945321
2010-04-07,102.0,102.63,98.19,100.64,3828050
2010-04-08,100.0,107.98,99.58,103.58,8368229
2010-04-09,103.75,104.96,102.08,102.65,1580108
2010-04-12,102.95,103.81,98.9,100.34,773464
2010-04-13,100.0,102.48,99.25,100.05,836586
2010-04-15,101.0,102.2,98.9,99.49,628304
2010-04-16,99.48,101.0,98.75,100.03,395904
2010-04-19,99.25,99.96,96.25,97.73,342144
2010-04-20,98.0,99.2,96.25,98.18,182058
2010-04-21,98.5,103.21,98.39,100.66,910985
2010-04-22,100.0,102.35,99.53,100.28,375248
2010-04-23,100.4,101.98,98.33,99.09,244376
2010-04-26,100.53,102.75,99.75,100.49,432434
2010-04-27,100.75,100.95,98.2,98.63,182884
2010-04-28,101.38,102.5,95.64,96.24,121264
2010-04-29,96.75,100.38,96.75,99.24,223660
2010-04-30,99.5,101.48,99.0,99.66,237955
2010-05-03,98.7,100.65,98.7,99.89,220852
2010-05-04,99.75,101.11,98.0,98.29,173937
2010-05-05,97.25,99.65,90.05,99.11,137039
2010-05-06,99.48,99.75,96.06,96.61,100163
2010-05-07,95.75,96.23,93.75,94.04,95456
2010-05-10,96.25,97.25,94.99,96.81,67927
2010-05-11,97.23,97.23,95.25,95.58,54571
2010-05-12,95.5,96.25,94.34,94.96,84432
2010-05-13,95.06,96.75,94.5,95.4,63767
2010-05-14,94.76,96.46,93.85,95.0,60395
2010-05-17,94.25,95.19,93.78,94.58,48566
2010-05-18,93.8,99.41,93.8,96.64,136106
2010-05-19,96.25,97.63,94.25,94.51,104296
2010-05-20,95.0,96.93,94.25,94.54,51531
2010-05-21,93.78,95.88,91.3,94.96,64011
2010-05-24,95.71,96.75,94.5,94.58,38771
2010-05-25,93.28,96.2,91.25,91.71,146537
2010-05-26,92.13,93.73,91.25,92.38,42248
2010-05-27,92.81,93.38,91.89,92.7,51295
2010-05-28,93.24,95.0,93.03,94.8,48612
2010-05-31,94.63,97.24,94.0,96.7,37752
2010-06-01,95.75,98.25,95.03,96.69,57710
2010-06-02,96.98,97.55,94.73,97.14,45289
2010-06-03,97.66,98.45,96.15,97.1,19783
2010-06-04,97.29,98.55,95.88,98.15,44721
2010-06-07,94.51,96.25,94.51,95.38,16304
2010-06-08,95.25,96.75,92.5,95.45,35286
2010-06-09,95.75,96.75,94.5,95.09,19327
