date,open,high,low,close,volume
2004-03-26,8.5,8.5,6.0,7.33,16018474
2004-03-29,7.38,7.48,7.25,7.33,5636059
2004-03-30,7.33,7.58,7.3,7.38,4607081
2004-03-31,7.38,7.5,7.33,7.35,2937356
2004-04-01,7.43,7.7,7.38,7.65,4630374
2004-04-02,7.75,8.63,7.65,8.5,18985344
2004-04-05,8.68,10.08,8.5,9.55,48930279
2004-04-06,9.75,10.35,9.48,9.88,33317046
2004-04-07,9.98,10.18,9.7,10.0,20577175
2004-04-08,10.05,10.05,9.7,9.85,12590516
2004-04-12,9.95,11.05,9.88,10.55,28632420
2004-04-13,10.7,10.73,10.08,10.4,13831626
2004-04-15,10.5,10.8,10.33,10.58,12755570
2004-04-16,10.63,11.08,10.5,10.95,15619155
2004-04-17,11.0,12.58,11.0,12.4,20497964
2004-04-19,12.5,13.4,12.48,12.9,35238860
2004-04-20,12.98,13.2,12.2,12.43,21020026
2004-04-21,12.3,12.75,12.13,12.63,13402100
2004-04-22,12.68,12.73,12.38,12.48,8609547
2004-04-23,12.5,12.78,12.03,12.15,9807034
2004-04-27,12.18,12.23,10.53,11.08,11221186
2004-04-28,11.0,11.68,10.78,11.53,13579621
2004-04-29,11.5,12.03,11.5,11.78,10386028
2004-04-30,11.6,12.03,11.5,11.58,8819136
2004-05-03,11.58,11.63,10.85,11.15,8968077
2004-05-04,11.25,11.8,11.25,11.65,6659151
2004-05-05,11.8,11.93,11.6,11.83,5980683
2004-05-06,12.25,12.33,12.0,12.15,6354915
2004-05-07,12.35,12.35,11.78,12.03,7541079
2004-05-10,11.8,12.0,11.25,11.95,5325152
2004-05-11,11.63,11.73,11.25,11.3,5432367
2004-05-12,11.5,11.75,11.08,11.6,8533895
2004-05-13,11.28,12.1,10.68,11.6,10410393
2004-05-14,11.75,11.75,10.28,10.55,9825664
2004-05-17,10.25,10.3,8.45,10.05,9870079
2004-05-18,10.0,11.05,9.65,10.93,6925063
2004-05-19,11.08,11.85,11.08,11.78,9617625
2004-05-20,11.88,13.25,11.75,11.8,6224376
2004-05-21,11.75,12.28,11.25,11.83,9122803
2004-05-24,11.98,12.13,11.8,11.83,3637424
2004-05-25,11.75,11.98,10.58,11.85,3582733
2004-05-26,12.0,12.1,11.8,11.8,2259274
2004-05-27,11.8,12.1,11.8,11.8,4742194
2004-05-28,12.0,12.0,11.45,11.63,4606513
2004-05-31,11.75,11.75,11.1,11.45,4831723
2004-06-01,11.45,11.93,11.45,11.83,4697220
2004-06-02,11.83,11.95,11.8,11.83,2098885
2004-06-03,11.95,11.95,11.38,11.5,3398988
2004-06-04,10.58,11.6,10.58,11.48,1510988
2004-06-07,11.55,11.58,11.35,11.48,1507845
2004-06-08,11.53,11.63,11.3,11.35,1012415
2004-06-09,11.38,11.45,11.25,11.28,952473
2004-06-10,11.3,11.38,11.2,11.28,843762
2004-06-11,11.35,11.35,11.0,11.08,1594133
2004-06-14,11.13,11.13,10.7,10.95,1535147
2004-06-15,11.0,11.15,10.8,10.83,943097
2004-06-16,11.2,11.2,10.58,10.65,1194323
2004-06-17,10.63,10.75,10.5,10.55,983141
2004-06-18,10.7,10.73,10.5,10.63,947912
2004-06-21,10.63,10.68,10.38,10.55,733700
2004-06-22,10.53,10.53,10.18,10.33,1035764
2004-06-23,10.5,10.5,9.65,9.75,1597171
2004-06-24,9.95,9.95,9.48,9.75,1282255
2004-06-25,9.63,10.3,9.63,10.1,1389338
2004-06-28,10.3,10.33,10.13,10.2,792286
2004-06-29,10.25,11.0,10.18,10.88,2533382
2004-06-30,11.05,11.2,10.75,10.8,1209931
2004-07-01,10.98,10.98,10.65,10.78,590387
2004-07-02,10.75,11.13,10.55,11.05,1523025
2004-07-05,11.05,11.15,10.93,11.0,897170
2004-07-06,10.88,11.08,10.85,11.03,857067
2004-07-07,11.13,11.25,10.95,11.0,820397
2004-07-08,11.25,11.25,10.53,10.7,1315612
2004-07-09,10.55,10.95,10.0,10.8,953766
2004-07-12,10.78,11.05,10.75,10.83,556595
2004-07-13,10.98,10.98,10.7,10.75,435625
2004-07-14,10.75,10.9,10.65,10.7,466647
2004-07-15,10.75,11.0,10.4,10.95,722551
2004-07-16,11.03,11.23,10.9,11.03,1105987
2004-07-19,11.0,11.2,11.0,11.08,1006935
2004-07-20,11.0,11.23,10.9,10.95,638899
2004-07-21,11.05,11.1,10.85,10.98,450961
2004-07-22,11.1,11.8,10.98,11.48,5385894
2004-07-23,11.65,12.03,11.45,11.78,5068571
2004-07-26,11.8,11.8,11.38,11.43,1547669
2004-07-27,11.63,11.63,11.18,11.2,837152
2004-07-28,11.38,11.38,11.03,11.1,775560
2004-07-29,11.25,11.75,11.15,11.4,2137441
2004-07-30,11.35,11.5,11.03,11.05,1965161
2004-08-02,11.08,11.7,10.8,11.48,4553002
2004-08-03,11.75,11.88,11.38,11.5,6166432
2004-08-04,11.48,11.5,11.08,11.13,1855200
2004-08-05,11.0,11.35,11.0,11.18,1406214
2004-08-06,11.3,11.35,11.05,11.1,1761963
2004-08-09,11.0,11.25,10.88,11.1,979887
2004-08-10,11.33,11.33,11.0,11.03,1042000
2004-08-11,11.1,11.18,10.78,10.83,1156341
2004-08-12,10.88,11.0,10.7,10.75,915629
2004-08-13,10.75,10.85,10.7,10.78,605296
2004-08-16,10.88,11.13,10.73,10.98,1060109
2004-08-17,11.0,11.45,11.0,11.38,2064113
2004-08-18,11.45,11.45,10.98,11.03,757826
2004-08-19,11.18,11.3,10.9,10.95,763909
2004-08-20,11.0,11.23,10.93,11.1,1066679
2004-08-23,11.2,11.23,10.73,10.75,786843
2004-08-24,10.75,11.55,10.75,11.48,3894286
2004-08-25,11.48,12.53,11.28,12.28,13086530
2004-08-26,12.5,12.5,11.85,11.93,5761234
2004-08-27,11.9,12.1,11.7,11.83,1848478
2004-08-30,12.08,12.08,11.85,11.9,1448307
2004-08-31,11.98,12.2,11.8,12.13,2166557
2004-09-01,12.25,12.53,12.05,12.08,3594786
2004-09-02,12.63,12.85,12.03,12.68,8136049
2004-09-03,12.8,12.85,12.4,12.73,6897455
2004-09-06,12.6,12.8,12.35,12.43,2304087
2004-09-07,12.5,12.63,12.35,12.4,1066836
2004-09-08,12.38,12.53,12.28,12.45,1641311
2004-09-09,12.5,12.58,12.08,12.13,1120873
2004-09-10,12.45,12.45,12.05,12.15,693005
2004-09-13,12.25,12.25,11.93,11.95,744401
2004-09-14,12.08,12.08,11.8,11.83,652432
2004-09-15,11.88,12.0,11.78,11.93,867572
2004-09-16,12.0,12.23,11.88,12.15,1369610
2004-09-17,12.23,12.25,11.88,11.93,815309
2004-09-20,12.0,12.18,11.88,11.9,812712
2004-09-21,11.9,12.05,11.83,11.93,715847
2004-09-22,12.0,12.05,11.85,11.95,727262
2004-09-23,12.0,12.33,11.83,11.88,1362901
2004-09-24,11.93,12.1,11.83,11.85,636678
2004-09-27,11.98,12.13,11.85,12.0,710165
2004-09-28,12.13,12.2,11.9,11.93,888953
2004-09-29,12.0,12.08,11.83,11.88,489054
2004-09-30,11.85,12.18,11.85,11.9,1056788
2004-10-01,12.0,12.03,11.83,11.85,524222
2004-10-04,9.75,12.1,9.75,11.9,1112830
2004-10-05,12.0,12.03,11.8,11.9,981084
2004-10-06,11.9,12.38,11.85,12.05,2703776
2004-10-07,12.0,12.63,12.0,12.38,5040746
2004-10-08,12.4,12.4,12.13,12.18,1153631
2004-10-09,12.25,12.33,12.13,12.15,419816
2004-10-11,12.25,12.48,11.83,11.88,909281
2004-10-12,12.0,12.0,11.6,11.7,846218
2004-10-14,11.75,11.8,11.3,11.68,645400
2004-10-15,11.75,11.78,11.63,11.65,443507
2004-10-18,13.0,13.0,11.73,11.78,690739
2004-10-19,11.9,11.93,11.7,11.75,406930
2004-10-20,12.25,12.25,11.85,11.9,844106
2004-10-21,12.0,12.05,11.8,11.88,520659
2004-10-25,11.95,11.95,11.4,11.45,685940
2004-10-26,11.55,11.7,11.4,11.58,541869
2004-10-27,11.7,11.85,11.65,11.75,473847
2004-10-28,11.88,11.93,11.65,11.7,461743
2004-10-29,11.73,11.73,11.58,11.63,308850
2004-11-01,11.75,11.78,11.6,11.63,543017
2004-11-02,11.75,12.0,11.55,11.68,1096528
2004-11-03,11.75,12.35,11.6,12.18,2063492
2004-11-04,12.1,12.25,11.9,11.93,691020
2004-11-05,12.2,12.2,11.75,11.8,843068
2004-11-08,11.95,12.2,11.78,11.8,745379
2004-11-09,12.0,12.0,11.7,11.73,522718
2004-11-10,11.88,11.88,11.68,11.73,396076
2004-11-11,11.65,11.8,11.65,11.68,439003
2004-11-12,11.75,11.85,11.68,11.7,256215
2004-11-16,11.75,11.75,11.53,11.58,636035
2004-11-17,11.4,11.73,11.4,11.6,664183
2004-11-18,11.6,11.75,11.58,11.63,829840
2004-11-19,11.7,11.9,11.63,11.65,1093215
2004-11-22,11.53,11.85,11.5,11.75,801450
2004-11-23,11.88,12.0,11.73,11.9,1260739
2004-11-24,12.0,12.0,11.8,11.85,803074
2004-11-25,11.78,11.95,11.68,11.73,855835
2004-11-29,11.75,12.1,11.63,11.95,1015084
2004-11-30,12.05,12.05,11.68,11.73,785636
2004-12-01,11.5,11.75,11.5,11.6,692368
2004-12-02,11.75,11.9,11.6,11.63,990142
2004-12-03,11.73,12.0,11.53,11.58,1828361
2004-12-06,11.78,11.83,11.55,11.73,1745352
2004-12-07,11.9,11.9,11.53,11.55,1167160
2004-12-08,11.55,11.7,11.48,11.5,959822
2004-12-09,11.63,11.63,11.3,11.35,1200845
2004-12-10,11.53,11.53,11.25,11.35,1070211
2004-12-13,11.4,11.48,11.3,11.43,592385
2004-12-14,11.6,11.75,11.5,11.6,1159617
2004-12-15,11.73,11.73,11.55,11.58,704714
2004-12-16,11.7,12.3,11.53,11.98,5386106
2004-12-17,12.15,12.15,11.78,11.8,2070814
2004-12-20,11.78,14.18,11.78,14.1,16243305
2004-12-21,14.25,16.1,14.25,14.9,25180450
2004-12-22,15.5,15.5,14.33,14.4,8355689
2004-12-23,14.5,15.78,14.18,15.05,7432890
2004-12-24,15.0,15.5,14.95,15.05,4651067
2004-12-27,15.0,15.5,14.25,14.9,4052682
2004-12-28,15.4,15.4,14.75,15.0,3827653
2004-12-29,15.23,15.28,14.8,15.03,2428763
2004-12-30,15.08,16.55,15.03,15.6,8087572
2004-12-31,15.95,16.1,15.55,15.75,4164887
2005-01-03,15.98,18.9,15.75,18.85,28301583
2005-01-04,19.5,19.7,18.15,18.5,15861651
2005-01-05,18.25,19.0,16.83,17.65,12918979
2005-01-06,17.75,18.58,16.8,17.9,8922801
2005-01-07,18.08,21.5,18.0,21.23,34867033
2005-01-10,22.35,24.4,21.55,22.93,42907453
2005-01-11,23.35,23.95,21.78,22.03,20848025
2005-01-12,22.4,23.0,19.95,20.33,19330698
2005-01-13,20.5,22.0,20.5,21.75,10738500
2005-01-14,22.08,22.2,21.1,21.43,5851334
2005-01-17,21.5,21.9,19.1,19.93,9847781
2005-01-18,20.2,21.6,19.83,20.15,7875272
2005-01-19,20.1,20.48,19.65,19.8,4206436
2005-01-20,19.8,19.85,19.05,19.23,2829175
2005-01-24,19.4,21.05,19.0,20.15,10381485
2005-01-25,20.3,20.83,19.7,20.58,7015451
2005-01-27,20.8,22.23,20.75,21.68,11723877
2005-01-28,21.75,22.15,21.15,21.35,5454676
2005-01-31,21.63,23.1,21.5,22.13,7359135
2005-02-01,22.38,22.38,21.45,21.93,5488842
2005-02-02,23.0,23.0,22.0,22.08,6908768
2005-02-03,22.08,22.68,21.78,21.95,3455690
2005-02-04,22.15,22.4,21.55,21.63,2946949
2005-02-07,21.9,22.55,21.58,21.8,4492070
2005-02-08,21.85,22.33,21.68,21.85,3322370
2005-02-09,22.08,23.33,21.93,23.05,16263841
2005-02-10,23.2,24.23,22.88,23.05,13906771
2005-02-11,23.25,23.58,22.58,22.83,3949433
2005-02-14,23.03,23.3,22.5,22.78,4831990
2005-02-15,23.0,23.0,22.15,22.3,2840918
2005-02-16,23.48,25.0,21.75,22.1,2319445
2005-02-17,22.18,22.18,21.58,21.68,2109985
2005-02-18,21.73,22.1,21.7,21.88,2043416
2005-02-21,22.25,22.4,21.73,21.93,2470311
2005-02-22,21.65,22.15,21.65,21.9,1365615
2005-02-23,22.05,22.33,21.83,21.9,1693380
2005-02-24,21.83,22.38,21.83,21.88,2015855
2005-02-25,22.15,22.28,21.55,21.73,1886251
2005-02-28,21.73,22.2,21.7,21.93,1777001
2005-03-01,22.0,22.15,21.63,21.68,1285112
2005-03-02,21.75,21.85,21.38,21.55,1308757
2005-03-03,21.5,22.18,21.5,21.65,1291510
2005-03-04,21.75,21.88,21.55,21.65,1362786
2005-03-07,21.85,21.95,21.5,21.55,1345562
2005-03-08,21.73,21.9,21.5,21.63,1986599
2005-03-09,21.85,23.0,21.65,21.83,5742060
2005-03-10,21.83,22.55,21.7,22.28,3490090
2005-03-11,22.28,22.93,22.28,22.38,3735693
2005-03-14,22.6,22.7,21.8,21.93,1242978
2005-03-15,22.0,22.05,21.5,21.55,1144888
2005-03-16,21.73,22.0,21.38,21.45,1025377
2005-03-17,21.45,21.55,20.8,20.98,840828
2005-03-18,21.1,21.13,20.5,20.9,1166337
2005-03-21,21.0,21.15,20.5,20.58,772188
2005-03-22,20.7,20.7,19.63,19.73,1147565
2005-03-23,19.73,19.83,19.25,19.45,1598359
2005-03-24,19.7,20.13,19.08,19.68,1614483
2005-03-28,19.88,21.65,19.75,21.1,2965371
2005-03-29,21.03,21.33,19.7,19.8,1576796
2005-03-30,19.88,20.65,19.78,20.48,1357740
2005-03-31,22.5,22.5,20.63,21.15,1709349
2005-04-01,21.33,21.38,20.83,21.05,1079722
2005-04-04,21.23,21.25,20.85,20.98,624394
2005-04-05,21.0,21.13,20.35,20.4,639647
2005-04-06,20.55,21.13,20.33,20.75,797696
2005-04-07,21.25,22.25,21.13,21.28,3520833
2005-04-08,21.5,21.6,21.03,21.2,1454591
2005-04-11,21.25,21.4,20.75,20.83,867313
2005-04-12,20.55,21.0,20.55,20.63,504984
2005-04-13,20.7,21.45,20.7,21.03,1297568
2005-04-15,21.0,21.45,20.33,20.55,1017172
2005-04-18,20.63,20.63,19.83,20.35,936993
2005-04-19,20.5,21.05,19.98,20.08,850982
2005-04-20,20.0,20.5,19.5,20.13,625220
2005-04-21,20.13,20.5,19.83,20.25,664148
2005-04-22,20.5,20.63,20.13,20.2,831547
2005-04-25,20.28,20.98,20.05,20.58,1364091
2005-04-26,20.5,20.83,20.38,20.45,775765
2005-04-27,20.38,20.4,20.0,20.05,443009
2005-04-28,20.13,20.23,19.85,19.98,636352
2005-04-29,20.75,20.75,19.28,19.6,669109
2005-05-02,19.95,20.0,19.3,19.4,711839
2005-05-03,19.43,19.65,19.35,19.4,373902
2005-05-04,19.4,19.83,19.35,19.6,492217
2005-05-05,19.6,20.05,19.6,19.78,561376
2005-05-06,19.78,20.0,19.6,19.83,342767
2005-05-09,19.93,20.25,19.83,20.13,521612
2005-05-10,20.3,20.3,19.9,19.95,374650
2005-05-11,20.1,21.78,19.65,21.13,2952938
2005-05-12,21.25,21.85,21.2,21.45,2633517
2005-05-13,21.53,21.85,21.08,21.23,1500583
2005-05-16,21.4,21.75,21.28,21.58,1496763
2005-05-17,21.75,21.85,21.0,21.05,1100697
2005-05-18,21.33,21.33,20.65,20.95,559768
2005-05-19,21.18,22.68,21.13,22.15,6033239
2005-05-20,22.45,22.93,22.08,22.38,6310620
2005-05-23,22.5,22.7,21.78,22.03,1482058
