date,open,high,low,close,volume
2011-09-26,21.5,48.44,17.6,41.53,40012115
2011-09-27,45.0,49.84,37.53,48.32,12144815
2011-09-28,47.5,53.7,38.66,38.66,8595905
2011-09-29,30.93,41.8,30.93,31.2,6250416
2011-09-30,27.01,34.29,24.96,30.37,5451056
2011-10-03,24.3,27.5,24.3,25.2,2217650
2011-10-04,24.53,25.0,22.68,22.69,627717
2011-10-05,23.0,23.01,20.42,21.23,835247
2011-10-07,21.0,22.2,20.27,21.42,842119
2011-10-10,21.4,21.8,20.55,21.19,364485
2011-10-11,21.2,22.9,20.8,22.11,401606
2011-10-12,22.11,23.2,21.41,23.01,380909
2011-10-13,23.01,23.7,22.31,22.7,348758
2011-10-14,22.48,23.3,22.08,22.71,139910
2011-10-17,22.76,23.9,22.35,23.46,132283
2011-10-18,23.01,24.61,22.6,22.78,337768
2011-10-19,23.16,23.39,21.9,22.45,44081
2011-10-20,22.4,22.9,21.7,22.33,73691
2011-10-21,22.14,23.4,21.1,21.74,165016
2011-10-24,21.8,22.45,21.41,22.23,140791
2011-10-25,22.45,22.45,21.3,21.71,92906
2011-10-26,21.7,22.6,21.7,22.3,37383
2011-10-28,22.3,22.4,21.51,21.72,67633
2011-10-31,21.7,22.09,21.4,21.6,126126
2011-11-01,21.53,21.74,20.8,21.33,134406
2011-11-02,21.11,21.28,20.61,20.9,89996
2011-11-03,21.4,21.9,20.52,21.29,136997
2011-11-04,21.4,22.1,21.06,21.34,46345
2011-11-08,21.19,21.9,21.05,21.59,42350
2011-11-09,21.4,21.68,20.91,21.03,7603
2011-11-11,21.03,21.6,20.43,20.92,42112
2011-11-14,21.39,22.89,20.75,21.02,73854
2011-11-15,21.12,21.45,20.4,20.58,10921
2011-11-16,20.6,20.7,19.5,20.35,27471
2011-11-17,20.41,20.63,19.1,19.99,25403
2011-11-18,19.85,19.85,18.8,19.22,19410
2011-11-21,18.55,19.3,17.85,18.42,10473
2011-11-22,18.3,18.59,17.7,18.06,46179
2011-11-23,17.95,17.95,16.46,16.7,15906
2011-11-24,16.4,16.8,14.86,16.25,17288
2011-11-25,15.77,16.5,15.77,16.38,8644
2011-11-28,17.9,19.33,15.81,18.21,47781
2011-11-29,17.51,18.44,17.51,18.05,21348
2011-11-30,17.81,19.98,17.6,19.14,27830
2011-12-01,19.86,19.9,18.4,18.96,8841
2011-12-02,18.6,20.01,18.5,19.64,25124
2011-12-05,19.89,20.5,19.8,20.01,5742
2011-12-07,19.52,20.23,19.52,20.05,28768
2011-12-08,19.51,19.79,19.01,19.69,8651
2011-12-09,18.9,20.05,18.9,19.79,48989
2011-12-12,19.6,22.36,19.55,21.2,136919
2011-12-13,21.5,23.4,21.2,22.84,177877
2011-12-14,22.75,23.5,21.76,22.34,57739
2011-12-15,21.9,22.2,21.35,22.09,17822
2011-12-16,21.12,22.38,21.12,21.82,27884
2011-12-19,21.04,21.11,20.51,20.73,6456
2011-12-20,21.2,24.54,20.46,21.48,13347
2011-12-21,21.0,23.19,20.63,20.98,48685
2011-12-22,21.1,21.5,17.36,19.85,13024
2011-12-23,19.68,20.99,19.17,19.58,8318
2011-12-26,19.5,20.4,19.47,19.7,12963
2011-12-27,19.9,20.0,19.5,19.56,1777
2011-12-28,19.8,19.86,17.71,18.8,5107
2011-12-29,15.04,17.44,15.04,15.58,177828
2011-12-30,15.5,15.5,13.7,14.44,58507
2012-01-02,14.2,14.2,13.11,13.69,36827
2012-01-03,13.5,14.18,13.5,13.75,13498
2012-01-04,13.21,13.68,12.55,13.43,9169
2012-01-05,13.02,13.6,12.72,12.92,8013
2012-01-06,12.31,13.39,12.23,13.1,16897
2012-01-07,13.0,13.44,13.0,13.13,159
2012-01-09,12.5,13.79,12.5,13.66,71562
2012-01-10,13.63,14.89,13.63,14.05,46690
2012-01-11,14.1,14.11,13.83,14.0,1801
2012-01-12,13.8,14.2,13.51,14.16,8470
2012-01-13,13.8,14.59,13.7,14.45,4296
2012-01-16,13.87,15.2,13.87,14.94,3006
2012-01-17,14.8,15.7,14.8,15.53,68819
2012-01-18,15.6,17.0,15.0,16.04,31228
2012-01-19,16.02,16.5,15.82,16.11,9760
2012-01-20,16.4,16.4,15.0,15.24,4697
2012-01-23,14.51,15.9,14.51,15.65,1234
2012-01-24,15.79,15.79,14.93,15.06,43327
2012-01-25,14.4,16.56,14.4,16.56,34642
2012-01-27,17.69,17.69,16.35,16.7,27941
2012-01-30,15.91,17.6,15.91,17.15,74651
2012-01-31,16.4,17.4,16.4,17.1,27001
2012-02-01,16.41,17.17,16.41,16.88,26533
2012-02-02,16.93,17.79,16.7,17.54,114094
2012-02-03,17.4,18.45,17.07,18.25,4735
2012-02-06,18.01,19.21,18.01,19.04,28544
2012-02-07,18.65,19.5,18.65,19.14,2062
2012-02-08,17.5,19.29,17.42,18.6,50563
2012-02-09,17.84,18.9,17.84,18.81,28986
2012-02-10,18.3,19.7,18.3,19.38,4427
2012-02-13,18.63,20.4,18.63,19.11,762
2012-02-14,18.96,19.41,18.5,19.02,17945
2012-02-15,18.8,19.31,18.8,19.18,2172
2012-02-16,18.33,19.0,18.33,18.85,14930
2012-02-17,19.0,19.1,18.33,18.92,65927
2012-02-21,18.24,19.0,18.24,18.87,22557
2012-02-22,18.7,19.77,18.51,19.58,2043
2012-02-23,19.4,19.68,19.05,19.6,1305
2012-02-24,18.96,20.19,18.95,20.02,44955
2012-02-27,20.0,20.1,18.7,19.05,1399
2012-02-28,19.19,20.9,19.19,20.62,95257
2012-02-29,19.6,21.09,19.27,20.7,8567
2012-03-01,20.6,20.69,19.51,20.69,8022
2012-03-02,20.4,20.68,19.91,20.02,199
2012-03-03,20.01,21.0,19.6,20.2,34246
2012-03-05,20.0,21.94,20.0,21.0,1211
2012-03-06,21.4,25.19,21.4,25.19,60807
2012-03-07,26.56,26.96,23.9,25.31,77655
2012-03-09,25.31,26.95,25.02,26.27,22448
2012-03-12,26.5,26.5,25.7,25.99,3432
2012-03-13,26.0,26.0,23.6,24.22,5604
2012-03-14,24.5,25.0,22.81,23.48,7032
2012-03-15,23.5,23.51,22.0,22.75,856
2012-03-16,22.95,23.6,21.61,21.62,40826
2012-03-19,20.6,21.5,20.6,21.48,478
2012-03-20,20.5,22.54,20.41,21.42,36727
2012-03-21,20.61,21.79,20.35,20.85,231
2012-03-22,20.52,21.49,19.85,21.29,308
2012-03-23,20.33,21.26,20.23,21.2,1118
2012-03-26,20.2,21.0,20.14,21.0,715
2012-03-27,19.97,21.4,19.95,20.45,102
2012-03-28,19.7,20.48,19.43,20.11,1654
2012-03-29,19.46,20.18,19.1,19.93,394
2012-03-30,20.65,20.7,19.3,20.2,472
2012-04-02,20.6,20.6,20.6,20.6,431
2012-04-03,19.61,20.5,19.6,20.43,254
2012-04-04,19.41,20.89,19.41,20.37,145
2012-04-09,19.41,20.12,19.35,19.42,897
2012-04-10,18.51,20.39,18.46,20.08,2357
2012-04-11,19.13,20.2,19.08,19.84,1103
2012-04-12,18.9,20.81,18.9,19.89,728
2012-04-13,18.91,20.3,18.9,19.11,1005
2012-04-16,18.21,19.99,18.21,19.8,191
2012-04-17,18.9,20.0,18.81,19.12,1056
2012-04-18,18.3,19.99,18.3,19.12,110
2012-04-19,19.39,19.99,18.5,19.5,100
2012-04-20,18.83,19.5,18.55,18.55,33
2012-04-23,19.4,19.48,19.4,19.48,468
2012-04-25,18.51,19.1,18.51,18.61,121
2012-04-26,17.8,19.5,17.8,19.0,3207
2012-04-27,18.1,19.01,18.1,19.0,5676
2012-04-30,19.0,19.95,18.19,19.93,58
2012-05-02,19.4,19.4,19.03,19.03,9801
2012-05-03,18.2,19.97,18.2,19.97,2
2012-05-04,19.1,19.6,19.02,19.6,66
2012-05-07,18.65,19.65,18.63,19.65,39
2012-05-08,18.72,20.0,18.67,19.87,68
2012-05-09,19.89,19.89,19.89,19.89,1178
2012-05-10,19.0,19.0,18.9,18.9,33084
2012-05-11,17.99,18.96,17.99,18.09,113
2012-05-14,17.3,18.99,17.22,18.99,291
2012-05-15,18.06,19.0,18.06,18.94,43519
2012-05-16,18.03,19.2,18.03,19.2,60
2012-05-17,18.25,19.3,18.25,19.27,120
