date,open,high,low,close,volume
2007-04-23,165.0,172.5,150.8,162.01,5932
2007-04-24,161.5,165.0,160.9,164.04,838
2007-04-25,164.0,164.0,162.09,162.54,134
2007-04-26,165.02,174.0,162.31,163.03,4817
2007-04-27,163.12,165.7,162.41,163.58,760
2007-04-30,163.0,163.8,162.0,163.8,513
2007-05-03,170.0,171.0,165.2,165.77,75
2007-05-04,169.5,172.5,168.11,168.82,210
2007-05-07,169.7,172.5,167.8,172.36,5513
2007-05-08,174.7,185.0,174.6,182.89,1359
2007-05-09,183.0,187.4,177.5,178.29,194
2007-05-10,180.0,183.0,177.5,181.06,729
2007-05-11,184.9,187.8,173.12,187.44,987
2007-05-14,190.0,192.0,188.5,189.99,567
2007-05-15,189.0,189.0,185.21,186.53,38
2007-05-16,190.0,195.0,179.51,191.57,914
2007-05-17,190.0,192.99,189.0,189.27,225
2007-05-18,189.0,190.0,186.0,186.33,99
2007-05-21,185.51,192.8,185.51,192.58,809
2007-05-22,187.61,192.5,187.61,192.5,188
2007-05-23,193.14,198.0,191.0,192.64,300
2007-05-24,194.0,197.0,189.6,196.3,472
2007-05-25,190.51,195.0,190.51,194.79,310
2007-05-28,195.0,197.4,192.0,192.0,27
2007-05-29,192.14,194.4,192.14,192.68,70
2007-05-30,196.99,202.0,196.99,199.0,60
2007-05-31,196.0,200.0,192.12,199.89,206
2007-06-01,199.0,202.5,195.5,201.31,388
2007-06-04,204.0,204.0,198.0,198.0,306
2007-06-05,199.5,199.5,190.5,194.18,786
2007-06-06,201.9,203.87,186.0,187.42,709
2007-06-07,185.9,189.19,182.61,183.48,206
2007-06-08,181.0,190.0,181.0,183.75,234
2007-06-11,181.04,183.6,181.04,183.6,25
2007-06-12,178.14,183.4,178.14,180.0,51
2007-06-13,179.5,179.5,176.0,176.02,83
2007-06-14,179.89,180.0,176.5,179.59,335
2007-06-15,177.95,184.99,177.0,183.12,540
2007-06-18,184.9,184.9,180.0,180.05,99
2007-06-19,179.5,182.1,179.5,182.1,25
2007-06-20,185.8,186.6,182.55,182.55,129
2007-06-21,186.1,190.5,184.0,190.07,1336
2007-06-22,194.2,194.29,191.0,191.9,99
2007-06-25,195.0,201.4,191.72,200.0,1363
2007-06-26,200.0,207.0,198.9,204.89,773
2007-06-27,205.0,210.0,199.5,204.51,768
2007-06-28,202.4,203.0,200.0,201.87,203
2007-06-29,202.0,206.5,200.0,205.42,5523
2007-07-02,208.0,208.0,204.0,206.36,719
2007-07-03,205.0,205.1,202.5,205.03,37
2007-07-04,200.0,205.6,195.0,205.17,144
2007-07-05,197.64,205.0,197.64,204.9,2558
2007-07-06,204.9,205.0,204.4,204.5,2566
2007-07-09,204.1,204.9,204.1,204.9,2500
2007-07-10,204.9,206.0,202.5,204.3,960
2007-07-11,203.0,203.0,198.2,201.41,175
2007-07-12,205.0,205.0,200.0,201.5,28
2007-07-13,204.5,210.0,198.5,209.14,4121
2007-07-16,200.52,210.0,199.8,206.36,3692
2007-07-17,215.0,215.0,205.0,205.0,144
2007-07-18,207.4,207.4,202.9,203.89,56
2007-07-19,203.5,208.0,200.5,206.12,2269
2007-07-20,215.0,215.0,172.0,203.83,7891
2007-07-23,193.2,205.8,193.2,203.5,59
2007-07-24,201.0,206.9,201.0,201.0,563
2007-07-25,200.8,206.0,200.8,205.25,98
2007-07-26,201.0,201.84,201.0,201.72,30
2007-07-27,200.0,204.0,197.5,198.0,103
2007-07-30,201.0,204.0,201.0,201.3,69
2007-07-31,199.29,204.0,199.0,204.0,41
2007-08-01,202.4,202.4,200.0,200.5,940
2007-08-02,200.5,202.5,175.63,200.5,44596
2007-08-03,201.5,202.9,200.0,200.1,4512
