date,open,high,low,close,volume
2003-09-05,14.25,14.3,14.18,14.18,1696
2003-09-08,14.05,14.75,14.05,14.56,6873
2003-09-09,14.55,16.2,14.55,15.71,21312
2003-09-10,15.7,15.8,15.15,15.27,5792
2003-09-11,15.0,15.2,14.85,14.94,3490
2003-09-12,15.0,15.55,14.9,15.13,15259
2003-09-15,14.93,15.05,14.58,14.65,2323
2003-09-16,14.55,14.8,14.55,14.66,928
2003-09-17,15.0,15.0,14.6,14.95,1189
2003-09-18,15.1,15.1,14.55,14.76,11741
2003-09-19,14.75,15.15,14.5,15.01,9003
2003-09-22,15.2,15.25,14.89,14.92,5415
2003-09-23,16.1,16.1,14.55,15.24,2524
2003-09-24,15.0,15.19,14.91,14.95,4575
2003-09-25,15.0,15.0,14.8,14.98,658
2003-09-26,14.9,15.05,14.85,14.89,2330
2003-09-29,14.75,15.25,14.75,15.04,2778
2003-09-30,15.0,15.15,14.8,14.89,2381
2003-10-01,14.57,14.99,14.57,14.71,1840
2003-10-03,14.75,14.75,14.4,14.5,2663
2003-10-06,15.0,15.1,14.7,15.04,4954
2003-10-07,14.85,15.15,14.76,15.07,3787
2003-10-08,15.0,15.25,15.0,15.11,5768
2003-10-09,15.3,15.55,15.13,15.49,4908
2003-10-10,15.45,15.75,15.45,15.68,2867
2003-10-13,15.65,15.94,15.45,15.73,6795
2003-10-14,16.1,16.15,15.76,15.97,7757
2003-10-15,16.25,16.28,15.6,15.73,3110
2003-10-16,16.0,16.05,15.75,15.88,4250
2003-10-17,15.75,15.8,15.25,15.33,4352
2003-10-20,15.35,15.5,15.2,15.37,17375
2003-10-21,15.07,15.12,14.57,14.64,3456
2003-10-22,14.52,14.9,14.25,14.29,3377
2003-10-23,14.21,14.34,13.83,13.93,3972
2003-10-24,13.8,13.9,13.4,13.82,7566
2003-10-25,13.9,14.4,13.9,14.18,595
2003-10-27,14.22,14.22,14.0,14.05,1536
2003-10-28,14.05,15.65,14.05,14.26,2117
2003-10-29,13.73,14.55,13.73,14.48,1769
2003-10-30,14.49,14.87,14.49,14.81,1081
2003-10-31,14.83,15.02,14.83,15.01,2196
2003-11-03,14.56,14.8,14.4,14.77,5197
2003-11-04,14.3,14.75,14.3,14.67,2658
2003-11-05,14.51,14.81,14.51,14.72,5336
2003-11-06,14.75,14.95,14.75,14.9,1402
2003-11-07,14.7,15.1,14.7,14.93,3972
2003-11-10,14.75,15.1,14.75,14.93,145
2003-11-11,15.15,15.18,14.97,15.03,2607
2003-11-12,15.1,15.69,15.1,15.32,4408
2003-11-13,15.3,15.5,15.05,15.16,3806
2003-11-14,15.15,15.24,14.96,14.98,2610
2003-11-15,15.0,15.1,14.78,14.97,593
2003-11-17,14.76,15.05,14.76,15.05,1633
2003-11-18,15.0,15.0,14.96,14.97,1663
2003-11-19,14.95,15.25,14.95,15.1,8374
2003-11-20,15.0,15.2,14.96,15.01,3443
2003-11-21,14.95,15.09,14.63,14.97,1603
2003-11-24,14.97,15.05,14.8,15.01,1204
2003-11-25,15.05,15.19,14.97,15.01,1776
2003-11-27,15.0,15.39,14.95,15.05,2615
2003-11-28,15.05,15.17,15.0,15.05,3807
2003-12-01,15.25,15.5,15.01,15.38,7653
2003-12-02,15.26,15.4,15.15,15.2,3385
2003-12-03,15.67,15.68,15.25,15.42,6959
2003-12-04,15.5,15.51,15.31,15.42,2269
2003-12-05,15.5,16.95,15.35,15.88,18803
2003-12-08,16.75,16.94,16.06,16.8,12297
2003-12-09,17.35,17.35,16.71,16.74,7654
2003-12-10,16.84,17.2,15.93,16.02,15956
2003-12-11,16.55,16.63,16.4,16.54,12266
2003-12-12,16.6,16.82,16.11,16.22,4240
2003-12-15,16.45,16.62,16.11,16.51,9032
