date,open,high,low,close,volume
2016-11-07,712.29,748.73,712.29,738.09,33028250
2016-11-08,742.93,818.22,742.1,809.98,11177092
2016-11-09,705.66,785.75,672.7,763.8,3674905
2016-11-10,782.69,807.04,749.56,772.83,2047064
2016-11-11,755.11,785.09,752.21,769.35,1486727
2016-11-15,766.12,766.12,660.94,669.88,1525700
2016-11-16,704.92,716.26,655.76,660.69,1816031
2016-11-17,668.6,675.26,659.69,670.13,644793
2016-11-18,674.19,684.13,664.83,674.1,428795
2016-11-21,675.84,676.55,657.04,662.26,440349
2016-11-22,666.73,674.1,659.57,669.42,384137
2016-11-23,675.02,689.1,659.69,682.8,415021
2016-11-24,675.02,681.1,668.85,671.95,166715
2016-11-25,673.36,734.65,671.91,720.11,1141424
2016-11-28,712.2,715.6,697.13,702.14,319524
2016-11-29,708.02,747.9,704.83,739.12,857796
2016-11-30,743.84,763.64,742.52,751.09,385650
2016-12-01,756.18,761.98,746.24,750.39,389816
2016-12-02,747.07,757.76,737.13,750.76,233893
2016-12-05,745.42,750.18,699.86,707.86,1316337
2016-12-06,712.29,723.05,712.24,716.97,496977
2016-12-07,721.44,726.7,705.66,712.41,801131
2016-12-08,716.01,744.42,713.9,738.62,437545
2016-12-09,738.79,741.61,719.37,725.29,383676
2016-12-12,714.98,723.3,704.83,707.86,137695
2016-12-13,708.1,719.74,705.12,708.97,202170
2016-12-14,710.17,716.01,704.46,706.03,294155
2016-12-15,705.66,712.29,704.0,710.55,234265
2016-12-16,714.15,724.38,706.74,720.57,573841
2016-12-19,715.1,731.67,709.26,718.95,118349
2016-12-20,723.05,728.02,700.82,709.68,246534
2016-12-21,708.15,732.99,692.04,726.57,272623
2016-12-22,727.19,727.19,693.69,696.3,126205
2016-12-23,699.86,706.45,688.43,692.95,100586
2016-12-26,689.1,697.13,668.43,671.29,205665
2016-12-27,675.02,692.49,675.02,687.73,120896
2016-12-28,689.92,697.34,683.3,684.66,83260
2016-12-29,684.13,691.12,680.81,686.94,33398
2016-12-30,686.94,710.38,686.94,695.8,144394
2017-01-02,701.52,707.32,683.92,689.59,124507
2017-01-03,691.54,695.47,685.78,687.81,360636
2017-01-04,693.24,694.89,675.31,676.96,74419
2017-01-05,679.24,693.24,679.03,680.03,145394
2017-01-06,683.92,683.92,670.87,673.44,74414
2017-01-09,678.29,679.99,672.53,674.64,51720
2017-01-10,673.44,678.54,670.87,671.66,55122
2017-01-11,672.53,685.53,671.21,672.66,264849
2017-01-12,673.44,679.16,670.87,672.08,105914
2017-01-13,673.36,675.84,667.56,669.51,219152
2017-01-16,672.41,674.85,663.42,665.33,122601
2017-01-17,671.54,696.14,662.76,685.78,318060
2017-01-18,689.92,693.98,683.38,687.19,262088
2017-01-19,687.69,694.89,680.98,689.68,92005
2017-01-20,690.34,693.07,685.41,686.82,138741
2017-01-23,685.62,691.58,683.51,687.15,154007
2017-01-24,687.44,720.49,686.61,712.87,721010
2017-01-25,726.24,786.58,720.57,777.92,1341314
2017-01-27,774.4,782.69,764.26,766.78,188456
2017-01-30,759.66,762.68,752.04,753.99,63600
2017-01-31,755.15,781.86,736.93,749.31,220013
2017-02-01,746.82,767.28,745.71,757.72,293718
2017-02-02,758.87,772.54,757.84,767.41,214623
2017-02-03,768.61,781.86,765.42,778.5,476658
2017-02-06,778.55,824.1,772.0,814.66,796452
2017-02-07,805.88,829.9,796.68,821.41,230831
2017-02-08,821.99,892.84,810.02,872.8,737781
2017-02-09,866.34,894.5,853.09,874.21,610896
2017-02-10,872.14,938.73,865.72,930.11,645550
2017-02-13,935.91,936.74,886.22,904.52,326383
2017-02-14,902.78,943.61,892.88,921.58,331226
2017-02-15,923.24,931.27,895.33,911.19,265472
2017-02-16,902.86,935.83,902.86,929.53,140682
2017-02-17,929.78,935.41,894.71,900.67,253963
2017-02-20,891.19,939.14,874.58,919.88,278709
2017-02-21,911.98,934.63,911.98,923.49,192130
2017-02-22,923.32,927.63,907.54,910.4,97558
2017-02-23,897.03,925.97,897.03,908.66,195833
2017-02-27,906.09,915.21,877.93,884.15,249617
2017-02-28,887.05,902.95,880.42,888.83,182414
2017-03-01,896.07,896.07,863.44,868.66,137736
2017-03-02,871.31,879.92,842.03,847.12,182393
2017-03-03,844.8,851.64,824.18,830.23,161661
2017-03-06,827.41,840.66,824.14,829.52,248348
2017-03-07,836.36,839.59,804.43,824.06,299790
2017-03-08,819.96,826.58,806.71,810.97,146677
2017-03-09,812.5,836.19,807.53,812.67,459862
2017-03-10,814.99,824.06,795.11,798.22,235353
2017-03-14,820.79,877.11,790.97,860.0,972576
2017-03-15,853.92,922.08,846.75,899.92,689043
2017-03-16,904.44,918.52,894.66,912.68,279934
2017-03-17,913.71,919.51,902.78,911.98,131954
2017-03-20,911.4,943.37,898.68,917.86,345863
2017-03-21,916.61,931.77,897.56,921.67,713488
2017-03-22,911.06,916.61,891.31,898.39,93724
2017-03-23,903.61,926.8,899.47,915.7,215803
2017-03-24,917.69,925.93,912.72,916.16,254850
2017-03-27,906.09,929.45,902.78,917.36,256499
2017-03-28,917.36,985.36,917.11,964.86,434154
2017-03-29,960.76,981.34,935.91,961.13,498388
2017-03-30,964.9,965.73,931.94,943.74,261461
2017-03-31,943.7,1007.1,938.93,985.94,459551
2017-04-03,988.79,1017.08,979.23,1002.29,349109
2017-04-05,1002.17,1002.17,977.32,982.09,268532
2017-04-06,980.97,997.2,969.87,975.38,143331
2017-04-07,974.01,1012.65,970.78,977.07,255770
2017-04-10,973.35,1013.19,973.35,981.05,170628
2017-04-11,990.58,1008.8,981.51,1000.64,206999
2017-04-12,1010.45,1011.24,977.7,994.43,316694
2017-04-13,988.92,1041.93,985.65,1035.8,560989
2017-04-17,1044.33,1070.42,1013.77,1044.0,325955
2017-04-18,1054.27,1075.06,1043.58,1049.05,237852
2017-04-19,1058.33,1058.33,1022.88,1028.34,173027
2017-04-20,1027.02,1064.29,1027.02,1061.02,247396
2017-04-21,1065.86,1103.13,1052.86,1079.16,235852
2017-04-24,1088.31,1129.72,1080.89,1123.47,327230
2017-04-25,1133.86,1196.77,1130.55,1148.44,592755
2017-04-26,1157.63,1157.63,1126.41,1138.54,210572
2017-04-27,1142.89,1143.01,1119.04,1126.94,181316
2017-04-28,1130.63,1155.39,1120.48,1148.11,160925
2017-05-02,1155.35,1155.39,1116.88,1121.81,351897
2017-05-03,1137.01,1174.86,1126.41,1133.57,413107
2017-05-04,1142.97,1158.46,1130.71,1137.92,239525
2017-05-05,1138.83,1138.83,1089.14,1094.44,275749
2017-05-08,1104.04,1121.69,1077.54,1081.89,216137
2017-05-09,1100.73,1101.6,1063.46,1067.6,156433
2017-05-10,1074.89,1108.19,1074.85,1103.51,257538
2017-05-11,1111.5,1123.01,1057.33,1084.75,367776
2017-05-12,1089.14,1116.47,1066.81,1102.93,399338
2017-05-15,1125.16,1125.16,1102.43,1113.4,499890
2017-05-16,1117.3,1119.66,1091.62,1099.82,173011
2017-05-17,1104.46,1104.46,1087.52,1094.77,108835
2017-05-18,1071.0,1090.79,1068.93,1078.16,221290
2017-05-19,1080.81,1086.69,1036.09,1050.95,215051
2017-05-22,1093.11,1093.28,1017.16,1029.42,206338
2017-05-23,1035.3,1035.3,987.72,996.37,436341
2017-05-24,1005.48,1051.66,988.09,1040.35,376299
2017-05-25,1043.58,1079.24,1028.01,1073.98,222082
2017-05-26,1076.67,1099.9,1073.36,1090.87,143199
2017-05-29,1087.48,1101.39,1058.41,1099.57,128082
2017-05-30,1092.45,1134.69,1076.71,1131.83,295588
2017-05-31,1138.83,1157.05,1134.73,1154.94,221573
2017-06-01,1154.57,1162.77,1128.89,1155.64,147850
2017-06-02,1147.11,1164.42,1132.62,1138.54,130704
2017-06-05,1132.95,1179.33,1126.49,1142.81,328085
2017-06-06,1151.83,1162.68,1144.05,1154.11,119212
2017-06-07,1165.38,1250.52,1161.4,1224.51,766870
2017-06-08,1229.94,1295.37,1224.35,1272.51,717962
2017-06-09,1277.23,1341.04,1273.13,1327.71,796615
2017-06-12,1327.59,1384.73,1313.63,1371.94,690019
2017-06-13,1379.1,1402.04,1360.84,1393.1,718365
2017-06-14,1399.39,1405.44,1348.66,1361.96,395410
2017-06-15,1363.49,1386.47,1334.38,1378.69,333036
2017-06-16,1377.36,1393.1,1351.77,1361.17,239718
2017-06-19,1364.53,1376.53,1346.39,1351.36,154063
2017-06-20,1358.07,1375.71,1342.58,1347.34,233671
2017-06-21,1350.03,1362.45,1342.58,1351.52,124431
2017-06-22,1351.52,1360.84,1292.05,1306.51,219152
2017-06-23,1304.48,1306.96,1230.39,1268.95,396458
2017-06-27,1271.35,1271.35,1228.32,1236.81,209178
2017-06-28,1238.22,1274.99,1207.66,1260.04,388944
2017-06-29,1275.49,1306.3,1275.49,1295.99,190573
2017-06-30,1291.64,1343.28,1276.32,1322.04,293290
2017-07-03,1329.33,1332.64,1286.71,1294.91,186339
2017-07-04,1296.11,1318.48,1283.77,1295.66,186676
2017-07-05,1297.85,1323.53,1280.46,1309.78,180457
2017-07-06,1312.51,1316.32,1250.73,1259.42,415798
2017-07-07,1258.84,1277.39,1252.8,1259.59,160099
2017-07-10,1275.49,1276.32,1242.36,1257.52,25508
2017-07-11,1258.92,1267.21,1229.85,1234.28,189708
2017-07-12,1241.12,1279.63,1219.67,1273.63,355473
2017-07-13,1283.61,1304.48,1275.99,1298.76,284784
2017-07-14,1303.65,1303.65,1246.83,1258.97,243946
2017-07-17,1266.21,1268.86,1240.29,1249.32,105262
2017-07-18,1250.64,1263.07,1229.98,1239.09,99439
2017-07-19,1242.4,1258.01,1242.4,1249.57,57722
2017-07-20,1249.15,1258.68,1236.19,1240.41,87414
2017-07-21,1246.5,1259.75,1239.05,1245.13,97412
2017-07-24,1244.84,1252.26,1215.94,1219.29,177178
2017-07-25,1221.53,1253.96,1213.45,1247.62,177085
2017-07-26,1250.64,1258.92,1244.14,1248.78,79902
2017-07-27,1256.36,1287.83,1243.19,1257.81,343398
2017-07-28,1253.13,1274.66,1222.48,1247.16,184688
2017-07-31,1250.64,1263.07,1229.94,1243.77,106388
2017-08-01,1249.81,1266.79,1224.97,1232.09,213257
2017-08-02,1241.2,1244.89,1226.62,1231.18,98499
2017-08-03,1234.08,1238.22,1182.23,1194.9,270589
2017-08-04,1242.36,1292.05,1239.88,1278.43,1121027
2017-08-07,1295.37,1316.07,1279.76,1287.79,241267
2017-08-08,1292.05,1304.4,1245.67,1288.29,280169
2017-08-09,1287.91,1287.91,1254.78,1260.08,159289
2017-08-10,1252.3,1254.78,1217.51,1226.75,289047
2017-08-11,1213.37,1261.41,1184.38,1234.57,156644
2017-08-14,1242.32,1258.92,1242.32,1250.15,151422
2017-08-16,1250.15,1287.08,1238.22,1279.59,206223
2017-08-17,1281.29,1303.65,1267.12,1271.51,80780
2017-08-18,1265.14,1267.21,1253.04,1264.52,68302
2017-08-21,1263.07,1283.77,1259.13,1272.51,77585
2017-08-22,1283.77,1285.1,1245.51,1253.29,90269
2017-08-23,1258.1,1283.77,1254.95,1272.47,82408
2017-08-24,1280.46,1306.8,1271.35,1285.97,127178
2017-08-28,1284.6,1329.33,1279.8,1315.91,237659
2017-08-29,1316.9,1359.97,1296.2,1325.68,424421
2017-08-30,1340.92,1422.63,1339.26,1397.74,858792
2017-08-31,1398.9,1403.87,1348.37,1353.3,269190
2017-09-01,1366.6,1367.01,1337.81,1343.9,168282
2017-09-04,1343.32,1357.49,1300.34,1317.03,252493
2017-09-05,1321.87,1342.58,1319.39,1337.07,160361
2017-09-06,1326.84,1333.88,1309.53,1317.36,123432
2017-09-07,1317.73,1369.91,1317.73,1355.37,285084
2017-09-08,1370.74,1375.71,1345.89,1353.63,168863
2017-09-11,1358.31,1379.02,1351.73,1371.03,127685
2017-09-12,1387.3,1387.3,1354.17,1362.37,90814
2017-09-13,1367.42,1381.5,1355.0,1371.32,102426
2017-09-14,1374.05,1378.19,1350.03,1357.32,62736
2017-09-15,1354.17,1358.31,1333.47,1350.65,67221
2017-09-18,1350.24,1383.16,1341.75,1350.61,114374
2017-09-19,1358.23,1363.28,1348.37,1353.43,41211
2017-09-20,1350.9,1378.19,1349.2,1354.21,150476
2017-09-21,1359.72,1362.45,1326.01,1340.67,86174
2017-09-22,1334.29,1335.95,1263.07,1294.54,141514
2017-09-25,1292.05,1292.05,1238.22,1253.58,158167
