date,open,high,low,close,volume
2007-10-05,50.51,61.59,46.77,56.59,481058927
2007-10-08,58.5,58.5,53.35,53.69,71252858
2007-10-09,53.72,57.85,50.82,57.35,65658228
2007-10-10,58.84,59.06,57.38,57.88,38211410
2007-10-11,67.5,67.5,57.38,64.35,59805552
2007-10-12,63.0,66.32,62.44,63.93,55918584
2007-10-15,65.25,65.64,64.21,64.77,23520928
2007-10-16,64.86,72.51,64.41,71.38,77970674
2007-10-17,64.13,78.75,59.68,76.95,115242925
2007-10-18,78.19,84.07,71.07,74.25,82472533
2007-10-19,72.56,77.01,70.31,74.0,62024917
2007-10-22,72.51,75.29,70.59,73.01,40642551
2007-10-23,74.81,78.92,74.81,78.22,41959654
2007-10-24,79.88,80.72,76.13,77.01,35468542
2007-10-25,74.39,78.64,67.87,76.84,19418905
2007-10-26,78.19,80.41,76.08,79.14,35083148
2007-10-29,80.44,82.69,80.04,80.75,24557461
2007-10-30,81.84,84.77,79.43,82.55,44955974
2007-10-31,82.97,86.12,82.69,84.26,25118651
2007-11-01,86.34,86.99,81.7,82.38,28480784
2007-11-02,79.4,84.38,78.75,83.87,18000957
2007-11-05,83.81,87.47,83.31,85.58,21843644
2007-11-06,87.08,92.19,85.53,86.71,46057670
2007-11-07,88.31,89.55,83.53,85.44,18896147
2007-11-08,83.25,86.26,82.13,83.98,15744672
2007-11-09,87.19,87.19,82.52,83.64,4863716
2007-11-12,81.45,87.53,79.23,86.01,19773981
2007-11-13,87.47,89.83,84.68,88.06,24654680
2007-11-14,89.61,90.84,86.46,86.91,20665456
2007-11-15,88.54,89.92,86.71,88.37,16448771
2007-11-16,87.98,89.75,86.74,87.75,10628606
2007-11-19,89.75,94.22,89.07,90.93,22903160
2007-11-20,90.56,93.09,88.43,89.52,14817475
2007-11-21,90.06,90.59,80.55,82.55,15083160
2007-11-22,81.68,84.99,76.25,79.71,19179109
2007-11-23,84.94,85.5,80.21,84.99,15561055
2007-11-26,88.14,88.14,84.99,85.67,11339510
2007-11-27,87.13,87.13,82.69,83.56,11572427
2007-11-28,85.39,85.78,81.76,82.32,9244865
2007-11-29,84.38,84.83,79.06,80.1,14361173
2007-11-30,81.56,83.7,80.44,83.19,10371221
2007-12-03,84.21,85.42,83.56,84.38,9478818
2007-12-04,84.94,85.64,82.66,83.28,7879911
2007-12-05,83.42,86.91,83.25,86.6,15595480
2007-12-06,88.48,89.8,83.9,84.99,13558903
2007-12-07,85.53,86.74,83.11,84.63,6605094
2007-12-10,85.44,85.75,83.62,84.71,4685632
2007-12-11,85.47,85.95,83.9,84.32,6573349
2007-12-12,83.25,85.02,82.69,84.26,9192451
2007-12-13,84.85,85.5,82.52,82.86,8230435
2007-12-14,82.58,83.33,81.62,82.04,6182918
2007-12-17,82.52,82.97,75.94,77.09,10887572
2007-12-18,76.22,79.31,74.36,76.75,12154381
2007-12-19,79.23,79.9,74.7,75.35,10983891
2007-12-20,76.33,76.95,74.25,74.59,9621680
2007-12-24,75.71,78.08,75.09,76.87,9400232
2007-12-26,77.29,80.16,77.29,79.2,11773181
2007-12-27,80.83,81.96,79.09,79.76,25067975
2007-12-28,79.59,80.72,78.75,80.38,10324419
2007-12-31,81.0,81.45,79.99,80.97,6740050
2008-01-01,81.39,83.22,80.63,82.46,9386860
2008-01-02,82.46,83.08,80.8,82.01,7558472
2008-01-03,81.51,85.73,80.52,85.39,17896065
2008-01-04,86.63,87.75,84.38,84.94,15756366
2008-01-07,84.4,86.18,83.33,84.23,8920163
2008-01-08,84.32,85.5,80.38,81.37,7471502
2008-01-09,81.45,81.82,79.88,80.07,7376361
2008-01-10,80.44,82.69,77.63,78.16,10137942
2008-01-11,79.23,80.1,76.22,79.34,6541562
