date,open,high,low,close,volume
2022-10-19,195.31,195.31,185.55,185.55,5394967
2022-10-20,176.27,176.27,176.27,176.27,1670766
2022-10-21,167.48,167.48,167.48,167.48,285871
2022-10-24,165.53,175.34,159.13,161.03,1969472
2022-10-25,153.03,169.04,153.03,167.38,10174279
2022-10-27,162.26,165.92,159.03,159.03,7511338
2022-10-28,152.88,158.89,151.12,154.74,10787437
2022-10-31,147.46,162.45,147.46,161.03,8209269
2022-11-01,159.52,168.65,153.86,155.27,49925050
2022-11-02,159.18,163.04,158.45,163.04,10183764
2022-11-03,162.99,174.76,156.59,170.9,23472945
2022-11-04,170.9,173.44,164.4,165.62,5720073
2022-11-07,167.28,167.97,157.32,160.06,6768484
2022-11-09,152.34,157.23,151.61,152.93,6379471
2022-11-10,151.37,153.71,132.81,139.6,15240202
2022-11-11,141.55,143.16,134.86,137.4,4143529
2022-11-14,138.67,140.33,135.01,136.23,2584642
2022-11-15,137.26,138.38,135.25,135.99,2190221
2022-11-16,136.08,137.5,130.13,130.66,4086202
2022-11-17,130.71,131.84,122.27,123.68,5253324
2022-11-18,124.85,135.99,123.05,132.86,7067483
2022-11-21,133.74,137.11,130.18,130.81,4423728
2022-11-22,131.54,132.13,125.24,125.73,3057948
2022-11-23,126.46,130.61,126.37,130.03,2398090
2022-11-24,130.86,131.93,128.81,129.54,1172359
2022-11-25,129.88,134.57,129.44,130.47,2075897
2022-11-28,131.44,133.35,128.56,129.0,2747229
2022-11-29,129.39,137.11,129.39,132.52,4268467
2022-11-30,132.67,133.3,130.42,131.15,2457548
2022-12-01,131.84,142.38,130.71,134.72,9988418
2022-12-02,135.4,138.96,133.74,137.5,2299740
2022-12-05,138.28,140.48,137.26,138.72,2267457
2022-12-06,138.72,140.04,133.74,133.94,3034834
2022-12-07,134.57,135.2,130.18,131.4,1742964
2022-12-08,131.69,133.5,128.91,129.64,2570548
2022-12-09,129.88,132.03,128.03,128.66,1850244
2022-12-12,128.86,132.23,127.93,131.1,1611507
2022-12-13,131.25,131.79,128.81,129.0,1518980
2022-12-14,129.39,130.66,128.42,128.71,1809906
2022-12-15,129.1,129.88,126.37,126.86,2758537
2022-12-16,127.34,127.34,124.12,124.76,1693379
2022-12-19,125.0,125.73,123.05,123.63,1206950
2022-12-20,124.17,124.41,121.63,122.46,1805758
2022-12-21,123.1,124.95,118.6,118.9,3603810
2022-12-22,119.14,122.95,118.16,118.55,2650897
2022-12-23,118.16,119.92,110.4,111.82,2946083
2022-12-26,112.3,115.48,111.38,113.87,2293883
2022-12-27,114.79,115.82,112.99,113.33,1808800
2022-12-28,113.92,113.92,111.62,111.82,1576833
2022-12-29,111.86,114.94,110.55,113.82,2508707
2022-12-30,114.4,115.97,111.72,111.96,2216725
2023-01-02,112.74,120.36,111.96,119.63,4005568
2023-01-03,121.39,123.63,120.56,121.0,3860192
2023-01-04,120.95,120.95,115.97,117.09,2972048
2023-01-05,117.68,117.97,115.23,115.92,1662280
2023-01-06,116.41,116.45,111.91,112.99,2247804
2023-01-09,113.48,116.21,113.48,114.06,2417325
2023-01-10,114.45,117.68,114.11,116.26,5246471
2023-01-11,116.94,118.07,113.53,113.96,3541304
2023-01-12,113.92,114.89,112.55,113.18,2035069
2023-01-13,113.62,115.62,113.28,114.65,1300848
2023-01-16,114.55,116.6,112.7,113.72,1935195
2023-01-17,113.92,114.65,111.77,112.74,979636
2023-01-18,113.33,113.87,112.3,112.6,919609
2023-01-19,112.01,112.7,110.06,110.64,1515700
2023-01-20,109.57,113.43,109.57,110.25,1729786
2023-01-23,110.79,111.18,107.52,108.69,1809951
2023-01-24,108.94,109.57,106.2,107.37,1813320
2023-01-25,106.45,107.42,104.39,105.76,1288115
2023-01-27,105.76,105.76,99.51,100.44,2677180
2023-01-30,100.29,102.78,99.02,99.61,3386768
2023-01-31,99.61,104.98,99.61,102.49,5122152
2023-02-01,103.22,103.32,97.46,98.1,1964984
2023-02-02,98.1,101.56,96.78,97.66,1994647
2023-02-03,97.75,100.88,95.02,98.24,2187288
2023-02-06,98.73,100.05,96.92,97.95,2142842
2023-02-07,98.14,98.58,95.02,95.75,1950506
2023-02-08,96.24,97.36,95.41,96.87,2142158
2023-02-09,92.77,92.77,85.5,87.26,12169589
2023-02-10,87.3,90.62,80.66,86.33,18349233
2023-02-13,88.04,89.11,83.35,83.84,4185219
2023-02-14,83.98,84.77,82.57,83.69,2358110
2023-02-15,83.54,85.69,83.5,84.72,1838760
2023-02-16,85.35,90.14,82.71,89.26,6771804
2023-02-17,89.26,92.68,88.13,89.21,4933334
2023-02-20,88.92,89.55,86.23,86.67,1893543
2023-02-21,87.01,87.06,83.69,84.52,2542984
2023-02-22,83.98,84.18,81.93,82.13,2232518
2023-02-23,82.13,82.62,80.32,81.1,1530588
2023-02-24,81.54,81.93,79.78,80.42,1506772
2023-02-27,80.37,80.37,77.15,77.93,3736554
2023-02-28,78.17,78.76,76.46,76.95,1681395
2023-03-01,77.05,79.39,76.42,78.08,2304426
