date,open,high,low,close,volume
2003-09-05,28.5,28.63,28.0,28.22,409
2003-09-08,28.0,28.93,28.0,28.36,194
2003-09-09,28.48,29.0,28.0,28.76,747
2003-09-10,29.23,29.23,28.38,28.75,103
2003-09-11,29.0,29.5,29.0,29.01,60
2003-09-12,29.08,29.08,28.5,28.75,666
2003-09-15,28.65,28.85,28.5,28.85,372
2003-09-16,28.01,28.9,28.01,28.88,409
2003-09-17,28.66,28.75,28.01,28.75,58
2003-09-18,27.66,28.75,27.66,28.46,563
2003-09-19,28.65,28.9,28.65,28.88,560
2003-09-22,30.0,30.0,28.26,28.45,74
2003-09-23,29.27,29.27,28.75,28.75,14
2003-09-24,28.15,29.15,28.14,29.0,67
2003-09-25,29.0,29.0,28.75,28.89,50
2003-09-26,29.08,29.87,29.0,29.51,2337
2003-09-29,29.75,30.75,29.75,30.69,1090
2003-09-30,30.75,31.23,30.75,30.92,349
2003-10-01,30.5,31.79,28.0,29.48,1783
2003-10-03,30.95,32.38,30.0,30.9,2082
2003-10-06,32.25,33.64,32.18,33.49,610
2003-10-07,33.76,34.0,32.5,32.75,784
2003-10-08,32.51,33.25,32.2,32.33,732
2003-10-09,32.29,32.5,32.0,32.21,128
2003-10-10,32.6,32.6,31.88,32.07,343
2003-10-13,32.25,32.25,31.88,32.0,54
2003-10-14,32.25,32.25,31.63,31.67,107
2003-10-15,31.88,32.0,31.5,31.8,193
2003-10-16,31.63,32.03,31.5,31.76,395
2003-10-17,31.58,31.61,31.18,31.36,416
2003-10-20,31.63,32.0,31.0,31.0,286
2003-10-21,31.0,31.1,30.75,30.98,214
2003-10-22,31.0,31.0,29.56,30.15,277
2003-10-23,30.75,30.75,29.78,29.91,40
2003-10-24,27.55,30.99,27.55,30.21,293
2003-10-25,30.61,31.5,30.51,31.33,243
2003-10-27,31.85,32.0,30.8,31.39,168
2003-10-28,31.93,31.93,30.77,30.91,290
2003-10-29,31.0,31.0,30.95,30.98,162
2003-10-30,31.0,31.13,30.68,30.81,896
2003-10-31,31.0,31.0,30.75,31.0,850
2003-11-03,31.25,33.53,31.25,33.32,1502
2003-11-04,33.5,33.83,32.95,33.55,1096
2003-11-05,33.9,35.0,33.34,34.97,1288
2003-11-06,35.65,37.25,35.0,35.37,1320
2003-11-07,36.1,37.15,35.55,35.65,8281
2003-11-10,36.0,36.0,34.7,34.94,1782
2003-11-11,35.25,36.39,35.0,36.18,8906
2003-11-12,36.85,38.75,36.0,37.54,40628
2003-11-13,37.95,38.7,36.7,37.07,16949
2003-11-14,36.61,37.85,36.3,36.66,9306
2003-11-15,36.6,37.58,36.5,37.08,660
2003-11-17,37.5,37.5,36.5,36.92,5388
2003-11-18,37.0,37.38,34.75,35.07,6992
2003-11-19,34.7,35.8,31.8,35.47,4625
2003-11-20,35.5,36.2,34.95,35.2,19183
2003-11-21,34.8,34.8,34.13,34.34,2738
2003-11-24,34.05,34.94,34.05,34.62,880
2003-11-25,34.6,35.15,34.6,34.86,3102
2003-11-27,36.0,36.25,35.1,35.52,3689
2003-11-28,36.25,36.25,34.75,35.9,3248
2003-12-01,36.0,36.0,35.0,35.16,4159
2003-12-02,35.25,35.6,34.75,35.2,4810
2003-12-03,35.25,35.98,35.2,35.75,4896
2003-12-04,35.3,36.05,35.01,35.84,15171
2003-12-05,36.95,37.5,35.75,35.84,6334
2003-12-08,34.75,35.75,33.75,34.94,4372
2003-12-09,35.0,35.75,34.75,35.49,5329
2003-12-10,36.75,36.79,35.55,36.55,10894
2003-12-11,35.33,36.65,35.33,35.83,9846
2003-12-12,36.4,36.4,35.55,36.14,14981
2003-12-15,36.5,36.83,35.85,36.67,11153
2003-12-16,36.0,37.5,36.0,36.83,6938
2003-12-17,36.87,37.5,36.87,37.01,6781
2003-12-18,36.0,39.25,36.0,38.98,17273
2003-12-19,37.55,39.75,37.55,38.91,6166
2003-12-22,39.5,39.5,38.5,38.98,5896
2003-12-23,38.5,39.5,38.0,38.51,3080
2003-12-24,38.44,39.5,38.4,38.62,2064
2003-12-26,36.3,40.6,36.3,40.22,7610
2003-12-29,44.0,44.0,41.31,42.85,14562
2003-12-30,44.25,44.25,40.05,41.16,8708
2003-12-31,40.6,42.75,40.6,41.38,4968
2004-01-01,42.0,42.7,41.0,41.34,4071
2004-01-02,42.5,42.6,41.5,42.09,9355
2004-01-05,39.05,42.5,39.05,41.81,6144
2004-01-06,42.05,44.0,40.06,41.34,12410
2004-01-07,41.1,41.7,40.8,41.15,7680
2004-01-08,41.1,43.0,41.1,41.59,2327
2004-01-09,42.0,42.9,41.5,41.77,7267
2004-01-12,39.4,44.25,39.15,43.56,13263
2004-01-13,44.2,44.2,42.15,43.05,3777
2004-01-14,43.9,43.9,42.26,43.57,9723
2004-01-15,43.6,44.75,42.75,43.05,13460
2004-01-16,43.9,43.9,40.05,41.18,6171
2004-01-19,41.0,41.75,39.55,41.01,5343
2004-01-20,41.5,41.75,39.5,39.93,6594
2004-01-21,40.5,40.75,39.25,40.02,14190
2004-01-22,40.15,40.2,37.65,39.88,5162
2004-01-23,40.0,41.1,39.05,40.99,9300
2004-01-27,41.0,42.4,40.25,40.5,5986
2004-01-28,40.33,41.15,40.25,40.36,5358
2004-01-29,41.25,41.25,39.75,39.86,1580
2004-01-30,40.95,41.2,38.75,39.09,2191
2004-02-03,38.81,39.0,36.25,36.5,2322
2004-02-04,37.85,39.0,36.26,38.84,3543
2004-02-05,39.0,40.5,36.7,39.06,4593
2004-02-06,39.95,39.95,38.25,39.5,2257
2004-02-09,35.15,39.55,35.15,38.43,1699
2004-02-10,39.0,39.3,38.43,38.45,2183
2004-02-11,38.86,40.75,38.85,40.56,3103
2004-02-12,40.75,41.5,40.5,40.82,2521
2004-02-13,40.33,42.0,40.25,41.32,6731
2004-02-16,42.3,43.6,42.0,43.22,5936
2004-02-17,44.75,44.75,42.67,43.34,2296
2004-02-18,44.5,44.5,43.11,43.47,5736
2004-02-19,43.35,43.5,41.96,42.06,4148
2004-02-20,41.05,49.0,41.05,43.29,7618
2004-02-23,43.45,43.5,41.0,41.81,1449
2004-02-24,40.61,41.65,40.61,40.87,1467
2004-02-25,41.7,42.1,40.85,41.7,3216
2004-02-26,42.0,42.0,41.0,41.15,2873
2004-02-27,41.05,41.4,40.25,41.01,3146
2004-03-01,40.75,41.72,40.51,41.51,5310
2004-03-03,42.32,42.5,41.28,41.5,3711
2004-03-04,41.5,42.45,41.5,42.19,11675
2004-03-05,42.2,42.63,42.02,42.49,4208
2004-03-08,42.0,42.65,42.0,42.25,428
2004-03-09,42.25,42.3,41.25,41.27,1235
2004-03-10,41.28,41.6,41.0,41.25,1595
2004-03-11,41.25,42.72,41.15,41.87,1861
2004-03-12,40.56,41.35,40.35,41.01,719
2004-03-15,40.55,40.55,38.75,39.11,1798
2004-03-16,39.0,39.45,37.5,37.77,585
2004-03-17,39.0,39.56,39.0,39.29,623
2004-03-18,39.28,40.75,39.25,39.36,2547
2004-03-19,38.26,39.0,38.26,38.5,568
2004-03-22,38.45,38.45,37.5,37.75,4568
2004-03-23,37.5,38.0,36.75,37.96,3325
2004-03-24,36.75,39.5,36.75,38.01,2246
2004-03-25,37.0,38.5,37.0,38.3,109
2004-03-26,36.25,38.5,36.25,37.53,1694
2004-03-29,37.5,38.1,37.5,37.85,2025
2004-03-30,38.25,39.9,37.86,38.75,5297
2004-03-31,39.6,39.8,37.75,38.09,733
2004-04-01,39.75,40.51,38.0,40.37,2729
2004-04-02,40.3,40.75,39.3,39.63,536
2004-04-05,40.0,41.25,40.0,40.26,1123
2004-04-06,40.25,40.75,39.4,39.42,1701
2004-04-07,39.25,40.4,39.25,40.02,839
2004-04-08,39.43,40.6,39.25,39.88,900
2004-04-12,40.0,40.75,39.8,40.75,1943
2004-04-13,40.0,40.75,39.81,40.35,643
2004-04-15,40.7,42.0,40.26,41.84,42379
2004-04-16,42.5,42.5,38.15,41.23,1813
2004-04-17,41.5,42.75,41.5,42.52,522
2004-04-19,42.5,42.5,41.25,41.42,1962
2004-04-20,40.76,42.5,40.76,42.13,1005
2004-04-21,42.45,43.5,41.75,42.27,2475
2004-04-22,42.01,43.3,42.01,43.07,2406
2004-04-23,43.72,45.5,42.5,43.34,6750
2004-04-27,42.5,42.5,40.06,40.23,2694
2004-04-28,40.05,42.25,40.05,41.32,4401
2004-04-29,41.0,42.25,41.0,42.19,2267
2004-04-30,42.0,43.0,41.8,42.51,3337
2004-05-03,41.5,44.9,40.51,42.93,1570
2004-05-04,42.5,48.25,42.5,47.33,8162
2004-05-05,43.07,47.9,43.07,46.87,4260
2004-05-06,46.08,48.0,45.01,45.96,8195
2004-05-07,45.0,45.55,44.06,44.57,887
2004-05-10,44.0,44.0,42.75,43.31,1410
2004-05-11,42.28,42.5,41.58,41.68,1111
2004-05-12,40.96,41.8,40.75,40.98,1868
2004-05-13,41.0,42.25,39.25,40.51,4641
2004-05-14,40.2,40.5,34.55,35.73,4143
2004-05-17,33.75,33.75,30.0,31.6,2077
2004-05-18,31.6,35.85,31.6,34.62,7853
2004-05-19,36.75,37.26,35.55,36.67,2684
2004-05-20,37.4,37.5,35.75,36.15,1263
2004-05-21,35.5,39.0,35.0,37.06,1513
2004-05-24,37.75,37.75,35.18,35.78,2008
2004-05-25,35.75,36.2,34.75,35.89,2755
2004-05-26,37.0,37.25,35.5,36.28,4437
2004-05-27,36.5,36.74,36.0,36.05,750
2004-05-28,37.0,37.0,34.26,35.08,10956
2004-05-31,32.85,34.95,31.76,33.85,2679
2004-06-01,34.95,35.0,32.88,34.1,1339
2004-06-02,34.11,34.4,33.15,33.61,2882
2004-06-03,33.7,34.65,32.0,32.57,2259
2004-06-04,33.25,33.25,31.5,32.03,1950
2004-06-07,33.65,33.75,32.6,32.96,98
2004-06-08,33.15,33.9,30.26,33.42,228
2004-06-09,32.85,33.65,32.25,32.31,473
2004-06-10,32.85,33.5,32.66,32.95,70
2004-06-11,32.9,33.22,32.3,32.74,505
2004-06-14,32.25,32.45,30.75,32.32,1634
2004-06-15,32.0,32.5,31.75,32.44,3707
2004-06-16,32.1,33.25,32.0,32.59,1594
2004-06-17,32.6,32.7,31.95,32.69,3393
2004-06-18,33.0,33.0,31.5,31.84,1335
2004-06-21,32.8,33.0,31.35,31.45,702
2004-06-22,31.75,31.75,30.55,31.02,575
2004-06-23,31.6,31.75,30.25,30.4,1702
2004-06-24,30.25,30.45,29.81,30.28,1843
2004-06-25,34.0,34.0,30.9,31.45,922
2004-06-28,31.95,32.75,31.25,32.3,763
2004-06-29,31.5,32.0,31.0,31.85,1407
2004-06-30,31.25,36.75,31.25,33.54,2725
2004-07-01,32.06,35.0,32.05,34.35,962
2004-07-02,34.4,34.75,32.88,34.23,693
2004-07-05,32.9,34.25,32.85,34.1,573
2004-07-06,33.0,34.0,32.65,33.06,860
2004-07-07,34.15,34.15,32.55,32.7,615
2004-07-08,32.25,33.2,30.1,30.62,1133
2004-07-09,33.1,33.3,31.5,32.28,329
2004-07-12,32.5,33.0,31.3,32.95,276
2004-07-13,33.0,33.49,32.3,32.5,2460
2004-07-14,32.5,33.05,31.4,31.67,1726
2004-07-15,31.78,32.2,31.45,32.1,2939
2004-07-16,32.45,32.75,31.85,32.5,344
2004-07-19,31.55,32.25,31.5,31.56,743
2004-07-20,32.0,32.25,31.06,31.56,1054
2004-07-21,31.95,31.95,31.26,31.34,223
2004-07-22,31.13,32.2,30.0,31.65,3320
2004-07-23,32.23,32.35,32.15,32.24,524
2004-07-26,32.45,32.93,32.45,32.59,940
2004-07-27,32.5,32.65,32.0,32.47,589
2004-07-28,32.0,32.8,32.0,32.61,1148
2004-07-29,32.06,32.7,31.5,32.48,674
2004-07-30,32.5,33.15,32.4,32.67,386
2004-08-02,32.25,32.5,32.01,32.36,1084
2004-08-03,32.5,35.7,32.5,34.58,3669
2004-08-04,35.25,35.25,34.0,34.84,1863
2004-08-05,34.5,35.2,33.75,34.85,1498
2004-08-06,35.0,36.0,34.03,34.85,1455
2004-08-09,32.51,36.0,32.51,35.66,699
2004-08-10,34.9,36.0,34.9,35.74,842
2004-08-11,34.81,35.55,34.51,34.78,471
2004-08-12,32.87,35.0,32.87,33.59,1188
2004-08-13,33.34,35.5,33.31,35.25,2789
2004-08-16,35.75,36.0,34.67,35.84,859
2004-08-17,35.75,36.75,35.75,36.48,5077
2004-08-18,37.45,37.45,36.51,36.77,1518
2004-08-19,37.0,40.15,36.68,39.76,5430
2004-08-20,39.75,41.2,38.75,40.65,5002
2004-08-23,40.5,40.55,39.5,40.1,4961
2004-08-24,40.0,41.0,40.0,40.71,2303
2004-08-25,41.1,41.2,40.05,40.24,1339
2004-08-26,40.1,40.75,37.89,40.03,3137
2004-08-27,40.35,40.75,39.75,40.31,1838
2004-08-30,40.75,42.3,40.75,41.87,1370
2004-08-31,41.1,42.1,41.05,41.85,1643
2004-09-01,41.15,42.35,41.05,41.93,5393
2004-09-02,42.95,42.95,41.93,42.01,4266
2004-09-03,41.75,43.25,40.4,41.5,4682
2004-09-06,40.75,42.1,40.75,41.4,2537
2004-09-07,41.5,41.7,40.8,40.85,4017
2004-09-08,41.25,41.75,40.89,41.53,1105
2004-09-09,41.95,45.0,41.5,42.83,11511
2004-09-10,43.65,43.8,42.57,42.76,3303
2004-09-13,42.58,42.75,42.01,42.47,17566
2004-09-14,42.01,42.5,41.99,42.42,1435
2004-09-15,43.7,43.73,42.76,42.99,4381
2004-09-16,42.95,43.8,42.95,43.18,1201
2004-09-17,43.3,45.05,43.3,43.98,7838
2004-09-20,43.75,44.0,43.5,43.53,1683
2004-09-21,44.0,44.0,43.25,43.56,693
2004-09-22,43.7,45.0,43.5,44.51,3922
2004-09-23,43.0,44.5,42.63,42.88,2206
2004-09-24,42.3,43.59,42.3,43.19,1563
2004-09-27,43.5,44.0,42.25,42.84,3117
2004-09-28,43.7,43.72,42.0,42.02,1081
2004-09-29,41.81,42.7,41.8,42.61,375
2004-09-30,43.0,43.0,41.81,42.45,1696
2004-10-01,42.63,42.95,41.8,42.02,2573
2004-10-04,42.05,43.45,41.66,43.1,15424
2004-10-05,43.0,43.75,42.6,42.79,7407
2004-10-06,43.45,45.45,43.25,43.48,6133
2004-10-07,42.75,45.37,42.75,44.46,16697
2004-10-08,45.5,48.75,45.18,46.98,11615
2004-10-09,47.5,48.0,47.12,47.4,635
2004-10-11,47.5,48.25,46.55,46.78,2000
2004-10-12,46.55,47.5,44.78,45.05,966
2004-10-14,44.85,47.0,44.13,45.25,2378
2004-10-15,44.5,45.7,44.25,44.51,9598
2004-10-18,46.2,46.2,43.5,43.77,1906
2004-10-19,43.05,44.87,43.05,44.5,10134
2004-10-20,44.5,44.5,44.0,44.04,7231
2004-10-21,44.45,44.48,43.91,43.95,934
2004-10-25,43.75,43.75,41.7,42.19,1980
2004-10-26,42.25,44.95,41.84,42.3,1113
2004-10-27,43.5,43.5,42.3,42.59,22645
