date,open,high,low,close,volume
2007-02-15,13.0,17.44,11.3,16.37,37494246
2007-02-19,17.0,19.13,16.36,16.66,12319885
2007-02-20,16.9,17.55,15.91,16.24,6769066
2007-02-21,16.5,17.19,16.21,16.72,4899541
2007-02-22,17.0,17.04,16.31,16.41,2049078
2007-02-23,16.5,16.5,13.42,14.42,3402788
2007-02-26,14.2,15.09,13.83,14.52,1696927
2007-02-27,14.6,16.93,14.11,16.23,6678108
2007-02-28,15.37,15.88,13.83,14.98,1662896
2007-03-01,15.09,16.14,14.73,15.02,1906388
2007-03-02,15.19,15.69,14.43,14.74,1116007
2007-03-05,13.7,14.49,12.53,13.17,1017232
2007-03-06,13.77,14.2,12.31,12.69,1842145
2007-03-07,12.71,13.45,11.87,12.67,1389196
2007-03-08,13.12,13.43,11.87,13.23,1435407
2007-03-09,13.4,13.48,12.56,12.96,599080
2007-03-12,12.9,14.77,12.75,14.22,1555452
2007-03-13,14.1,14.84,13.88,14.41,949583
2007-03-14,13.05,13.65,12.89,13.36,439539
2007-03-15,13.4,14.45,13.4,13.67,516732
2007-03-16,13.88,14.79,13.79,14.07,1066751
2007-03-19,14.29,14.55,13.95,14.07,213725
2007-03-20,14.15,15.05,13.9,14.1,1263132
2007-03-21,14.21,14.35,13.96,14.05,235743
2007-03-22,14.16,14.5,14.11,14.15,289421
2007-03-23,14.4,14.4,13.03,13.75,299282
2007-03-26,13.9,14.07,13.42,13.47,153278
2007-03-28,13.0,13.7,13.0,13.54,203015
2007-03-29,13.7,13.88,13.2,13.52,112443
2007-03-30,13.52,13.99,13.51,13.7,206412
2007-04-02,12.8,13.5,12.8,13.17,58271
2007-04-03,13.25,13.75,13.2,13.53,272045
2007-04-04,13.7,13.85,13.5,13.51,53932
2007-04-05,13.1,14.19,13.1,13.93,196782
2007-04-09,13.93,14.3,13.93,14.0,72993
2007-04-10,14.02,14.18,13.61,13.77,54980
2007-04-11,13.82,14.34,13.71,13.78,133545
2007-04-12,14.1,14.18,13.65,13.99,74909
2007-04-13,14.0,15.13,12.5,14.68,594888
2007-04-16,14.97,14.97,14.21,14.37,252006
2007-04-17,14.46,15.55,14.36,14.73,880051
2007-04-18,14.8,15.05,14.26,14.39,155378
2007-04-19,14.35,14.37,14.02,14.12,67436
2007-04-20,14.6,14.6,14.1,14.17,75331
2007-04-23,14.2,14.65,13.75,13.89,82251
2007-04-24,16.0,16.0,13.7,14.08,136701
2007-04-25,14.15,14.59,14.1,14.4,99852
2007-04-26,16.5,16.5,14.0,14.48,182936
2007-04-27,14.74,14.89,14.22,14.61,174948
2007-04-30,14.6,15.25,14.42,14.67,459730
2007-05-03,14.99,15.25,13.9,14.56,152527
2007-05-04,14.56,15.3,14.2,14.72,344265
2007-05-07,14.79,15.22,14.66,15.07,166665
2007-05-08,15.2,17.8,15.1,16.88,4223109
2007-05-09,16.9,17.59,16.61,16.88,3512984
2007-05-10,17.2,17.27,15.73,16.08,784448
2007-05-11,15.7,18.19,15.53,17.3,3541934
2007-05-14,17.42,18.7,17.32,17.93,2491390
2007-05-15,17.85,18.69,17.53,17.76,1426159
2007-05-16,17.9,19.26,17.84,18.34,2534345
2007-05-17,18.41,18.8,17.6,17.71,752870
2007-05-18,18.6,18.6,17.12,17.32,885019
2007-05-21,17.5,18.08,17.4,17.56,403431
2007-05-22,17.65,17.75,17.22,17.31,313295
2007-05-23,17.5,19.15,17.35,18.27,2243397
2007-05-24,17.5,18.63,17.5,18.29,905695
2007-05-25,18.11,20.13,17.73,19.51,3811753
2007-05-28,19.9,20.34,19.13,19.44,1487762
2007-05-29,19.59,21.38,19.2,21.38,2825663
2007-05-30,21.7,23.52,20.8,23.5,5723726
