date,open,high,low,close,volume
2002-01-01,55.73,56.46,55.31,55.75,688738
2002-01-02,55.58,55.93,55.02,55.5,684042
2002-01-03,55.75,56.11,53.97,54.19,1578252
2002-01-04,55.02,59.54,54.47,58.69,4477725
2002-01-07,58.31,60.42,58.0,58.49,3036656
2002-01-08,58.69,59.41,57.69,58.1,1644880
2002-01-09,58.49,61.33,57.78,60.02,6239242
2002-01-10,60.34,61.17,58.79,59.34,2451508
2002-01-11,59.77,61.24,58.14,59.74,3018935
2002-01-14,60.5,62.88,58.9,59.54,4686848
2002-01-15,59.39,60.12,58.56,59.0,1655750
2002-01-16,59.43,59.68,57.78,58.54,1298119
2002-01-17,57.95,59.03,57.68,58.26,1953116
2002-01-18,60.3,60.3,56.39,56.96,2320552
2002-01-21,57.21,57.71,56.85,57.1,1061274
2002-01-22,57.03,58.27,56.49,57.14,1959952
2002-01-23,57.03,57.93,56.8,57.52,1175520
2002-01-24,57.67,57.95,56.94,57.31,841987
2002-01-25,57.57,57.58,57.03,57.54,611098
2002-01-28,57.76,59.22,57.15,57.48,2349800
2002-01-29,57.76,58.21,57.38,57.87,1500965
2002-01-30,57.56,58.13,56.52,57.41,1422524
2002-01-31,58.68,58.68,54.4,54.86,6775563
2002-02-01,54.96,55.82,54.49,54.96,4465761
2002-02-04,56.03,56.03,54.23,55.35,1917274
2002-02-05,54.47,55.2,53.39,53.72,3275195
2002-02-06,53.92,54.38,53.07,53.32,4391361
2002-02-07,53.38,58.11,53.37,56.29,8115843
2002-02-08,56.3,57.49,55.97,56.88,4273563
2002-02-11,57.4,57.95,56.14,56.41,2429376
2002-02-12,56.67,57.49,56.25,56.52,2890325
2002-02-13,56.67,57.21,56.53,56.67,3385204
2002-02-14,57.1,57.84,56.68,56.95,2006829
2002-02-15,57.21,58.46,56.88,57.69,4975464
2002-02-18,58.13,58.82,57.82,58.26,3554275
2002-02-19,58.53,59.04,58.22,58.65,2857535
2002-02-20,58.04,58.21,57.24,57.95,1847756
2002-02-21,58.2,58.68,57.12,57.47,1412393
2002-02-22,57.21,57.64,57.14,57.56,833250
2002-02-25,57.62,57.9,57.21,57.52,864010
2002-02-26,58.02,59.22,57.69,58.74,2888459
2002-02-27,59.22,60.37,58.17,59.54,7214216
2002-02-28,59.74,60.2,55.76,56.27,5975319
2002-03-01,56.3,59.35,55.8,58.91,4515666
2002-03-04,61.05,62.15,57.03,57.33,11341344
2002-03-05,58.31,58.38,57.05,57.35,4373528
2002-03-06,56.3,58.77,56.01,56.24,3332257
2002-03-07,56.67,57.1,56.05,56.9,2191214
2002-03-08,57.01,57.49,55.87,56.11,1823928
2002-03-11,56.57,56.57,54.3,54.55,3978581
2002-03-12,54.64,54.74,53.28,53.42,2613070
2002-03-13,53.56,54.58,53.38,53.68,2769786
2002-03-14,54.3,54.55,53.8,54.38,1581664
2002-03-15,54.52,56.57,54.52,56.31,4210330
2002-03-18,56.79,57.18,55.77,56.06,2059788
2002-03-19,56.12,56.25,54.52,54.76,1633645
2002-03-20,55.02,55.72,54.56,55.52,2361710
2002-03-21,55.2,55.69,55.04,55.49,1151936
2002-03-22,54.82,55.68,54.31,55.53,1913748
2002-03-26,55.28,55.29,54.62,54.84,1259479
2002-03-27,55.37,55.46,53.9,54.86,2345581
2002-03-28,55.02,55.43,54.39,54.89,3009655
2002-04-01,55.14,56.35,54.71,55.23,2517677
2002-04-02,54.93,55.61,54.93,55.49,1501937
2002-04-03,55.47,55.47,54.39,54.65,1054076
2002-04-04,54.93,58.48,54.93,55.82,9876960
2002-04-05,55.98,56.85,55.75,55.88,3322935
2002-04-08,56.16,56.34,55.21,55.39,1721676
2002-04-09,55.48,55.6,54.69,54.87,1413186
2002-04-10,54.84,55.24,53.81,54.15,2669631
2002-04-11,54.5,54.92,53.98,54.21,807700
2002-04-12,54.26,54.8,54.02,54.52,1022282
2002-04-15,54.47,54.81,53.62,53.82,648078
2002-04-16,53.74,53.99,52.53,52.84,1507968
2002-04-17,53.35,53.45,52.76,53.02,938150
2002-04-18,53.38,54.06,53.19,53.44,1930976
2002-04-19,53.48,54.65,51.59,52.04,1922269
2002-04-22,52.1,52.91,51.23,52.51,1757052
2002-04-23,52.68,53.85,52.31,53.23,3663176
2002-04-24,53.56,58.46,52.83,52.95,1200688
2002-04-25,53.1,53.17,52.13,52.46,1689884
2002-04-26,52.55,53.17,52.21,52.74,1129707
2002-04-29,52.83,52.83,49.84,50.32,4719600
2002-04-30,50.27,51.13,50.0,50.88,1688485
2002-05-02,51.9,52.28,51.46,51.98,1310034
2002-05-03,52.1,53.0,52.04,52.62,1732728
2002-05-06,52.65,53.19,52.58,52.95,1357613
2002-05-07,52.83,53.8,52.49,53.59,1204058
