date,open,high,low,close,volume
2018-07-02,76.0,89.8,76.0,85.32,49663840
2018-07-03,84.86,88.8,84.8,86.26,7408058
2018-07-04,86.4,86.66,82.0,82.6,3170177
2018-07-05,81.92,82.36,78.56,79.1,3264529
2018-07-06,78.0,81.56,77.96,78.86,1601560
2018-07-09,79.48,80.4,78.04,78.4,831185
2018-07-10,78.9,82.2,77.9,80.52,2932465
2018-07-11,80.38,83.32,80.0,80.34,1418616
2018-07-12,80.72,82.6,80.7,81.94,1165956
2018-07-13,81.8,82.5,79.74,80.08,578480
2018-07-16,80.18,80.56,77.6,77.9,479279
2018-07-17,78.0,78.64,76.86,77.72,450128
2018-07-18,78.22,80.36,77.24,79.0,888979
2018-07-19,79.32,80.14,77.24,78.56,465160
2018-07-20,78.46,78.78,77.34,78.02,239361
2018-07-23,78.32,80.2,78.1,79.24,449060
2018-07-24,79.18,80.8,78.98,80.1,512006
2018-07-25,80.12,82.96,80.12,82.26,1005731
2018-07-26,82.54,90.38,82.42,89.24,3887186
2018-07-27,90.4,107.08,88.04,105.86,10669062
2018-07-30,105.36,113.8,101.0,102.44,9100050
2018-07-31,102.28,106.0,98.2,99.88,4041538
2018-08-01,100.2,103.96,99.8,101.28,1811665
2018-08-02,101.94,103.9,100.4,102.86,1365515
2018-08-03,103.56,114.0,103.44,112.68,5673821
2018-08-06,113.8,116.18,110.12,112.54,2531653
2018-08-07,112.4,113.2,108.82,110.32,901354
2018-08-08,110.4,112.68,109.6,110.68,801327
2018-08-09,110.72,111.88,108.62,109.96,746790
2018-08-10,109.6,109.98,104.1,104.78,530509
2018-08-13,102.8,110.48,102.06,108.1,1410290
2018-08-14,109.04,111.08,107.46,108.78,682921
2018-08-16,108.4,115.94,106.86,114.2,1955810
2018-08-17,117.4,130.4,116.36,123.86,12132714
2018-08-20,124.4,127.56,123.0,123.96,4030172
2018-08-21,123.88,128.74,123.02,125.3,3610530
2018-08-23,125.68,127.38,124.08,125.98,1449630
2018-08-24,125.54,127.28,123.7,124.4,942779
2018-08-27,125.36,128.52,116.44,118.44,5398922
2018-08-28,119.6,121.6,116.84,117.36,1108155
2018-08-29,117.22,118.6,113.36,114.28,878478
2018-08-30,114.76,117.36,112.16,115.16,1000185
2018-08-31,115.88,116.88,113.64,114.24,475101
2018-09-03,114.8,115.4,111.38,111.96,500351
2018-09-04,112.0,112.76,104.0,105.64,950857
2018-09-05,105.64,107.8,98.0,100.84,1368130
2018-09-06,102.38,106.76,100.84,105.8,1438528
2018-09-07,105.96,106.14,103.16,104.4,544151
2018-09-10,106.3,110.0,106.3,107.82,1524667
2018-09-11,108.9,109.2,104.0,104.4,519667
2018-09-12,104.4,105.0,98.0,101.42,911373
2018-09-14,102.6,104.94,102.2,103.16,496079
2018-09-17,103.86,103.9,100.0,101.36,692058
2018-09-18,101.84,102.28,98.54,99.06,460861
2018-09-19,103.76,104.76,99.6,101.48,1091413
2018-09-21,102.4,102.4,88.0,96.1,872631
2018-09-24,96.4,96.78,91.0,91.62,435673
2018-09-25,91.28,95.86,91.1,94.66,727094
2018-09-26,95.38,101.76,95.0,101.0,903474
2018-09-27,100.94,104.74,99.36,100.14,900297
2018-09-28,100.0,100.14,96.34,98.44,570944
2018-10-01,97.6,99.92,94.02,98.82,441712
2018-10-03,97.22,101.4,97.1,99.12,329241
2018-10-04,97.2,98.72,95.6,96.56,239549
2018-10-05,96.56,97.74,90.36,91.24,389031
2018-10-08,91.6,95.16,91.24,92.92,419687
2018-10-09,93.7,93.8,90.02,91.04,230992
2018-10-10,91.2,97.12,91.04,95.8,438584
2018-10-11,91.7,95.0,91.2,93.34,258218
2018-10-12,94.36,97.96,94.36,97.12,303453
2018-10-15,97.12,101.92,97.12,100.3,479464
2018-10-16,100.64,102.8,99.6,100.74,275864
2018-10-17,100.8,101.52,96.0,96.34,213116
2018-10-19,95.8,96.54,92.86,94.44,168221
2018-10-22,94.8,96.64,92.56,95.94,241856
2018-10-23,94.8,97.2,93.8,95.24,171984
2018-10-24,96.0,97.6,94.86,96.06,181395
2018-10-25,94.76,95.92,94.3,95.22,120061
2018-10-26,95.4,96.72,93.6,95.28,153308
2018-10-29,95.28,101.12,95.2,100.52,329759
2018-10-30,99.64,104.42,99.44,101.44,236677
2018-10-31,101.2,102.44,99.38,101.4,213518
2018-11-01,101.44,106.4,100.56,105.6,351992
2018-11-02,106.4,107.52,102.24,103.54,191477
2018-11-05,102.8,106.4,101.74,105.52,206825
2018-11-06,105.54,107.98,105.02,106.12,136377
2018-11-07,106.86,108.56,106.64,108.16,126853
2018-11-09,108.0,116.3,107.22,113.58,640379
2018-11-12,114.0,114.42,111.1,112.36,194470
2018-11-13,112.4,124.4,110.08,121.38,3212534
2018-11-14,125.6,128.64,122.6,126.04,2476344
2018-11-15,122.28,123.94,118.0,118.92,650868
2018-11-16,117.6,121.4,114.12,117.92,648034
2018-11-19,118.0,118.4,112.8,113.44,462170
2018-11-20,113.1,113.9,107.54,108.28,398927
2018-11-21,108.44,116.68,108.44,111.5,1023762
2018-11-22,112.0,112.56,108.64,109.24,335892
2018-11-26,109.56,114.0,106.94,107.9,475749
2018-11-27,107.8,110.2,107.8,109.52,285906
2018-11-28,109.92,110.3,106.44,107.04,246982
2018-11-29,108.0,109.56,106.5,107.0,191490
2018-11-30,107.16,109.16,106.0,106.66,181687
2018-12-03,107.32,109.02,106.96,107.4,182860
2018-12-04,107.12,112.98,106.46,109.28,891472
2018-12-05,108.4,109.92,106.84,107.66,209774
2018-12-06,107.08,109.4,107.04,108.38,328769
2018-12-07,108.6,110.0,108.14,109.4,258013
2018-12-10,107.2,108.0,104.46,105.18,126575
2018-12-11,104.0,109.48,103.62,108.48,272803
2018-12-12,108.78,111.94,108.78,109.12,288784
2018-12-13,110.42,113.6,109.14,109.6,420952
2018-12-14,109.58,110.7,106.84,107.18,231912
2018-12-17,107.92,117.96,107.9,115.2,1370639
2018-12-18,116.8,118.4,114.6,115.44,1025613
2018-12-19,115.68,115.7,112.52,113.48,287869
2018-12-20,112.8,118.8,112.28,117.92,764286
2018-12-21,118.0,119.08,112.8,115.1,1182150
2018-12-24,114.12,116.32,113.22,113.9,325774
2018-12-26,113.2,114.3,110.84,111.92,420481
2018-12-27,110.72,111.58,110.0,110.26,249535
2018-12-28,110.4,112.32,110.0,110.78,199865
2018-12-31,111.9,112.0,109.24,109.6,233354
2019-01-01,109.76,110.12,108.08,108.54,152850
2019-01-02,108.38,109.1,106.84,107.0,200299
2019-01-03,107.56,107.86,104.84,105.24,191883
2019-01-04,105.78,106.34,102.84,104.12,194957
2019-01-07,106.4,106.84,103.44,103.98,391635
2019-01-08,104.34,104.78,102.56,103.1,249064
2019-01-09,103.56,104.2,102.84,103.48,159540
2019-01-10,103.6,107.8,102.86,107.02,449646
2019-01-11,108.4,109.48,106.8,107.12,484672
2019-01-14,106.94,107.0,105.02,105.4,111321
2019-01-15,105.7,107.14,103.6,104.22,217712
2019-01-16,104.0,105.44,103.3,103.86,212887
2019-01-17,103.96,105.8,101.48,101.88,368857
2019-01-18,102.2,103.48,100.46,101.66,182115
2019-01-21,101.68,102.3,100.8,100.96,124996
2019-01-22,100.6,102.0,98.78,98.96,177270
2019-01-23,99.2,100.8,97.4,98.28,166181
2019-01-24,98.58,98.68,95.12,95.58,220820
2019-01-25,95.68,105.9,95.4,98.4,1533893
2019-01-28,98.2,101.08,95.48,96.02,324832
2019-01-29,95.3,96.84,92.8,93.78,392570
2019-01-30,94.18,100.38,94.18,96.78,840591
2019-01-31,97.7,99.02,96.88,97.5,333211
2019-02-01,97.9,98.72,94.38,96.0,287546
2019-02-04,95.92,95.92,91.6,91.94,313165
2019-02-05,92.4,95.5,91.76,92.28,404938
2019-02-06,92.76,93.9,91.02,92.14,240400
2019-02-07,92.1,93.5,91.52,91.98,211428
2019-02-08,92.5,93.1,91.02,91.36,185679
2019-02-11,91.36,91.5,88.02,88.16,344828
2019-02-12,89.1,90.8,84.8,85.3,1006612
2019-02-13,86.0,86.78,82.8,84.7,406902
2019-02-14,84.44,85.5,83.32,84.58,241703
2019-02-15,84.8,84.8,82.0,82.5,241765
2019-02-18,83.18,83.18,80.4,81.06,293771
2019-02-19,81.56,85.34,81.16,82.56,646273
2019-02-20,82.56,84.72,82.56,84.34,984516
2019-02-21,84.58,85.9,82.88,84.86,341644
2019-02-22,84.62,87.98,84.06,87.06,423276
2019-02-25,87.62,88.66,86.82,87.64,261734
2019-02-26,84.54,87.16,84.36,85.76,320329
2019-02-27,86.6,92.68,86.38,91.14,1028667
2019-02-28,90.4,96.76,90.4,94.18,2019605
2019-03-01,94.84,97.08,94.08,95.26,427418
2019-03-05,95.24,104.0,94.8,102.76,1096584
2019-03-06,103.8,105.92,100.86,101.4,438645
2019-03-07,101.72,103.46,98.54,102.06,356059
2019-03-08,101.2,105.4,100.58,103.16,597218
2019-03-11,103.58,105.94,103.2,104.74,654495
2019-03-12,105.8,107.88,104.84,107.42,638335
2019-03-13,107.6,109.6,105.5,105.88,538594
2019-03-14,105.6,109.16,105.6,106.84,682755
2019-03-15,107.22,109.8,106.88,108.94,515435
2019-03-18,109.58,111.0,106.94,107.86,515648
2019-03-19,107.98,108.78,106.88,107.6,384198
2019-03-20,107.04,107.1,104.04,104.28,310713
2019-03-22,103.6,103.6,101.44,102.6,287168
2019-03-25,100.92,101.16,97.72,98.9,223807
2019-03-26,100.8,102.4,99.34,100.56,333306
2019-03-27,100.8,103.18,100.56,102.66,262431
2019-03-28,102.94,103.98,102.08,102.66,188829
2019-03-29,103.36,105.92,102.5,103.98,368357
2019-04-01,104.66,105.36,102.68,102.92,174685
2019-04-02,103.02,103.66,101.42,102.0,167961
2019-04-03,102.02,103.16,99.2,99.72,258346
2019-04-04,100.0,100.1,96.84,98.44,192530
2019-04-05,98.98,99.98,98.4,98.78,191040
2019-04-08,99.2,99.2,97.2,97.38,110340
2019-04-09,97.56,98.32,96.44,97.78,126016
2019-04-10,97.48,102.0,96.98,101.02,297786
2019-04-11,102.0,104.72,102.0,102.84,1368373
2019-04-12,102.8,103.08,99.92,100.96,344020
2019-04-15,101.52,103.2,100.4,101.94,260396
2019-04-16,102.64,105.18,100.7,101.12,583538
2019-04-18,101.2,101.62,99.2,99.54,206613
2019-04-22,99.58,99.58,97.0,97.36,119483
2019-04-23,98.16,98.28,96.52,96.7,93203
2019-04-24,96.8,98.24,95.86,97.46,128060
2019-04-25,97.0,99.0,97.0,98.0,99140
2019-04-26,97.9,98.36,96.0,96.96,174173
2019-04-30,98.68,99.2,97.8,98.14,221125
2019-05-02,98.0,99.12,96.92,98.14,91909
2019-05-03,98.7,101.76,98.12,99.44,307740
2019-05-06,98.02,99.72,97.64,99.22,75012
2019-05-07,99.24,100.6,98.0,98.44,180277
2019-05-08,98.0,98.38,95.9,96.46,143000
2019-05-09,96.0,96.4,94.42,94.9,140946
2019-05-10,94.94,96.32,93.8,94.98,108836
2019-05-13,95.4,99.16,94.98,96.7,321248
2019-05-14,96.58,97.12,94.96,96.76,90193
2019-05-15,95.6,95.96,91.98,93.04,316762
2019-05-16,92.6,93.04,90.2,91.68,128236
2019-05-17,91.58,93.78,91.42,93.36,88552
2019-05-20,97.16,99.8,96.06,99.26,300362
2019-05-21,99.58,101.92,98.02,99.14,263644
2019-05-22,99.84,103.96,98.64,102.0,397652
2019-05-23,102.74,104.98,100.76,101.58,332993
2019-05-24,104.02,107.58,102.86,106.56,570865
2019-05-27,107.54,109.96,106.84,108.78,588633
2019-05-28,109.72,110.44,108.4,109.24,314270
2019-05-29,109.46,112.32,106.84,111.0,2251059
2019-05-30,112.46,114.76,110.92,113.3,1183363
2019-05-31,113.62,115.46,109.88,112.1,552692
2019-06-03,112.68,113.18,110.44,111.62,289734
2019-06-04,111.94,113.2,109.8,110.12,260346
2019-06-06,110.72,113.46,108.2,110.84,473984
2019-06-07,110.46,113.4,110.24,112.82,383875
2019-06-10,113.84,114.38,111.2,111.9,336471
2019-06-11,110.8,111.4,109.0,109.84,201105
2019-06-12,109.36,111.2,109.04,110.1,198055
2019-06-13,110.38,110.8,109.04,110.36,181819
2019-06-14,110.78,119.16,110.78,117.6,2266244
2019-06-17,118.76,120.56,114.2,117.14,1493778
2019-06-18,118.02,118.68,114.74,115.68,497792
2019-06-19,116.1,117.06,110.44,111.82,462586
2019-06-20,111.78,113.1,110.94,112.08,290687
2019-06-21,112.36,115.16,111.68,113.08,340476
2019-06-24,114.0,115.84,110.08,110.74,924069
2019-06-25,110.4,110.4,106.98,109.2,493539
2019-06-26,109.6,112.16,108.4,111.42,472039
2019-06-27,111.94,117.48,111.6,116.36,665034
2019-06-28,116.4,117.46,115.2,116.68,423199
2019-07-01,118.0,118.8,115.86,116.46,309055
2019-07-02,116.46,119.36,115.96,118.66,479102
2019-07-03,118.88,119.8,117.66,118.72,434394
2019-07-04,118.98,123.74,118.34,122.2,965314
2019-07-05,122.4,125.86,119.2,120.36,1657480
2019-07-08,120.36,120.36,115.52,116.04,571347
2019-07-09,116.06,117.4,115.26,116.2,381768
2019-07-10,115.96,115.96,114.4,114.6,118684
2019-07-11,115.38,116.2,113.84,114.42,203164
2019-07-12,114.72,115.92,114.06,114.48,175077
2019-07-15,114.76,116.0,114.48,115.08,366522
2019-07-16,115.38,115.8,114.4,115.16,122267
2019-07-17,115.6,116.9,114.48,115.42,137064
2019-07-18,115.8,117.78,114.6,116.62,311937
2019-07-19,117.58,118.46,115.8,116.86,736200
