date,open,high,low,close,volume
2004-05-05,7.69,7.8,6.07,7.66,5293691
2004-05-06,7.98,9.1,7.92,8.92,3913027
2004-05-07,9.2,9.37,8.1,8.41,2190913
2004-05-10,8.03,8.88,7.67,8.57,1528953
2004-05-11,8.3,8.5,7.0,7.28,818042
2004-05-12,7.4,7.68,6.72,7.36,579324
2004-05-13,7.2,8.7,6.45,8.01,1434668
2004-05-14,8.39,8.39,7.11,7.46,880266
2004-05-17,7.2,7.2,5.97,6.03,190690
2004-05-18,6.0,7.24,5.9,7.23,366364
2004-05-19,7.42,7.8,6.82,6.9,533788
2004-05-20,7.2,7.35,6.9,7.01,360405
2004-05-21,6.83,7.58,6.81,7.18,285327
2004-05-24,7.29,7.29,7.04,7.09,239719
2004-05-25,7.09,7.69,6.9,7.58,383939
2004-05-26,7.68,7.77,7.46,7.59,289528
2004-05-27,7.63,8.05,7.47,7.6,376449
2004-05-28,7.2,7.69,6.62,6.74,254030
2004-05-31,6.62,6.89,6.53,6.72,148816
2004-06-01,6.96,7.05,6.8,6.84,111920
2004-06-02,6.96,6.98,6.53,6.6,82932
2004-06-03,6.7,6.74,6.03,6.14,143814
2004-06-04,6.19,6.25,5.81,5.96,80216
2004-06-07,6.04,6.2,6.0,6.12,76164
2004-06-08,6.18,6.3,6.11,6.17,69921
2004-06-09,6.12,6.29,6.02,6.1,67726
2004-06-10,6.03,6.1,5.84,5.87,38491
2004-06-11,5.9,5.92,5.58,5.61,44879
2004-06-14,5.85,5.85,5.13,5.21,52913
2004-06-15,5.4,5.4,4.96,5.01,60675
2004-06-16,5.04,5.26,5.04,5.13,66112
2004-06-17,4.8,5.29,4.8,5.24,35565
2004-06-18,5.2,5.76,5.08,5.45,105894
2004-06-21,5.44,5.74,5.03,5.05,52849
2004-06-22,5.05,5.16,4.9,5.0,30201
2004-06-23,5.11,5.11,4.82,4.85,17365
2004-06-24,4.66,4.96,4.61,4.66,21771
2004-06-25,4.7,5.13,4.6,5.02,53991
