date,open,high,low,close,volume
2013-07-23,258.5,258.5,245.58,254.27,703001
2013-07-24,254.05,254.05,241.57,241.57,193768
2013-07-25,236.22,236.22,229.49,229.49,35086
2013-07-26,218.03,218.03,218.03,218.03,56142
2013-07-29,207.69,208.72,207.16,207.16,396037
2013-07-30,196.82,196.82,196.82,196.82,14543
2013-07-31,187.01,187.01,187.01,187.01,39171
2013-08-01,172.62,190.71,172.62,182.42,1474002
2013-08-02,179.17,186.57,173.33,182.96,424512
2013-08-05,188.97,188.97,177.39,183.58,242571
2013-08-06,181.84,181.84,165.89,176.99,395623
2013-08-07,176.5,182.42,170.03,175.02,782070
2013-08-08,172.13,177.3,172.13,173.91,882982
2013-08-12,181.4,181.4,170.26,171.5,367325
2013-08-13,172.31,175.6,167.67,170.43,929674
2013-08-14,169.54,184.52,167.58,179.84,604375
2013-08-16,181.84,181.84,164.15,168.56,469024
2013-08-19,162.41,172.57,162.41,170.79,177591
2013-08-20,169.32,171.77,160.9,169.32,725839
2013-08-21,170.26,175.34,166.07,170.79,134334
2013-08-22,169.81,174.71,166.02,172.17,186715
2013-08-23,175.51,190.49,171.37,186.97,275549
2013-08-26,180.95,189.78,179.35,181.58,209082
2013-08-27,181.84,181.84,166.07,171.41,513030
2013-08-28,170.12,170.12,157.91,165.84,578741
2013-08-29,166.69,175.6,157.78,172.84,540903
2013-08-30,169.36,182.65,163.3,175.65,851574
2013-09-02,175.6,179.3,169.77,171.86,147231
2013-09-03,172.48,178.99,163.12,168.7,453528
2013-09-04,167.85,172.48,164.06,169.32,90070
2013-09-05,176.45,182.47,170.26,181.13,213263
2013-09-06,179.79,188.89,178.72,186.61,149259
2013-09-10,182.33,195.08,182.33,188.22,227146
2013-09-11,192.99,192.99,187.41,189.78,91692
2013-09-12,193.43,193.43,183.0,184.56,102150
2013-09-13,185.23,188.04,178.63,186.61,155509
2013-09-16,188.08,189.02,181.04,187.86,119883
2013-09-17,182.07,187.19,182.07,185.59,31773
2013-09-18,186.97,187.95,178.5,181.44,143043
2013-09-19,185.41,206.71,183.72,200.96,694866
2013-09-20,200.52,200.52,179.17,190.85,1332786
2013-09-23,187.19,190.18,169.68,171.37,868156
2013-09-24,172.71,174.53,158.98,161.21,862283
2013-09-25,160.45,164.91,147.3,160.94,1517711
2013-09-26,160.45,167.0,160.45,163.17,519650
2013-09-27,164.73,164.82,160.76,161.92,192264
2013-09-30,160.45,164.02,156.35,162.99,280838
2013-10-01,160.54,167.54,160.54,166.56,447744
2013-10-03,165.8,181.58,165.13,177.3,310106
2013-10-04,177.3,177.39,173.06,173.95,115050
2013-10-07,174.22,179.53,168.03,177.03,342360
2013-10-08,178.01,181.31,171.64,173.06,226287
2013-10-09,172.39,176.99,168.74,175.16,900576
2013-10-10,175.43,177.3,171.59,173.06,131599
2013-10-11,173.64,177.34,173.11,174.45,1274096
2013-10-14,174.71,178.28,173.15,175.6,221542
2013-10-15,175.6,179.17,166.73,168.07,360440
2013-10-17,168.03,173.2,168.03,171.46,295532
2013-10-18,172.71,174.18,168.12,169.63,665999
2013-10-21,170.21,173.73,168.56,169.1,313845
2013-10-22,170.61,174.53,168.52,172.22,1709860
2013-10-23,172.93,178.01,166.87,170.17,2298436
2013-10-24,171.01,185.99,168.56,177.03,4722170
2013-10-25,177.97,185.77,177.39,184.29,1123254
2013-10-28,184.61,185.94,179.79,180.82,549169
2013-10-29,180.95,196.02,180.15,194.55,1405705
2013-10-30,193.97,199.67,188.97,198.02,643391
2013-10-31,192.54,194.28,187.28,190.58,714208
2013-11-01,192.45,194.68,185.99,190.36,869870
2013-11-03,191.65,195.48,190.76,194.01,230297
2013-11-05,194.19,204.13,188.97,201.19,837432
2013-11-06,201.5,205.02,198.78,202.03,554943
2013-11-07,202.35,202.35,189.29,193.74,1043955
2013-11-08,193.43,196.11,189.02,193.52,386972
2013-11-11,193.43,196.11,185.41,191.11,635550
2013-11-12,191.65,194.59,185.72,187.91,271925
2013-11-13,186.52,190.76,184.7,189.24,389276
2013-11-14,189.91,195.84,189.87,192.18,280922
2013-11-18,193.12,196.02,191.96,194.14,285260
2013-11-19,194.32,201.63,192.81,199.54,666381
2013-11-20,201.9,204.57,193.92,196.55,428182
2013-11-21,198.16,212.2,191.74,199.14,963290
2013-11-22,199.67,206.18,197.53,200.47,324205
2013-11-25,202.12,206.49,198.96,201.14,373021
2013-11-26,202.43,202.43,197.04,198.33,329848
2013-11-27,198.65,199.94,194.32,195.39,156796
2013-11-28,196.77,203.15,194.81,195.93,371123
2013-11-29,196.77,200.34,195.93,199.18,432443
2013-12-02,200.25,211.88,199.23,208.94,657160
2013-12-03,208.14,210.81,202.79,205.91,464869
2013-12-04,204.93,207.07,197.8,199.31,284208
2013-12-05,202.97,202.97,194.77,196.69,1002831
2013-12-06,194.41,198.25,191.65,192.94,367200
2013-12-09,196.11,199.58,192.18,197.18,305997
2013-12-10,197.84,210.99,194.37,209.08,1370929
2013-12-11,210.37,210.37,201.54,203.01,274030
2013-12-12,201.23,209.43,199.23,207.03,406719
2013-12-13,201.54,207.25,198.78,199.58,159790
2013-12-16,197.22,202.79,197.0,200.87,91377
2013-12-17,201.99,204.13,194.55,197.09,138729
2013-12-18,197.44,201.28,196.33,199.18,157073
2013-12-19,200.21,201.19,193.16,193.88,258561
2013-12-20,194.1,202.26,193.65,200.56,404864
2013-12-23,201.01,217.05,201.01,213.84,688839
2013-12-24,215.72,224.41,214.42,218.21,578960
2013-12-26,218.39,220.0,212.2,216.96,184134
2013-12-27,217.5,218.44,212.33,217.45,164783
2013-12-30,214.02,217.14,209.25,213.4,363318
2013-12-31,211.3,217.77,210.37,212.55,226398
2014-01-01,213.04,216.61,211.97,213.67,88996
2014-01-02,212.6,218.3,208.59,209.57,654062
2014-01-03,207.69,215.23,203.28,213.31,259601
2014-01-06,213.04,215.72,210.59,212.42,107098
2014-01-07,212.95,215.4,210.28,212.33,198812
2014-01-08,213.67,226.41,211.08,218.61,592579
2014-01-09,219.28,222.85,213.89,217.9,173164
2014-01-10,218.39,220.53,211.75,214.16,163444
2014-01-13,214.42,217.68,208.67,210.1,119196
2014-01-14,209.03,213.0,205.06,206.58,246820
2014-01-15,208.32,208.32,201.94,203.55,298766
2014-01-16,202.84,206.54,201.45,201.94,361045
2014-01-17,202.57,204.08,196.64,199.54,257728
2014-01-20,200.43,206.54,198.78,203.86,226925
2014-01-21,204.84,215.23,204.17,208.85,308172
2014-01-22,209.79,216.16,207.2,211.13,615258
2014-01-23,212.15,212.33,203.91,206.18,278004
2014-01-24,205.91,205.91,197.98,201.19,359482
2014-01-27,197.35,198.6,188.08,192.76,663106
2014-01-28,192.18,202.35,192.18,197.75,224509
2014-01-29,197.93,200.52,196.55,197.22,142875
2014-01-30,189.02,190.98,180.95,183.45,328047
2014-01-31,182.82,186.03,182.02,183.89,409172
