date,open,high,low,close,volume
2021-11-18,270.0,276.01,232.0,242.31,8596126
2021-11-22,245.0,251.6,209.13,234.41,3373458
2021-11-23,233.0,238.8,225.61,229.79,578700
2021-11-24,230.74,243.54,228.68,231.99,1024040
2021-11-25,234.4,245.4,233.37,238.76,602130
2021-11-26,236.8,236.8,221.33,222.71,436050
2021-11-29,221.0,221.3,196.0,198.49,710570
2021-11-30,200.0,207.54,194.89,204.07,832706
2021-12-01,209.56,209.8,200.02,206.81,241286
2021-12-02,210.0,215.8,203.77,213.16,261773
2021-12-03,213.2,218.7,210.23,214.32,204894
2021-12-06,214.8,219.85,208.83,212.07,210562
2021-12-07,212.8,230.8,211.0,224.88,526591
2021-12-08,226.0,234.6,224.91,231.19,392204
2021-12-09,233.0,244.39,231.04,236.29,438312
2021-12-10,236.2,242.93,232.77,241.53,227727
2021-12-13,242.56,243.8,239.16,241.86,216130
2021-12-14,237.6,247.78,237.6,245.82,330890
2021-12-15,244.06,246.82,235.22,237.6,289627
2021-12-16,231.0,243.7,231.0,241.63,441033
2021-12-17,239.2,252.99,238.41,244.72,570590
2021-12-20,238.2,242.63,234.96,239.31,204284
2021-12-21,238.6,242.33,236.68,238.85,268471
2021-12-22,239.8,245.24,239.03,244.33,161180
2021-12-23,244.8,245.4,236.1,238.87,48996
2021-12-24,239.97,242.4,236.6,238.68,82756
2021-12-27,237.59,240.02,225.56,239.81,78518
2021-12-28,240.01,243.8,239.03,240.71,166404
2021-12-29,240.2,249.2,239.2,240.87,116824
2021-12-30,241.0,241.91,238.05,239.98,42373
2021-12-31,240.2,245.4,240.2,243.83,62387
2022-01-03,242.71,244.57,240.8,241.05,40649
2022-01-04,241.6,242.55,239.11,241.02,41360
2022-01-05,240.6,263.56,237.15,253.68,414699
2022-01-06,253.8,255.0,248.0,249.11,80105
2022-01-07,249.0,269.0,249.0,267.37,576906
2022-01-10,268.04,291.88,268.04,277.87,566078
2022-01-11,277.6,281.53,270.49,277.14,185714
2022-01-12,277.0,283.16,270.48,273.09,166213
2022-01-13,273.3,285.0,271.28,281.98,193876
2022-01-14,282.0,288.1,276.42,283.06,67006
2022-01-17,280.0,290.0,280.0,287.93,102742
2022-01-18,292.0,292.0,280.65,286.3,175205
2022-01-19,287.74,298.0,278.12,281.55,311271
2022-01-20,282.99,290.0,278.1,284.02,172683
2022-01-21,283.97,283.97,264.0,276.54,313170
2022-01-24,274.4,275.8,253.32,256.9,202552
2022-01-25,252.0,265.96,251.03,255.27,147862
2022-01-27,254.0,259.77,246.22,249.61,129110
2022-01-28,253.87,282.06,252.34,263.83,99204
2022-01-31,265.0,275.44,258.01,270.08,145814
2022-02-01,272.76,274.0,264.19,270.67,77170
2022-02-02,272.0,281.73,269.01,272.42,155046
2022-02-03,272.61,274.19,269.6,271.08,112707
