date,open,high,low,close,volume
2001-08-20,8.56,9.48,8.23,8.25,4041
2001-08-21,9.18,9.18,8.52,8.8,4504
2001-08-23,8.82,9.11,8.82,8.82,3075
2001-08-24,8.82,8.82,8.5,8.67,3987
2001-08-27,8.82,9.11,8.68,8.75,5702
2001-08-28,8.28,9.11,8.28,8.57,2544
2001-08-29,8.82,9.18,8.45,9.18,32063
2001-08-30,8.82,9.18,8.82,9.15,9363
2001-08-31,8.53,9.18,8.53,9.14,6831
2001-09-03,8.68,9.18,8.68,8.99,4668
2001-09-04,8.75,8.96,8.75,8.81,5593
2001-09-05,9.55,9.55,8.48,8.7,7607
2001-09-06,8.67,8.67,8.45,8.45,7226
2001-09-07,8.23,8.45,8.01,8.09,10642
2001-09-10,8.45,8.6,8.45,8.6,2123
2001-09-11,8.52,8.55,8.3,8.55,4776
2001-09-12,7.79,8.37,7.75,7.93,12888
2001-09-13,7.94,8.27,7.94,7.95,8641
2001-09-14,7.72,7.79,7.27,7.27,4300
2001-09-17,6.83,6.83,6.1,6.19,13418
2001-09-18,6.17,6.9,6.17,6.69,17487
2001-09-19,7.42,7.42,6.69,6.8,12166
2001-09-20,6.98,7.11,6.55,7.01,5430
2001-09-21,6.91,6.91,6.19,6.25,7335
2001-09-24,6.32,6.81,6.1,6.81,8247
2001-09-25,6.85,6.85,6.54,6.63,11635
2001-09-26,7.63,7.63,6.48,6.62,3443
2001-09-27,6.65,6.91,6.61,6.85,5049
2001-09-28,6.98,8.21,6.91,7.88,18358
2001-10-01,7.42,7.79,6.98,7.18,15188
2001-10-03,7.42,7.42,6.98,7.02,2544
2001-10-04,6.98,7.45,6.83,6.84,7457
2001-10-05,8.08,8.08,7.0,7.05,1088
2001-10-08,6.76,6.85,6.76,6.85,789
2001-10-09,6.84,7.24,6.76,6.77,9308
2001-10-10,6.76,7.13,6.76,6.94,22278
2001-10-11,7.29,7.49,6.39,6.51,60792
2001-10-12,6.25,6.97,6.25,6.84,6328
2001-10-15,6.1,7.03,6.1,6.91,3647
2001-10-16,6.61,7.05,6.61,7.0,8328
2001-10-17,7.05,7.19,6.85,7.02,13187
2001-10-18,6.98,6.98,6.89,6.92,5144
2001-10-19,6.62,7.13,6.62,6.93,7838
2001-10-22,7.27,7.33,7.15,7.19,21706
2001-10-23,7.2,7.64,7.2,7.52,14398
2001-10-24,7.57,7.57,7.09,7.43,15650
2001-10-25,7.35,7.42,7.06,7.23,1687
2001-10-29,7.38,7.45,7.1,7.27,4491
2001-10-30,7.23,8.08,7.23,7.65,31056
2001-10-31,7.36,7.58,7.35,7.37,8328
2001-11-01,7.38,7.66,7.21,7.38,10002
2001-11-02,7.31,7.31,6.98,7.01,36105
2001-11-05,6.86,7.35,6.86,7.26,9853
2001-11-06,7.2,7.49,7.15,7.27,12711
2001-11-07,7.38,7.68,7.32,7.47,28484
2001-11-08,7.49,8.35,7.43,8.09,79383
2001-11-09,7.86,8.81,7.86,8.6,53253
2001-11-12,10.14,10.14,8.52,9.32,34336
2001-11-13,10.14,10.14,8.89,9.16,26252
2001-11-14,9.01,9.25,9.01,9.12,5144
2001-11-15,10.87,10.87,9.11,9.28,21244
2001-11-19,9.26,11.14,9.18,10.63,72483
2001-11-20,11.86,11.86,10.29,10.69,60738
2001-11-21,9.92,11.68,9.92,10.23,20005
2001-11-22,10.65,10.91,10.55,10.65,26129
2001-11-23,11.17,11.17,10.15,10.31,18603
2001-11-26,10.86,11.76,10.58,11.28,88338
2001-11-27,11.76,12.2,10.68,10.89,81642
2001-11-28,10.95,10.95,10.29,10.41,18277
2001-11-29,10.36,10.36,9.85,10.02,23734
2001-12-03,10.29,10.69,10.29,10.43,27354
2001-12-04,10.14,10.57,10.08,10.43,45237
2001-12-05,10.8,11.17,10.62,10.98,33233
2001-12-06,11.35,11.35,10.44,10.56,24088
2001-12-07,10.87,11.03,10.44,10.83,68454
2001-12-10,11.38,11.54,10.58,10.7,45985
2001-12-11,11.02,11.24,10.58,10.65,99048
2001-12-12,10.87,11.11,10.69,10.87,56138
2001-12-13,11.1,11.24,9.56,9.87,38391
2001-12-14,9.92,10.02,9.66,9.82,18182
2001-12-18,10.14,10.28,9.48,9.56,51239
2001-12-19,9.59,9.91,9.55,9.55,19189
2001-12-20,8.82,9.41,8.82,9.2,11214
2001-12-21,8.97,9.14,8.49,8.82,22618
2001-12-24,7.83,8.55,7.72,8.21,34486
2001-12-26,8.57,8.58,8.33,8.33,4218
2001-12-27,8.45,8.56,8.19,8.28,13731
2001-12-28,8.08,8.45,8.01,8.35,13459
2001-12-31,8.82,9.98,8.6,9.84,38909
2002-01-01,10.57,10.58,8.96,9.35,38174
2002-01-02,9.76,9.9,9.41,9.69,16127
2002-01-03,10.2,10.2,9.64,10.05,90747
2002-01-04,10.25,10.25,9.63,9.64,21148
2002-01-07,10.21,10.29,9.7,9.7,15800
2002-01-08,10.06,10.06,9.48,9.66,6668
2002-01-09,8.98,10.21,8.96,9.39,14847
2002-01-10,10.1,10.1,9.37,9.55,7485
2002-01-11,9.55,9.55,9.04,9.2,8342
2002-01-14,9.18,9.55,8.67,8.73,31900
2002-01-15,8.74,8.74,8.03,8.07,99320
2002-01-16,8.09,8.67,8.09,8.45,133521
2002-01-17,8.6,8.67,8.41,8.57,348916
2002-01-18,8.82,9.25,8.6,9.25,562405
2002-01-21,9.99,9.99,9.55,9.99,746716
2002-01-22,10.21,10.79,9.43,10.79,1125777
2002-01-23,10.95,11.22,10.49,11.19,786660
2002-01-24,11.59,11.63,10.74,10.77,464445
2002-01-25,10.65,10.8,10.36,10.56,254058
2002-01-28,10.37,10.37,10.14,10.14,30212
2002-01-29,9.73,9.73,9.73,9.73,5144
2002-01-30,9.34,9.34,9.34,9.34,8111
2002-01-31,8.97,9.54,8.97,8.98,364104
2002-02-01,8.96,9.3,8.68,8.81,740061
2002-02-04,8.74,8.94,8.46,8.47,111065
2002-02-05,8.13,8.45,8.13,8.23,117135
2002-02-06,8.45,8.56,8.31,8.56,45346
2002-02-07,8.91,8.91,8.74,8.91,134256
2002-02-08,9.03,9.26,8.93,9.26,163543
2002-02-11,9.41,10.54,9.41,10.12,530736
2002-02-12,10.15,10.76,9.55,9.73,169749
2002-02-13,9.88,9.96,9.7,9.79,92584
2002-02-14,9.92,9.92,9.43,9.57,56016
2002-02-15,9.92,9.92,9.48,9.5,90012
2002-02-18,9.63,9.88,9.18,9.34,44543
2002-02-19,9.3,9.48,8.96,9.26,96544
2002-02-20,9.36,9.36,9.04,9.08,48898
2002-02-21,9.31,9.36,8.91,9.02,57186
2002-02-22,9.24,9.24,8.82,8.96,65283
2002-02-25,10.29,10.29,8.97,9.33,44475
2002-02-26,9.67,9.67,8.89,9.09,103430
2002-02-27,9.33,9.33,8.98,9.07,57676
2002-02-28,9.18,9.3,8.82,8.83,73367
2002-03-01,8.27,8.82,8.18,8.7,35152
2002-03-04,8.82,9.24,8.82,9.04,36663
2002-03-05,9.11,9.26,8.82,8.88,35493
2002-03-06,8.82,9.1,8.67,8.7,27164
2002-03-07,8.38,9.04,8.38,8.76,47292
2002-03-08,8.82,8.82,8.23,8.5,56029
2002-03-11,8.67,8.81,8.42,8.49,80512
2002-03-12,8.81,9.88,8.81,9.13,1526585
2002-03-13,9.41,9.91,9.26,9.75,1592210
2002-03-14,10.06,10.51,9.42,9.59,595040
2002-03-15,9.7,11.51,9.66,11.51,2519958
2002-03-18,12.45,13.81,12.05,13.81,3684603
2002-03-19,14.11,14.14,11.98,12.23,3279209
2002-03-20,12.41,13.89,12.12,13.38,4029314
2002-03-21,13.74,16.01,13.3,15.68,12883340
2002-03-22,15.58,16.09,14.78,15.27,10075627
2002-03-26,15.04,15.42,13.46,13.85,3564406
2002-03-27,13.96,14.73,13.67,14.28,6084799
2002-03-28,14.61,15.3,14.18,14.85,5750146
2002-04-01,15.0,15.43,14.35,14.57,1436981
2002-04-02,14.84,15.72,14.25,14.43,2674859
2002-04-03,14.47,15.36,14.33,15.02,2219232
2002-04-04,14.92,15.75,14.92,15.2,3357204
2002-04-05,15.17,16.83,15.17,16.3,10552538
2002-04-08,16.52,17.25,15.34,15.82,4594618
2002-04-09,15.68,15.86,15.06,15.36,3039916
2002-04-10,15.41,16.06,15.21,15.5,2172117
2002-04-11,15.83,16.34,15.43,15.64,1572013
2002-04-12,15.65,15.86,15.06,15.22,1029436
2002-04-15,15.72,15.72,14.13,14.4,1012071
2002-04-16,14.4,15.05,14.19,14.31,1349351
2002-04-17,14.76,15.65,14.56,15.27,2441105
2002-04-18,15.43,15.8,14.81,14.94,1479048
2002-04-19,14.99,15.11,14.05,14.22,894976
2002-04-22,14.07,14.48,13.81,14.09,722138
2002-04-23,14.16,14.48,14.12,14.21,440874
2002-04-24,14.5,15.25,14.36,14.79,1455490
2002-04-25,15.06,15.12,14.19,14.29,805903
