date,open,high,low,close,volume
2003-09-05,40.93,41.13,40.47,41.02,2527022
2003-09-08,41.39,42.21,41.06,41.77,2727169
2003-09-09,42.17,42.71,41.04,41.34,4968055
2003-09-10,41.32,42.43,40.86,42.22,3652122
2003-09-11,42.33,43.2,42.24,42.61,5321221
2003-09-12,42.74,43.0,41.43,41.68,3515879
2003-09-15,41.51,41.78,39.77,40.09,3343019
2003-09-16,39.43,41.41,38.96,41.28,4691112
2003-09-17,41.51,41.82,39.92,40.23,4298894
2003-09-18,40.02,40.42,37.98,38.16,6589584
2003-09-19,38.49,39.01,37.46,38.53,7009750
2003-09-22,39.14,39.14,37.6,37.73,4451862
2003-09-23,37.45,39.48,37.33,39.2,6043688
2003-09-24,39.3,40.28,39.07,39.97,4884904
2003-09-25,39.62,40.36,39.15,39.34,6104802
2003-09-26,39.52,41.13,39.37,40.77,4417255
2003-09-29,41.13,41.96,41.04,41.75,3876112
2003-09-30,41.97,42.74,41.64,42.54,4497917
2003-10-01,42.64,42.83,41.86,42.08,3351169
2003-10-03,42.17,43.06,42.13,42.96,2874405
2003-10-06,43.21,44.0,43.16,43.86,4203293
2003-10-07,43.29,44.24,42.94,43.09,3783648
2003-10-08,43.21,44.9,43.21,44.59,6378189
2003-10-09,44.75,45.49,44.75,45.35,3835971
2003-10-10,45.45,45.88,44.87,45.3,3114031
2003-10-13,39.66,46.66,39.66,46.44,4013676
2003-10-14,46.71,46.78,44.53,44.84,5007646
2003-10-15,44.95,46.31,44.45,45.88,4873404
2003-10-16,46.48,47.31,46.23,47.07,5704495
2003-10-17,47.36,47.5,46.37,46.85,3979553
2003-10-20,46.98,48.0,45.68,46.16,4513018
2003-10-21,46.13,47.82,45.32,45.96,7341679
2003-10-22,46.32,46.95,45.59,46.21,4763501
2003-10-23,46.69,46.92,45.63,45.92,5026311
2003-10-24,46.04,46.65,44.01,46.41,8193733
2003-10-25,47.17,47.55,46.75,47.01,1608676
2003-10-27,46.98,46.98,45.31,45.49,3796331
2003-10-28,45.57,46.01,44.68,45.03,4485167
2003-10-29,45.28,46.02,44.91,45.82,3601582
2003-10-30,46.21,46.7,44.77,45.67,6963872
2003-10-31,44.97,45.84,44.35,45.68,5711627
2003-11-03,45.94,46.26,44.68,44.9,5127624
2003-11-04,45.28,46.61,45.28,45.78,4479043
2003-11-05,45.76,46.08,44.86,45.19,3102198
2003-11-06,45.46,45.64,44.84,45.08,2300092
2003-11-07,45.28,45.84,44.72,45.12,3231355
2003-11-10,44.91,45.4,44.39,45.03,1247212
2003-11-11,45.19,45.76,44.77,45.04,2406818
2003-11-12,47.75,47.75,44.91,45.15,2592714
2003-11-13,45.39,45.5,43.73,44.15,2425041
2003-11-14,44.06,44.23,43.03,43.26,3210637
2003-11-15,43.4,44.04,43.17,43.77,849711
2003-11-17,43.95,44.8,43.41,44.63,1982544
2003-11-18,44.62,44.8,43.73,43.93,2356416
2003-11-19,43.77,43.77,43.03,43.39,2019642
2003-11-20,43.59,43.87,42.26,42.5,1993630
2003-11-21,42.44,42.61,41.27,42.33,3774968
2003-11-24,42.64,42.87,41.9,42.14,2088726
2003-11-25,42.36,42.92,42.17,42.76,1777545
2003-11-27,42.93,44.24,42.93,44.01,3292836
2003-11-28,44.07,44.61,43.64,44.37,2182090
2003-12-01,45.1,45.21,43.87,44.38,1588545
2003-12-02,44.53,45.27,43.97,44.83,3554668
2003-12-03,45.1,45.56,44.36,44.72,2552392
2003-12-04,44.67,44.99,43.99,44.42,2174486
2003-12-05,44.62,44.9,43.21,43.41,1795003
2003-12-08,43.67,43.67,42.57,43.03,1375907
2003-12-09,43.4,43.74,43.05,43.55,1609289
2003-12-10,43.86,44.27,43.31,43.73,2051324
2003-12-11,43.95,44.8,43.69,44.54,2144757
2003-12-12,44.81,45.38,44.55,44.82,2725699
2003-12-15,44.92,46.04,44.68,45.7,3151731
2003-12-16,45.48,45.79,44.75,45.36,2926345
2003-12-17,45.78,45.78,44.84,44.99,1784252
2003-12-18,42.64,45.38,42.64,45.25,1157774
2003-12-19,45.47,46.46,45.29,46.24,2737801
2003-12-22,46.49,48.1,46.42,47.96,4049428
2003-12-23,48.13,48.48,47.56,47.79,3801351
2003-12-24,47.97,48.39,47.78,48.01,2704129
2003-12-26,48.09,49.52,48.06,49.18,2848611
2003-12-29,52.14,52.14,49.81,50.68,3126871
2003-12-30,51.14,52.08,49.44,50.15,4231011
2003-12-31,50.32,51.2,50.19,50.71,3953227
2004-01-01,50.99,53.63,50.95,53.27,5941630
2004-01-02,53.5,53.87,53.07,53.41,2400125
2004-01-05,53.89,57.01,53.56,56.69,6428468
2004-01-06,56.79,58.43,55.86,56.71,7969598
2004-01-07,57.8,57.8,55.12,56.28,6749373
2004-01-08,56.79,59.34,56.79,58.56,4237472
2004-01-09,59.25,61.42,58.96,60.38,6916384
2004-01-12,60.85,61.39,59.49,60.53,5373061
2004-01-13,60.66,61.51,60.44,60.94,3723374
2004-01-14,61.62,64.05,61.62,63.44,4252513
2004-01-15,63.96,65.09,61.52,62.49,6352860
2004-01-16,62.74,62.74,59.06,59.93,5203873
2004-01-19,60.33,62.68,59.29,61.95,3807154
2004-01-20,62.74,62.91,58.12,59.21,5261293
2004-01-21,58.77,59.2,55.66,56.15,6988252
2004-01-22,56.6,58.43,54.59,55.22,6980568
2004-01-23,55.66,59.18,54.95,58.7,7225338
2004-01-27,59.34,61.4,58.22,61.19,4440422
2004-01-28,61.56,62.64,58.99,59.6,8169705
2004-01-29,58.5,60.57,58.03,59.12,7003913
2004-01-30,59.25,59.61,55.85,56.42,7587052
2004-02-03,56.6,56.6,52.57,53.52,7381059
2004-02-04,53.87,56.03,51.9,55.63,8895585
2004-02-05,55.05,57.12,53.97,54.66,8486137
2004-02-06,55.2,56.46,54.46,56.18,5297329
2004-02-09,56.42,58.95,56.42,58.76,5598339
2004-02-10,59.24,59.24,57.06,57.65,6362002
2004-02-11,58.54,59.42,57.8,59.18,5436692
2004-02-12,59.25,59.52,57.68,58.27,4398623
2004-02-13,58.02,59.62,57.78,59.35,4278236
2004-02-16,59.62,60.34,59.1,59.45,4410243
2004-02-17,59.6,60.06,58.83,59.8,4212680
2004-02-18,60.0,60.47,59.09,59.38,3938720
2004-02-19,59.4,59.43,56.61,56.98,5176989
2004-02-20,56.7,57.63,55.66,56.84,6830080
2004-02-23,57.45,57.53,55.19,55.58,5167796
2004-02-24,61.33,61.33,54.63,57.15,5936527
2004-02-25,57.26,57.26,55.2,55.49,4621847
2004-02-26,55.85,56.78,53.99,54.36,5290721
2004-02-27,54.63,55.38,53.31,55.14,5464149
2004-03-01,55.34,56.84,54.82,56.63,4005601
2004-03-03,56.78,57.34,56.13,56.53,4963054
2004-03-04,56.6,57.78,56.35,57.03,8104390
2004-03-05,57.31,58.3,57.27,58.16,5111710
2004-03-08,58.3,59.52,58.3,59.21,3770431
2004-03-09,59.43,60.13,58.42,59.78,6706400
2004-03-10,59.62,59.7,57.86,58.26,4973961
2004-03-11,57.71,58.0,56.24,56.79,4167449
2004-03-12,56.32,56.83,55.12,56.52,4065607
2004-03-15,56.89,57.31,53.88,54.6,4708354
2004-03-16,53.86,55.62,53.6,54.03,5865221
2004-03-17,54.6,55.15,54.25,54.72,4237484
2004-03-18,54.7,55.05,52.51,52.94,3975993
2004-03-19,54.62,54.62,52.41,53.54,4309038
2004-03-22,53.49,53.49,51.74,51.96,3600680
2004-03-23,51.79,52.87,51.33,52.21,3269703
2004-03-24,49.41,52.35,49.41,51.62,3520762
2004-03-25,52.08,53.94,51.93,53.17,4209451
2004-03-26,53.77,56.31,53.68,55.95,4751717
2004-03-29,56.23,57.57,55.48,57.38,4913459
2004-03-30,48.58,57.74,48.58,55.89,4059616
2004-03-31,56.11,57.45,55.76,57.16,3574998
2004-04-01,57.31,58.62,57.17,58.33,4242657
2004-04-02,58.4,58.9,57.23,58.62,4157090
2004-04-05,58.73,59.32,57.49,57.9,4125026
2004-04-06,58.49,59.81,57.71,59.22,6635405
2004-04-07,59.43,59.62,58.6,59.03,4543601
2004-04-08,58.96,60.13,58.06,58.79,7301119
2004-04-12,55.26,59.53,55.26,58.38,2854237
2004-04-13,58.5,60.47,57.62,60.06,4000517
2004-04-15,60.0,60.82,59.48,60.14,4575190
2004-04-16,60.38,61.04,59.91,60.31,3626010
2004-04-17,60.38,60.85,60.04,60.57,1250135
2004-04-19,60.84,61.32,59.1,59.34,3597939
2004-04-20,59.43,59.78,58.78,59.5,2719601
2004-04-21,59.25,61.11,59.15,60.85,3471669
2004-04-22,60.99,62.14,60.29,61.9,3779184
2004-04-23,61.89,62.83,61.51,62.04,3960226
2004-04-27,61.3,61.3,51.04,59.44,4155293
2004-04-28,59.25,60.64,58.96,60.27,4477901
2004-04-29,60.19,60.9,59.25,60.25,3838780
2004-04-30,61.0,61.22,59.92,60.59,3848411
2004-05-03,59.91,59.98,57.12,58.4,4828665
2004-05-04,59.32,60.71,59.32,60.4,3637991
2004-05-05,60.57,60.76,59.89,60.61,2516488
2004-05-06,61.13,62.04,61.13,61.8,2449647
2004-05-07,61.77,61.77,59.62,60.79,2932575
2004-05-10,60.76,60.76,50.94,59.29,3636341
2004-05-11,57.55,58.76,57.18,58.21,4268371
2004-05-12,57.93,59.43,56.8,58.57,5205048
2004-05-13,56.6,59.0,54.94,56.79,7368073
2004-05-14,56.6,56.98,47.09,48.7,9416809
2004-05-17,46.67,46.67,39.3,42.24,3580969
2004-05-18,42.26,47.34,42.17,46.31,4210435
2004-05-19,47.15,50.04,46.42,49.56,7234569
2004-05-20,48.59,50.26,47.67,48.54,5094670
2004-05-21,47.55,49.03,45.05,48.67,4384542
2004-05-24,49.53,51.42,49.25,50.89,3614393
2004-05-25,50.66,51.49,49.06,50.9,3692724
2004-05-26,50.76,51.5,49.91,50.21,3722622
2004-05-27,49.66,50.64,48.69,50.09,4519768
2004-05-28,50.38,50.46,45.12,45.82,8425450
2004-05-31,45.41,45.68,43.05,43.88,6264045
2004-06-01,44.34,45.47,44.01,44.27,5008010
2004-06-02,43.68,45.47,43.59,44.59,5164615
2004-06-03,46.12,46.59,43.79,44.31,6479198
2004-06-04,43.95,46.2,43.59,45.91,5234754
2004-06-07,46.23,47.05,45.16,45.73,4663974
2004-06-08,46.04,46.13,44.82,45.51,3597317
2004-06-09,45.47,46.6,45.45,45.63,4824309
2004-06-10,44.72,45.59,44.72,45.27,3331633
2004-06-11,45.19,45.19,43.93,44.18,3040627
2004-06-14,43.96,43.96,41.3,41.48,4875972
2004-06-15,41.32,42.43,40.87,41.93,5525004
2004-06-16,42.46,42.74,41.34,41.77,5284240
2004-06-17,41.51,42.77,40.55,42.37,6286319
2004-06-18,42.37,42.86,40.98,41.26,7303498
2004-06-21,40.93,40.93,39.12,39.26,8090199
2004-06-22,39.58,40.33,38.96,40.01,8289629
2004-06-23,39.98,40.26,38.32,38.56,8785496
2004-06-24,39.81,40.16,38.13,39.86,8862790
2004-06-25,39.25,40.07,38.62,39.54,6634851
2004-06-28,39.77,41.22,39.39,40.92,6661808
2004-06-29,40.38,41.13,39.82,40.43,7528292
2004-06-30,40.57,41.02,40.25,40.62,7335822
2004-07-01,41.02,41.92,40.94,41.78,6282161
2004-07-02,41.42,42.49,41.08,42.0,7064733
2004-07-05,41.79,42.07,40.41,40.66,4951620
2004-07-06,40.47,41.51,40.26,41.36,4798531
2004-07-07,41.13,41.93,40.9,41.18,5445639
2004-07-08,41.34,41.89,39.06,39.49,7861829
2004-07-09,38.4,40.76,36.79,40.51,4391843
2004-07-12,40.38,40.98,39.99,40.75,3119582
2004-07-13,40.94,41.23,39.81,40.5,2722466
2004-07-14,40.58,41.02,40.2,40.64,3799480
2004-07-15,40.9,41.29,40.39,40.65,3629010
2004-07-16,41.98,41.98,40.24,41.48,3855614
2004-07-19,41.52,42.17,41.25,41.51,2984423
2004-07-20,41.27,41.5,40.77,40.91,2590838
2004-07-21,41.09,42.5,40.76,41.61,2261900
