date,open,high,low,close,volume
2002-01-01,12.3,12.3,10.46,10.64,9005
2002-01-02,10.98,10.98,10.2,10.23,13395
2002-01-03,11.0,11.0,10.28,10.39,15071
2002-01-04,10.6,11.6,10.28,10.39,7418
2002-01-07,12.0,12.0,10.18,10.51,2741
2002-01-08,11.4,11.4,10.23,10.52,4577
2002-01-09,12.5,12.5,10.46,10.74,15594
2002-01-10,12.51,12.51,10.35,10.92,11783
2002-01-11,11.0,11.0,10.51,10.96,10255
2002-01-14,11.0,11.0,10.62,10.78,7434
2002-01-15,10.88,10.88,10.62,10.7,2203
2002-01-16,10.9,10.9,10.46,10.7,5990
2002-01-17,10.98,10.98,10.6,10.75,1538
2002-01-18,12.8,12.8,10.48,10.54,6250
2002-01-21,10.8,10.8,10.5,10.51,4807
2002-01-22,10.6,10.67,10.4,10.5,5280
2002-01-23,11.8,11.8,10.48,10.64,15461
2002-01-24,10.6,10.8,10.6,10.76,2725
2002-01-25,10.6,10.86,10.6,10.71,4610
2002-01-28,10.8,10.9,10.65,10.9,15664
2002-01-29,10.8,10.96,10.8,10.92,8615
2002-01-30,10.81,10.96,10.81,10.93,4125
2002-01-31,10.9,11.05,10.9,10.99,4850
2002-02-01,10.95,11.2,10.95,11.11,12978
2002-02-04,11.38,11.39,10.85,10.9,5470
2002-02-05,10.4,11.07,10.4,11.07,7741
2002-02-06,10.8,11.68,10.8,11.46,12510
2002-02-07,11.41,11.55,11.0,11.17,6126
2002-02-08,11.02,11.49,11.02,11.29,5211
2002-02-11,11.5,11.8,11.4,11.53,13192
2002-02-12,11.6,11.6,11.2,11.22,6090
2002-02-13,11.2,11.4,11.1,11.26,5525
2002-02-14,11.0,11.22,11.0,11.12,8161
2002-02-15,11.4,11.72,11.35,11.51,20670
2002-02-18,11.99,12.1,11.61,11.67,8331
2002-02-19,11.94,11.94,11.5,11.53,4712
2002-02-20,11.95,11.95,10.82,11.15,13991
2002-02-21,11.32,11.9,11.32,11.59,10847
2002-02-22,11.41,11.41,10.22,10.53,24192
2002-02-25,10.6,10.6,9.62,10.11,16220
2002-02-26,10.08,10.1,9.85,9.92,8031
2002-02-27,10.0,10.2,9.8,9.86,7740
2002-02-28,10.0,10.0,9.16,9.2,9538
2002-03-01,9.25,9.76,9.23,9.68,3490
2002-03-04,9.98,10.0,9.72,9.72,4902
2002-03-05,9.81,9.81,9.67,9.7,2900
2002-03-06,9.7,9.7,9.53,9.6,7440
2002-03-07,9.6,9.68,9.46,9.57,6530
2002-03-08,9.96,10.0,9.6,9.7,3758
2002-03-11,9.81,9.81,9.52,9.73,1980
2002-03-12,9.84,9.84,9.26,9.3,2309
2002-03-13,9.04,9.36,9.0,9.18,2075
2002-03-14,9.2,9.38,9.09,9.38,1109
2002-03-15,9.05,9.64,8.8,9.44,2941
2002-03-18,9.76,9.9,9.42,9.44,18889
2002-03-19,9.4,9.61,9.35,9.45,2852
2002-03-20,9.38,9.6,9.32,9.35,6829
2002-03-21,9.4,9.49,8.0,9.22,44046
2002-03-22,9.0,9.2,8.82,9.13,4018
2002-03-26,9.2,9.2,8.83,8.94,2680
2002-03-27,9.16,9.35,9.07,9.18,22550
2002-03-28,9.16,9.3,9.04,9.13,11525
2002-04-01,9.1,9.34,9.1,9.3,4991
2002-04-02,9.3,9.43,9.2,9.35,5505
2002-04-03,9.3,9.38,8.84,9.0,8658
2002-04-04,9.08,9.28,9.0,9.01,5775
